阿爸	aaba
爱美之心	amvx
奥妙无穷	amwq
安眠药	amy
爱面子	amz
暗堡	anbc
安邦	anbh
案板	anbj
按捺不住	anbv
暗藏	anch
暗道	andc
俺的	ande
暗地	andi
安度	andu
安顿	andy
案发	anfa
安分	anff
暗讽	anfg
暗格	ange
鞍钢	angh
暗鬼	angv
暗沟	angz
暗号	anhc
暗害	anhd
暗合	anhe
暗含	anhj
暗黄	anhl
暗红	anhs
暗黑	anhw
安魂	anhy
暗潮	anic
暗娼	anih
暗疮	anil
暗处	aniu
按金	anjb
按季	anji
暗礁	anjn
案卷	anjr
安可	anke
暗亏	ankv
暗扣	ankz
安拉	anla
安乐	anle
按铃	anlk
暗流	anlq
暗绿	anlv
按类	anlw
鞍马	anma
安民	anmb
暗门	anmf
安曼	anmj
安眠	anmm
安能	anng
按年	annm
安寝	anqb
暗渠	anqu
按日	anri
暗色	anse
暗锁	anso
安泰	antd
暗探	antj
安恬	antm
安妥	anto
案头	antz
暗哨	anuc
安设	anue
安神	anuf
安生	anug
岸上	anuh
按说	anuo
谙熟	anuu
安睡	anuv
安顺	anuy
按着	anve
安枕	anvf
按住	anvu
安卧	anwo
安闲	anxm
暗笑	anxn
按需	anxu
按压	anya
安逸	anyi
暗影	anyk
暗涌	anys
按月	anyt
暗语	anyu
暗自	anz
安在	anzd
安葬	anzh
案子	anzi
安坐	anzo
傲岸	aoan
嗷嗷	aoao
熬过	aogo
傲骨	aogu
懊悔	aoh
懊悔	aohv
凹处	aoiu
凹进	aojb
凹镜	aojk
拗口	aokz
凹面	aomm
傲气	aoqi
熬汤	aoth
奥拓	aoto
凹凸	aotu
鳌头	aotz
傲视	aoui
熬着	aove
鏖战	aovj
凹陷	aoxm
熬药	aoyc
熬夜	aoye
遨游	aoyz
安贫乐道	apld
爱琴海	aqh
鞍前马后	aqmh
爱钱如命	aqrm
安如泰山	artu
黯然失色	arus
黯然神伤	aruu
黯然销魂	arxh
傲然屹立	aryl
爱斯基摩	asjm
阿司匹林	aspl
暗送秋波	asqb
凹凸不平	atbp
哀痛欲绝	atyj
碍手碍脚	auaj
昂首阔步	aukb
安身立命	aulm
阿诗玛	aum
傲视群雄	auqx
唉声叹气	autq
安身之地	auvd
安身之处	auvi
安装版	avb
安枕而卧	avew
爱之欲其生	avyu
奥委会	awh
暗无天日	awtr
按需分配	axfp
暗香疏影	axuy
爱惜羽毛	axym
爱因斯坦	ayst
安营扎寨	ayvv
安于现状	ayxv
八宝	babc
八百	babd
芭比	babi
拔草	bacc
霸道	badc
拔掉	badn
巴豆	badz
北爱尔兰	bael
把风	bafg
八哥	bage
八股	bagu
巴哈	baha
拔河	bahe
拔出	bai
扒车	baie
靶场	baih
拔出	baiu
吧唧	baji
拔尖	bajm
八角	bajn
八九	bajq
罢课	bake
扒拉	bala
巴林	balb
芭蕾	balw
爸妈	bama
拔毛	bamc
把脉	bamd
把门	bamf
吧女	banv
扒皮	bapi
霸气	baqi
八千	baqm
罢赛	basd
拔丝	basi
八岁	basv
吧台	batd
八天	batm
拔腿	batv
罢手	bau
巴山	bauj
巴蜀	bauu
把守	bauz
八折	bave
巴掌	bavh
把稳	bawf
八万	bawj
靶心	baxb
八仙	baxm
罢休	baxq
拔下	baxx
八旬	baxy
拔牙	baya
八音	bayb
霸业	baye
八字	bazi
彬彬	bbbb
不卑不亢	bbbk
宾词	bbci
办不到	bbdc
巴不得	bbde
百般刁难	bbdn
不必当真	bbdv
鬓发	bbfa
滨河	bbhe
滨湖	bbhu
鬓角	bbjn
宾客	bbke
必不可少	bbku
殡殓	bblm
便把令来行	bblx
鬓毛	bbmc
爸爸妈妈	bbmm
败不馁	bbn
宾朋	bbpg
白白胖胖	bbpp
北半球	bbq
摈弃	bbqi
兵败如山倒	bbrd
蹦蹦跳跳	bbtt
八宝粥	bbv
不败之地	bbvd
八拜之交	bbvj
宾主	bbvu
不辨真伪	bbvw
不白之冤	bbvy
被逼无奈	bbwn
白璧微瑕	bbwx
步步为营	bbwy
殡仪	bbyi
宾语	bbyu
半辈子	bbz
保本	bcbf
薄饼	bcbk
褒贬	bcbm
饱餐	bccj
报错	bcco
保单	bcdj
报端	bcdr
饱读	bcdu
不辞而别	bceb
保额	bcee
报恩	bcen
孢粉	bcff
包房	bcfh
包饭	bcfj
宝盖	bcgd
饱嗝	bcge
宝钢	bcgh
包干	bcgj
包公	bcgs
包谷	bcgu
包给	bcgw
包好	bchc
抱恨	bchf
保皇	bchl
包换	bchr
包藏祸心	bchx
宝刹	bcia
包抄	bcic
包车	bcie
报称	bcig
饱尝	bcih
刨床	bcil
爆出	bciu
报春	bciy
抱紧	bcjb
不存芥蒂	bcjd
褒奖	bcjl
保举	bcju
暴君	bcjy
爆开	bckd
病从口入	bckr
抱愧	bckv
报了	bcle
爆冷	bclg
不辞劳苦	bclk
爆料	bcln
包罗	bclo
爆裂	bclp
暴乱	bclr
百辞莫辩	bcmb
胞妹	bcmw
包你	bcni
暴虐	bcnt
暴怒	bcnu
爆棚	bcpg
包票	bcpn
爆破	bcpo
包赔	bcpw
抱起	bcqi
抱屈	bcqu
暴热	bcre
保人	bcrf
报丧	bcsh
暴死	bcsi
宝塔	bcta
爆胎	bctd
煲汤	bcth
报摊	bctj
报亭	bctk
暴跳	bctn
抱团	bctr
暴徒	bctu
包退	bctv
薄纱	bcua
暴晒	bcud
报审	bcuf
报上	bcuh
宝山	bcuj
抱残守缺	bcuq
报数	bcuu
报税	bcuv
保真	bcvf
报站	bcvj
抱住	bcvu
保准	bcvy
煲粥	bcvz
博茨瓦纳	bcwn
宝物	bcwu
报喜	bcxi
包厢	bcxl
胞兄	bcxs
包下	bcxx
报讯	bcxy
龅牙	bcya
暴饮	bcyb
报以	bcyi
包扎	bcza
暴躁	bczc
包在	bczd
暴增	bczg
宝藏	bczh
包租	bczu
拜把	bdba
百宝	bdbc
败笔	bdbi
百般	bdbj
百病	bdbk
宝刀不老	bdbl
拜别	bdbp
不大不小	bdbx
百草	bdcc
白醋	bdcu
白搭	bdda
拜倒	bddc
白带	bddd
白底	bddi
白点	bddm
摆动	bdds
不登大雅之堂	bddt
拔地而起	bdeq
不得而知	bdev
白发	bdfa
白饭	bdfj
拜佛	bdfo
白鸽	bdge
白干	bdgj
白光	bdgl
百官	bdgr
白骨	bdgu
败给	bdgw
摆好	bdhc
不得好死	bdhs
白虎	bdhu
拜会	bdhv
白话	bdhx
白喉	bdhz
不动产	bdi
百川	bdir
摆出	bdiu
百丑	bdiz
不对劲	bdj
兵多将广	bdjg
败绩	bdji
白净	bdjk
败将	bdjl
白卷	bdjr
拜爵	bdjt
败局	bdju
败军	bdjy
摆开	bdkd
遍地开花	bdkh
不大可能	bdkn
摆阔	bdko
败寇	bdkz
不得了	bdl
白蜡	bdla
布达拉宫	bdlg
百里	bdli
白脸	bdlm
败落	bdlo
摆列	bdlp
白鹭	bdlu
白马	bdma
白忙	bdmh
摆明	bdmk
白面	bdmm
白描	bdmn
白沫	bdmo
白嫩	bdnf
百鸟	bdnn
摆弄	bdns
摆谱	bdpu
不得其所	bdqs
白人	bdrf
白日	bdri
不得人心	bdrx
白肉	bdrz
冰冻三尺	bdsi
白送	bdss
百岁	bdsv
百态	bdtd
白糖	bdth
摆摊	bdtj
白铁	bdtp
白兔	bdtu
败退	bdtv
白头	bdtz
白纱	bdua
白芍	bduc
拜神	bduf
摆上	bduh
拜师	bdui
拜山	bduj
白霜	bdul
白说	bduo
白水	bduv
拜寿	bduz
不得志	bdv
败招	bdvc
摆着	bdve
败阵	bdvf
摆正	bdvg
败仗	bdvh
白纸	bdvi
百战	bdvj
白昼	bdvz
本单位	bdw
拜望	bdwh
不得无礼	bdwl
白雾	bdwu
百位	bdww
北斗星	bdx
白皙	bdxi
白线	bdxm
拜谢	bdxp
白熊	bdxs
败絮	bdxu
不得已	bdy
白银	bdyb
白药	bdyc
白杨	bdyh
白衣	bdyi
白眼	bdyj
弊大于利	bdyl
百元	bdyr
白玉	bdyu
不得已而为之	bdyv
白字	bdzi
白做	bdzo
白族	bdzu
不打自招	bdzv
败走	bdzz
博而不精	bebj
避而不谈	bebt
不二法门	befm
巴尔干	beg
包二奶	ben
布尔什维克	beuk
巴尔扎克	bevk
本案	bfan
笨笨	bfbf
本币	bfbi
本表	bfbn
不复存在	bfcz
本当	bfdh
本队	bfdv
百废待兴	bfdx
本分	bff
本分	bfff
本该	bfg
本该	bfgd
本港	bfgh
本场	bfih
不费吹灰之力	bfil
奔出	bfiu
本金	bfjb
本季	bfji
本就	bfjq
本家	bfjx
本利	bfli
本轮	bfly
本门	bfm
奔马	bfma
本门	bfmf
奔忙	bfmh
本名	bfmk
本年	bfnm
笨鸟	bfnn
本票	bfpn
不分青红皂白	bfqb
不乏其人	bfqr
奔去	bfqu
奔丧	bfsh
奔逃	bftc
本庭	bftk
本条	bftn
悲愤填膺	bfty
奔头	bftz
本省	bfug
百分之百	bfvb
不法之徒	bfvt
笨猪	bfvu
不负众望	bfvw
本无	bfwu
本位	bfww
本息	bfx
本息	bfxi
白费心机	bfxj
本想	bfxl
奔泻	bfxp
不分轩轾	bfxv
不法行为	bfxw
本页	bfye
本意	bfyi
本院	bfyr
奔涌	bfys
本在	bfz
本在	bfzd
本子	bfzi
笨嘴	bfzv
半工半读	bgbd
不管不顾	bgbg
不干不净	bgbj
秉公办理	bgbl
蚌埠	bgbu
不敢当	bgd
绷带	bgdd
蹦迪	bgdi
崩掉	bgdn
绷断	bgdr
不共戴天	bgdt
不过尔尔	bgee
办公费	bgf
甭管	bgg
甭管	bggr
不敢苟同	bggt
蹦床	bgil
白骨精	bgj
绷紧	bgjb
蹦极	bgji
百感交集	bgjj
不甘寂寞	bgjm
不甘落后	bglh
八国联军	bglj
不敢掠美	bglm
崩落	bglo
崩裂	bglp
崩盘	bgpj
卑躬屈膝	bgqx
不过如此	bgrc
闭关锁国	bgsg
不管三七二十一	bgsy
包工头	bgt
崩塌	bgta
甭提	bgti
蹦跳	bgtn
不关痛痒	bgty
迸射	bgue
半个世纪	bguj
甭说	bguo
不管是谁	bguu
绷着	bgve
秉公执法	bgvf
绷直	bgvi
不轨之徒	bgvt
秉公无私	bgws
甭想	bgxl
不感兴趣	bgxq
半个月	bgy
不顾一切	bgyq
不攻自破	bgzp
闭关自守	bgzu
不会吧	bhb
帮帮	bhbh
不慌不忙	bhbm
棒打	bhda
变化多端	bhdd
绑定	bhdk
不寒而栗	bhel
不欢而散	bhes
绑匪	bhfw
别鹤孤鸾	bhgl
帮工	bhgs
帮规	bhgv
北回归线	bhgx
白花花	bhh
棒喝	bhhe
帮会	bhhv
不怀好意	bhhy
帮衬	bhif
磅秤	bhig
棒槌	bhiv
绑紧	bhjb
棒极	bhji
邦交	bhjn
蚌壳	bhk
蚌壳	bhke
绑牢	bhlc
帮了	bhle
变幻莫测	bhmc
帮你	bhn
帮你	bhni
绑票	bhp
绑票	bhpn
帮腔	bhql
帮人	bhrf
帮他	bht
帮他	bhta
榜上	bhuh
不合时宜	bhuy
帮着	bhve
不惑之年	bhvn
抱恨终天	bhvt
帮我	bhw
变幻无常	bhwi
帮我	bhwo
变化无穷	bhwq
冰魂雪魄	bhxp
榜眼	bhyj
不好意思	bhys
绑在	bhz
绑在	bhzd
棒子	bhzi
必败	bibd
臂膀	bibh
比比	bibi
碧波	bibo
把持不住	bibv
碧草	bicc
笔答	bida
必得	bide
壁灯	bidg
笔调	bidn
比对	bidv
鼻窦	bidz
笔法	bifa
百尺竿头更进一步	bigb
百川归海	bigh
笔杆	bigj
避光	bigl
避过	bigo
闭关	bigr
百尺竿头	bigt
壁柜	bigv
碧海	bihd
闭合	bihe
避寒	bihj
不差毫厘	bihl
避祸	biho
逼婚	bihy
壁橱	biiu
闭卷	bijr
备尝艰辛	bijx
鼻孔	biks
闭口	bikz
比邻	bilb
碧蓝	bilj
鼻梁	bill
闭路	bilu
笔帽	bimc
闭门	bimf
比美	bimw
比你	bini
婢女	binv
臂膀	biph
逼迫	bipo
鼻腔	biql
壁球	biqq
鄙人	birf
避让	birh
比萨	bisa
必死	bisi
不出所料	bisl
比他	bita
笔套	bitc
笔谈	bitj
笔挺	bitk
笔筒	bits
不成体统	bitt
鼻头	bitz
必杀	biua
必胜	biug
闭上	biuh
避税	biuv
笔顺	biuy
逼债	bivd
闭着	bive
必争	bivg
臂章	bivh
臂肘	bivz
逼问	biwf
臂弯	biwj
比我	biwo
比武	biwu
笔芯	bixb
报仇雪恨	bixh
鼻息	bixi
笔形	bixk
避嫌	bixm
避邪	bixp
必修	bixq
必选	bixr
鼻血	bixt
补充协议	bixy
鼻音	biyb
裨益	biyi
闭眼	biyj
不齿于人	biyr
必有	biyz
比作	bizo
逼走	bizz
半百	bjbd
半壁	bjbi
斑斑	bjbj
搬兵	bjbk
半斤八两	bjbl
斑驳	bjbo
不见不散	bjbs
半仓	bjc
半仓	bjch
不见得	bjde
班底	bjdi
不减当年	bjdn
搬动	bjds
伴读	bjdu
北京大学	bjdx
半蹲	bjdy
比肩而立	bjel
不胫而走	bjez
半分	bjff
饱经风霜	bjfu
班费	bjfw
不及格	bjg
不见棺材不落泪	bjgl
版规	bjgv
颁给	bjgw
瘢痕	bjhf
半行	bjhh
半酣	bjhj
扳回	bjhv
班车	bjie
办成	bjig
班禅	bjij
班船	bjir
搬出	bjiu
搬进	bjjb
半角	bjjn
半截	bjjp
斑鸠	bjjq
半句	bjju
不见经传	bjjv
不觉技痒	bjjy
搬开	bjkd
半空	bjks
半口	bjkz
办了	bjle
伴郎	bjlh
冰激凌	bjlk
扮靓	bjll
半裸	bjlo
保加利亚	bjly
斑马	bjma
半秒	bjmn
瓣膜	bjmo
比基尼	bjn
伴娘	bjnl
搬弄	bjns
半拍	bjpd
半瓶	bjpk
半票	bjpn
半坡	bjpo
般配	bjpw
不景气	bjq
不仅如此	bjrc
半日	bjri
不近人情	bjrq
不尽人意	bjry
半死	bjsi
不见森林	bjsl
不假思索	bjss
巴基斯坦	bjst
办妥	bjto
不见天日	bjtr
半桶	bjts
半身	bjuf
半生	bjug
北京时间	bjuj
杯酒释兵权	bjuq
版税	bjuv
扳手	bjuz
必经之地	bjvd
伴着	bjve
斑疹	bjvf
办证	bjvg
败军之将	bjvj
必经之路	bjvl
不解之谜	bjvm
板砖	bjvr
不经之谈	bjvt
斑纹	bjwf
保家卫国	bjwg
办完	bjwj
伴舞	bjwu
北极星	bjx
半新	bjxb
不拘小节	bjxj
颁行	bjxk
扮相	bjxl
半仙	bjxm
半悬	bjxr
不经意	bjy
板鸭	bjya
伴音	bjyb
不拘一格	bjyg
别具一格	bjyg
搬移	bjyi
半圆	bjyr
搬用	bjys
不经一事	bjyu
不经一事不长一智	bjyv
败家子	bjz
扮作	bjzo
不进则退	bjzt
班组	bjzu
拌嘴	bjzv
并按	bkan
兵败	bkbd
冰棒	bkbh
冰冰	bkbk
闭口不言	bkby
冰层	bkcg
病残	bkcj
冰灯	bkdg
并蒂	bkdi
兵丁	bkdk
冰点	bkdm
冰雕	bkdn
兵法	bkfa
冰封	bkfg
禀赋	bkfu
禀告	bkgc
冰盖	bkgd
病根	bkgf
不可估量	bkgl
不可告人	bkgr
秉公	bkgs
冰柜	bkgv
冰挂	bkgx
冰棍	bkgy
病害	bkhd
冰河	bkhe
冰寒	bkhj
不可或缺	bkhq
病患	bkhr
不堪回首	bkhu
病后	bkhz
并称	bki
秉持	bkii
摒除	bkiu
并集	bkji
冰晶	bkjk
冰窖	bkjn
并就	bkjq
不可救药	bkjy
不可开交	bkkj
冰块	bkkk
病况	bkkl
并口	bkkz
槟榔	bklh
冰凌	bklk
冰凉	bkll
并联	bklm
兵马	bkma
百口莫辩	bkmb
禀明	bkmk
冰面	bkmm
病魔	bkmo
不可名状	bkmv
并没	bkmw
并排	bkpd
不可偏废	bkpf
冰片	bkpm
不可企及	bkqj
冰球	bkqq
兵权	bkqr
百科全书	bkqu
不堪入耳	bkre
不堪入目	bkrm
病弱	bkro
病容	bkrs
宾客如云	bkry
病死	bks
病死	bksi
不看僧面看佛面	bksm
丙酸	bksr
不可思议	bksy
病榻	bkta
冰糖	bkth
病体	bkti
病退	bktv
不可同日而语	bkty
冰上	bkuh
别开生面	bkum
兵书	bkuu
冰水	bkuv
冰镇	bkvf
病状	bkvl
不可捉摸	bkvm
冰砖	bkvr
兵种	bkvs
屏住	bkvu
不开心	bkx
冰心	bkxb
冰鞋	bkxp
病休	bkxq
不可想象	bkxx
不可以	bky
并要	bkyc
不可言传	bkyi
不堪一击	bkyj
兵营	bkyk
病源	bkyr
不可言状	bkyv
不可言喻	bkyy
不可造次	bkzc
饼子	bkzi
禀奏	bkzz
波澜不惊	blbj
不伦不类	blbl
不理睬	blc
不吝赐教	blcj
白兰地	bld
波罗的海	bldh
薄利多销	bldx
不露锋芒	blfm
拨乱反正	blfv
巴拉圭	blg
碧螺春	bli
百炼成钢	blig
鬓乱钗横	blih
半路出家	blij
兵临城下	blix
兵来将挡	bljd
濒临绝境	bljj
不了了之	bllv
爆冷门	blm
舶来品	blp
步履蹒跚	blpu
保龄球	blq
壁立千仞	blqr
表里如一	blry
布鲁塞尔	blse
巴勒斯坦	blst
壁垒森严	blsy
柏拉图	blt
不露声色	blus
不吝指教	blvj
芭蕾舞	blw
逼良为娼	blwi
步履维艰	blwj
别来无恙	blwy
不留余地	blyd
不明不白	bmbb
编报	bmbc
辩白	bmbd
辩驳	bmbo
辩才	bmcd
鞭策	bmce
辩词	bmci
便餐	bmcj
变大	bmda
便当	bmdh
扁担	bmdj
编订	bmdk
变电	bmdm
变调	bmdn
编队	bmdv
本末倒置	bmdv
扁豆	bmdz
不谋而合	bmeh
边锋	bmfg
便饭	bmfj
边关	bmgr
变故	bmgu
便给	bmgw
变卦	bmgx
鞭痕	bmhf
变坏	bmhk
变差	bmia
边长	bmih
贬斥	bmii
编创	bmil
编出	bmiu
边陲	bmiv
边检	bmjm
边角	bmjn
编就	bmjq
变价	bmjx
变老	bmlc
变了	bmle
变冷	bmlg
遍览	bmlj
编列	bmlp
边贸	bmmc
变卖	bmmd
边门	bmmf
便秘	bmmi
辨明	bmmk
本命年	bmn
便溺	bmni
编年	bmnm
变暖	bmnr
编内	bmnw
变频	bmpb
鞭炮	bmpc
变盘	bmpj
扁平	bmpk
编配	bmpw
变强	bmql
扁鹊	bmqt
编曲	bmqu
不谋其政	bmqv
边卡	bmqx
编入	bmru
边塞	bmsd
贬损	bmsy
鞭挞	bmta
扁桃	bmtc
变体	bmti
变天	bmtm
便条	bmtn
边上	bmuh
遍山	bmuj
变数	bmuu
变阵	bmvf
便装	bmvl
变种	bmvs
百忙之中	bmvv
拔苗助长	bmvv
北美洲	bmvz
编外	bmwd
八面威风	bmwf
编舞	bmwu
表面文章	bmwv
白马王子	bmwz
变心	bmxb
宝马香车	bmxi
变现	bmxm
变小	bmxn
编修	bmxq
便血	bmxt
遍寻	bmxy
兵马俑	bmy
变压	bmya
遍野	bmye
变样	bmyh
边沿	bmyj
便用	bmys
便有	bmyz
便在	bmzd
变作	bmzo
编组	bmzu
不鸣则已	bmzy
变奏	bmzz
标靶	bnba
裱褙	bnbw
表层	bnc
表册	bnce
表层	bncg
表带	bndd
标定	bndk
不耐烦	bnf
标杆	bngj
表功	bngs
彪悍	bnhj
裱糊	bnhu
裱画	bnhx
标出	bni
飙车	bnie
百鸟朝凤	bnif
标尺	bnii
标出	bniu
不念旧恶	bnje
标间	bnjm
表姐	bnjp
表舅	bnjq
镖局	bnju
表壳	bnk
表壳	bnke
表里	bnli
表链	bnlm
巴拿马	bnma
表内	bnnw
百年难遇	bnny
表皮	bnpi
表亲	bnqb
骠骑	bnqi
标枪	bnql
表嫂	bns
表嫂	bnsc
饱暖思淫欲	bnsy
标贴	bntp
表头	bntz
标上	bnuh
百年树人	bnur
表针	bnvf
表外	bnw
表外	bnwd
表形	bnxk
表兄	bnxs
不难想象	bnxx
表页	bnye
标有	bnyz
婊子	bnz
不能自拔	bnzb
婊子	bnzi
不能自已	bnzy
博鳌	boao
薄板	bobj
薄冰	bobk
伯伯	bobo
菠菜	bocd
博得	bode
剥掉	bodn
波恩	boen
播发	bofa
波峰	bofg
拨给	bog
脖颈	bogg
剥光	bogl
拨给	bogw
波黑	bohw
帛画	bohx
波长	boih
薄产	boij
驳船	boir
波及	boji
播讲	bojl
跛脚	bojn
薄酒	bojq
伯爵	bojt
拨开	bokd
薄命	bomk
薄面	bomm
伯母	bomu
拨弄	bons
剥皮	bop
剥皮	bopi
博取	boq
勃起	boqi
薄情	boqk
博取	boqu
般若	bore
拨入	boru
播送	bos
播撒	bosa
波斯	bosi
播送	boss
拨通	bots
搏杀	boua
薄纸	bovi
博物	bowu
泊位	boww
剥下	boxx
播映	boyk
钵盂	boyu
驳杂	boza
跛足	bozu
别把	bpba
别被	bpbw
不偏不倚	bpby
别催	bpc
别催	bpcv
别当	bpdh
别动	bpds
别管	bpg
别国	bpgo
别管	bpgr
不平衡	bph
别号	bphc
别慌	bphl
别后	bphz
别吵	bpi
别吵	bpic
别称	bpig
别处	bpiu
别急	bpj
别急	bpji
蹩脚	bpjn
别具	bpju
别家	bpjx
别开	bpkd
别克	bpke
别看	bpkj
别哭	bpku
别离	bpl
别来	bpld
别了	bple
别离	bpli
杯盘狼藉	bplj
别恋	bplm
别论	bply
别忙	bpm
憋闷	bpmf
别忙	bpmh
别闹	bpnc
别弄	bpns
别怕	bpp
别怕	bppa
别跑	bppc
别碰	bppg
别去	bpq
憋气	bpqi
别情	bpqk
别去	bpqu
别让	bprh
憋死	bps
憋死	bpsi
瘪三	bpsj
别提	bpt
别提	bpti
白皮书	bpu
别傻	bpua
别上	bpuh
别是	bpui
别手	bpuz
憋着	bpve
别针	bpvf
别传	bpvr
憋住	bpvu
别忘	bpw
别问	bpwf
别忘	bpwh
别无	bpwu
别为	bpww
别想	bpxl
别笑	bpxn
不便宜	bpy
别样	bpyh
别用	bpys
别再	bpzd
别字	bpzi
憋足	bpzu
别走	bpzz
不欺暗室	bqau
不清不楚	bqbi
不清楚	bqi
冰淇淋	bql
兵强马壮	bqmv
屏气凝神	bqnu
避其锐气	bqrq
版权所有	bqsy
包青天	bqt
不切实际	bquj
搬起石头	bqut
不情之请	bqvq
不起眼	bqy
白热化	brh
步人后尘	brhi
不入虎穴	brhx
不入虎穴焉得虎子	brhz
哺乳类	brl
哺乳期	brq
不认识	bru
步入正轨	brvg
不容置疑	brvy
不忍心	brx
兵戎相见	brxj
半死不活	bsbh
百思不解	bsbj
不三不四	bsbs
不思悔改	bshg
不思进取	bsjq
巴塞罗那	bsln
不算数	bsu
不速之客	bsvk
波斯湾	bsw
不死心	bsx
半推半就	btbj
不吐不快	btbk
不痛不痒	btby
拜天地	btd
白头到老	btdl
不同凡响	btfx
白天黑夜	bthy
遍体鳞伤	btlu
半透明	btm
悲天悯人	btmr
抱头痛哭	bttk
半桶水	btu
波涛汹涌	btxy
悲痛欲绝	btyj
不是吧	bub
不报	bubc
不笨	bubf
笨手笨脚	bubj
不薄	bubo
半身不遂	bubs
半生不熟	bubu
不备	bubw
不声不响	bubx
比上不足比下有余	buby
比上不足	bubz
不测	buce
补仓	buch
不辞	buci
板上钉钉	budd
布点	budm
步调	budn
不都	budz
不二	bue
不二	buer
饱受非议	bufy
不跟	bugf
不怪	bugk
不贵	bugv
卜卦	bugx
不识好歹	buhd
不很	buhf
班师回朝	buhi
不坏	buhk
不慌	buhl
不还	buhr
不识好人心	buhx
不差	buia
不揣	buik
不愁	buiz
备受煎熬	buja
不假	bujx
不吭	bukg
宝山空回	bukh
百事可乐	bukl
布控	buks
不哭	buku
不愧	bukv
不扣	bukz
不吝	bulb
捕捞	bulc
不赖	buld
不冷	bulg
捕猎	bulp
不留	bulq
备受凌辱	bulr
不累	bulw
不漏	bulz
不是吗	bum
补码	buma
不买	bumd
不忙	bumh
不妙	bumn
不灭	bump
补脑	bunc
补品	bupb
布匹	bupi
补票	bupn
不胜其烦	buqf
白手起家	buqj
不巧	buqn
不求	buqq
不缺	buqt
冰释前嫌	buqx
不热	bure
不日	buri
不胜荣幸	burx
不送	buss
不疼	butg
不提	buti
不识抬举	butj
布条	butn
不图	butu
不透	butz
捕杀	buua
不擅	buuj
不衰	buuk
补税	buuv
不识时务	buuw
不顺	buuy
部首	buuz
不真	buvf
饱食终日	buvr
不重	buvs
不时之需	buvx
不失为	buw
不外	buwd
不问	buwf
榜上无名	buwm
必输无疑	buwy
不朽	buxq
不逊	buxy
不雅	buya
不说也罢	buyb
补养	buyh
不严	buyj
榜上有名	buym
不悦	buyt
背水一战	buyv
败事有余	buyy
不由	buyz
不择	buze
步子	buzi
不遵	buzy
百战不殆	bvbd
百折不回	bvbh
不知不觉	bvbj
不着边际	bvbj
不折不扣	bvbk
保质保量	bvbl
百折不挠	bvbn
半遮半掩	bvby
不值得	bvde
不知好歹	bvhd
白纸黑字	bvhz
保证金	bvj
不知就里	bvjl
不知进退	bvjt
半殖民地	bvmd
不值钱	bvq
不知其二	bvqe
不知轻重	bvqv
宾至如归	bvrg
不知所终	bvsv
不知天高地厚	bvth
不只是	bvu
不知深浅	bvuq
必争之地	bvvd
不正之风	bvvf
伯仲之间	bvvj
不治之症	bvvv
不知羞耻	bvxi
不至于	bvy
不值一提	bvyt
不长一智	bvyv
秉烛夜游	bvyy
不温不火	bwbh
百闻不如一见	bwbj
北边	bwbm
不闻不问	bwbw
北侧	bwce
被盗	bwdc
