阿爸	aaba
暗送秋波	asqb
凹凸不平	atbp
按图索骥	atsj
哀痛欲绝	atyj
碍手碍脚	auaj
昂首阔步	aukb
安身立命	aulm
阿诗玛	aum
傲视群雄	auqx
唉声叹气	autq
昂首挺胸	autx
安身之地	auvd
安身之处	auvi
安装版	avb
安枕而卧	avew
安之若素	avrs
爱之欲其生	avyu
奥委会	awh
爱屋及乌	awjw
暗无天日	awtr
按需分配	axfp
暗香疏影	axuy
爱惜羽毛	axym
奥运会	ayh
爱因斯坦	ayst
安营扎寨	ayvv
安于现状	ayxv
爱憎分明	azfm
爸爸	baba
八宝	babc
八百	babd
芭比	babi
把柄	babk
拔草	bacc
霸道	badc
拔掉	badn
巴豆	badz
北爱尔兰	bael
把风	bafg
八方	bafh
拔高	bagc
八哥	bage
把关	bagr
罢工	bags
八股	bagu
八卦	bagx
疤痕	bah
巴哈	baha
拔河	bahe
疤痕	bahf
跋扈	bahu
拔出	bai
扒车	baie
八成	baig
靶场	baih
把持	baii
拔出	baiu
吧唧	baji
拔尖	bajm
八角	bajn
巴结	bajp
八九	bajq
罢课	bake
扒拉	bala
巴林	balb
罢了	bale
巴黎	bali
芭蕾	balw
爸妈	bama
拔毛	bamc
把脉	bamd
把门	bamf
罢免	bamm
吧女	banv
扒皮	bapi
霸权	baq
霸气	baqi
八千	baqm
霸权	baqr
罢赛	basd
拔丝	basi
八岁	basv
吧台	batd
八天	batm
拔腿	batv
罢手	bau
跋涉	baue
八十	baui
巴山	bauj
巴蜀	bauu
把守	bauz
八折	bave
巴掌	bavh
霸占	bavj
霸主	bavu
把握	baw
把稳	bawf
霸王	bawh
八万	bawj
把握	bawo
把戏	bax
靶心	baxb
巴西	baxi
八仙	baxm
罢休	baxq
拔下	baxx
八旬	baxy
拔牙	baya
八音	bayb
霸业	baye
八一	bayi
八月	bayt
八字	bazi
彬彬	bbbb
不卑不亢	bbbk
宾词	bbci
办不到	bbdc
巴不得	bbde
百般刁难	bbdn
不必当真	bbdv
鬓发	bbfa
缤纷	bbff
宾馆	bbgr
滨海	bbhd
滨河	bbhe
滨湖	bbhu
百步穿杨	bbiy
变本加厉	bbjl
鬓角	bbjn
比比皆是	bbju
宾客	bbke
必不可少	bbku
濒临	bbl
濒临	bblb
斑驳陆离	bbll
殡殓	bblm
便把令来行	bblx
鬓毛	bbmc
爸爸妈妈	bbmm
败不馁	bbn
宾朋	bbpg
白白胖胖	bbpp
北半球	bbq
摈弃	bbqi
兵败如山倒	bbrd
蹦蹦跳跳	bbtt
八宝粥	bbv
不败之地	bbvd
八拜之交	bbvj
宾主	bbvu
不辨真伪	bbvw
不白之冤	bbvy
被逼无奈	bbwn
濒危	bbww
白璧微瑕	bbwx
步步为营	bbwy
兵不血刃	bbxr
北冰洋	bby
殡仪	bbyi
彬彬有礼	bbyl
宾语	bbyu
兵不厌诈	bbyv
半辈子	bbz
殡葬	bbzh
保安	bcan
宝宝	bcbc
保本	bcbf
包庇	bcbi
包办	bcbj
薄饼	bcbk
褒贬	bcbm
报表	bcbn
宝贝	bcbw
饱餐	bccj
报错	bcco
保存	bccy
报答	bcda
报道	bcdc
宝地	bcdi
保单	bcdj
保定	bcdk
宝典	bcdm
暴跌	bcdp
报端	bcdr
暴动	bcds
饱读	bcdu
不辞而别	bceb
保额	bcee
报恩	bcen
爆发	bcfa
孢粉	bcff
暴风	bcfg
包房	bcfh
包饭	bcfj
报复	bcfu
包袱	bcfu
报废	bcfw
报告	bcg
报告	bcgc
宝盖	bcgd
饱嗝	bcge
宝钢	bcgh
包干	bcgj
曝光	bcgl
本草纲目	bcgm
包裹	bcgo
保管	bcgr
包公	bcgs
包谷	bcgu
宝贵	bcgv
包给	bcgw
包好	bchc
饱和	bche
抱恨	bchf
包含	bchj
保皇	bchl
包换	bchr
保护	bchu
包藏祸心	bchx
保持	bci
宝刹	bcia
包抄	bcic
包车	bcie
报称	bcig
饱尝	bcih
保持	bcii
刨床	bcil
爆出	bciu
报春	bciy
报酬	bciz
保健	bcj
抱紧	bcjb
不存芥蒂	bcjd
宝鸡	bcji
报警	bcjk
褒奖	bcjl
保健	bcjm
保洁	bcjp
保举	bcju
报价	bcjx
暴君	bcjy
包括	bck
报考	bckc
爆开	bckd
报刊	bckj
包括	bcko
病从口入	bckr
宝库	bcku
抱愧	bckv
保留	bcl
报了	bcle
爆冷	bclg
暴力	bcli
包揽	bclj
不辞劳苦	bclk
爆料	bcln
包罗	bclo
爆裂	bclp
保留	bclq
暴乱	bclr
暴露	bclu
堡垒	bclw
保密	bcm
宝马	bcma
百辞莫辩	bcmb
保密	bcmi
饱满	bcmj
报名	bcmk
薄膜	bcmo
保姆	bcmu
胞妹	bcmw
包你	bcni
保暖	bcnr
暴虐	bcnt
暴怒	bcnu
爆棚	bcpg
报批	bcpi
包票	bcpn
爆破	bcpo
包赔	bcpw
抱歉	bcq
抱起	bcqi
报请	bcqk
抱歉	bcqm
保全	bcqr
抱屈	bcqu
暴热	bcre
保人	bcrf
薄弱	bcro
包容	bcrs
报送	bcs
报丧	bcsh
暴死	bcsi
报送	bcss
宝塔	bcta
爆胎	bctd
煲汤	bcth
报摊	bctj
报亭	bctk
暴跳	bctn
抱团	bctr
暴徒	bctu
包退	bctv
包头	bctz
薄纱	bcua
暴晒	bcud
报社	bcue
报审	bcuf
报上	bcuh
宝石	bcui
宝山	bcuj
抱残守缺	bcuq
报数	bcuu
报税	bcuv
保守	bcuz
爆炸	bcva
抱着	bcve
保真	bcvf
保证	bcvg
保障	bcvh
报纸	bcvi
报站	bcvj
包装	bcvl
保重	bcvs
抱住	bcvu
保准	bcvy
煲粥	bcvz
保温	bcwf
博茨瓦纳	bcwn
宝物	bcwu
包围	bcww
保卫	bcww
保险	bcx
报信	bcxb
报喜	bcxi
暴行	bcxk
包厢	bcxl
保险	bcxm
报销	bcxn
保修	bcxq
胞兄	bcxs
包下	bcxx
报讯	bcxy
龅牙	bcya
暴饮	bcyb
报业	bcye
保养	bcyh
报以	bcyi
报应	bcyk
抱怨	bcyr
包月	bcyt
暴雨	bcyu
保佑	bcyz
包扎	bcza
暴躁	bczc
包在	bczd
暴增	bczg
宝藏	bczh
包子	bczi
宝座	bczo
包租	bczu
不得不	bdb
拜把	bdba
百宝	bdbc
白白	bdbd
败笔	bdbi
百般	bdbj
百病	bdbk
宝刀不老	bdbl
百变	bdbm
拜别	bdbp
摆布	bdbu
百倍	bdbw
不大不小	bdbx
百读不厌	bdby
白菜	bdc
百草	bdcc
白菜	bdcd
白醋	bdcu
百度	bdd
白搭	bdda
拜倒	bddc
白带	bddd
白底	bddi
白点	bddm
摆动	bdds
不登大雅之堂	bddt
百度	bddu
背道而驰	bdei
拔地而起	bdeq
不得而知	bdev
白发	bdfa
百分	bdff
拜访	bdfh
白饭	bdfj
拜佛	bdfo
白费	bdfw
白宫	bdg
白鸽	bdge
白干	bdgj
白光	bdgl
百官	bdgr
白宫	bdgs
白骨	bdgu
败给	bdgw
摆好	bdhc
百合	bdhe
败坏	bdhk
百货	bdho
不得好死	bdhs
白虎	bdhu
拜会	bdhv
白话	bdhx
白喉	bdhz
不动产	bdi
白痴	bdii
百川	bdir
摆出	bdiu
百丑	bdiz
不对劲	bdj
白金	bdjb
兵多将广	bdjg
败绩	bdji
白净	bdjk
败将	bdjl
拜见	bdjm
白酒	bdjq
白卷	bdjr
拜爵	bdjt
败局	bdju
博大精深	bdju
百家	bdjx
败军	bdjy
摆开	bdkd
百科	bdke
遍地开花	bdkh
不大可能	bdkn
摆阔	bdko
败寇	bdkz
不得了	bdl
白蜡	bdla
布达拉宫	bdlg
百里	bdli
白领	bdlk
白脸	bdlm
败落	bdlo
摆列	bdlp
白鹭	bdlu
败类	bdlw
白马	bdma
白忙	bdmh
摆满	bdmj
摆明	bdmk
白面	bdmm
白描	bdmn
白沫	bdmo
百年	bdn
白嫩	bdnf
百年	bdnm
百鸟	bdnn
摆弄	bdns
摆平	bdpk
摆谱	bdpu
不定期	bdq
百强	bdql
不得其所	bdqs
白人	bdrf
白日	bdri
不得人心	bdrx
白肉	bdrz
白色	bds
白色	bdse
冰冻三尺	bdsi
白送	bdss
败诉	bdsu
百岁	bdsv
拜托	bdt
百态	bdtd
白糖	bdth
摆摊	bdtj
白天	bdtm
白条	bdtn
摆脱	bdto
白铁	bdtp
白兔	bdtu
败退	bdtv
白头	bdtz
白纱	bdua
白芍	bduc
摆设	bdue
拜神	bduf
摆上	bduh
拜师	bdui
拜山	bduj
白霜	bdul
白说	bduo
不动声色	bdus
白水	bduv
拜寿	bduz
不得志	bdv
败招	bdvc
摆着	bdve
败阵	bdvf
摆正	bdvg
败仗	bdvh
白纸	bdvi
百战	bdvj
白昼	bdvz
本单位	bdw
拜望	bdwh
百万	bdwj
不得无礼	bdwl
白雾	bdwu
百位	bdww
北斗星	bdx
白皙	bdxi
百姓	bdxk
白线	bdxm
拜谢	bdxp
白熊	bdxs
白雪	bdxt
败絮	bdxu
拔刀相助	bdxv
不得已	bdy
白银	bdyb
白药	bdyc
百业	bdye
白杨	bdyh
白衣	bdyi
白眼	bdyj
弊大于利	bdyl
百元	bdyr
白玉	bdyu
不得已而为之	bdyv
白云	bdyy
摆在	bdz
摆在	bdzd
白字	bdzi
白做	bdzo
白族	bdzu
不打自招	bdzv
败走	bdzz
博而不精	bebj
避而不谈	bebt
不二法门	befm
巴尔干	beg
包二奶	ben
布尔什维克	beuk
巴尔扎克	bevk
本案	bfan
本报	bfbc
笨笨	bfbf
本币	bfbi
本表	bfbn
奔波	bfbo
本部	bfbu
百发百中	bfbv
本次	bfci
不复存在	bfcz
本当	bfdh
本地	bfdi
笨蛋	bfdj
本队	bfdv
百废待兴	bfdx
本分	bff
本分	bfff
奔放	bffh
奔赴	bffu
本该	bfg
本该	bfgd
本港	bfgh
本国	bfgo
本行	bfh
本行	bfhh
奔驰	bfi
本场	bfih
奔驰	bfii
不费吹灰之力	bfil
奔出	bfiu
本金	bfjb
本季	bfji
本届	bfjp
本就	bfjq
本家	bfjx
本科	bfk
本科	bfke
本刊	bfkj
本来	bfl
本来	bfld
本利	bfli
本领	bflk
奔流	bflq
本类	bflw
本轮	bfly
本门	bfm
奔马	bfma
本门	bfmf
奔忙	bfmh
本名	bfmk
本末	bfmo
本能	bfng
本年	bfnm
笨鸟	bfnn
奔跑	bfp
奔跑	bfpc
本票	bfpn
播放器	bfq
不分青红皂白	bfqb
本期	bfqi
本钱	bfqm
不乏其人	bfqr
奔去	bfqu
本人	bfr
本人	bfrf
本日	bfri
本色	bfse
奔丧	bfsh
奔腾	bft
奔逃	bftc
奔腾	bftg
本庭	bftk
本田	bftm
本条	bftn
本土	bftu
悲愤填膺	bfty
奔头	bftz
本身	bfuf
本省	bfug
本事	bfui
百分之百	bfvb
本着	bfve
本质	bfvi
本站	bfvj
笨拙	bfvo
笨重	bfvs
不法之徒	bfvt
笨猪	bfvu
不负众望	bfvw
捕风捉影	bfvy
本周	bfvz
本文	bfw
本文	bfwf
本无	bfwu
本位	bfww
本息	bfx
本息	bfxi
白费心机	bfxj
本性	bfxk
本想	bfxl
本校	bfxn
奔泻	bfxp
不分轩轾	bfxv
不法行为	bfxw
本月	bfy
本页	bfye
本意	bfyi
本应	bfyk
本院	bfyr
奔涌	bfys
本月	bfyt
本在	bfz
本在	bfzd
本子	bfzi
笨嘴	bfzv
奔走	bfzz
半工半读	bgbd
不管不顾	bgbg
不干不净	bgbj
秉公办理	bgbl
蚌埠	bgbu
不敢当	bgd
绷带	bgdd
蹦迪	bgdi
崩掉	bgdn
绷断	bgdr
不共戴天	bgdt
不过尔尔	bgee
办公费	bgf
迸发	bgfa
甭管	bgg
甭管	bggr
不敢苟同	bggt
蹦床	bgil
白骨精	bgj
绷紧	bgjb
蹦极	bgji
百感交集	bgjj
不甘寂寞	bgjm
崩溃	bgkv
办公楼	bgl
不甘落后	bglh
八国联军	bglj
波光粼粼	bgll
不敢掠美	bglm
崩落	bglo
崩裂	bglp
崩盘	bgpj
卑躬屈膝	bgqx
不过如此	bgrc
闭关锁国	bgsg
不管三七二十一	bgsy
包工头	bgt
崩塌	bgta
甭提	bgti
博古通今	bgtj
蹦跳	bgtn
不关痛痒	bgty
迸射	bgue
办公室	bgui
半个世纪	bguj
甭说	bguo
不甘示弱	bgur
兵贵神速	bgus
不管是谁	bguu
杯弓蛇影	bguy
绷着	bgve
秉公执法	bgvf
绷直	bgvi
不轨之徒	bgvt
秉公无私	bgws
甭想	bgxl
不感兴趣	bgxq
半个月	bgy
不顾一切	bgyq
不攻自破	bgzp
闭关自守	bgzu
不会吧	bhb
帮帮	bhbh
不慌不忙	bhbm
棒打	bhda
变化多端	bhdd
绑定	bhdk
不寒而栗	bhel
不欢而散	bhes
绑匪	bhfw
不合格	bhg
别鹤孤鸾	bhgl
帮工	bhgs
帮规	bhgv
北回归线	bhgx
白花花	bhh
棒喝	bhhe
帮会	bhhv
不怀好意	bhhy
帮衬	bhif
磅秤	bhig
棒槌	bhiv
绑紧	bhjb
棒极	bhji
邦交	bhjn
绑架	bhjx
蚌壳	bhk
蚌壳	bhke
绑牢	bhlc
帮了	bhle
悲欢离合	bhlh
变幻莫测	bhmc
帮忙	bhmh
兵荒马乱	bhml
帮你	bhn
帮你	bhni
绑票	bhp
帮派	bhpd
绑票	bhpn
百花齐放	bhqf
帮腔	bhql
棒球	bhqq
帮人	bhrf
帮他	bht
帮他	bhta
榜上	bhuh
不合时宜	bhuy
帮手	bhuz
帮助	bhv
帮着	bhve
不惑之年	bhvn
抱恨终天	bhvt
帮助	bhvu
百花争艳	bhvy
帮我	bhw
变幻无常	bhwi
傍晚	bhwj
帮我	bhwo
变化无穷	bhwq
帮凶	bhx
冰魂雪魄	bhxp
帮凶	bhxs
榜样	bhyh
榜眼	bhyj
不好意思	bhys
绑在	bhz
绑在	bhzd
棒子	bhzi
彼岸	bia
彼岸	bian
必败	bibd
臂膀	bibh
比比	bibi
弊病	bibk
碧波	bibo
把持不住	bibv
必备	bibw
碧草	bicc
彼此	bici
笔答	bida
必得	bide
壁灯	bidg
必定	bidk
笔调	bidn
弊端	bidr
必读	bidu
比对	bidv
鼻窦	bidz
比方	bif
笔法	bifa
比分	biff
避风	bifg
比方	bifh
百尺竿头更进一步	bigb
百川归海	bigh
笔杆	bigj
避光	bigl
避过	bigo
闭关	bigr
逼供	bigs
百尺竿头	bigt
壁柜	bigv
壁挂	bigx
碧海	bihd
闭合	bihe
避寒	bihj
不差毫厘	bihl
避祸	biho
庇护	bihu
避讳	bihv
笔画	bihx
逼婚	bihy
壁橱	biiu
比较	bij
笔记	biji
毕竟	bijk
必将	bijl
比肩	bijm
比较	bijn
必究	bijq
闭卷	bijr
备尝艰辛	bijx
避开	bikd
鼻孔	biks
闭口	bikz
比例	bil
比邻	bilb
比例	bili
碧蓝	bilj
鼻梁	bill
闭路	bilu
比率	bilv
壁垒	bilw
笔帽	bimc
闭门	bimf
鞭长莫及	bimj
笔名	bimk
避免	bimm
笔墨	bimo
闭幕	bimu
比美	bimw
比你	bini
避难	binj
婢女	binv
比拼	bipb
臂膀	biph
逼迫	bipo
比起	biqi
鼻腔	biql
壁球	biqq
鄙人	birf
避让	birh
必然	birj
比如	biru
比赛	bis
比萨	bisa
比赛	bisd
闭塞	bise
必死	bisi
不出所料	bisl
比索	biso
比他	bita
笔套	bitc
比特	bite
鼻涕	biti
笔谈	bitj
笔挺	bitk
笔筒	bits
不成体统	bitt
鼻头	bitz
必杀	biua
必胜	biug
闭上	biuh
鄙视	biui
避税	biuv
笔顺	biuy
匕首	biuz
比照	bivc
逼债	bivd
闭着	bive
逼真	bivf
必争	bivg
臂章	bivh
笔直	bivi
比重	bivs
臂肘	bivz
逼问	biwf
臂弯	biwj
比我	biwo
比武	biwu
笔芯	bixb
别出心裁	bixc
报仇雪恨	bixh
鼻息	bixi
笔形	bixk
避嫌	bixm
避邪	bixp
必修	bixq
必选	bixr
鼻血	bixt
必须	bixu
不耻下问	bixw
陛下	bixx
补充协议	bixy
必要	biy
鼻音	biyb
必要	biyc
毕业	biye
裨益	biyi
闭眼	biyj
不齿于人	biyr
比喻	biyu
避孕	biyy
必有	biyz
鼻子	bizi
比作	bizo
鼻祖	bizu
闭嘴	bizv
逼走	bizz
办案	bjan
半百	bjbd
版本	bjbf
半壁	bjbi
斑斑	bjbj
搬兵	bjbk
半斤八两	bjbl
半边	bjbm
斑驳	bjbo
不见不散	bjbs
颁布	bjbu
不骄不躁	bjbz
半仓	bjc
板材	bjcd
半仓	bjch
班次	bjci
饱经沧桑	bjcs
半岛	bjdc
不见得	bjde
板凳	bjdg
班底	bjdi
斑点	bjdm
不减当年	bjdn
搬动	bjds
伴读	bjdu
北京大学	bjdx
半蹲	bjdy
比肩而立	bjel
不胫而走	bjez
办法	bjfa
半分	bjff
饱经风霜	bjfu
班费	bjfw
不及格	bjg
半个	bjge
不见棺材不落泪	bjgl
办公	bjgs
版规	bjgv
颁给	bjgw
白驹过隙	bjgx
办好	bjh
办好	bjhc
瘢痕	bjhf
半行	bjhh
半酣	bjhj
扳回	bjhv
版画	bjhx
半场	bji
班车	bjie
办成	bjig
半场	bjih
班禅	bjij
班船	bjir
搬出	bjiu
搬进	bjjb
班级	bjji
半径	bjjk
颁奖	bjjl
半角	bjjn
半截	bjjp
斑鸠	bjjq
半句	bjju
不见经传	bjjv
搬家	bjjx
不觉技痒	bjjy
版块	bjk
搬开	bjkd
版块	bjkk
半空	bjks
扮酷	bjku
半口	bjkz
办了	bjle
伴郎	bjlh
办理	bjli
斑斓	bjlj
冰激凌	bjlk
扮靓	bjll
半裸	bjlo
半路	bjlu
伴侣	bjlv
背井离乡	bjlx
保加利亚	bjly
斑马	bjma
版面	bjmm
半秒	bjmn
瓣膜	bjmo
比基尼	bjn
伴娘	bjnl
半年	bjnm
搬弄	bjns
半拍	bjpd
半瓶	bjpk
半票	bjpn
半坡	bjpo
般配	bjpw
不景气	bjq
搬迁	bjqm
并驾齐驱	bjqq
版权	bjqr
不计其数	bjqu
不仅如此	bjrc
半日	bjri
不近人情	bjrq
不尽人意	bjry
半死	bjsi
不见森林	bjsl
不假思索	bjss
巴基斯坦	bjst
伴随	bjsv
半天	bjtm
办妥	bjto
不见天日	bjtr
半桶	bjts
版图	bjtu
北京市	bju
半身	bjuf
半生	bjug
办事	bjui
北京时间	bjuj
杯酒释兵权	bjuq
半数	bjuu
版税	bjuv
扳手	bjuz
必经之地	bjvd
伴着	bjve
斑疹	bjvf
办证	bjvg
班长	bjvh
败军之将	bjvj
必经之路	bjvl
不解之谜	bjvm
板砖	bjvr
不经之谈	bjvt
版主	bjvu
斑纹	bjwf
保家卫国	bjwg
办完	bjwj
伴舞	bjwu
北极星	bjx
半新	bjxb
不拘小节	bjxj
颁行	bjxk
扮相	bjxl
半仙	bjxm
半悬	bjxr
办学	bjxt
不经意	bjy
板鸭	bjya
伴音	bjyb
半夜	bjye
颁发	bjyf
不拘一格	bjyg
别具一格	bjyg
搬移	bjyi
扮演	bjyj
半圆	bjyr
搬用	bjys
半月	bjyt
不经一事	bjyu
不经一事不长一智	bjyv
搬运	bjyy
伴有	bjyz
败家子	bjz
班子	bjzi
扮作	bjzo
不进则退	bjzt
班组	bjzu
拌嘴	bjzv
伴奏	bjzz
并按	bkan
冰雹	bkbc
兵败	bkbd
冰棒	bkbh
冰冰	bkbk
病变	bkbm
并不	bkbu
闭口不言	bkby
并存	bkc
冰层	bkcg
病残	bkcj
并存	bkcy
冰岛	bkdc
不可多得	bkdd
冰灯	bkdg
并蒂	bkdi
兵丁	bkdk
冰点	bkdm
冰雕	bkdn
冰冻	bkds
病毒	bkdu
兵法	bkfa
冰封	bkfg
病房	bkfh
不可否认	bkfr
禀赋	bkfu
并非	bkfw
禀告	bkgc
冰盖	bkgd
病根	bkgf
饼干	bkgj
不可估量	bkgl
不可告人	bkgr
秉公	bkgs
病故	bkgu
冰柜	bkgv
冰挂	bkgx
冰棍	bkgy
并购	bkgz
病号	bkhc
病害	bkhd
冰河	bkhe
冰寒	bkhj
不可或缺	bkhq
病患	bkhr
不堪回首	bkhu
病后	bkhz
并称	bki
秉承	bkig
秉持	bkii
病床	bkil
冰川	bkir
摒除	bkiu
并将	bkj
并进	bkjb
并集	bkji
冰晶	bkjk
并将	bkjl
并肩	bkjm
冰窖	bkjn
并就	bkjq
并举	bkju
病假	bkjx
病菌	bkjy
不可救药	bkjy
并可	bkk
并可	bkke
不可开交	bkkj
冰块	bkkk
病况	bkkl
并口	bkkz
冰冷	bkl
病了	bkle
冰冷	bklg
槟榔	bklh
病例	bkli
冰凌	bklk
冰凉	bkll
并联	bklm
并列	bklp
不可理喻	bkly
兵马	bkma
百口莫辩	bkmb
禀明	bkmk
冰面	bkmm
病魔	bkmo
不可名状	bkmv
并没	bkmw
不可能	bkn
并排	bkpd
不可偏废	bkpf
冰片	bkpm
兵器	bkqi
不可企及	bkqj
病情	bkqk
并且	bkqp
冰球	bkqq
兵权	bkqr
百科全书	bkqu
病人	bkr
不堪入耳	bkre
病人	bkrf
不堪入目	bkrm
病弱	bkro
病容	bkrs
并入	bkru
宾客如云	bkry
病死	bks
病死	bksi
不看僧面看佛面	bksm
丙酸	bksr
不可思议	bksy
病痛	bkt
病榻	bkta
病态	bktd
冰糖	bkth
病体	bkti
兵团	bktr
病痛	bkts
病退	bktv
不可同日而语	bkty
冰上	bkuh
病逝	bkui
冰山	bkuj
冰霜	bkul
别开生面	bkum
兵书	bkuu
冰水	bkuv
不堪设想	bkux
并重	bkv
