嗷嗷待哺	aadb
保温	bcwf
包围	bcww
保卫	bcww
保险	bcx
报信	bcxb
暴行	bcxk
保险	bcxm
报销	bcxn
保修	bcxq
报业	bcye
保养	bcyh
报应	bcyk
抱怨	bcyr
包月	bcyt
暴雨	bcyu
保佑	bcyz
包子	bczi
宝座	bczo
不得不	bdb
白白	bdbd
百变	bdbm
摆布	bdbu
百倍	bdbw
百读不厌	bdby
白菜	bdc
白菜	bdcd
百度	bdd
百度	bddu
背道而驰	bdei
百分	bdff
拜访	bdfh
白费	bdfw
白宫	bdg
白宫	bdgs
百合	bdhe
败坏	bdhk
百货	bdho
白痴	bdii
白金	bdjb
拜见	bdjm
白酒	bdjq
博大精深	bdju
百家	bdjx
百科	bdke
白领	bdlk
败类	bdlw
摆满	bdmj
百年	bdn
百年	bdnm
摆平	bdpk
不定期	bdq
百强	bdql
白色	bds
白色	bdse
败诉	bdsu
拜托	bdt
白天	bdtm
白条	bdtn
摆脱	bdto
摆设	bdue
不动声色	bdus
百万	bdwj
百姓	bdxk
白雪	bdxt
拔刀相助	bdxv
百业	bdye
白云	bdyy
摆在	bdz
摆在	bdzd
本报	bfbc
奔波	bfbo
本部	bfbu
百发百中	bfbv
本次	bfci
本地	bfdi
笨蛋	bfdj
奔放	bffh
奔赴	bffu
本国	bfgo
本行	bfh
本行	bfhh
奔驰	bfi
奔驰	bfii
本届	bfjp
本科	bfk
本科	bfke
本刊	bfkj
本来	bfl
本来	bfld
本领	bflk
奔流	bflq
本类	bflw
本末	bfmo
本能	bfng
奔跑	bfp
奔跑	bfpc
播放器	bfq
本期	bfqi
本钱	bfqm
本人	bfr
本人	bfrf
本日	bfri
本色	bfse
奔腾	bft
奔腾	bftg
本田	bftm
本土	bftu
本身	bfuf
本事	bfui
本着	bfve
本质	bfvi
本站	bfvj
笨拙	bfvo
笨重	bfvs
捕风捉影	bfvy
本周	bfvz
本文	bfw
本文	bfwf
本性	bfxk
本校	bfxn
本月	bfy
本应	bfyk
本月	bfyt
奔走	bfzz
迸发	bgfa
崩溃	bgkv
办公楼	bgl
波光粼粼	bgll
博古通今	bgtj
办公室	bgui
不甘示弱	bgur
兵贵神速	bgus
杯弓蛇影	bguy
不合格	bhg
绑架	bhjx
悲欢离合	bhlh
帮忙	bhmh
兵荒马乱	bhml
帮派	bhpd
百花齐放	bhqf
棒球	bhqq
帮手	bhuz
帮助	bhv
帮助	bhvu
百花争艳	bhvy
傍晚	bhwj
帮凶	bhx
帮凶	bhxs
榜样	bhyh
彼岸	bia
彼岸	bian
弊病	bibk
必备	bibw
彼此	bici
必定	bidk
弊端	bidr
必读	bidu
比方	bif
比分	biff
避风	bifg
比方	bifh
逼供	bigs
壁挂	bigx
庇护	bihu
避讳	bihv
笔画	bihx
比较	bij
笔记	biji
毕竟	bijk
必将	bijl
比肩	bijm
比较	bijn
必究	bijq
避开	bikd
比例	bil
比例	bili
比率	bilv
壁垒	bilw
鞭长莫及	bimj
笔名	bimk
避免	bimm
笔墨	bimo
闭幕	bimu
避难	binj
比拼	bipb
比起	biqi
必然	birj
比如	biru
比赛	bis
比赛	bisd
闭塞	bise
比索	biso
比特	bite
鼻涕	biti
鄙视	biui
匕首	biuz
比照	bivc
逼真	bivf
笔直	bivi
比重	bivs
别出心裁	bixc
必须	bixu
不耻下问	bixw
陛下	bixx
必要	biy
必要	biyc
毕业	biye
比喻	biyu
避孕	biyy
鼻子	bizi
鼻祖	bizu
闭嘴	bizv
办案	bjan
版本	bjbf
半边	bjbm
颁布	bjbu
不骄不躁	bjbz
板材	bjcd
班次	bjci
饱经沧桑	bjcs
半岛	bjdc
板凳	bjdg
斑点	bjdm
办法	bjfa
半个	bjge
办公	bjgs
白驹过隙	bjgx
办好	bjh
办好	bjhc
版画	bjhx
半场	bji
半场	bjih
班级	bjji
半径	bjjk
颁奖	bjjl
搬家	bjjx
版块	bjk
版块	bjkk
扮酷	bjku
办理	bjli
斑斓	bjlj
半路	bjlu
伴侣	bjlv
背井离乡	bjlx
版面	bjmm
半年	bjnm
搬迁	bjqm
并驾齐驱	bjqq
版权	bjqr
不计其数	bjqu
伴随	bjsv
半天	bjtm
版图	bjtu
北京市	bju
办事	bjui
半数	bjuu
班长	bjvh
版主	bjvu
办学	bjxt
半夜	bjye
颁发	bjyf
扮演	bjyj
半月	bjyt
搬运	bjyy
伴有	bjyz
班子	bjzi
伴奏	bjzz
冰雹	bkbc
病变	bkbm
并不	bkbu
并存	bkc
并存	bkcy
冰岛	bkdc
不可多得	bkdd
冰冻	bkds
病毒	bkdu
病房	bkfh
不可否认	bkfr
并非	bkfw
饼干	bkgj
病故	bkgu
并购	bkgz
病号	bkhc
秉承	bkig
病床	bkil
冰川	bkir
并将	bkj
并进	bkjb
并将	bkjl
并肩	bkjm
并举	bkju
病假	bkjx
病菌	bkjy
并可	bkk
并可	bkke
冰冷	bkl
病了	bkle
冰冷	bklg
病例	bkli
并列	bklp
不可理喻	bkly
不可能	bkn
兵器	bkqi
病情	bkqk
并且	bkqp
病人	bkr
病人	bkrf
并入	bkru
病痛	bkt
病态	bktd
兵团	bktr
病痛	bkts
病逝	bkui
冰山	bkuj
冰霜	bkul
不堪设想	bkux
并重	bkv
病症	bkvg
并无	bkwu
并未	bkww
并行	bkxk
冰箱	bkxl
冰雪	bkxt
病因	bkyb
并用	bkys
并于	bkyu
并有	bkyz
并在	bkz
并在	bkzd
不劳而获	bleh
博览会	blh
不了解	blj
不落窠臼	blkj
筚路蓝缕	blll
博览群书	blqu
百里挑一	blty
比利时	blu
波澜壮阔	blvk
包罗万象	blwx
暴露无遗	blwy
半老徐娘	blxn
不利于	bly
辨别	bmbp
遍布	bmbu
编导	bmdc
变得	bmde
贬低	bmdi
变动	bmds
蝙蝠	bmf
变法	bmfa
边防	bmfh
蝙蝠	bmfu
变革	bmge
变更	bmgg
编号	bmhc
变换	bmhr
辩护	bmhu
变化	bmhx
编程	bmig
变成	bmig
编辑	bmj
编辑	bmji
边境	bmjk
边疆	bmjl
便捷	bmjp
编剧	bmju
便可	bmke
边框	bmkl
便利	bmli
变量	bmll
八面玲珑	bmll
变脸	bmlm
辩论	bmly
编码	bmm
编码	bmma
便民	bmmb
班门弄斧	bmnf
编排	bmpd
变迁	bmq
变迁	bmqm
辨认	bmrf
变色	bmse
闭门思过	bmsg
变速	bmsu
变态	bmt
变态	bmtd
变通	bmts
变身	bmuf
不毛之地	bmvd
编者	bmve
辩证	bmvg
编制	bmvi
编撰	bmvr
编著	bmvu
变为	bmww
变形	bmxk
变相	bmxl
编写	bmxp
编印	bmyb
编译	bmyi
边缘	bmyr
便于	bmyu
编造	bmzc
辫子	bmzi
闭门造车	bmzi
编纂	bmzr
表白	bnbd
标本	bnbf
标榜	bnbh
标兵	bnbk
表达	bnd
表达	bnda
标的	bndi
表单	bndj
标点	bndm
表格	bng
表格	bnge
标记	bnji
表决	bnjt
标价	bnjx
表露	bnl
表露	bnlu
表明	bnmk
表面	bnmm
标致	bnmv
表妹	bnmw
表情	bnqk
标签	bnqm
标题	bnt
表态	bntd
标题	bnti
标识	bnu
搬弄是非	bnuf
飙升	bnug
表示	bnui
表率	bnuk
表述	bnuu
标准	bnv
表彰	bnvh
标志	bnvi
标注	bnvu
标准	bnvy
表现	bnx
笨鸟先飞	bnxf
表象	bnxl
表现	bnxm
表演	bny
表扬	bnyh
表演	bnyj
标语	bnyu
博爱	boa
博爱	boai
播报	bobc
拨打	boda
波导	bodc
剥夺	bodo
波段	bodr
波动	bods
搏斗	bodz
播放	bofh
拨付	bofu
拨号	boh
拨号	bohc
渤海	bohd
薄荷	bohe
驳回	bohv
播出	boi
驳斥	boii
播出	boiu
博客	boke
拨款	bokr
柏林	bolb
伯乐	bole
波浪	bolh
玻璃	boli
波澜	bolj
菠萝	bolo
薄弱	boro
波涛	bot
波涛	botc
博士	boui
波折	bove
播种	bovs
波纹	bowf
剥削	box
剥削	boxt
博弈	boy
播音	boyb
博弈	boyi
脖子	bozi
别的	bpde
别名	bpmk
别扭	bpn
别扭	bpnq
别人	bpr
别人	bprf
别说	bpuo
别墅	bpuu
别致	bpv
别致	bpvi
不屈不挠	bqbn
不期而遇	bqey
不求甚解	bquj
冰清玉洁	bqyj
不仁不义	brby
勃然大怒	brdn
病入膏肓	brgh
不容易	bry
不忍卒读	brzd
白日做梦	brzm
变色龙	bsl
半途而废	btef
暴跳如雷	btrl
暴殄天物	bttw
抱头鼠窜	btuc
冰天雪地	btxd
白头偕老	btxl
不同意	bty
不安	buan
不败	bubd
不必	bubi
补办	bubj
步兵	bubk
不变	bubm
不错	buc
不曾	bucg
不错	buco
不但	bud
不大	buda
不到	budc
不得	bude
不等	budg
不当	budh
不敌	budi
不但	budj
补丁	budk
不多	budo
不断	budr
不懂	buds
部队	budv
步伐	bufa
部分	buff
不妨	bufh
不凡	bufj
不符	bufu
不菲	bufw
不管	bug
不高	bugc
不该	bugd
不敢	bugj
不光	bugl
不过	bugo
不管	bugr
不公	bugs
不顾	bugu
不给	bugw
不够	bugz
不会	buh
不好	buhc
不和	buhe
不含	buhj
捕获	buho
不会	buhv
补充	bui
不成	buig
补偿	buih
补充	buis
不出	buiu
杯水车薪	buix
不仅	bujb
不及	buji
布景	bujk
部件	bujm
不解	bujp
不久	bujq
不倦	bujr
不觉	bujt
布局	buju
补考	bukc
不开	bukd
不可	buke
不肯	bukf
不堪	bukj
不快	bukk
不理	buli
不灵	bulk
不良	bull
不料	buln
部落	bulo
逼上梁山	bulu
步履	bulv
不论	buly
部门	bumf
不满	bumj
不明	bumk
不免	bumm
不能	bun
不能	bung
不难	bunj
不怕	bupa
不平	bupk
不配	bupw
不全	buq
不起	buqi
步枪	buql
不全	buqr
不去	buqu
不如	bur
不忍	burf
不让	burh
不然	burj
不容	burs
不如	buru
不算	bus
不死	busi
不算	busr
不停	butk
不妥	buto
补贴	butp
不同	buts
不少	buuc
不慎	buuf
不胜	buug
不是	buui
不爽	buul
不说	buuo
部署	buuu
部长	buvh
布置	buvi
捕捉	buvo
补助	buvu
不准	buvy
步骤	buvz
不忘	buwh
不无	buwu
部位	buww
不信	buxb
不惜	buxi
不行	buxk
不想	buxl
不限	buxm
不小	buxn
不屑	buxp
不许	buxu
不下	buxx
不要	buyc
不宜	buyi
不应	buyk
不愿	buyr
不用	buys
不予	buyu
不在	buzd
不做	buzo
不足	buzu
百战百胜	bvbu
不知道	bvd
避重就轻	bvjq
不置可否	bvkf
不知所措	bvsc
不知所云	bvsy
敝帚自珍	bvzv
悲哀	bwa
悲哀	bwai
备案	bwan
卑鄙	bwb
背包	bwbc
卑鄙	bwbi
北部	bwbu
悲惨	bwcj
北大	bwd
北大	bwda
被动	bwds
贝尔	bwer
备份	bwff
北方	bwfh
背负	bwfu
被告	bwgc
背光	bwgl
北国	bwgo
悲观	bwgr
北海	bwhd
背后	bwhz
别无长物	bwiw
北极	bwji
背景	bwjk
北京	bwjk
悲剧	bwju
背离	bwli
卑劣	bwlp
北路	bwlu
贝类	bwlw
悖论	bwly
背面	bwmm
北美	bwmw
北欧	bwou
背叛	bwpj
被迫	bwpo
博闻强记	bwqj
背诵	bws
背诵	bwss
悲痛	bwt
悲痛	bwts
悲伤	bwuh
备受	bwuz
备注	bwv
背着	bwve
备战	bwvj
悲壮	bwvl
备注	bwvu
备忘	bwwh
备用	bwy
背影	bwyk
备用	bwys
北约	bwyt
备有	bwyz
倍增	bwzg
被子	bwzi
半信半疑	bxby
抱薪救火	bxjh
标新立异	bxly
保修期	bxq
背信弃义	bxqy
不学无术	bxwu
不需要	bxy
百依百顺	bybu
不一定	byd
别有洞天	bydt
不翼而飞	byef
不应该	byg
比翼双飞	byuf
闭月羞花	byxh
不一样	byy
不遗余力	byyl
不在乎	bzh
笔走龙蛇	bzlu
不足为奇	bzwq
擦拭	caui
寸步难行	cbnx
草案	ccan
参差不齐	ccbq
曹操	cccc
草地	ccdi
操场	ccih
操练	cclm
草草了事	cclu
草莽	ccmh
草莓	ccmw
操盘	ccp
操盘	ccpj
草坪	ccpk
草率	ccu
草率	ccuk
操守	ccuz
操心	ccx
操心	ccxb
草原	ccy
草原	ccyr
操作	ccz
嘈杂	ccza
操作	cczo
操纵	cczs
采编	cdbm
猜测	cdce
彩电	cdd
菜单	cddj
裁定	cddk
彩电	cddm
财富	cdf
采访	cdfh
财富	cdfu
才干	cdgj
采购	cdgz
才华	cdh
彩虹	cdhs
才会	cdhv
才华	cdhx
财产	cdi
财产	cdij
财经	cdj
采集	cdji
财经	cdjk
裁减	cdjm
裁决	cdjt
裁军	cdjy
财会	cdkk
采矿	cdkl
材料	cdl
财力	cdli
材料	cdln
才能	cdn
采纳	cdna
才能	cdng
财年	cdnm
菜鸟	cdnn
裁判	cdpj
彩屏	cdpk
彩票	cdpn
才气	cdqi
采取	cdqu
彩色	cds
彩色	cdse
彩图	cdtu
财神	cduf
财税	cduv
财政	cdv
财政	cdvg
材质	cdvi
彩妆	cdvl
财务	cdw
财务	cdwu
彩信	cdx
彩信	cdxb
猜想	cdxl
彩霞	cdxx
采用	cdy
采样	cdyh
猜疑	cdyi
裁员	cdyr
采用	cdys
才有	cdyz
测定	cedk
策反	cefj
策划	ceh
测绘	cehv
策划	cehx
测控	ceks
测量	cel
测量	cell
策略	celt
侧面	cem
侧面	cemm
测评	cepk
厕所	ces
厕所	ceso
测算	cesr
测试	ceu
测试	ceui
侧重	cevs
测验	cey
测验	ceyj
册子	cez
册子	cezi
参差	cfci
层次	cgc
层层	cgcg
层次	cgci
曾经	cgj
曾经	cgjk
层面	cgm
层面	cgmm
曾是	cgui
曾有	cgyz
曾在	cgzd
苍白	chb
苍白	chbd
仓促	chcu
沧海	chh
沧海	chhd
仓皇	chhl
才华横溢	chhy
仓储	chiu
仓库	chk
仓库	chku
苍茫	chm
苍茫	chmh
藏匿	chn
藏匿	chni
沧桑	chs
沧桑	chsh
沧海桑田	chst
苍天	cht
苍天	chtm
藏书	chu
藏书	chuu
苍蝇	chy
苍蝇	chyk
沧海一粟	chys
慈爱	ciai
此案	cian
辞别	cibp
层出不穷	cibq
此次	cici
磁带	cidd
此地	cidi
词典	cidm
此后	cih
词汇	cihv
此后	cihz
此处	cii
辞呈	ciig
磁场	ciih
此处	ciiu
刺激	cij
刺激	ciji
此间	cijm
此举	ciju
此刻	cike
此类	cil
此类	cilw
词频	cipb
磁盘	cipj
此前	ciqm
辞去	ciqu
此人	cirf
次日	ciri
辞退	cit
辞退	citv
此时	ciui
慈善	ciuj
次数	ciuu
辞职	civi
瓷砖	civr
此外	ciwd
此文	ciwf
次序	cix
慈祥	cixl
雌雄	cixs
次序	cixu
次要	ciyc
词语	ciyu
词组	ciz
词组	cizu
惨案	cjan
残暴	cjbc
惨淡	cjdj
残废	cjfw
参观	cjg
参观	cjgr
参股	cjgu
曾几何时	cjhu
参会	cjhv
参加	cjj
残疾	cjji
参见	cjjm
餐具	cjju
参加	cjjx
参军	cjjy
参考	cjk
参考	cjkc
参看	cjkj
残酷	cjku
惭愧	cjkv
惨了	cjle
灿烂	cjlj
残留	cjlq
参谋	cjmz
残忍	cjr
残忍	cjrf
参赛	cjsd
餐厅	cjtk
惨痛	cjts
蚕食	cjui
参数	cjuu
惨重	cjv
残渣	cjva
参照	cjvc
参政	cjvg
参展	cjvj
餐桌	cjvo
惨重	cjvs
参与	cjy
餐饮	cjyb
参阅	cjyt
参与	cjyu
惨遭	cjz
惨遭	cjzc
参赞	cjzj
草木皆兵	cmjb
挫败	cobd
措辞	coc
措辞	coci
错过	cog
错过	cogo
错觉	cojt
错了	cole
蹉跎	coto
磋商	couh
措施	coui
挫折	cov
挫折	cove
错误	cow
错误	cowu
从容不迫	crbp
篡夺	crdo
篡改	crg
篡改	crgd
从不	csbu
从此	csci
匆匆	cscs
从而	cser
从今	csj
从今	csjb
从军	csjy
从来	csl
丛林	cslb
从来	csld
从略	cslt
匆忙	csmh
聪明	csmk
从没	csmw
从前	csq
从轻	csqk
从前	csqm
从容	csrs
从头	cst
从头	cstz
从事	csu
从事	csui
从属	csuu
从中	csv
从政	csvg
从中	csvs
从未	csww
从小	csxn
从业	csy
从业	csye
从严	csyj
从优	csyz
蹉跎岁月	ctsy
粗暴	cub
粗暴	cubc
粗糙	cucc
粗犷	cug
粗犷	cugl
促成	cuig
促进	cuj
促进	cujb
蚕食鲸吞	cujt
粗鲁	cul
粗略	cult
粗鲁	culu
从善如流	curl
粗俗	cus
粗俗	cusu
促使	cuu
促使	cuui
粗壮	cuvl
粗心	cux
粗心	cuxb
粗细	cuxi
促销	cuxn
璀璨	cvcj
摧残	cvcj
催促	cvcu
粗枝大叶	cvdy
催还	cvhr
摧毁	cvhv
催化	cvhx
粗制滥造	cvlz
催眠	cvmm
脆弱	cvro
催生	cvug
促膝谈心	cxtx
村村	cycy
存档	cyd
存档	cydh
存放	cyf
存放	cyfh
存活	cyh
存活	cyho
存储	cyi
存储	cyiu
村级	cyji
存款	cykr
村里	cyli
存量	cyll
村民	cymb
存取	cyq
存取	cyqu
存入	cyr
存入	cyru
存折	cyve
村镇	cyvf
村庄	cyvl
存贮	cyvu
存亡	cywh
存在	cyz
存在	cyzd
错综复杂	czfz
凑合	czh
凑合	czhe
凑巧	czq
凑巧	czqn
答案	daan
大把	daba
打包	dabc
打败	dabd
大笔	dabi
打扮	dabj
答辩	dabm
达标	dabn
大步	dabu
大餐	dacj
大大	dada
达到	dadc
搭档	dadh
大地	dadi
大胆	dadj
大多	dado
打断	dadr
打动	dads
大队	dadv
打盹	dady
大豆	dadz
打发	dafa
打分	daff
大风	dafg
大方	dafh
答复	dafu
大概	dagd
大哥	dage
大纲	dagh
大国	dago
打工	dags
大会	dah
大好	dahc
大海	dahd
大河	dahe
大亨	dahg
大火	daho
大红	dahs
大户	dahu
大会	dahv
大话	dahx
大臣	daif
达成	daig
打出	daiu
大家	daj
打进	dajb
打击	daji
大奖	dajl
搭建	dajm
大街	dajp
搭救	dajq
答卷	dajr
大局	daju
大家	dajx
大军	dajy
打开	dakd
大款	dakr
大哭	daku
打垮	dakx
大量	dal
耷拉	dala
打捞	dalc
打了	dale
大量	dall
大连	dalm
打猎	dalp
大陆	dalu
大楼	dalz
大门	dam
大门	damf
大米	dami
大名	damk
大脑	danc
大年	danm
打拼	dapb
大炮	dapc
大批	dapi
大盘	dapj
大片	dapm
打破	dapo
搭配	dapw
大气	daq
大气	daqi
大庆	daqk
大桥	daqn
打球	daqq
打趣	daqu
打扰	dar
打扰	darc
打入	daru
打算	das
打扫	dasc
大赛	dasd
打死	dasi
打算	dasr
大腿	dat
大体	dati
打听	datk
打通	dats
大腿	datv
大头	datz
大厦	daua
大赦	daue
大声	daug
打伤	dauh
大事	daui
搭讪	dauj
大树	dauu
打手	dauz
打折	dave
打针	davf
大致	davi
大战	davj
大专	davr
大众	davs
大王	daw
大王	dawh
大卫	daww
大学	dax
大型	daxk
大象	daxl
大小	daxn
大选	daxr
大学	daxt
打下	daxx
答应	day
打印	dayb
大爷	daye
大洋	dayh
大意	dayi
答应	dayk
大院	dayr
大约	dayt
大于	dayu
大有	dayz
打杂	daza
打造	dazc
搭载	dazd
大增	dazg
打字	dazi
大作	dazo
大宗	dazs
打抱不平	dbbp
对簿公堂	dbgt
对不起	dbq
调兵遣将	dbqj
蛋白质	dbv
大本营	dby
盗版	dcb
倒闭	dcbi
盗版	dcbj
到达	dcda
道德	dcde
到底	dcdi
导弹	dcdj
导读	dcdu
捣鬼	dcgv
导购	dcgz
导航	dchh
到货	dcho
捣毁	dchv
到处	dci
到场	dcih
到处	dciu
得寸进尺	dcji
道具	dcju
打草惊蛇	dcju
到家	dcjx
道理	dcl
到来	dcld
到了	dcle
道理	dcli
盗链	dclm
捣乱	dclr
道路	dclu
倒卖	dcmd
倒霉	dcmw
刀片	dcpm
到期	dcqi
道歉	dcqm
盗窃	dcqp
到任	dcrf
导入	dcru
倒退	dct
倒塌	dcta
倒台	dctd
倒退	dctv
到时	dcu
岛上	dcuh
倒是	dcui
到手	dcuz
导致	dcvi
到位	dcw
到位	dcww
导向	dcxl
导线	dcxm
道谢	dcxp
倒下	dcxx
大材小用	dcxy
导演	dcy
导演	dcyj
盗用	dcys
导游	dcyz
盗贼	dczw
代表	ddb
代办	ddbj
代表	ddbn
咄咄逼人	ddbr
胆大包天	ddbt
逮捕	ddbu
喋喋不休	ddbx
达到	ddc
代词	ddci
带到	dddc
骀荡	dddh
带动	ddds
带队	dddv
大夫	ddfu
带给	ddg
代工	ddgs
带给	ddgw
代沟	ddgz
代号	ddhc
带回	ddhv
代价	ddj
待机	ddji
代价	ddjx
大刀阔斧	ddkf
贷款	ddkr
带来	ddl
带来	ddld
带了	ddle
代理	ddli
带领	ddlk
代码	ddm
代码	ddma
怠慢	ddmj
带去	ddqu
对答如流	ddrl
代替	ddti
歹徒	ddtu
带头	ddtz
颠倒是非	dduf
带上	dduh
地动山摇	dduy
带着	ddve
独断专行	ddvx
代为	ddww
胆大妄为	ddww
代谢	ddx
带薪	ddxb
代谢	ddxp
待续	ddxu
东倒西歪	ddxw
代言	ddyj
待遇	ddyu
带有	ddyz
呆在	ddzd
带走	ddzz
得到	ded
得到	dedc
得当	dedh
得分	def
得分	deff
德国	dego
得逞	deig
得出	deiu
得奖	dejl
得了	del
得了	dele
得力	deli
得票	dep
得票	depn
得体	deti
得失	deui
得数	deuu
得知	dev
得知	devi
得主	devu
德州	devz
淡而无味	deww
得意	dey
得意	deyi
德语	deyu
得罪	dez
得罪	dezv
大腹便便	dfbb
登峰造极	dfzj
等到	dgdc
等待	dgdd
等等	dgdg
灯光	dggl
灯火	dgho
等候	dghz
登场	dgih
登出	dgiu
登记	dgj
等级	dgji
灯具	dgju
刀光剑影	dgjy
登陆	dgl
灯笼	dgls
登录	dglu
等你	dgn
等你	dgni
灯泡	dgp
灯泡	dgpc
澄清	dgqk
等人	dgr
等人	dgrf
登台	dgtd
等同	dgts
登上	dguh
灯饰	dgui
登山	dguj
等着	dgve
德高望重	dgwv
等于	dgyu
登载	dgzd
档案	dha
档案	dhan
当兵	dhbk
档次	dhci
当地	dhd
当代	dhdd
当地	dhdi
当红	dhh
当红	dhhs
当成	dhig
当场	dhih
当初	dhiu
当今	dhjb
当即	dhji
灯红酒绿	dhjl
党建	dhjm
当局	dhju
当家	dhjx
调虎离山	dhlu
当面	dhmm
当年	dhn
当你	dhni
当年	dhnm
党内	dhnw
党派	dhpd
当前	dhq
当前	dhqm
大获全胜	dhqu
当然	dhr
当日	dhri
当然	dhrj
当天	dht
当天	dhtm
当时	dhui
党政	dhvg
党章	dhvh
当中	dhvs
挡住	dhvu
当晚	dhwj
党委	dhww
当心	dhxb
党校	dhxn
当选	dhxr
当下	dhxx
党员	dhyr
当月	dhyt
当作	dhz
当作	dhzo
党组	dhzu
第八	diba
地板	dibj
地表	dibn
地步	dibu
底层	dicg
抵达	dida
地道	didc
地带	didd
低档	didh
弟弟	didi
地点	didm
低调	didn
地段	didr
敌对	didv
第二	die
第二	dier
地方	difh
帝国	digo
低估	digu
诋毁	dihv
抵触	dii
低沉	diif
地产	diij
抵触	diiu
递进	dijb
低级	diji
递交	dijn
缔结	dijp
第九	dijq
低价	dijx
敌军	dijy
抵抗	dikh
抵赖	dild
地理	dili
低廉	dilm
低落	dilo
低劣	dilp
第六	dilq
地雷	dilw
地貌	dimc
低迷	dimi
地名	dimk
地面	dimm
低能	ding
地盘	dip
地皮	dipi
地盘	dipj
第七	diqi
地球	diqq
的确	diqt
地区	diqu
敌人	dirf
第四	disi
第三	disj
地毯	ditj
地铁	ditp
地图	ditu
低头	ditz
低声	diug
多愁善感	diug
地上	diuh
第十	diui
地税	diuv
地震	divf
地址	divi
地主	divu
