阿	$ddcmd(阿,阿[aa])	aaek#序5000
拜	$ddcmd(拜,拜[bdu])	bduf#序4910
败	$ddcmd(败,败[bdw])	bdwb#序4909
本	$ddcmd(本,本[bf])	bfaa#序4908
賁	$ddcmd(賁,賁[bfb])	bfbu#序4907
苯	$ddcmd(苯,苯[bfc])	bfca#序4906
奔	$ddcmd(奔,奔[bfd])	bfdc#序4905
栞	$ddcmd(栞,栞[bfm])	bfma#序4904
笨	$ddcmd(笨,笨[bfv])	bfva#序4903
甭	$ddcmd(甭,甭[bga])	bgaa#序4902
崩	$ddcmd(崩,崩[bg])	bgeo#序4901
蚌	$ddcmd(蚌,蚌[bgi])	bgif#序4900
绷	$ddcmd(绷,绷[bgs])	bgso#序4899
泵	$ddcmd(泵,泵[bgu])	bgud#序4898
蹦	$ddcmd(蹦,蹦[bgz])	bgzo#序4897
浜	$ddcmd(浜,浜[bbdb])	bhdb#序4896
邦	$ddcmd(邦,邦[bhe])	bhef#序4895
蚌	$ddcmd(蚌,蚌[bgi])	bhif#序4894
帮	$ddcmd(帮,帮[bh])	bhjf#序4893
镑	$ddcmd(镑,镑[bhj])	bhjf#序4892
棒	$ddcmd(棒,棒[bhm])	bhma#序4891
膀	$ddcmd(膀,膀[bho])	bhof#序4890
傍	$ddcmd(傍,傍[bhr])	bhrf#序4889
绑	$ddcmd(绑,绑[bhs])	bhse#序4888
彭	$ddcmd(彭,彭[bhu])	bhup#序4887
谤	$ddcmd(谤,谤[bhy])	bhyf#序4886
比	$ddcmd(比,比[bi])	biav#序4885
毙	$ddcmd(毙,毙[bia])	biav#序4884
痹	$ddcmd(痹,痹[bib])	biba#序4883
蔽	$ddcmd(蔽,蔽[bic])	bicw#序4882
必	$ddcmd(必,必[bid])	bidp#序4881
陛	$ddcmd(陛,陛[bie])	biet#序4880
庇	$ddcmd(庇,庇[big])	bigv#序4879
秘	$ddcmd(秘,秘[bih])	bihp#序4878
鉍	$ddcmd(鉍,鉍[bij])	bijp#序4877
嗶	$ddcmd(嗶,嗶[bik])	bika#序4876
闭	$ddcmd(闭,闭[bim])	bimp#序4875
臂	$ddcmd(臂,臂[bio])	biou#序4874
鼻	$ddcmd(鼻,鼻[bip])	bipa#序4873
彼	$ddcmd(彼,彼[bir])	birp#序4872
紕	$ddcmd(紕,紕[bis])	bisv#序4871
壁	$ddcmd(壁,壁[bit])	bitu#序4870
毕	$ddcmd(毕,毕[biu])	biua#序4869
笔	$ddcmd(笔,笔[biv])	bivm#序4868
敝	$ddcmd(敝,敝[biw])	biwx#序4867
避	$ddcmd(避,避[biz])	bizu#序4866
半	$ddcmd(半,半[bj])	bjba#序4865
颁	$ddcmd(颁,颁[bjb])	bjba#序4864
班	$ddcmd(班,班[bjd])	bjdw#序4863
阪	$ddcmd(阪,阪[bje])	bjey#序4862
扮	$ddcmd(扮,扮[bjf])	bjfd#序4861
瓣	$ddcmd(瓣,瓣[bjg])	bjgu#序4860
鈑	$ddcmd(鈑,鈑[bjj])	bjjy#序4859
办	$ddcmd(办,办[bjl])	bjld#序4858
板	$ddcmd(板,板[bjm])	bjmy#序4857
姅	$ddcmd(姅,姅[bjn])	bjna#序4856
版	$ddcmd(版,版[bjp])	bjpy#序4855
伴	$ddcmd(伴,伴[bjr])	bjra#序4854
绊	$ddcmd(绊,绊[bjs])	bjsa#序4853
坂	$ddcmd(坂,坂[bjt])	bjty#序4852
般	$ddcmd(般,般[bjv])	bjvy#序4851
斑	$ddcmd(斑,斑[bjw])	bjww#序4850
丙	$ddcmd(丙,丙[bka])	bkan#序4849
病	$ddcmd(病,病[bkb])	bkbn#序4848
冰	$ddcmd(冰,冰[bkd])	bkdd#序4847
抦	$ddcmd(抦,抦[bkf])	bkfr#序4846
炳	$ddcmd(炳,炳[bkh])	bkhn#序4845
柄	$ddcmd(柄,柄[bkm])	bkmn#序4844
兵	$ddcmd(兵,兵[bkp])	bkpb#序4843
並	$ddcmd(並,並[bkq])	bkqa#序4842
并	$ddcmd(并,并[bk])	bkqc#序4841
併	$ddcmd(併,併[bkr])	bkrc#序4840
饼	$ddcmd(饼,饼[bku])	bkuc#序4839
稟	$ddcmd(稟,稟[bkw])	bkwh#序4838
贬	$ddcmd(贬,贬[bmb])	bmbn#序4837
萹	$ddcmd(萹,萹[bmc])	bmcc#序4836
辨	$ddcmd(辨,辨[bmd])	bmdu#序4835
鞭	$ddcmd(鞭,鞭[bmg])	bmgn#序4834
扁	$ddcmd(扁,扁[bmh])	bmhc#序4833
便	$ddcmd(便,便[bm])	bmrn#序4832
编	$ddcmd(编,编[bms])	bmsc#序4831
变	$ddcmd(变,变[bmw])	bmwy#序4830
辩	$ddcmd(辩,辩[bmy])	bmyu#序4829
边	$ddcmd(边,边[bmz])	bmzl#序4828
鰾	$ddcmd(鰾,鰾[bna])	bnax#序4827
表	$ddcmd(表,表[bn])	bnfy#序4826
彪	$ddcmd(彪,彪[bnh])	bnhp#序4825
标	$ddcmd(标,标[bnm])	bnmx#序4824
膘	$ddcmd(膘,膘[bno])	bnox#序4823
飙	$ddcmd(飙,飙[bnq])	bnqf#序4822
俵	$ddcmd(俵,俵[bnr])	bnry#序4821
卜	$ddcmd(卜,卜[boa])	boad#序4820
帛	$ddcmd(帛,帛[bob])	bobj#序4819
薄	$ddcmd(薄,薄[bcc])	bocc#序4818
泊	$ddcmd(泊,泊[bod])	bodb#序4817
波	$ddcmd(波,波[bo])	bodp#序4816
拨	$ddcmd(拨,拨[bof])	bofd#序4815
钵	$ddcmd(钵,钵[boj])	boja#序4814
啵	$ddcmd(啵,啵[bok])	bokp#序4813
柏	$ddcmd(柏,柏[bdm])	bomb#序4812
脖	$ddcmd(脖,脖[boo])	booz#序4811
伯	$ddcmd(伯,伯[bdr])	borb#序4810
博	$ddcmd(博,博[bou])	bouc#序4809
舶	$ddcmd(舶,舶[bov])	bovb#序4808
玻	$ddcmd(玻,玻[bow])	bowp#序4807
鳖	$ddcmd(鳖,鳖[bpa])	bpax#序4806
瘪	$ddcmd(瘪,瘪[bpb])	bpbv#序4805
别	$ddcmd(别,别[bp])	bpdk#序4804
別	$ddcmd(別,別[bpd])	bpdk#序4803
憋	$ddcmd(憋,憋[bpx])	bpxx#序4802
不	$ddcmd(不,不[b])	buad#序4801
卜	$ddcmd(卜,卜[boa])	buad#序4800
部	$ddcmd(部,部[bu])	buel#序4799
捕	$ddcmd(捕,捕[buf])	bufd#序4798
鈽	$ddcmd(鈽,鈽[buj])	bujj#序4797
哺	$ddcmd(哺,哺[buk])	bukd#序4796
补	$ddcmd(补,补[bup])	bupd#序4795
埔	$ddcmd(埔,埔[but])	butd#序4794
布	$ddcmd(布,布[buu])	buuj#序4793
步	$ddcmd(步,步[buv])	buvp#序4792
怖	$ddcmd(怖,怖[bux])	buxj#序4791
北	$ddcmd(北,北[bwa])	bwav#序4790
揹	$ddcmd(揹,揹[bwf])	bwfo#序4789
焙	$ddcmd(焙,焙[bwh])	bwhk#序4788
辈	$ddcmd(辈,辈[bwi])	bwia#序4787
钡	$ddcmd(钡,钡[bwj])	bwjb#序4786
贝	$ddcmd(贝,贝[bwk])	bwkr#序4785
杯	$ddcmd(杯,杯[bwm])	bwmd#序4784
背	$ddcmd(背,背[bwo])	bwoa#序4783
被	$ddcmd(被,被[bw])	bwpp#序4782
卑	$ddcmd(卑,卑[bwp])	bwpu#序4781
狈	$ddcmd(狈,狈[bwq])	bwqb#序4780
倍	$ddcmd(倍,倍[bwr])	bwrk#序4779
勃	$ddcmd(勃,勃[boul])	bwul#序4778
备	$ddcmd(备,备[bww])	bwwt#序4777
悲	$ddcmd(悲,悲[bwx])	bwxa#序4776
踎	$ddcmd(踎,踎[bwz])	bwzk#序4775
擦	$ddcmd(擦,擦[ca])	cafx#序4774
曹	$ddcmd(曹,曹[cca])	ccao#序4773
草	$ddcmd(草,草[cc])	cccu#序4772
漕	$ddcmd(漕,漕[ccd])	ccdo#序4771
操	$ddcmd(操,操[ccf])	ccfm#序4770
嘈	$ddcmd(嘈,嘈[cck])	ccko#序4769
槽	$ddcmd(槽,槽[ccm])	ccmo#序4768
肏	$ddcmd(肏,肏[ccr])	ccrr#序4767
才	$ddcmd(才,才[c])	cdap#序4766
财	$ddcmd(财,财[cdb])	cdbp#序4765
菜	$ddcmd(菜,菜[cdc])	cdcm#序4764
採	$ddcmd(採,採[cdf])	cdfm#序4763
啋	$ddcmd(啋,啋[cdk])	cdkm#序4762
材	$ddcmd(材,材[cdm])	cdmp#序4761
睬	$ddcmd(睬,睬[cdo])	cdom#序4760
猜	$ddcmd(猜,猜[cdq])	cdqo#序4759
采	$ddcmd(采,采[cd])	cdvm#序4758
彩	$ddcmd(彩,彩[cdv])	cdvp#序4757
裁	$ddcmd(裁,裁[cdy])	cdyg#序4756
踩	$ddcmd(踩,踩[cdz])	cdzm#序4755
冊	$ddcmd(冊,冊[cea])	ceaa#序4754
测	$ddcmd(测,测[ced])	cedd#序4753
厕	$ddcmd(厕,厕[cei])	ceid#序4752
栅	$ddcmd(栅,栅[cem])	cema#序4751
册	$ddcmd(册,册[cep])	cepa#序4750
侧	$ddcmd(侧,侧[cer])	cerd#序4749
策	$ddcmd(策,策[ce])	cevn#序4748
惻	$ddcmd(惻,惻[cex])	cexd#序4747
傖	$ddcmd(傖,傖[cf])	cfrk#序4746
曾	$ddcmd(曾,曾[cg])	cgbo#序4745
曽	$ddcmd(曽,曽[cgb])	cgbo#序4744
噌	$ddcmd(噌,噌[cgk])	cgko#序4743
层	$ddcmd(层,层[cgu])	cgus#序4742
蹭	$ddcmd(蹭,蹭[cgz])	cgzo#序4741
藏	$ddcmd(藏,藏[ch])	chca#序4740
苍	$ddcmd(苍,苍[chc])	chcv#序4739
沧	$ddcmd(沧,沧[chd])	chdv#序4738
仓	$ddcmd(仓,仓[chr])	chrv#序4737
舱	$ddcmd(舱,舱[chv])	chvv#序4736
勅	$ddcmd(勅,勅[cia])	cial#序4735
赐	$ddcmd(赐,赐[cib])	cibp#序4734
茨	$ddcmd(茨,茨[cic])	cicr#序4733
次	$ddcmd(次,次[cid])	cidr#序4732
粢	$ddcmd(粢,粢[cim])	cimd#序4731
辞	$ddcmd(辞,辞[cip])	cipu#序4730
兹	$ddcmd(兹,兹[ciq])	ciqs#序4729
伺	$ddcmd(伺,伺[cir])	cirk#序4728
磁	$ddcmd(磁,磁[ciu])	cius#序4727
雌	$ddcmd(雌,雌[civ])	civf#序4726
此	$ddcmd(此,此[ci])	civv#序4725
瓷	$ddcmd(瓷,瓷[ciw])	ciwd#序4724
慈	$ddcmd(慈,慈[cix])	cixq#序4723
差	$ddcmd(差,差[ciy])	ciyg#序4722
蚕	$ddcmd(蚕,蚕[cja])	cjai#序4721
残	$ddcmd(残,残[cjd])	cjdg#序4720
灿	$ddcmd(灿,灿[cjh])	cjhe#序4719
喰	$ddcmd(喰,喰[cjk])	cjku#序4718
参	$ddcmd(参,参[cj])	cjsp#序4717
餐	$ddcmd(餐,餐[cju])	cjua#序4716
惨	$ddcmd(惨,惨[cjx])	cjxp#序4715
嵯	$ddcmd(嵯,嵯[coe])	coeg#序4714
措	$ddcmd(措,措[cof])	cofo#序4713
错	$ddcmd(错,错[co])	cojo#序4712
錯	$ddcmd(錯,錯[coj])	cojo#序4711
磋	$ddcmd(磋,磋[cou])	coug#序4710
窜	$ddcmd(窜,窜[cr])	crba#序4709
攒	$ddcmd(攒,攒[crf])	crfb#序4708
篡	$ddcmd(篡,篡[crv])	crvs#序4707
蹿	$ddcmd(蹿,蹿[crz])	crza#序4706
丛	$ddcmd(丛,丛[csa])	csar#序4705
葱	$ddcmd(葱,葱[csc])	cscx#序4704
聪	$ddcmd(聪,聪[cse])	csex#序4703
匆	$ddcmd(匆,匆[csg])	csgd#序4702
樅	$ddcmd(樅,樅[csm])	csmr#序4701
囱	$ddcmd(囱,囱[csp])	cspd#序4700
从	$ddcmd(从,从[cs])	csrr#序4699
従	$ddcmd(従,従[csr])	csrr#序4698
粗	$ddcmd(粗,粗[cu])	cumq#序4697
促	$ddcmd(促,促[cur])	curz#序4696
簇	$ddcmd(簇,簇[cuv])	cuvu#序4695
卒	$ddcmd(卒,卒[cuw])	cuwu#序4694
醋	$ddcmd(醋,醋[cuy])	cuyo#序4693
蹴	$ddcmd(蹴,蹴[cuz])	cuzd#序4692
瘁	$ddcmd(瘁,瘁[cvb])	cvbu#序4691
淬	$ddcmd(淬,淬[cvd])	cvdu#序4690
崔	$ddcmd(崔,崔[cve])	cvef#序4689
摧	$ddcmd(摧,摧[cvf])	cvff#序4688
粹	$ddcmd(粹,粹[cvm])	cvmu#序4687
脆	$ddcmd(脆,脆[cv])	cvov#序4686
催	$ddcmd(催,催[cvr])	cvrf#序4685
翠	$ddcmd(翠,翠[cvy])	cvyu#序4684
寸	$ddcmd(寸,寸[cya])	cyad#序4683
吋	$ddcmd(吋,吋[cyk])	cykv#序4682
村	$ddcmd(村,村[cym])	cymc#序4681
邨	$ddcmd(邨,邨[cyu])	cyua#序4680
存	$ddcmd(存,存[cy])	cyuz#序4679
凑	$ddcmd(凑,凑[cz])	czdd#序4678
湊	$ddcmd(湊,湊[czd])	czdd#序4677
輳	$ddcmd(輳,輳[czi])	czid#序4676
大	$ddcmd(大,大[da])	daan#序4675
瘩	$ddcmd(瘩,瘩[dab])	dabk#序4674
耷	$ddcmd(耷,耷[dad])	dade#序4673
打	$ddcmd(打,打[daf])	dafd#序4672
韃	$ddcmd(韃,韃[dag])	dagz#序4671
垯	$ddcmd(垯,垯[dat])	datz#序4670
答	$ddcmd(答,答[dav])	davk#序4669
惮	$ddcmd(惮,惮[dax])	daxa#序4668
达	$ddcmd(达,达[daz])	dazd#序4667
導	$ddcmd(導,導[dcc])	dccv#序4666
到	$ddcmd(到,到[dcd])	dcda#序4665
捣	$ddcmd(捣,捣[dcf])	dcfe#序4664
刀	$ddcmd(刀,刀[dcg])	dcgp#序4663
稻	$ddcmd(稻,稻[dch])	dcha#序4662
盗	$ddcmd(盗,盗[dcm])	dcmd#序4661
岛	$ddcmd(岛,岛[dcn])	dcne#序4660
祷	$ddcmd(祷,祷[dcp])	dcpc#序4659
倒	$ddcmd(倒,倒[dcr])	dcrd#序4658
导	$ddcmd(导,导[dcv])	dcvc#序4657
悼	$ddcmd(悼,悼[dcx])	dcxu#序4656
蹈	$ddcmd(蹈,蹈[dcz])	dcza#序4655
道	$ddcmd(道,道[dc])	dczq#序4654
歹	$ddcmd(歹,歹[dda])	ddad#序4653
大	$ddcmd(大,大[da])	ddan#序4652
贷	$ddcmd(贷,贷[ddb])	ddbr#序4651
殆	$ddcmd(殆,殆[ddd])	dddk#序4650
带	$ddcmd(带,带[ddf])	ddfj#序4649
黛	$ddcmd(黛,黛[ddh])	ddhr#序4648
呆	$ddcmd(呆,呆[ddk])	ddkm#序4647
代	$ddcmd(代,代[ddr])	ddrd#序4646
戴	$ddcmd(戴,戴[ddt])	ddtg#序4645
怠	$ddcmd(怠,怠[ddx])	ddxs#序4644
袋	$ddcmd(袋,袋[ddy])	ddyr#序4643
逮	$ddcmd(逮,逮[ddz])	ddzv#序4642
的	$ddcmd(的,的[d])	debd#序4641
嘚	$ddcmd(嘚,嘚[dek])	dekc#序4640
得	$ddcmd(得,得[der])	derc#序4639
地	$ddcmd(地,地[de])	detv#序4638
扽	$ddcmd(扽,扽[df])	dffv#序4637
登	$ddcmd(登,登[dgd])	dgdv#序4636
邓	$ddcmd(邓,邓[dge])	dgey#序4635
灯	$ddcmd(灯,灯[dgh])	dghd#序4634
瞪	$ddcmd(瞪,瞪[dgo])	dgod#序4633
等	$ddcmd(等,等[dg])	dgvc#序4632
凳	$ddcmd(凳,凳[dgv])	dgvj#序4631
蹬	$ddcmd(蹬,蹬[dgz])	dgzd#序4630
宕	$ddcmd(宕,宕[dhb])	dhbu#序4629
荡	$ddcmd(荡,荡[dhc])	dhcp#序4628
氹	$ddcmd(氹,氹[dhd])	dhdg#序4627
挡	$ddcmd(挡,挡[dhf])	dhfe#序4626
鐺	$ddcmd(鐺,鐺[dhj])	dhjt#序4625
档	$ddcmd(档,档[dhm])	dhme#序4624
襠	$ddcmd(襠,襠[dhp])	dhpt#序4623
儅	$ddcmd(儅,儅[dhr])	dhrt#序4622
当	$ddcmd(当,当[dh])	dhxe#序4621
党	$ddcmd(党,党[dhx])	dhxe#序4620
讜	$ddcmd(讜,讜[dhy])	dhyh#序4619
的	$ddcmd(的,的[d])	dibd#序4618
弟	$ddcmd(弟,弟[dib])	dibp#序4617
蒂	$ddcmd(蒂,蒂[dic])	dicj#序4616
滴	$ddcmd(滴,滴[did])	didk#序4615
邸	$ddcmd(邸,邸[die])	diep#序4614
提	$ddcmd(提,提[dif])	difr#序4613
底	$ddcmd(底,底[dig])	digd#序4612
鏑	$ddcmd(鏑,鏑[dij])	dijk#序4611
啲	$ddcmd(啲,啲[dik])	dikd#序4610
帝	$ddcmd(帝,帝[dil])	dilj#序4609
嫡	$ddcmd(嫡,嫡[din])	dink#序4608
睇	$ddcmd(睇,睇[dio])	diop#序4607
狄	$ddcmd(狄,狄[diq])	diqh#序4606
低	$ddcmd(低,低[dir])	dird#序4605
缔	$ddcmd(缔,缔[dis])	disj#序4604
堤	$ddcmd(堤,堤[dit])	ditr#序4603
地	$ddcmd(地,地[de])	ditv#序4602
砥	$ddcmd(砥,砥[diu])	diud#序4601
第	$ddcmd(第,第[div])	divp#序4600
敌	$ddcmd(敌,敌[diw])	diwp#序4599
尐	$ddcmd(尐,尐[dix])	dixn#序4598
翟	$ddcmd(翟,翟[diy])	diyf#序4597
迪	$ddcmd(迪,迪[diz])	diza#序4596
石	$ddcmd(石,石[dja])	djak#序4595
单	$ddcmd(单,单[djb])	djba#序4594
淡	$ddcmd(淡,淡[djd])	djdh#序4593
耽	$ddcmd(耽,耽[dje])	djev#序4592
担	$ddcmd(担,担[djf])	djfa#序4591
弹	$ddcmd(弹,弹[djg])	djga#序4590
啖	$ddcmd(啖,啖[djk])	djkh#序4589
胆	$ddcmd(胆,胆[djo])	djoa#序4588
丹	$ddcmd(丹,丹[djp])	djpa#序4587
氮	$ddcmd(氮,氮[djq])	djqh#序4586
但	$ddcmd(但,但[dj])	djra#序4585
蛋	$ddcmd(蛋,蛋[djv])	djvi#序4584
惮	$ddcmd(惮,惮[dax])	djxa#序4583
诞	$ddcmd(诞,诞[djy])	djyv#序4582
丁	$ddcmd(丁,丁[dka])	dkaa#序4581
定	$ddcmd(定,定[dk])	dkbr#序4580
萣	$ddcmd(萣,萣[dkc])	dkcr#序4579
顶	$ddcmd(顶,顶[dkd])	dkda#序4578
钉	$ddcmd(钉,钉[dkj])	dkjd#序4577
叮	$ddcmd(叮,叮[dkk])	dkkd#序4576
盯	$ddcmd(盯,盯[dko])	dkod#序4575
町	$ddcmd(町,町[dkt])	dktd#序4574
订	$ddcmd(订,订[dky])	dkyd#序4573
电	$ddcmd(电,电[dma])	dmav#序4572
癲	$ddcmd(癲,癲[dmb])	dmba#序4571
淀	$ddcmd(淀,淀[dmd])	dmdr#序4570
巔	$ddcmd(巔,巔[dme])	dmea#序4569
掂	$ddcmd(掂,掂[dmf])	dmfk#序4568
店	$ddcmd(店,店[dmg])	dmgk#序4567
点	$ddcmd(点,点[dm])	dmha#序4566
鈿	$ddcmd(鈿,鈿[dmj])	dmjt#序4565
奠	$ddcmd(奠,奠[dmq])	dmqd#序4564
佃	$ddcmd(佃,佃[dmr])	dmrt#序4563
垫	$ddcmd(垫,垫[dmt])	dmtf#序4562
殿	$ddcmd(殿,殿[dmu])	dmuy#序4561
惦	$ddcmd(惦,惦[dmx])	dmxk#序4560
電	$ddcmd(電,電[dmy])	dmyv#序4559
鯛	$ddcmd(鯛,鯛[dna])	dnak#序4558
凋	$ddcmd(凋,凋[dnd])	dndk#序4557
掉	$ddcmd(掉,掉[dnf])	dnfu#序4556
刁	$ddcmd(刁,刁[dng])	dnga#序4555
钓	$ddcmd(钓,钓[dnj])	dnjd#序4554
吊	$ddcmd(吊,吊[dnk])	dnkj#序4553
鸟	$ddcmd(鸟,鸟[dnn])	dnna#序4552
雕	$ddcmd(雕,雕[dnp])	dnpf#序4551
碉	$ddcmd(碉,碉[dnu])	dnuk#序4550
弔	$ddcmd(弔,弔[dnga])	dnva#序4549
调	$ddcmd(调,调[dn])	dnyk#序4548
調	$ddcmd(調,調[dny])	dnyk#序4547
夺	$ddcmd(夺,夺[dod])	dodc#序4546
隋	$ddcmd(隋,隋[doe])	doeo#序4545
掇	$ddcmd(掇,掇[dof])	dofy#序4544
度	$ddcmd(度,度[dog])	dogy#序4543
朵	$ddcmd(朵,朵[doj])	dojm#序4542
哆	$ddcmd(哆,哆[dok])	dokd#序4541
驮	$ddcmd(驮,驮[dom])	domd#序4540
多	$ddcmd(多,多[do])	dopd#序4539
綞	$ddcmd(綞,綞[dos])	dosa#序4538
堕	$ddcmd(堕,堕[dot])	dote#序4537
躲	$ddcmd(躲,躲[dou])	doum#序4536
舵	$ddcmd(舵,舵[dov])	dovv#序4535
惰	$ddcmd(惰,惰[dox])	doxo#序4534
跺	$ddcmd(跺,跺[doz])	dozm#序4533
爹	$ddcmd(爹,爹[dp])	dpfd#序4532
蝶	$ddcmd(蝶,蝶[dpi])	dpim#序4531
喋	$ddcmd(喋,喋[dpk])	dpkm#序4530
昳	$ddcmd(昳,昳[dpo])	dpon#序4529
牒	$ddcmd(牒,牒[dpp])	dppm#序4528
絰	$ddcmd(絰,絰[dps])	dpst#序4527
畳	$ddcmd(畳,畳[dpt])	dptq#序4526
碟	$ddcmd(碟,碟[dpu])	dpum#序4525
叠	$ddcmd(叠,叠[dpy])	dpyq#序4524
跌	$ddcmd(跌,跌[dpz])	dpzn#序4523
丢	$ddcmd(丢,丢[dq])	dqps#序4522
锻	$ddcmd(锻,锻[drj])	drjy#序4521
端	$ddcmd(端,端[drl])	drla#序4520
断	$ddcmd(断,断[dr])	drmj#序4519
段	$ddcmd(段,段[drp])	drpy#序4518
缎	$ddcmd(缎,缎[drs])	drsy#序4517
塅	$ddcmd(塅,塅[drt])	drty#序4516
短	$ddcmd(短,短[dru])	drud#序4515
东	$ddcmd(东,东[dsa])	dsad#序4514
董	$ddcmd(董,董[dsc])	dsca#序4513
洞	$ddcmd(洞,洞[dsd])	dsdk#序4512
动	$ddcmd(动,动[ds])	dsel#序4511
戙	$ddcmd(戙,戙[dsk])	dskg#序4510
栋	$ddcmd(栋,栋[dsm])	dsmd#序4509
胴	$ddcmd(胴,胴[dso])	dsok#序4508
動	$ddcmd(動,動[dsp])	dspl#序4507
侗	$ddcmd(侗,侗[dsr])	dsrk#序4506
