的	dik
負	fu
續	zuk
嗎	maa
簡	gaan
章	zoeng
左	zo
塊	faai
索	saak
索	sok
酒	zau
值	zik
態	taai
按	on
陳	can
陳	zan
河	ho
巴	baa
巴	paa
衝	cung
陣	zan
境	ging
助	zo
角	gok
戶	wu
亂	lyun
呼	fu
靈	ling
腳	goek
繼	gai
樓	lau
景	ging
怕	paa
停	ting
鐵	tit
異	ji
謝	ze
否	fau
否	pei
傷	soeng
蘭	laan
置	zi
醫	ji
良	loeng
承	seng
承	sing
福	fuk
科	fo
屬	suk
屬	zuk
圍	wai
需	seoi
退	teoi
基	gei
右	jau
速	cuk
適	sik
藥	joek
懷	waai
擊	gik
買	maai
素	sou
背	bui
歲	seoi
土	tou
忙	mong
充	cung
排	paai
價	gaa
價	lok
質	zat
質	zi
遇	jyu
端	dyun
列	lit
印	jan
印	ngan
貴	gwai
疑	ji
露	lou
哥	go
殺	saat
標	biu
招	ziu
血	hyut
禮	lai
弟	dai
弟	di
亮	loeng
齊	cai
穿	cyun
腦	nou
委	wai
州	zau
某	mau
順	seon
省	saang
省	sing
討	tou
尚	soeng
維	wai
板	baan
散	saan
項	hong
狀	zong
追	zeoi
筆	bat
副	fu
層	cang
沙	saa
養	joeng
讀	duk
習	zaap
永	wing
草	cou
胡	wu
濟	zai
執	zap
察	caat
歸	gwai
富	fu
座	zo
雨	jyu
堂	tong
威	wai
忽	fat
蘇	sou
船	syun
罪	zeoi
敢	gam
婦	fu
村	cyun
著	zyu
食	dau
食	ji
食	juk
食	sik
食	sit
食	zi
導	dou
免	min
溫	wan
莫	mok
掌	zoeng
激	gik
慢	maan
託	tok
勝	sing
險	him
尋	cam
守	sau
波	bo
雷	leoi
沉	cam
沉	sam
沉	zam
秀	sau
職	zik
驗	jim
靠	kaau
楚	co
略	loek
族	zuk
藏	cong
藏	zong
麗	lai
漸	zim
僅	gan
肯	hang
擔	daam
揚	joeng
盤	pun
唐	tong
鍾	zung
級	kap
毛	mou
毛	zit
營	jing
堅	gin
鬆	cung
鬆	sung
皮	mok
皮	pei
供	gung
店	dim
飯	faan
範	faan
哈	haa
趕	gon
吧	baa
雪	syut
鬥	dau
效	haau
臨	lam
農	nung
味	mei
惡	ngok
惡	ok
惡	wu
煙	jin
園	jyun
烈	lit
配	pui
雜	zaap
短	dyun
衛	wai
跳	tiu
孫	syun
曲	kuk
封	baau
封	fung
抓	zaa
抓	zaau
移	ji
頓	deon
律	leot
賣	maai
藝	ngai
舊	gau
朋	pang
救	gau
防	fong
脫	teoi
脫	tyut
翻	faan
劃	waa
劃	waak
迎	jing
痛	tung
校	gaau
校	haau
窗	coeng
宣	syun
鄉	hoeng
楊	joeng
葉	hip
葉	jip
警	ging
限	haan
湖	wu
軟	jyun
掉	diu
財	coi
詞	ci
壓	aat
揮	fai
超	ciu
屋	uk
秋	cau
跑	paau
忘	mong
館	gun
暗	am
暗	ngam
班	baan
黨	dong
宗	zung
壞	waai
技	gei
困	kwan
登	dang
姐	ze
預	jyu
耳	ji
席	zek
席	zik
夢	mung
朱	zyu
組	zou
旁	pong
份	fan
禁	gam
禁	kam
套	tou
亞	aa
益	jik
探	taam
康	hong
增	zang
詩	si
戲	hei
伯	baak
曉	hiu
含	ham
勞	lou
恩	jan
頂	deng
頂	ding
君	gwan
莊	zong
謂	wai
付	fu
田	tin
畢	bat
紙	zi
研	jin
虛	heoi
怪	gwaai
寧	ning
替	tai
犯	faan
燈	dang
優	jau
您	nei
姓	sing
例	lai
絲	si
蓋	goi
蓋	koi
誤	ng
架	gaa
幸	hang
隱	jan
股	gu
毒	duk
娘	noeng
佔	zim
智	zi
佛	fat
床	cong
米	mai
凡	faan
介	gaai
徵	zing
彩	coi
演	jin
射	se
祖	zou
欲	juk
束	cuk
獲	waai
獲	wok
舞	mou
聖	sing
夥	fo
梅	mui
普	pou
借	ze
私	si
源	jyun
鎮	zan
睡	seoi
緩	wun
升	sing
升	soeng
納	naap
織	zik
歌	go
宮	gung
概	koi
野	je
醒	seng
醒	sing
夏	haa
互	wu
積	zik
街	gaai
牌	paai
休	jau
搖	jiu
洋	joeng
敗	baai
監	gaam
骨	gwat
批	pai
兄	hing
刀	dou
網	mong
率	leot
率	seot
庭	ting
熟	dak
熟	suk
創	cong
訪	fong
硬	ngaang
仁	jan
菜	coi
丁	ding
綠	luk
牛	ngau
牛	pei
避	bei
陰	jam
拍	paak
雄	hung
祕	bei
缺	kyut
卷	gyun
姑	gu
尼	nei
尼	noi
油	jau
恐	hung
玩	waan
玩	wun
釋	sik
遍	pin
握	aak
握	ak
球	kau
降	gong
降	hong
慮	leoi
榮	wing
策	caak
肉	jau
肉	juk
媽	maa
迷	mai
檢	gim
伸	san
歐	au
攻	gung
練	lin
育	juk
危	ngai
廳	teng
啊	aa
睛	zing
擺	baai
茶	caa
勇	jung
判	pun
材	coi
抱	bou
抱	pou
亦	jik
妻	cai
吸	kap
喝	hot
趣	ceoi
嘴	zeoi
逐	zuk
操	cou
午	ng
吉	gat
浪	long
輪	leon
默	mak
毫	hou
冰	bing
珠	zyu
階	gaai
孔	hung
徐	ceoi
固	gu
偏	pin
陸	luk
諸	zyu
遺	wai
爺	je
述	seot
帝	dai
閉	bai
補	bou
編	pin
巨	geoi
透	tau
弄	lung
尤	jau
魯	lou
擁	jung
錄	luk
吳	ng
牆	coeng
貨	fo
弱	joek
敵	dik
挑	tiu
寬	fun
跡	zik
抽	cau
忍	jan
折	sit
折	zip
折	zit
輸	syu
穩	wan
皇	wong
桌	coek
獻	hin
蒙	mung
紛	fan
麻	maa
洗	sai
評	ping
掛	gwaa
童	tung
尊	zyun
舍	se
唯	wai
博	bok
劇	kek
乃	naai
混	wan
彈	daan
彈	taan
附	fu
遲	ci
敬	ging
杯	bui
魚	jyu
控	hung
塞	coi
塞	sak
劍	gim
厚	hau
佳	gaai
測	caak
測	cak
訓	fan
牙	ngaa
洞	dung
淡	daam
淡	taam
盛	sing
縣	jyun
芳	fong
雅	aa
雅	ngaa
革	gaak
款	fun
橫	waang
橫	zyu
累	leoi
擇	zaak
乘	sing
刺	ci
載	zoi
猛	maang
逃	tou
構	gau
構	kau
趙	ziu
杜	dou
慶	hing
途	tou
奔	ban
虎	fu
巧	haau
巧	kiu
抗	kong
針	zam
徒	tou
圓	jyun
閃	sim
谷	guk
谷	juk
紹	siu
聚	zeoi
額	ngaak
健	gin
誠	sing
鮮	sin
淚	leoi
閒	haan
均	gwan
序	zeoi
震	zan
仿	fong
仿	pong
緣	jyun
戴	daai
婚	fan
篇	pin
亡	mong
奶	naai
忠	zung
煩	faan
賽	coi
鬧	naau
協	hip
傑	git
殘	caan
懂	dung
丹	daan
柳	lau
妹	mui
映	jing
橋	kiu
嘆	taan
愈	jyu
旅	leoi
授	sau
享	hoeng
暴	bou
偷	tau
藍	laam
氏	si
寒	hon
宜	ji
棄	hei
豐	fung
延	jin
輩	bui
搶	coeng
顏	ngaan
贊	zaan
典	din
冒	mou
眉	mei
燒	siu
廠	cong
廠	hon
唱	coeng
庫	fu
川	cyun
辭	ci
伴	bun
怒	nou
型	jing
純	seon
貝	bui
票	piu
隔	gaak
窮	kung
拜	baai
審	sam
倫	leon
悲	bei
柔	jau
啟	kai
減	gaam
頁	jip
縱	zung
掃	sou
偉	wai
迫	baak
迫	bik
振	zan
瑞	seoi
丈	zoeng
樑	loeng
洲	zau
槍	coeng
央	jaang
央	joeng
觸	zuk
予	jyu
孤	gu
縮	suk
洛	lok
損	syun
促	cuk
番	faan
番	pun
罷	baa
宋	sung
奮	fan
銷	siu
幕	mok
猶	jau
鎖	so
珍	zan
擡	toi
陪	pui
妙	miu
摸	mo
峰	fung
勁	ging
鏡	geng
沈	cam
沈	sam
奪	dyut
昨	zok
哭	huk
訊	seon
貌	maau
謀	mau
泰	taai
側	zak
貧	pan
扶	fu
阻	zo
貼	tip
申	san
岸	ngon
彼	bei
賞	soeng
版	baan
抵	dai
澤	zaak
插	caap
迅	seon
憑	pang
伊	ji
潮	ciu
咱	zaa
仙	sin
仙	sing
符	fu
宇	jyu
肩	gin
嘗	soeng
遞	dai
燕	jin
潔	git
拒	keoi
郎	long
凝	jing
淨	zeng
淨	zing
遭	zou
儀	ji
薄	bok
卡	kaa
卡	kaat
末	mut
勒	laak
勒	lak
烏	wu
森	sam
諾	nok
呀	aa
壯	zong
憂	jau
沿	jyun
慣	gwaan
丟	diu
季	gwai
企	kei
壁	bik
惜	sik
婆	po
婆	sik
袋	doi
朗	long
零	ling
辛	san
憶	jik
努	nou
舒	syu
枝	zi
鳳	fung
滅	mit
韓	hon
膽	daam
灰	fiu
灰	fui
旦	daan
孟	maang
陷	haam
俗	zuk
繞	jiu
疾	zat
瞧	ciu
洪	hung
甲	gaap
帳	zoeng
糊	wu
泛	faan
皆	gaai
碰	pung
吹	ceoi
碼	maa
奉	fung
箱	soeng
胸	hung
堆	deoi
狂	kwong
仲	zung
圈	gyun
圈	hyun
冬	dung
餐	caan
厲	lai
腿	teoi
尖	zim
括	kut
佩	pui
鬼	gwai
鬼	sik
欣	jan
垂	seoi
躍	joek
港	gong
騙	pin
融	jung
撞	zong
塔	taap
紫	zi
蕩	dong
敏	man
鄭	zeng
賴	dei
賴	laai
滑	waat
允	wan
鳥	niu
鳥	wu
課	fo
暫	zaam
瓦	ngaa
祥	coeng
染	jim
滾	gwan
浮	fau
粗	cou
刑	jing
輛	loeng
狗	gau
撲	bok
撲	pok
稍	saau
秦	ceon
扎	zaat
魂	waan
魂	wan
島	dou
騰	tang
臣	san
琴	kam
悉	sik
絡	lok
摩	mo
措	cou
域	wik
冠	gun
竹	zuk
殊	syu
豪	hou
呆	ngoi
薩	saat
旋	syun
喊	haam
寄	gei
悄	ciu
倍	pui
祝	zuk
剩	sing
剩	zing
督	duk
旗	kei
返	faan
召	ziu
徹	cit
賓	ban
甘	gam
吐	dat
吐	tou
喬	kiu
腰	jiu
拔	bat
幅	fuk
違	wai
詳	coeng
臂	bei
尺	cek
飲	jam
顆	fo
涉	sip
逼	bik
競	ging
培	pui
惠	wai
虧	kwai
叔	suk
伏	buk
伏	fuk
喚	wun
雞	gai
鄰	leon
池	ci
怨	jyun
奧	ou
侯	hau
騎	gei
騎	ke
騎	kei
漫	maan
拖	to
俊	zeon
尾	mei
恨	han
貫	gun
凌	ling
兼	gim
碎	seoi
晨	san
罰	fat
鋪	pou
濃	nung
伍	ng
宿	sau
宿	suk
泉	cyun
井	zeng
繁	faan
粉	fan
緒	seoi
築	zuk
恢	fui
匹	pat
塵	can
輝	fai
魔	mo
仰	joeng
仰	ngong
董	dung
描	miu
距	keoi
盜	dou
渡	dou
勤	kan
勸	hyun
蓮	lin
坦	taan
搭	daap
挺	ting
蹤	zung
幽	jau
截	zit
荒	fong
恰	hap
慧	wai
慧	wai}
邦	bong
頗	po
焦	ziu
醉	zeoi
廢	fai
掩	jim
籤	cim
喪	song
災	zoi
鼻	bei
侵	cam
陶	tou
肅	suk
裁	coi
俱	keoi
磨	mo
析	sik
獎	zoeng
匆	cung
瓶	peng
瓶	ping
泥	nai
拾	sap
涼	loeng
麥	mak
鋼	gong
湧	cung
湧	jung
潛	cim
隆	lung
津	zeon
搞	gaau
蛋	daan
奈	noi
擾	jiu
耐	noi
傅	fu
錦	gam
播	bo
墨	mak
偶	ngau
捕	bou
惑	waak
飄	piu
屈	wat
鳴	ming
擠	zai
毀	wai
斜	ce
啦	laa
汙	wu
赤	cek
慰	wai
飾	sik
鋒	fung
覆	fuk
湯	tong
壽	sau
跨	kwaa
羊	joeng
航	hong
拳	kyun
盟	mang
廷	ting
盧	lou
嚇	haa
嚇	haak
寂	zik
荷	ho
亭	ting
曼	maan
呂	leoi
寸	cyun
衡	hang
狠	han
郭	gwok
奏	zau
割	got
閣	gok
汗	hon
箭	zin
埋	maai
撥	but
撥	put
頻	pan
屏	bing
屏	ping
坡	bo
宏	wang
黎	lai
猜	caai
萊	loi
障	zoeng
患	waan
牢	lou
搜	sau
賢	jin
賀	ho
遷	cin
欺	hei
裂	lit
鞋	haai
撫	fu
罵	maa
乏	fat
拼	peng
拼	ping
俄	ngo
闊	fut
礙	ngoi
搬	bun
夾	gaap
夾	gap
夾	gep
夾	gip
遙	jiu
牽	hin
駕	gaa
爸	baa
踏	daap
添	tim
襲	zaap
扣	kau
艾	ngaai
鄧	dang
凶	hung
殿	din
訂	deng
訂	ding
昏	fan
肚	tou
匯	wui
驅	keoi
核	hat
核	wat
桑	song
孝	haau
棋	kei
咬	ngaau
疏	so
邀	jiu
仔	zai
仔	zau
仔	zi
巡	ceon
嘉	gaa
冊	caak
仇	sau
串	cyun
糧	loeng
齡	ling
宅	zaak
扭	nau
嫁	gaa
蒼	cong
戒	gaai
賈	gaa
賈	gu
崇	sung
翠	ceoi
嶽	ngok
蟲	cung
椅	ji
暖	nyun
曹	cou
慕	mou
灣	waan
彎	waan
捉	zuk
濤	tou
柱	cyu
糾	dau
糾	gau
邪	ce
譯	jik
刊	hon
朵	do
浩	hou
翼	jik
吟	jam
吟	ngam
悶	mun
幼	jau
昌	coeng
羽	jyu
吾	ng
柏	paak
植	zik
哀	oi
慘	caam
辯	bin
肥	fei
憐	lin
傲	ngou
潤	jeon
扇	sin
聰	cung
聊	liu
纖	cim
纖	hin
鑑	gaam
吞	tan
估	gu
赫	haak
堪	ham
陵	ling
趨	ceoi
牧	muk
漂	piu
盈	jing
攝	sip
欠	him
擴	kong
擴	kwok
擴	kwong
覽	laam
譽	jyu
姿	zi
霞	haa
豔	jim
豈	hei
屍	si
閱	jyut
幻	waan
龐	pong
稀	hei
勃	but
抖	dau
瘋	fung
御	jyu
療	liu
爬	paa
籍	zik
敲	haau
愁	sau
淺	cin
憤	fan
魏	ngai
鑽	zyun
馮	fung
袖	zau
悅	jyut
欄	laan
櫃	gwai
塗	tou
飽	baau
揭	kit
邁	maai
卿	hing
倆	loeng
躲	do
壇	taam
壇	taan
巖	ngaam
勾	au
勾	gau
勾	ngau
偽	ngai
購	gau
購	kau
汪	wong
韋	wai
霧	mou
曰	joek
曰	jyut
廟	miu
貢	gung
租	zou
呈	cing
媒	mui
艱	gaan
嫌	jim
窩	wo
矛	maau
葛	got
循	ceon
旨	zi
忌	gei
燃	jin
豆	dau
呵	aa
呵	ho
挖	waa
挖	waat
戀	lyun
娜	naa
娜	no
駐	zyu
跌	dit
捷	zit
桃	tou
赴	fu
誘	jau
僕	buk
僕	fu
僕	puk
昂	ngong
夕	zik
甜	tim
昭	ciu
厭	jim
摘	zaak
耶	je
脣	seon
劫	gip
爆	baau
援	wun
姜	goeng
稿	gou
蒂	dai
辨	bin
醜	cau
擦	caat
桂	gwai
梯	tai
炮	paau
瓜	gwaa
腐	
腐	fu
銅	tung
瘦	sau
惟	wai
遵	zeon
慌	fong
賭	dou
叢	cung
擋	dong
稅	seoi
爛	laan
盒	hap
霸	baa
逢	fung
牲	saang
牲	sang
悟	ng
撐	caang
擬	ji
扮	baan
酸	syun
卓	coek
卓	zoek
漠	mok
凱	hoi
羞	sau
署	cyu
刷	caat
刷	saat
廉	lim
炸	zaa
熊	hung
償	soeng
汽	hei
彌	mei
彌	nei
績	zik
蕭	siu
剪	zin
盾	teon
宴	jin
售	sau
億	jik
帽	mou
痴	ci
溝	gau
溝	kau
惱	nou
斤	gan
寺	zi
輯	cap
倉	cong
溼	sap
貪	taam
滴	dik
贏	jeng
贏	jing
疼	tang
疼	tung
痕	han
縫	fung
慈	ci
役	jik
悔	fui
殷	jan
殷	jin
賦	fu
噴	pan
伐	fat
漏	lau
蛇	se
堡	bou
鼠	syu
脈	mak
撤	cit
慎	san
妨	fong
玄	jyun
債	zaai
扯	ce
耀	jiu
禍	wo
逸	jat
穆	muk
煉	lin
爐	lou
腹	fuk
戈	gwo
液	jik
抑	jik
掙	zaang
掙	zang
舟	zau
懸	jyun
勵	lai
籌	cau
晶	zing
敘	zeoi
迪	dik
臥	ngo
鍵	gin
碗	wun
鴻	hung
芝	zi
渾	wan
攔	laan
纏	cin
鈴	ling
拆	caak
恆	hang
昆	gwan
昆	kwan
爹	de
卜	baak
卜	bok
卜	buk
嘛	maa
耗	hou
碧	bik
髒	zong
貓	maau
悠	jau
霍	fok
霜	soeng
拋	paau
謹	gan
轟	fang
轟	gwang
苗	miu
轎	giu
轎	kiu
奴	nou
嶺	leng
嶺	ling
郵	jau
繩	sing
逆	jik
逆	ngaak
茫	mong
躺	tong
翁	jung
撒	saat
鷹	jing
暢	coeng
紋	man
崔	ceoi
抹	maat
抹	mut
晴	cing
嬌	giu
吻	man
繪	kui
披	pei
吊	diu
獄	juk
芬	fan
敦	deon
劣	lyut
溪	kai
懼	geoi
辱	juk
昔	sik
踐	cin
辰	san
填	tin
晉	zeon
雕	diu
鬱	juk
鬱	wat
賜	ci
矩	geoi
冤	jyun
豬	zyu
狼	long
菲	fei
勉	min
叉	caa
跪	gwai
矣	ji
滋	zi
礎	co
姆	mou
兆	siu
頸	geng
衫	saam
捧	pung
賊	caak
睜	zaang
睜	zang
闖	cong
驟	zaau
驟	zau
毅	ngai
籠	lung
丘	jau
妥	to
衰	seoi
銳	jeoi
歇	hit
湊	cau
棉	min
柴	caai
韻	wan
胞	baau
墓	mou
巾	gan
遂	seoi
恭	gung
炎	jim
貞	zing
誓	sai
催	ceoi
脅	hip
檔	dong
甫	fu
甫	pou
玲	ling
虹	hung
棒	paang
馳	ci
哲	zit
疊	daap
疊	dip
傻	so
璃	lei
鞭	bin
鵬	paang
押	aat
押	jaap
翔	coeng
址	zi
貿	mau
崗	gong
腸	coeng
廊	long
胖	bun
盼	paan
疲	pei
駛	sai
舌	sit
洩	sit
齒	ci
戚	cik
湘	soeng
臭	cau
仗	zoeng
晃	fong
蝶	dip
蓬	fung
蓬	pung
謙	him
餓	ngo
衷	cung
萍	ping
漲	zoeng
葬	zong
幣	bai
吵	caau
潘	pun
遮	ze
拓	taap
拓	tok
獵	lip
儲	cyu
渴	hot
逝	sai
彭	paang
惹	je
袁	jyun
顫	zin
脆	ceoi
娃	waa
瞬	seon
膚	fu
嫂	sou
灑	saa
侍	si
履	lei
履	leoi
挨	aai
挨	ngaai
淑	suk
廚	ceoi
廚	cyu
獸	sau
薛	sit
旺	wong
欽	jam
鶴	hok
婉	jyun
械	haai
削	soek
喘	cyun
竊	sit
愧	kwai
銘	ming
裕	jyu
帥	seoi
宰	zoi
杭	hong
紗	saa
埃	aai
埃	oi
樸	pok
酷	huk
繡	sau
遣	hin
贈	zang
誼	ji
耕	gaang
耕	gang
函	haam
掘	gwat
鏈	lin
豫	jyu
賠	pui
灌	gun
斥	cik
診	can
皺	caau
皺	zau
畏	wai
溜	lau
溜	liu
誇	kwaa
攜	kwai
琳	lam
粒	lap
粒	nap
愚	jyu
屆	gaai
穴	jyut
玻	bo
淵	jyun
輔	fu
遼	liu
帕	paak
攤	taan
裹	gwo
喂	wai
籲	heoi
籲	jyu
屠	tou
疆	goeng
盆	pun
氛	fan
瑪	maa
綜	zung
症	zing
弗	fat
弗	fit
闢	bik
闢	pik
峽	haap
郊	gaau
蔡	coi
拐	gwaai
筒	tung
挽	waan
棵	fo
糟	zou
攀	paan
菊	guk
砍	ham
褲	fu
眠	min
杆	gon
蓄	cuk
綁	bong
涵	haam
綿	min
啞	aa
啞	ak
漁	jyu
鑰	joek
寡	gwaa
諒	loeng
慨	koi
凍	dung
狐	wu
軌	gwai
爵	zoek
拘	keoi
懶	laan
枚	mui
犧	hei
煌	wong
奸	gaan
碑	bei
祭	zai
媚	mei
剝	
剝	mok
鍋	wo
潑	put
腔	hong
妖	jiu
乞	hat
姚	jiu
歪	me
歪	waai
乙	jyut
芒	mong
舅	kau
扔	jing
扔	wing
枯	fu
饒	jiu
哩	le
哩	li
爽	song
柯	o
趁	can
譜	pou
契	kai
契	kit
弦	jin
弦	jyun
掠	loek
汝	jyu
寨	zaai
鹽	jim
簾	lim
翰	hon
焰	jim
儒	jyu
愉	jyu
肖	ciu
尉	wai
裙	kwan
桶	tung
俠	haap
俠	hap
盯	deng
盯	ding
訝	ngaa
誕	daan
隸	dai
勿	mat
抄	caau
姊	zi
礦	kwong
袍	pou
泡	bou
泡	paau
泡	pou
踢	tek
倚	ji
泊	bok
泊	paak
咽	jin
咽	jit
罩	zaau
哦	ngo
哦	o
瓊	king
乳	jyu
