一個	yrt go
原因	yvn yrn
內容	noi yuj
注意	zv yi
行為	hrj wri
看看	hon hon
包括	bau kud
進一步	z;n yrt bou
計算	gri svn
原來	yvn loi
突然	drt yin
正在	zij zoi
報道	bou dou
結合	git hrp
地區	dei k;i
政策	zij cak
合作	hrp zok
只要	zi yiu
運動	wrn duj
目標	muk biu
本報	bun bou
人生	yrn srj
網絡	moj lok
告訴	gou sou
如此	yv ci
無法	mou fad
快樂	fai lok
效果	hau xo
改變	goi bin
不僅	brt grn
計劃	gri wak
準備	z;n bei
檢查	gim ca
不錯	brt co
科技	fo gei
價值	ga zik
會議	wui yi
增長	zrj z;j
意義	yi yi
國內	xok noi
嚴重	yim zuj
十分	srp frn
另一	lij yrd
法律	fat l;d
專業	zvn yip
地址	dei zi
每天	mui tin
最大	z;i dai
促進	cuk z;n
正常	zij s;j
綜合	zuj hrp
真是	zrn si
藝術	jri s;d
穩定	wrn dij
實施	srt si
造成	zou sij
真正	zrn zij
甚至	srm zi
能夠	nrj gru
傳統	cvn tuj
責任	zak yrm
生命	srj mij
數據	sou g;i
價格	ga gak
經過	gij xo
瞭解	liu gai
實驗	srt yim
機構	gei kru
社會主義	se wui zv yi
工業	guj yip
電話	din wa
回來	wui loi
第三	dri sam
保證	bou zij
臨床	lrm coj
大學	dai hok
調查	diu ca
教師	gau si
培養	pui y;j
因素	yrn sou
開展	hoi zin
農業	nuj yip
材料	coi liu
晚上	man s;j
取得	c;i drk
推薦	t;i zin
開心	hoi srm
轉發	zvn fad
回家	wui ga
參與	cam yv
程度	cij dou
有點	yru dim
產業	can yip
以為	yi wri
相信	s;j s;n
或者	wak ze
分別	frn bid
永遠	wij yvn
更多	grj do
而是	yi si
引起	yrn hei
形式	yij sik
重點	zuj dim
根本	grn bun
同志	tuj zi
充分	cuj frn
農村	nuj cvn
接受	zip sru
機會	gei wui
只能	zi nrj
分享	frn h;j
關於	xan yv
幾個	gei go
全面	cvn min
減少	gam siu
措施	cou si
人才	yrn coi
資金	zi grm
多少	do siu
以來	yi loi
任務	yrm mou
建築	gin zuk
容易	yuj yi
保持	bou ci
是否	si fru
實踐	srt cin
經驗	gij yim
隨著	c;i z;k
競爭	gij zrj
愛情	oi cij
創造	coj zou
每一	mui yrd
當然	doj yin
最近	z;i grn
分鐘	frn zuj
心理	srm lei
簡單	gan dan
創新	coj srn
統一	tuj yrd
全部	cvn bou
監督	gam duk
電影	din yij
發揮	fat fri
總是	zuj si
整個	zij go
眼睛	jan zij
調整	tiu zij
好好	hou hou
農民	nuj mrn
中央	zuj y;j
越來越	yvt loi yvd
聯合	lvn hrp
共同	guj tuj
報告	bou gou
設備	cit bei
目的	muk dik
幫助	boj zo
資料	zi liu
試驗	si yim
來自	loi zi
人類	yrn l;i
心情	srm cij
確定	kok dij
勞動	lou duj
醫院	yi yvn
原則	yvn zrk
辦法	ban fad
負責	fu zak
統計	tuj gri
昨天	zok tin
是不是	si brt si
左右	zo yru
下來	ha loi
心裡	srm l;i
最好	z;i hou
受到	sru dou
考慮	hau l;i
有時	yru si
速度	cuk dou
說明	svt mij
反應	fan yij
老師	lou si
消費	siu fri
採取	coi c;i
很好	hrn hou
行政	hrj zij
事業	si yip
謝謝	ze ze
衛生	wri srj
特點	drk dim
身體	srn tri
範圍	fan wri
狀態	zoj tai
從而	cuj yi
之一	zi yrd
降低	goj dri
具體	g;i tri
平均	pij xrn
現象	yin z;j
聲音	sij yrm
一定要	yrt dij yiu
可愛	ho oi
素質	sou zrd
體系	tri hri
介紹	gai siu
表明	biu mij
力量	lik l;j
世紀	sri gei
顯示	hin si
於是	yv  si
行業	hoj yip
觀察	gun cad
不得	brt drk
手術	sru s;d
意識	yi sik
時代	si doi
機制	gei zri
旅遊	l;i yru
實行	srt hrj
下午	ha j
以前	yi cin
找到	zau dou
體育	tri yuk
自由	zi yru
媽媽	ma ma
聯繫	lvn hri
良好	l;j hou
關鍵	xan gin
腫瘤	zuj lru
這次	ze ci
汽車	hei ce
擁有	yuj yru
業務	yip mou
他們的	ta mun dik
大量	dai l;j
重視	zuj si
想到	s;j dou
下去	ha h;i
感到	grm dou
交通	gau tuj
利益	lei yik
未來	mei loi
除了	c;i liu
帶來	dai loi
離開	lei hoi
電視	din si
當時	doj si
認真	yij zrn
記得	gei drk
來說	loi svd
困難	qrn nan
首先	sru sin
方向	foj h;j
討論	tou l;n
新華	srn wa
空間	huj gan
導致	dou zi
遊戲	yru hei
專家	zvn ga
委員	wri yvn
指出	zi c;d
民族	mrn zuk
先生	sin saj
香港	h;j goj
明白	mij bak
二十	yi srp
今晚	grm man
顯著	hin zv
為主	wri zv
病人	bej yrn
現實	yin srd
規範	qri fan
結束	git cuk
也許	ya h;i
合理	hrp lei
宣傳	svn cvn
指導	zi dou
相關	s;j xan
新聞	srn mrn
表達	biu dad
壓力	at lik
滿足	mun zuk
好像	hou z;j
家庭	ga tij
發表	fat biu
在一起	zoi yrt hei
正確	zij kok
先進	sin z;n
不少	brt siu
年代	nin doi
舉行	g;i hrj
尤其	yru kei
操作	cou zok
一句	yrt g;i
以下	yi ha
神經	srn gij
金融	grm yuj
生日	saj yrd
之前	zi cin
理解	lei gai
無論	mou l;n
比賽	bei coi
它們	ta mun
革命	gak mij
習慣	zap xan
年輕	nin hej
增強	zrj k;j
看見	hon gin
作品	zok brn
就要	zru yiu
改善	goi sin
更加	grj ga
重慶	cuj hij
持續	ci zuk
肯定	hrj dij
領域	lij wik
按照	on ziu
新華社	srn wa se
期待	kei doi
模式	mou sik
優勢	yru sri
一聲	yrt sij
死了	sei liu
相當	s;j doj
加入	ga yrp
及其	krp kei
銀行	jrn hoj
土地	tou dei
年來	nin loi
同學	tuj hok
面對	min d;i
女孩	n;i hai
身邊	srn bin
感謝	grm ze
超過	ciu xo
行動	hrj duj
長期	c;j kei
反映	fan yij
居然	g;i yin
組成	zou sij
評價	pij ga
下降	ha goj
故事	gu si
明確	mij kok
然而	yin yi
戰略	zin l;k
適應	sik yij
職工	zik guj
規劃	qri wak
青年	cij nin
需求	s;i kru
值得	zik drk
事實	si srd
怎樣	zrm y;j
階段	gai dvn
出去	c;t h;i
不再	brt zoi
相對	s;j d;i
藥物	y;k mrd
完善	yvn sin
最高	z;i gou
絕對	zvt d;i
曾經	crj gij
那樣	na y;j
清楚	cij co
擴大	koj dai
集中	zap zuj
用戶	yuj wu
晚安	man on
幾乎	gei fu
不管	brt gun
執行	zrp hrj
出版	c;t ban
銷售	siu sru
音樂	yrm jok
電腦	din nou
資產	zi can
哪裡	na l;i
診斷	crn dvn
證明	zij mij
及時	krp si
建議	gin yi
機關	gei xan
又是	yru si
恢復	fui fuk
豐富	fuj fu
重大	zuj dai
即使	zik si
經常	gij s;j
體制	tri zri
語言	yv yin
似乎	ci fu
聖誕	sij dan
想起	s;j hei
剛剛	goj goj
想要	s;j yiu
臺灣	toi wan
到底	dou dri
溫度	wrn dou
變成	bin sij
它的	ta dik
商品	s;j brn
來看	loi hon
電子	din zi
深入	srm yrp
浙江	zit goj
現場	yin c;j
培訓	pui frn
有利	yru lei
人家	yrn ga
制定	zri dij
工藝	guj jri
民主	mrn zv
差異	ca yi
感染	grm yim
美元	mei yvn
屬於	suk yv
投入	tru yrp
高度	gou dou
另外	lij joi
生物	srj mrd
心中	srm zuj
強調	k;j diu
新年	srn nin
感情	grm cij
往往	woj woj
指標	zi biu
第一次	dri yrt ci
回答	wui dap
看來	hon loi
連續	lin zuk
成了	sij liu
規模	qri mou
都會	dou wui
不一	brt yrd
方案	foj on
加油	ga yru
歡迎	fun yij
手段	sru dvn
必要	bit yiu
普通	pou tuj
物質	mrt zrd
意見	yi gin
觀念	gun nim
位置	wri zi
時期	si kei
死亡	sei moj
出口	c;t hru
實在	srt zoi
成本	sij bun
期間	kei gan
同樣	tuj y;j
做到	zou dou
收入	sru yrp
品種	brn zuj
地位	dei wri
難以	nan yi
廣大	xoj dai
資本	zi bun
失去	srt h;i
消息	siu sik
其它	kei ta
照片	ziu pin
美麗	mei lri
解釋	gai sik
國有	xok yru
願意	yvn yi
加工	ga guj
不敢	brt grm
考試	hau si
迅速	s;n cuk
面積	min zik
特徵	drk zij
檢測	gim crk
一部	yrt bou
複雜	fuk zap
中華	zuj wa
對象	d;i z;j
年齡	nin lij
聽到	tej dou
那裡	na l;i
並且	bij ce
對方	d;i foj
那是	na si
廣泛	xoj fan
兒童	yi tuj
過來	xo loi
後來	hru loi
體現	tri yin
狀況	zoj foj
做好	zou hou
中國人	zuj xok yrn
兒子	yi zi
相互	s;j wu
自我	zi jo
犯罪	fan z;i
每次	mui ci
交流	gau lru
自身	zi srn
嚴格	yim gak
不足	brt zuk
符合	fu hrp
圖片	tou pin
一張	yrt z;j
道德	dou drk
成果	sij xo
作出	zok c;d
成立	sij lap
所謂	so wri
正是	zij si
辦公	ban guj
文學	mrn hok
對照	d;i ziu
安排	on pai
表面	biu min
適合	sik hrp
職業	zik yip
星期	sij kei
加快	ga fai
態度	tai dou
父母	fu mou
獨立	duk lap
遇到	yv dou
性能	sij nrj
日子	yrt zi
生態	srj tai
應當	yij doj
含量	hrm l;j
在於	zoi yv
疾病	zrt bej
自動	zi duj
評論	pij l;n
免疫	min yik
固定	gu dij
主動	zv duj
面前	min cin
裡面	l;i min
痛苦	tuj fu
父親	fu crn
令人	lij yrn
回到	wui dou
每年	mui nin
她們	ta mun
程序	cij z;i
較大	gau dai
生長	srj z;j
轉移	zvn yi
儘管	z;n gun
動物	duj mrd
這時	ze si
最終	z;i zuj
保障	bou z;j
落實	lok srd
蛋白	dan bak
好多	hou do
各級	gok krp
母親	mou crn
市場經濟	si c;j gij zri
整體	zij tri
開放	hoi foj
有限	yru han
針對	zrm d;i
吃飯	hek fan
基因	gei yrn
症狀	zij zoj
推進	t;i z;n
形象	yij z;j
特殊	drk sv
軟件	yvn gin
家裡	ga l;i
名字	mij zi
主席	zv zik
今日	grm yrd
幾年	gei nin
漂亮	piu l;j
推動	t;i duj
客戶	hak wu
重新	cuj srn
仍然	yij yin
上述	s;j s;d
廣州	xoj zru
內部	noi bou
馬上	ma s;j
學會	hok wui
真心	zrn srm
放棄	foj hei
一段	yrt dvn
好看	hou hon
一邊	yrt bin
機械	gei hai
那種	na zuj
缺乏	kvt frd
不夠	brt gru
一家	yrt ga
運行	wrn hrj
商業	s;j yip
巨大	g;i dai
之中	zi zuj
模型	mou yij
不可能	brt ho nrj
文明	mrn mij
關心	xan srm
製造	zri zou
早上	zou s;j
突出	drt c;d
本文	bun mrn
各地	gok dei
區域	k;i wik
當前	doj cin
風險	fuj him
追求	z;i kru
血管	hvt gun
竟然	gij yin
一生	yrt srj
老人	lou yrn
理想	lei s;j
特色	drk sik
樣子	y;j zi
改造	goi zou
畢業	brt yip
書記	sv gei
作者	zok ze
國務	xok mou
掌握	z;j rk
運用	wrn yuj
美好	mei hou
成績	sij zik
主體	zv tri
方便	foj bin
給力	krp lik
立即	lap zik
結婚	git frn
計算機	gri svn gei
施工	si guj
雙方	s;j foj
和平	wo pij
訓練	frn lin
有機	yru gei
檢驗	gim yim
第四	dri sei
爸爸	ba ba
年前	nin cin
種子	zuj zi
一致	yrt zi
現代化	yin doi fa
抑制	yik zri
真實	zrn srd
皮膚	pei fu
運輸	wrn sv
隊伍	d;i j
再次	zoi ci
近年	grn nin
英國	yij xok
廣告	xoj gou
事件	si gin
矛盾	mau t;n
要是	yiu si
全球	cvn kru
本來	bun loi
姑娘	gu n;j
正式	zij sik
高興	gou hij
人口	yrn hru
分佈	frn bou
數量	sou l;j
變得	bin drk
多種	do zuj
忘記	moj gei
一片	yrt pin
給予	krp yv
天氣	tin hei
進步	z;n bou
難道	nan dou
錯過	co xo
寶貝	bou bui
優秀	yru sru
信號	s;n hou
設施	cit si
審計	srm gri
解放	gai foj
享受	h;j sru
財政	coi zij
充滿	cuj mun
尤其是	yru kei si
處於	cv yv
逐步	zuk bou
品牌	brn pai
有所	yru so
測定	crk dij
大多	dai do
意思	yi si
集團	zap tvn
兩國	l;j xok
道路	dou lou
微笑	mei siu
消失	siu srd
至少	zi siu
規律	qri l;d
普遍	pou pin
集體	zap tri
一項	yrt hoj
來到	loi dou
藥品	y;k brn
感受	grm sru
在家	zoi ga
女兒	n;i yi
確實	kok srd
當地	doj dei
公開	guj hoi
相應	s;j yij
測試	crk si
一方	yrt foj
快速	fai cuk
女性	n;i sij
女性	n;i sij
回去	wui h;i
居民	g;i mrn
國外	xok joi
一場	yrt c;j
不如	brt yv
一會	yrt wui
維護	wri wu
強烈	k;j lid
營養	yij y;j
避免	bei min
成熟	sij suk
水泥	s;i nri
交易	gau yik
免費	min fri
溫暖	wrn nvn
始終	ci zuj
留下	lru ha
破壞	po wai
大小	dai siu
太陽	tai y;j
文章	mrn z;j
依然	yi yin
親愛	crn oi
逐漸	zuk zim
經歷	gij lik
兄弟	hij dri
貸款	tai fun
效益	hau yik
感動	grm duj
比例	bei lri
如今	yv grm
推廣	t;i xoj
就算	zru svn
天下	tin ha
精彩	zij coi
世界上	sri gai s;j
一份	yrt frn
打開	da hoi
醫生	yi srj
本身	bun srn
上班	s;j ban
協調	hip tiu
概念	koi nim
保險	bou him
杭州	hoj zru
貫徹	gun cid
療效	liu hau
見到	gin dou
法國	fat xok
形勢	yij sri
總統	zuj tuj
陽光	y;j xoj
國民	xok mrn
同一	tuj yrd
這位	ze wri
休息	yru sik
國務院	xok mou yvn
人物	yrn mrd
唯一	wri yrd
大力	dai lik
構成	gru sij
偉大	wri dai
委員會	wri yvn wui
果然	xo yin
福建	fuk gin
馬克	ma hrk
成員	sij yvn
如下	yv ha
從來	cuj loi
情緒	cij s;i
某些	mru se
吸引	krp yrn
好想	hou s;j
玻璃	bo lei
生存	srj cvn
召開	ziu hoi
刺激	ci gik
科研	fo yin
投票	tru piu
身上	srn s;j
趨勢	c;i sri
經濟發展	gij zri fat zin
多年	do nin
預防	yv foj
慢慢	man man
發出	fat c;d
高校	gou hau
討厭	tou yim
親愛的	crn oi dik
危險	jri him
動作	duj zok
限制	han zri
購買	kru mai
因而	yrn yi
鬥爭	dru zrj
緊張	grn z;j
食品	sik brn
相同	s;j tuj
哲學	zit hok
相比	s;j bei
德國	drk xok
幾天	gei tin
防止	foj zi
滿意	mun yi
近年來	grn nin loi
核心	hrt srm
體驗	tri yim
總結	zuj gid
就業	zru yip
公路	guj lou
廣東	xoj duj
十二	srp yi
收到	sru dou
配合	pui hrp
周圍	zru wri
南京	nam gij
視頻	si prn
轉變	zvn bin
距離	k;i lei
等待	drj doi
課程	fo cij
時尚	si s;j
小心	siu srm
系列	hri lid
韓國	hon xok
英語	yij yv
表情	biu cij
數學	sou hok
貢獻	guj hin
擔心	dam srm
更新	grj srn
工人	guj yrn
女子	n;i zi
高速	gou cuk
一陣	yrt zrn
依據	yi g;i
加大	ga dai
貿易	mru yik
要有	yiu yru
一批	yrt pri
當年	doj nin
天天	tin tin
突破	drt po
歐洲	ru zru
可見	ho gin
必然	bit yin
錯誤	co j
不願	brt yvn
呵呵	ho ho
有沒有	yru mut yru
山東	san duj
忽然	frt yin
說道	svt dou
的確	dik kok
各項	gok hoj
損失	svn srd
各位	gok wri
不行	brt hrj
理由	lei yru
咖啡	ga fe
祝福	zuk fuk
強度	k;j dou
合同	hrp tuj
呼吸	fu krp
網上	moj s;j
角度	gok dou
分子	frn zi
動力	duj lik
記憶	gei yik
老闆	lou ban
醫學	yi hok
探索	tam sak
出發	c;t fad
醫療	yi liu
反對	fan d;i
在此	zoi ci
內心	noi srm
損傷	svn s;j
平衡	pij hrj
空氣	huj hei
成長	sij z;j
移動	yi duj
決策	kvt cak
推出	t;i c;d
調節	tiu zid
發佈	fat bou
效率	hau l;d
記錄	gei luk
頭髮	tru fad
此時	ci si
準確	z;n kok
挑戰	tiu zin
得很	drk hrn
文件	mrn gin
數字	sou zi
著名	zv mij
有意	yru yi
今後	grm hru
冬天	duj tin
媒體	mui tri
徹底	cit dri
黨員	doj yvn
基地	gei dei
案件	on gin
化學	fa hok
總理	zuj lei
而已	yi yi
雜誌	zap zi
吸收	krp sru
否則	fru zrk
主義	zv yi
類型	l;i yij
基金	gei grm
此外	ci joi
小說	siu svd
抓住	zau zv
學院	hok yvn
小姐	siu ze
承認	sij yij
獅子	si zi
估計	gu gri
一眼	yrt jan
最佳	z;i gai
思維	si wri
依法	yi fad
加上	ga s;j
觀點	gun dim
一口	yrt hru
完了	yvn liu
教授	gau sru
西方	sri foj
公共	guj guj
姐姐	ze ze
回憶	wui yik
說謊	svt foj
文藝	mrn jri
先後	sin hru
防治	foj zi
老婆	lou po
思考	si hau
費用	fri yuj
公里	guj lei
全省	cvn saj
專門	zvn mun
無聊	mou liu
婦女	fu n;i
一面	yrt min
小學	siu hok
完美	yvn mei
病例	bej lri
上午	s;j j
剛才	goj coi
申請	srn cij
看出	hon c;d
大型	dai yij
客觀	hak gun
濃度	nuj dou
住宅	zv zak
三十	sam srp
為此	wri ci
一旦	yrt dan
學術	hok s;d
不必	brt bid
探討	tam tou
舉辦	g;i ban
強大	k;j dai
權利	kvn lei
纖維	cim wri
接觸	zip zuk
戰爭	zin zrj
經典	gij din
一時	yrt si
房間	foj gan
主題	zv tri
同意	tuj yi
女生	n;i srj
陽性	y;j sij
平方	pij foj
各個	gok go
那時	na si
後面	hru min
社區	se k;i
夢想	muj s;j
創作	coj zok
消費者	siu fri ze
傷害	s;j hoi
學者	hok ze
中間	zuj gan
深刻	srm hrk
比如	bei yv
一塊	yrt fai
勝利	sij lei
產量	can l;j
不見	brt gin
珍惜	zrn sik
再也	zoi ya
完整	yvn zij
鼓勵	gu lri
圖書	tou sv
蘋果	pij xo
或許	wak h;i
懂得	duj drk
人士	yrn si
寶寶	bou bou
大會	dai wui
學科	hok fo
確保	kok bou
測量	crk l;j
組合	zou hrp
直到	zik dou
公安	guj on
似的	ci dik
病理	bej lei
熱情	yit cij
上面	s;j min
面臨	min lrm
失敗	srt bai
趕緊	gon grn
改革開放	goi gak hoi foj
即可	zik ho
對外	d;i joi
小孩	siu hai
一半	yrt bun
什麼時候	srm mo si hru
權力	kvn lik
昨晚	zok man
尋找	crm zau
大部	dai bou
是的	si dik
每個人	mui go yrn
江蘇	goj sou
鄧小平	drj siu pij
馬克思	ma hrk si
通知	tuj zi
講話	goj wa
個性	go sij
百分	bak frn
從事	cuj si
自覺	zi gok
英雄	yij huj
典型	din yij
活性	wut sij
西部	sri bou
筆者	brt ze
引導	yrn dou
深圳	srm zrn
引進	yrn z;n
密切	mrt cid
指數	zi sou
病毒	bej duk
又要	yru yiu
興趣	hij c;i
涉及	sip krp
參數	cam sou
是以	si yi
咱們	za mun
法規	fat qri
訪問	foj mrn
附近	fu grn
明年	mij nin
顯得	hin drk
事故	si gu
局部	guk bou
眼前	jan cin
一步	yrt bou
既然	gei yin
基層	gei crj
強化	k;j fa
國人	xok yrn
市民	si mrn
異常	yi s;j
起床	hei coj
立刻	lap hrk
怎麼辦	zrm mo ban
日前	yrt cin
把握	ba rk
房子	foj zi
發病	fat bej
流行	lru hrj
妻子	cri zi
辦公室	ban guj srd
工具	guj g;i
中午	zuj j
全市	cvn si
多麼	do mo
執法	zrp fad
可惜	ho sik
升級	sij krp
製作	zri zok
上市	s;j si
可憐	ho lin
承擔	sij dam
進口	z;n hru
好不	hou brd
食物	sik mrd
不明	brt mij
綠色	luk sik
辛苦	srn fu
路上	lou s;j
三國	sam xok
適當	sik doj
卻是	k;k si
設置	cit zi
讀者	duk ze
江澤民	goj zak mrn
飛機	fei gei
生日快樂	saj yrt fai lok
有時候	yru si hru
力度	lik dou
文獻	mrn hin
淋巴	lrm ba
上下	s;j ha
實力	srt lik
做出	zou c;d
主人	zv yrn
部位	bou wri
走出	zru c;d
好吃	hou hek
冠軍	gun xrn
發達	fat dad
接著	zip z;k
下面	ha min
常常	s;j s;j
高等	gou drj
例如	lri yv
新浪	srn loj
顏色	jan sik
祖國	zou xok
部隊	bou d;i
處女	cv n;i
協議	hip yi
糧食	l;j sik
三年	sam nin
神馬	srn ma
一系列	yrt hri lid
粉絲	frn si
判斷	pun dvn
不住	brt zv
外面	joi min
宣佈	svn bou
植物	zik mrd
實際上	srt zri s;j
物理	mrt lei
由此	yru ci
使得	sri drk
中學	zuj hok
平安	pij on
不但	brt dan
全身	cvn srn
個體	go tri
結論	git l;n
男子	nam zi
性質	sij zrd
青春	cij c;n
血液	hvt yik
節目	zit muk
風格	fuj gak
福州	fuk zru
改進	goi z;n
走向	zru h;j
射手	se sru
一輩子	yrt bui zi
輕鬆	hij suj
一部分	yrt bou frn
舒服	sv fuk
大學生	dai hok saj
共產	guj can
軍事	xrn si
拒絕	k;i zvd
標誌	biu zi
總有	zuj yru
寂寞	zik mok
上來	s;j loi
考察	hau cad
中醫	zuj yi
外國	joi xok
四川	sei cvn
分為	frn wri
戰鬥	zin dru
足球	zuk kru
對不起	d;i brt hei
安裝	on zoj
流動	lru duj
害怕	hoi pa
分離	frn lei
尊重	zvn zuj
戀愛	lvn oi
想象	s;j z;j
較好	gau hou
顯然	hin yin
中共	zuj guj
夫人	fu yrn
味道	mei dou
成分	sij frn
允許	wrn h;i
鄉鎮	h;j zrn
美女	mei n;i
恐怖	huj bou
循環	c;n wan
反正	fan zij
各國	gok xok
上海市	s;j hoi si
一百	yrt bak
輕輕	hij hij
黨委	doj wri
途徑	tou gij
切除	cit c;i
至今	zi grm
最新	z;i srn
作業	zok yip
說出	svt c;d
超級	ciu krp
位於	wri yv
哥哥	go go
紀念	gei nim
出門	c;t mun
前面	cin min
工資	guj zi
部長	bou z;j
短信	dvn s;n
背景	bui gij
老公	lou guj
第五	dri j
主任	zv yrm
高於	gou yv
各類	gok l;i
多次	do ci
情感	cij grm
禮物	lri mrd
人大	yrn dai
道理	dou lei
時刻	si hrk
特性	drk sij
與其	yv kei
打電話	da din wa
聽說	tij svd
熟悉	suk sik
尼瑪	nei ma
總體	zuj tri
重複	cuj fuk
優化	yru fa
可靠	ho kau
接近	zip grn
即將	zik z;j
激動	gik duj
分配	frn pui
可怕	ho pa
早期	zou kei
會計	wui gri
切實	cit srd
大部分	dai bou frn
團結	tvn gid
之外	zi joi
通常	tuj s;j
合格	hrp gak
本人	bun yrn
好運	hou wrn
十五	srp j
員工	yvn guj
規則	qri zrk
身份	srn frn
家長	ga z;j
常規	s;j qri
堅決	gin kvd
地球	dei kru
成就	sij zru
效應	hau yij
也就是	ya zru si
俄羅斯	jo lo si
少年	siu nin
傳播	cvn bo
好久	hou gru
協會	hip wui
毫無	hou mou
供應	guj yij
一路	yrt lou
河南	ho nam
奇怪	kei xai
互相	wu s;j
彼此	bei ci
新款	srn fun
方針	foj zrm
關節	xan zid
目光	muk xoj
心臟	srm zoj
適用	sik yuj
欣賞	yrn s;j
障礙	z;j joi
聯合國	lvn hrp xok
少數	siu sou
文字	mrn zi
簡直	gan zik
高級	gou krp
做法	zou fad
友好	yru hou
近日	grn yrd
小組	siu zou
一方面	yrt foj min
垃圾	lap sap
網站	moj zam
早已	zou yi
好友	hou yru
彷彿	foj frd
來源	loi yvn
一道	yrt dou
哪個	na go
美的	mei dik
環節	wan zid
