一个	yrt go
每天	mui tin
最大	z;i dai
促进	cuk z;n
正常	zij s;j
综合	zuj hrp
真是	zrn si
艺术	jri s;t
稳定	wrn dij
实施	srt si
造成	zou sij
真正	zrn zij
甚至	srm zi
能够	nrj gru
传统	cvn tuj
责任	zak yrm
生命	srj mij
数据	sou g;i
价格	ga gak
经过	gij xo
了解	liu gai
实验	srt yim
机构	gei kru
社会主义	se wui zv yi
工业	guj yip
电话	din wa
回来	wui loi
第三	dri sam
保证	bou zij
临床	lrm coj
大学	dai hok
调查	diu ca
教师	gau si
培养	pui y;j
因素	yrn sou
开展	hoi zin
农业	nuj yip
材料	coi liu
晚上	man s;j
取得	c;i drk
推荐	t;i zin
开心	hoi srm
转发	zvn fat
回家	wui ga
参与	cam yv
程度	cij dou
有点	yru dim
产业	can yip
以为	yi wri
相信	s;j s;n
或者	wak ze
分别	frn bit
永远	wij yvn
更多	grj do
而是	yi si
引起	yrn hei
形式	yij sik
重点	zuj dim
根本	grn bun
同志	tuj zi
充分	cuj frn
农村	nuj cvn
接受	zip sru
机会	gei wui
只能	zi nrj
分享	frn h;j
关于	xan yv
几个	gei go
全面	cvn min
减少	gam siu
措施	cou si
人才	yrn coi
资金	zi grm
多少	do siu
以来	yi loi
任务	yrm mou
建筑	gin zuk
容易	yuj yi
保持	bou ci
是否	si fru
实践	srt cin
经验	gij yim
随着	c;i z;k
竞争	gij zrj
爱情	oi cij
创造	coj zou
每一	mui yrt
当然	doj yin
最近	z;i grn
分钟	frn zuj
心理	srm lei
简单	gan dan
创新	coj srn
统一	tuj yrt
全部	cvn bou
监督	gam duk
电影	din yij
发挥	fat fri
总是	zuj si
整个	zij go
眼睛	jan zij
调整	tiu zij
好好	hou hou
农民	nuj mrn
中央	zuj y;j
越来越	yvt loi yvt
联合	lvn hrp
共同	guj tuj
报告	bou gou
设备	cit bei
目的	muk dik
帮助	boj zo
资料	zi liu
试验	si yim
来自	loi zi
人类	yrn l;i
心情	srm cij
确定	kok dij
劳动	lou duj
医院	yi yvn
原则	yvn zrk
办法	ban fat
负责	fu zak
统计	tuj gri
昨天	zok tin
是不是	si brt si
左右	zo yru
下来	ha loi
心里	srm l;i
最好	z;i hou
受到	sru dou
考虑	hau l;i
有时	yru si
速度	cuk dou
说明	svt mij
反应	fan yij
老师	lou si
消费	siu fri
采取	coi c;i
很好	hrn hou
行政	hrj zij
事业	si yip
谢谢	ze ze
卫生	wri srj
特点	drk dim
身体	srn tri
范围	fan wri
状态	zoj tai
从而	cuj yi
之一	zi yrt
降低	goj dri
具体	g;i tri
平均	pij xrn
现象	yin z;j
声音	sij yrm
一定要	yrt dij yiu
可爱	ho oi
素质	sou zrt
体系	tri hri
介绍	gai siu
表明	biu mij
力量	lik l;j
世纪	sri gei
显示	hin si
于是	yv  si
行业	hoj yip
观察	gun cat
不得	brt drk
手术	sru s;t
意识	yi sik
时代	si doi
机制	gei zri
旅游	l;i yru
实行	srt hrj
下午	ha j
以前	yi cin
找到	zau dou
体育	tri yuk
自由	zi yru
妈妈	ma ma
联系	lvn hri
良好	l;j hou
关键	xan gin
肿瘤	zuj lru
这次	ze ci
汽车	hei ce
拥有	yuj yru
业务	yip mou
他们的	ta mun dik
大量	dai l;j
重视	zuj si
想到	s;j dou
下去	ha h;i
感到	grm dou
交通	gau tuj
利益	lei yik
未来	mei loi
除了	c;i liu
带来	dai loi
离开	lei hoi
电视	din si
当时	doj si
认真	yij zrn
记得	gei drk
来说	loi svt
困难	qrn nan
首先	sru sin
方向	foj h;j
讨论	tou l;n
新华	srn wa
空间	huj gan
导致	dou zi
游戏	yru hei
专家	zvn ga
委员	wri yvn
指出	zi c;t
民族	mrn zuk
先生	sin saj
香港	h;j goj
明白	mij bak
二十	yi srp
今晚	grm man
显著	hin zv
为主	wri zv
病人	bej yrn
现实	yin srt
规范	qri fan
结束	git cuk
也许	ya h;i
合理	hrp lei
宣传	svn cvn
指导	zi dou
相关	s;j xan
新闻	srn mrn
表达	biu dat
压力	at lik
满足	mun zuk
好像	hou z;j
家庭	ga tij
发表	fat biu
在一起	zoi yrt hei
正确	zij kok
先进	sin z;n
不少	brt siu
年代	nin doi
举行	g;i hrj
尤其	yru kei
操作	cou zok
一句	yrt g;i
以下	yi ha
神经	srn gij
金融	grm yuj
生日	saj yrt
之前	zi cin
理解	lei gai
无论	mou l;n
比赛	bei coi
它们	ta mun
革命	gak mij
习惯	zap xan
年轻	nin hej
增强	zrj k;j
看见	hon gin
作品	zok brn
就要	zru yiu
改善	goi sin
更加	grj ga
重庆	cuj hij
持续	ci zuk
肯定	hrj dij
领域	lij wik
按照	on ziu
新华社	srn wa se
期待	kei doi
模式	mou sik
优势	yru sri
一声	yrt sij
死了	sei liu
相当	s;j doj
加入	ga yrp
及其	krp kei
银行	jrn hoj
土地	tou dei
年来	nin loi
同学	tuj hok
面对	min d;i
女孩	n;i hai
身边	srn bin
感谢	grm ze
超过	ciu xo
行动	hrj duj
长期	c;j kei
反映	fan yij
居然	g;i yin
组成	zou sij
评价	pij ga
下降	ha goj
故事	gu si
明确	mij kok
然而	yin yi
战略	zin l;k
适应	sik yij
职工	zik guj
规划	qri wak
青年	cij nin
需求	s;i kru
值得	zik drk
事实	si srt
怎样	zrm y;j
阶段	gai dvn
出去	c;t h;i
不再	brt zoi
相对	s;j d;i
药物	y;k mrt
完善	yvn sin
最高	z;i gou
绝对	zvt d;i
曾经	crj gij
那样	na y;j
清楚	cij co
扩大	koj dai
集中	zap zuj
用户	yuj wu
晚安	man on
几乎	gei fu
不管	brt gun
执行	zrp hrj
出版	c;t ban
销售	siu sru
音乐	yrm jok
电脑	din nou
资产	zi can
哪里	na l;i
诊断	crn dvn
证明	zij mij
及时	krp si
建议	gin yi
机关	gei xan
又是	yru si
恢复	fui fuk
丰富	fuj fu
重大	zuj dai
即使	zik si
经常	gij s;j
体制	tri zri
语言	yv yin
似乎	ci fu
圣诞	sij dan
想起	s;j hei
刚刚	goj goj
想要	s;j yiu
台湾	toi wan
到底	dou dri
温度	wrn dou
变成	bin sij
它的	ta dik
商品	s;j brn
来看	loi hon
电子	din zi
深入	srm yrp
浙江	zit goj
现场	yin c;j
培训	pui frn
有利	yru lei
人家	yrn ga
制定	zri dij
工艺	guj jri
民主	mrn zv
差异	ca yi
感染	grm yim
美元	mei yvn
属于	suk yv
投入	tru yrp
高度	gou dou
另外	lij joi
生物	srj mrt
心中	srm zuj
强调	k;j diu
新年	srn nin
感情	grm cij
往往	woj woj
指标	zi biu
第一次	dri yrt ci
回答	wui dap
看来	hon loi
连续	lin zuk
成了	sij liu
规模	qri mou
都会	dou wui
不一	brt yrt
方案	foj on
加油	ga yru
欢迎	fun yij
手段	sru dvn
必要	bit yiu
普通	pou tuj
物质	mrt zrt
意见	yi gin
观念	gun nim
位置	wri zi
时期	si kei
死亡	sei moj
出口	c;t hru
实在	srt zoi
成本	sij bun
期间	kei gan
同样	tuj y;j
做到	zou dou
收入	sru yrp
品种	brn zuj
地位	dei wri
难以	nan yi
广大	xoj dai
资本	zi bun
失去	srt h;i
消息	siu sik
其它	kei ta
照片	ziu pin
美丽	mei lri
解释	gai sik
国有	xok yru
愿意	yvn yi
加工	ga guj
不敢	brt grm
考试	hau si
迅速	s;n cuk
面积	min zik
特征	drk zij
检测	gim crk
一部	yrt bou
复杂	fuk zap
中华	zuj wa
对象	d;i z;j
年龄	nin lij
听到	tej dou
那里	na l;i
并且	bij ce
对方	d;i foj
那是	na si
广泛	xoj fan
儿童	yi tuj
过来	xo loi
后来	hru loi
体现	tri yin
状况	zoj foj
做好	zou hou
中国人	zuj xok yrn
儿子	yi zi
相互	s;j wu
自我	zi jo
犯罪	fan z;i
每次	mui ci
交流	gau lru
自身	zi srn
严格	yim gak
不足	brt zuk
符合	fu hrp
图片	tou pin
一张	yrt z;j
道德	dou drk
成果	sij xo
作出	zok c;t
成立	sij lap
所谓	so wri
正是	zij si
办公	ban guj
文学	mrn hok
对照	d;i ziu
安排	on pai
表面	biu min
适合	sik hrp
职业	zik yip
星期	sij kei
加快	ga fai
态度	tai dou
父母	fu mou
独立	duk lap
遇到	yv dou
性能	sij nrj
日子	yrt zi
生态	srj tai
应当	yij doj
含量	hrm l;j
在于	zoi yv
疾病	zrt bej
自动	zi duj
评论	pij l;n
免疫	min yik
固定	gu dij
主动	zv duj
面前	min cin
里面	l;i min
痛苦	tuj fu
父亲	fu crn
令人	lij yrn
回到	wui dou
每年	mui nin
她们	ta mun
程序	cij z;i
较大	gau dai
生长	srj z;j
转移	zvn yi
尽管	z;n gun
动物	duj mrt
这时	ze si
最终	z;i zuj
保障	bou z;j
落实	lok srt
蛋白	dan bak
好多	hou do
各级	gok krp
母亲	mou crn
市场经济	si c;j gij zri
整体	zij tri
开放	hoi foj
有限	yru han
针对	zrm d;i
吃饭	hek fan
基因	gei yrn
症状	zij zoj
推进	t;i z;n
形象	yij z;j
特殊	drk sv
软件	yvn gin
家里	ga l;i
名字	mij zi
主席	zv zik
今日	grm yrt
几年	gei nin
漂亮	piu l;j
推动	t;i duj
客户	hak wu
重新	cuj srn
仍然	yij yin
上述	s;j s;t
广州	xoj zru
内部	noi bou
马上	ma s;j
学会	hok wui
真心	zrn srm
放弃	foj hei
一段	yrt dvn
好看	hou hon
一边	yrt bin
机械	gei hai
那种	na zuj
缺乏	kvt frt
不够	brt gru
一家	yrt ga
运行	wrn hrj
商业	s;j yip
巨大	g;i dai
之中	zi zuj
模型	mou yij
不可能	brt ho nrj
文明	mrn mij
关心	xan srm
制造	zri zou
早上	zou s;j
突出	drt c;t
本文	bun mrn
各地	gok dei
区域	k;i wik
当前	doj cin
风险	fuj him
追求	z;i kru
血管	hvt gun
竟然	gij yin
一生	yrt srj
老人	lou yrn
理想	lei s;j
特色	drk sik
样子	y;j zi
改造	goi zou
毕业	brt yip
书记	sv gei
作者	zok ze
国务	xok mou
掌握	z;j rk
运用	wrn yuj
美好	mei hou
成绩	sij zik
主体	zv tri
方便	foj bin
给力	krp lik
立即	lap zik
结婚	git frn
计算机	gri svn gei
施工	si guj
双方	s;j foj
和平	wo pij
训练	frn lin
有机	yru gei
检验	gim yim
第四	dri sei
爸爸	ba ba
年前	nin cin
种子	zuj zi
一致	yrt zi
现代化	yin doi fa
抑制	yik zri
真实	zrn srt
皮肤	pei fu
运输	wrn sv
队伍	d;i j
再次	zoi ci
近年	grn nin
英国	yij xok
广告	xoj gou
事件	si gin
矛盾	mau t;n
要是	yiu si
全球	cvn kru
本来	bun loi
姑娘	gu n;j
正式	zij sik
高兴	gou hij
人口	yrn hru
分布	frn bou
数量	sou l;j
变得	bin drk
多种	do zuj
忘记	moj gei
一片	yrt pin
给予	krp yv
天气	tin hei
进步	z;n bou
难道	nan dou
错过	co xo
宝贝	bou bui
优秀	yru sru
信号	s;n hou
设施	cit si
审计	srm gri
解放	gai foj
享受	h;j sru
财政	coi zij
充满	cuj mun
尤其是	yru kei si
处于	cv yv
逐步	zuk bou
品牌	brn pai
有所	yru so
测定	crk dij
大多	dai do
意思	yi si
集团	zap tvn
两国	l;j xok
道路	dou lou
微笑	mei siu
消失	siu srt
至少	zi siu
规律	qri l;t
普遍	pou pin
集体	zap tri
一项	yrt hoj
来到	loi dou
药品	y;k brn
感受	grm sru
在家	zoi ga
女儿	n;i yi
确实	kok srt
当地	doj dei
公开	guj hoi
相应	s;j yij
测试	crk si
一方	yrt foj
快速	fai cuk
女性	n;i sij
女性	n;i sij
回去	wui h;i
居民	g;i mrn
国外	xok joi
一场	yrt c;j
不如	brt yv
一会	yrt wui
维护	wri wu
强烈	k;j lit
营养	yij y;j
避免	bei min
成熟	sij suk
水泥	s;i nri
交易	gau yik
免费	min fri
温暖	wrn nvn
始终	ci zuj
留下	lru ha
破坏	po wai
大小	dai siu
太阳	tai y;j
文章	mrn z;j
依然	yi yin
亲爱	crn oi
逐渐	zuk zim
经历	gij lik
兄弟	hij dri
贷款	tai fun
效益	hau yik
感动	grm duj
比例	bei lri
如今	yv grm
推广	t;i xoj
就算	zru svn
天下	tin ha
精彩	zij coi
世界上	sri gai s;j
一份	yrt frn
打开	da hoi
医生	yi srj
本身	bun srn
上班	s;j ban
协调	hip tiu
概念	koi nim
保险	bou him
杭州	hoj zru
贯彻	gun cit
疗效	liu hau
见到	gin dou
法国	fat xok
形势	yij sri
总统	zuj tuj
阳光	y;j xoj
国民	xok mrn
同一	tuj yrt
这位	ze wri
休息	yru sik
国务院	xok mou yvn
人物	yrn mrt
唯一	wri yrt
大力	dai lik
构成	gru sij
伟大	wri dai
委员会	wri yvn wui
果然	xo yin
福建	fuk gin
马克	ma hrk
成员	sij yvn
如下	yv ha
从来	cuj loi
情绪	cij s;i
某些	mru se
吸引	krp yrn
好想	hou s;j
玻璃	bo lei
生存	srj cvn
召开	ziu hoi
刺激	ci gik
科研	fo yin
投票	tru piu
身上	srn s;j
趋势	c;i sri
经济发展	gij zri fat zin
多年	do nin
预防	yv foj
慢慢	man man
发出	fat c;t
高校	gou hau
讨厌	tou yim
亲爱的	crn oi dik
危险	jri him
动作	duj zok
限制	han zri
购买	kru mai
因而	yrn yi
斗争	dru zrj
紧张	grn z;j
食品	sik brn
相同	s;j tuj
哲学	zit hok
相比	s;j bei
德国	drk xok
几天	gei tin
防止	foj zi
满意	mun yi
近年来	grn nin loi
核心	hrt srm
体验	tri yim
总结	zuj git
就业	zru yip
公路	guj lou
广东	xoj duj
十二	srp yi
收到	sru dou
配合	pui hrp
周围	zru wri
南京	nam gij
视频	si prn
转变	zvn bin
距离	k;i lei
等待	drj doi
课程	fo cij
时尚	si s;j
小心	siu srm
系列	hri lit
韩国	hon xok
英语	yij yv
表情	biu cij
数学	sou hok
贡献	guj hin
担心	dam srm
更新	grj srn
工人	guj yrn
女子	n;i zi
高速	gou cuk
一阵	yrt zrn
依据	yi g;i
加大	ga dai
贸易	mru yik
要有	yiu yru
一批	yrt pri
当年	doj nin
天天	tin tin
突破	drt po
欧洲	ru zru
可见	ho gin
必然	bit yin
错误	co j
不愿	brt yvn
呵呵	ho ho
有没有	yru mut yru
山东	san duj
忽然	frt yin
说道	svt dou
的确	dik kok
各项	gok hoj
损失	svn srt
各位	gok wri
不行	brt hrj
理由	lei yru
咖啡	ga fe
祝福	zuk fuk
强度	k;j dou
合同	hrp tuj
呼吸	fu krp
网上	moj s;j
角度	gok dou
分子	frn zi
动力	duj lik
记忆	gei yik
老板	lou ban
医学	yi hok
探索	tam sak
出发	c;t fat
医疗	yi liu
反对	fan d;i
在此	zoi ci
内心	noi srm
损伤	svn s;j
平衡	pij hrj
空气	huj hei
成长	sij z;j
移动	yi duj
决策	kvt cak
推出	t;i c;t
调节	tiu zit
发布	fat bou
效率	hau l;t
记录	gei luk
头发	tru fat
此时	ci si
准确	z;n kok
挑战	tiu zin
得很	drk hrn
文件	mrn gin
数字	sou zi
著名	zv mij
有意	yru yi
今后	grm hru
冬天	duj tin
媒体	mui tri
彻底	cit dri
党员	doj yvn
基地	gei dei
案件	on gin
化学	fa hok
总理	zuj lei
而已	yi yi
杂志	zap zi
吸收	krp sru
否则	fru zrk
主义	zv yi
类型	l;i yij
基金	gei grm
此外	ci joi
小说	siu svt
抓住	zau zv
学院	hok yvn
小姐	siu ze
承认	sij yij
狮子	si zi
估计	gu gri
一眼	yrt jan
最佳	z;i gai
思维	si wri
依法	yi fat
加上	ga s;j
观点	gun dim
一口	yrt hru
完了	yvn liu
教授	gau sru
西方	sri foj
公共	guj guj
姐姐	ze ze
回忆	wui yik
说谎	svt foj
文艺	mrn jri
先后	sin hru
防治	foj zi
老婆	lou po
思考	si hau
费用	fri yuj
公里	guj lei
全省	cvn saj
专门	zvn mun
无聊	mou liu
妇女	fu n;i
一面	yrt min
小学	siu hok
完美	yvn mei
病例	bej lri
上午	s;j j
刚才	goj coi
申请	srn cij
看出	hon c;t
大型	dai yij
客观	hak gun
浓度	nuj dou
住宅	zv zak
三十	sam srp
为此	wri ci
一旦	yrt dan
学术	hok s;t
不必	brt bit
探讨	tam tou
举办	g;i ban
强大	k;j dai
权利	kvn lei
纤维	cim wri
接触	zip zuk
战争	zin zrj
经典	gij din
一时	yrt si
房间	foj gan
主题	zv tri
同意	tuj yi
女生	n;i srj
阳性	y;j sij
平方	pij foj
各个	gok go
那时	na si
后面	hru min
社区	se k;i
梦想	muj s;j
创作	coj zok
消费者	siu fri ze
伤害	s;j hoi
学者	hok ze
中间	zuj gan
深刻	srm hrk
比如	bei yv
一块	yrt fai
胜利	sij lei
产量	can l;j
不见	brt gin
珍惜	zrn sik
再也	zoi ya
完整	yvn zij
鼓励	gu lri
图书	tou sv
苹果	pij xo
或许	wak h;i
懂得	duj drk
人士	yrn si
宝宝	bou bou
大会	dai wui
学科	hok fo
确保	kok bou
测量	crk l;j
组合	zou hrp
直到	zik dou
公安	guj on
似的	ci dik
病理	bej lei
热情	yit cij
上面	s;j min
面临	min lrm
失败	srt bai
赶紧	gon grn
改革开放	goi gak hoi foj
即可	zik ho
对外	d;i joi
小孩	siu hai
一半	yrt bun
什么时候	srm mo si hru
权力	kvn lik
昨晚	zok man
寻找	crm zau
大部	dai bou
是的	si dik
每个人	mui go yrn
江苏	goj sou
邓小平	drj siu pij
马克思	ma hrk si
通知	tuj zi
讲话	goj wa
个性	go sij
百分	bak frn
从事	cuj si
自觉	zi gok
英雄	yij huj
典型	din yij
活性	wut sij
西部	sri bou
笔者	brt ze
引导	yrn dou
深圳	srm zrn
引进	yrn z;n
密切	mrt cit
指数	zi sou
病毒	bej duk
又要	yru yiu
兴趣	hij c;i
涉及	sip krp
参数	cam sou
是以	si yi
咱们	za mun
法规	fat qri
访问	foj mrn
附近	fu grn
明年	mij nin
显得	hin drk
事故	si gu
局部	guk bou
眼前	jan cin
一步	yrt bou
既然	gei yin
基层	gei crj
强化	k;j fa
国人	xok yrn
市民	si mrn
异常	yi s;j
起床	hei coj
立刻	lap hrk
怎么办	zrm mo ban
日前	yrt cin
把握	ba rk
房子	foj zi
发病	fat bej
流行	lru hrj
妻子	cri zi
办公室	ban guj srt
工具	guj g;i
中午	zuj j
全市	cvn si
多么	do mo
执法	zrp fat
可惜	ho sik
升级	sij krp
制作	zri zok
上市	s;j si
可怜	ho lin
承担	sij dam
进口	z;n hru
好不	hou brt
食物	sik mrt
不明	brt mij
绿色	luk sik
辛苦	srn fu
路上	lou s;j
三国	sam xok
适当	sik doj
却是	k;k si
设置	cit zi
读者	duk ze
江泽民	goj zak mrn
飞机	fei gei
生日快乐	saj yrt fai lok
有时候	yru si hru
力度	lik dou
文献	mrn hin
淋巴	lrm ba
上下	s;j ha
实力	srt lik
做出	zou c;t
主人	zv yrn
部位	bou wri
走出	zru c;t
好吃	hou hek
冠军	gun xrn
发达	fat dat
接着	zip z;k
下面	ha min
常常	s;j s;j
高等	gou drj
例如	lri yv
新浪	srn loj
颜色	jan sik
祖国	zou xok
部队	bou d;i
处女	cv n;i
协议	hip yi
粮食	l;j sik
三年	sam nin
神马	srn ma
一系列	yrt hri lit
粉丝	frn si
判断	pun dvn
不住	brt zv
外面	joi min
宣布	svn bou
植物	zik mrt
实际上	srt zri s;j
物理	mrt lei
由此	yru ci
使得	sri drk
中学	zuj hok
平安	pij on
不但	brt dan
全身	cvn srn
个体	go tri
结论	git l;n
男子	nam zi
性质	sij zrt
青春	cij c;n
血液	hvt yik
节目	zit muk
风格	fuj gak
福州	fuk zru
改进	goi z;n
走向	zru h;j
射手	se sru
一辈子	yrt bui zi
轻松	hij suj
一部分	yrt bou frn
舒服	sv fuk
大学生	dai hok saj
共产	guj can
军事	xrn si
拒绝	k;i zvt
标志	biu zi
总有	zuj yru
寂寞	zik mok
上来	s;j loi
考察	hau cat
中医	zuj yi
外国	joi xok
四川	sei cvn
分为	frn wri
战斗	zin dru
足球	zuk kru
对不起	d;i brt hei
安装	on zoj
流动	lru duj
害怕	hoi pa
分离	frn lei
尊重	zvn zuj
恋爱	lvn oi
想象	s;j z;j
较好	gau hou
显然	hin yin
中共	zuj guj
夫人	fu yrn
味道	mei dou
成分	sij frn
允许	wrn h;i
乡镇	h;j zrn
美女	mei n;i
恐怖	huj bou
循环	c;n wan
反正	fan zij
各国	gok xok
上海市	s;j hoi si
一百	yrt bak
轻轻	hij hij
党委	doj wri
途径	tou gij
切除	cit c;i
至今	zi grm
最新	z;i srn
作业	zok yip
说出	svt c;t
超级	ciu krp
位于	wri yv
哥哥	go go
纪念	gei nim
出门	c;t mun
前面	cin min
工资	guj zi
部长	bou z;j
短信	dvn s;n
背景	bui gij
老公	lou guj
第五	dri j
主任	zv yrm
高于	gou yv
各类	gok l;i
多次	do ci
情感	cij grm
礼物	lri mrt
人大	yrn dai
道理	dou lei
时刻	si hrk
特性	drk sij
与其	yv kei
打电话	da din wa
听说	tij svt
熟悉	suk sik
尼玛	nei ma
总体	zuj tri
重复	cuj fuk
优化	yru fa
可靠	ho kau
接近	zip grn
即将	zik z;j
激动	gik duj
分配	frn pui
可怕	ho pa
早期	zou kei
会计	wui gri
切实	cit srt
大部分	dai bou frn
团结	tvn git
之外	zi joi
通常	tuj s;j
合格	hrp gak
本人	bun yrn
好运	hou wrn
十五	srp j
员工	yvn guj
规则	qri zrk
身份	srn frn
家长	ga z;j
常规	s;j qri
坚决	gin kvt
地球	dei kru
成就	sij zru
效应	hau yij
也就是	ya zru si
俄罗斯	jo lo si
少年	siu nin
传播	cvn bo
好久	hou gru
协会	hip wui
毫无	hou mou
供应	guj yij
一路	yrt lou
河南	ho nam
奇怪	kei xai
互相	wu s;j
彼此	bei ci
新款	srn fun
方针	foj zrm
关节	xan zit
目光	muk xoj
心脏	srm zoj
适用	sik yuj
欣赏	yrn s;j
障碍	z;j joi
联合国	lvn hrp xok
少数	siu sou
文字	mrn zi
简直	gan zik
高级	gou krp
做法	zou fat
友好	yru hou
近日	grn yrt
小组	siu zou
一方面	yrt foj min
垃圾	lap sap
网站	moj zam
早已	zou yi
好友	hou yru
仿佛	foj frt
来源	loi yvn
一道	yrt dou
哪个	na go
美的	mei dik
环节	wan zit
双鱼	s;j yv
义务	yi mou
形态	yij tai
奖励	z;j lri
坚强	gin k;j
究竟	gru gij
试试	si si
动态	duj tai
单纯	dan s;n
十一	srp yrt
大概	dai koi
天津	tin z;n
注射	zv se
有可能	yru ho nrj
话说	wa svt
金牛	grm jru
丈夫	z;j fu
葡萄	pou tou
不容	brt yuj
注重	zv zuj
公布	guj bou
