---config@码表分类=辅码码表
---config@码表别名=笔画
---config@允许编辑=是
# d w s z p
#点横竖折撇

的	pszwwpzd
六	dwpd
军	dzwzws
接	wswdwdpwzpw
处	pzdsd
者	wswpszww
色	pzzswz
八	pd
世	wsswz
像	pspzszwpzpppd
期	wsswwwpdpzww
求	wsdwpdd
设	dzpzzd
白	pszww
许	dzpwws
运	wwzddzd
亲	dwdpwwspd
指	wswpzszww
任	pspwsw
图	szpzdddw
通	zdszwwsdzd
觉	ddpdzszpz
论	dzpdpz
爱	pddpdzwpzd
条	pzdwspd
式	wwswzd
门	dsz
例	pswpzdss
界	szwswpdps
即	zwwzdzs
且	szwww
海	ddwpwzzdwd
港	ddwwsswpdzwz
万	wzp
吗	szwzzw
字	ddzzsw
记	dzzwz
快	ddszwpd
象	pzszwpzpppd
建	zwwwwszd
算	pwdpwdszwwwwps
提	wswszwwwswpd
组	zzwszwww
称	pwspdpzspd
近	ppwsdzd
却	wswzdzs
花	wsspspz
共	wsswpd
带	wsssdzszs
往	ppsdwwsw
观	zdszpz
完	ddzwwpz
场	wswzpp
感	wpwszwzpddzdd
风	pzpd
件	pspwws
类	dpwspdwpd
难	zdpsdwwwsw
特	pwswwswwsd
住	psdwwsw
信	psdwwwszw
决	dwzwpd
程	pwspdszwwwsw
示	wwspd
空	ddzpdwsw
号	szwwz
影	szwwdwszwspdppp
何	pswszws
展	zwpwsswzpd
北	swwpz
认	dzpd
制	pwwszsss
思	szwswdzdd
质	ppwsszpd
科	pwspdddws
吃	szwpwz
较	wzswdwpdpd
半	dpwws
市	dwszs
球	wwswwsdwpdd
取	wsswwwzd
望	dwzpzwwwwsw
强	zwzszwszwswd
流	ddwdwzdpsz
笑	pwdpwdpwpd
片	pswz
坐	pdpdwsw
该	dzdwzppd
王	wwsw
验	zzwpdwddpw
阶	zspdps
交	dwpdpd
党	sdpdzszwpz
区	wpdz
早	szwwws
保	psszwwspd
造	pwswszwdzd
千	pws
极	wspdpzd
热	wswpzddddd
写	dzwzw
队	zspd
管	pwdpwdddzszwzw
七	wz
根	wspdzwwzpd
目	szwww
父	pdpd
南	wsszdpwws
安	ddzzpw
孩	zswdwzppd
资	dwpzpdszpd
非	swwwswww
神	dzsdszwws
改	zwzpwpd
切	wzzp
师	spwszs
妈	zpwzzw
金	pdwwsdpw
转	wzswwwzd
若	wsswpszw
死	wpzdpz
品	szwszwszw
清	ddwwwswszww
满	ddwwsswszpdpd
报	wswzszd
农	dzpzpd
单	dpszwwws
办	zpdd
级	zzwpzd
马	zzw
远	wwpzdzd
吧	szwzswz
收	zspwpd
步	swswspp
据	wswzwpwsszw
连	wzwsdzd
容	ddzpdpdszw
段	pswwwpzzd
争	pzzwws
离	dwpdzsszzd
服	pzwwzszd
跟	szwswswzwwzpd
视	dzsdszpz
试	dzwwswzd
究	ddzpdpz
告	pwswszw
音	dwdpwszww
导	zwzwsd
统	zzwdwzdpz
积	pwspdszwpd
治	ddwzdszw
香	pwspdszww
张	zwzpwzd
士	wsw
识	dzszwpd
易	szwwpzpp
须	pppwpszpd
虽	szwszwswd
照	szwwzpszwdddd
料	dpwspdddws
似	pszdpd
器	szwszwwpddszwszw
苦	wsswsszw
始	zpwzdszw
故	wsszwpwpd
乐	pzspd
整	wszwspdpwpdwswsw
术	wspdd
革	wsswszwws
精	dpwspdwwswszww
火	dppd
传	pswwzd
需	wdzsddddwpszss
友	wpzd
务	pzdzp
确	wpszwpzpzwws
约	zzwpzd
研	wpszwwwps
系	pzzdspd
领	pddzdwpszpd
失	pwwpd
除	zspdwwspd
请	dzwwswszww
份	pspdzp
未	wwspd
消	ddwsdpszww
越	wswswpdwzzpd
具	szwwwwpd
曾	dpszsdpwszww
志	wswdzdd
商	dwdpszpdszw
够	pzszwpzdpzd
谈	dzdppddppd
达	wpddzd
足	szwswpd
深	ddwdzpdwspd
项	wswwpszpd
备	pzdszwsw
钱	pwwwzwwzpd
轻	wzswzdwsw
青	wwswszww
府	dwppswsd
般	ppzdwdpzzd
石	wpszw
校	wspddwpdpd
演	ddwddzwszwswpd
准	dwpsdwwwsw
持	wswwswwsd
兴	ddpwpd
众	pdpdpd
包	pzzwz
食	pddzwwzpd
增	wswdpszsdpwszww
响	szwpszszw
船	ppzdwdpzszw
病	dwpdwwszpd
细	zzwszwsw
飞	zpd
答	pwdpwdpdwszw
仍	pszp
习	zdw
值	pswsszwwww
列	wpzdss
米	dpwspd
亦	dwpspd
功	wswzp
让	dzsww
率	dwzzddwpdws
晚	szwwpzszwpz
参	zdwpdppp
母	zzdwd
节	wsszs
价	pspdps
调	dzpzwswszw
土	wsw
讲	dzwwps
另	szwzp
河	ddwwszws
院	zsddzwwpz
房	dzwpdwzp
找	wswwzpd
济	ddwdwpdps
基	wsswwwpdwsw
拿	pdwszwpwws
星	szwwpwwsw
言	dwwwszw
英	wssszwpd
息	pszwwwdzdd
装	dwswswdwpzpd
举	ddpwpdwws
育	dwzdszww
温	ddwszwwszssw
随	zswpszwwdzd
黑	szdpwswwdddd
群	zwwpszwdpwwws
买	zddwpd
欢	zdpzpd
画	wszwswzs
史	szwpd
劳	wssdzzp
夜	dwpspzdd
集	psdwwwswwspd
站	dwdpwswszw
衣	dwpzpd
落	wssddwpzdszw
团	szwspw
底	dwppzwzd
规	wwpdszpz
联	wsswwwdpwwpd
谁	dzpsdwwwsw
古	wsszw
夫	wwpd
哪	szwzwwpzs
首	dpwpszwww
选	pwswpzdzd
际	zswwspd
司	zwszw
啊	szwzswszws
推	wswpsdwwwsw
刻	dwzppdss
均	wswpzdw
喜	wswszwdpwszw
引	zwzs
红	zzwwsw
留	pzdzpszwsw
倒	pswzdwswss
渐	ddwwzswppws
证	dzwswsw
养	dpwwwpdps
读	dzwszddwpd
存	wpszsw
官	ddzszwzw
呀	szwwzsp
格	wspdpzdszw
怕	ddspszww
断	dpwspdzppws
您	pspzspddzdd
树	wspdzdwsd
纸	zzwpzwz
送	dpwwpddzd
令	pddzd
广	dwp
专	wwzd
干	wws
久	pzd
岁	szspzd
注	ddwdwwsw
低	pspzwzd
支	wszd
简	pwdpwddszszww
显	szwwssdpw
医	wpwwpdz
愿	wppszwwspddzdd
族	dwzppwpwwpd
初	dzspdzp
历	wpzp
境	wswdwdpwszwwpz
爸	pdpdzswz
铁	pwwwzpwwpd
势	wswpzdzp
环	wwswwpsd
乎	pdpws
标	wspdwwspd
议	dzdpd
斗	ddws
差	dpwwwpwsw
适	pwsszwdzd
屋	zwpwzdwsw
助	szwwwzp
织	zzwszwpd
皮	zpszd
块	wswzwpd
哥	wszwswszws
微	ppsszswpzpwpd
朋	pzwwpzww
客	ddzpzdszw
黄	wsswszwswpd
依	psdwpzpd
紧	sszdzzdspd
油	ddwszwsw
拉	wswdwdpw
假	pszwswwzwzd
续	zzwwszddwpd
速	wszwspddzd
草	wssszwwws
局	zwpzszw
华	pspzws
右	wpszw
吸	szwpzd
脸	pzwwpdwddpw
阳	zsszww
终	zzwpzddd
考	wswpwz
素	wwswzzdspd
破	wpszwzpszd
脚	pzwwwswzdzs
属	zwppszwszswd
敌	pwsszwpwpd
况	dwszwpz
权	wspdzd
刚	szpdss
围	szwwzsw
技	wswwszd
费	zwzpsszpd
置	szsswwsszwwww
句	pzszw
城	wswwpzzpd
严	wssdpwp
止	swsw
男	szwswzp
忙	ddsdwz
态	wpdddzdd
害	ddzwwwsszw
排	wswswwwswww
错	pwwwzwsswszww
穿	ddzpdwzsp
密	ddzdzdpdszs
致	wzdwswpwpd
钟	pwwwzszws
弟	dpzwzsp
急	pzzwwdzdd
赛	ddzwwsswpdszpd
兵	pswswpd
供	pswsswpd
诉	dzppwsd
台	zdszw
否	wpsdszw
静	wwswszwwpzzwws
睡	szwwwpwswssww
左	wpwsw
查	wspdszwww
林	wspdwspd
压	wpwswd
某	wsswwwspd
胜	pzwwpwwsw
划	wzpdss
厂	wp
察	ddzpzddzdwwspd
击	wwszs
洲	ddwdpdsds
午	pwws
周	pzwswszw
绝	zzwpzzswz
停	psdwszwdzws
继	zzwdpwspdz
帝	dwdpdzszs
艺	wssz
伤	pspwzp
居	zwpwsszw
鱼	pzszwsww
跑	szwswswpzzwz
语	dzwszwszw
派	ddwpppzpd
念	pddzdzdd
纪	zzwzwz
叶	szwws
奇	wpdwszws
卖	wszddwpd
余	pdwwspd
班	wwswdpwwsw
省	spdpszwww
唱	szwszwwszww
味	szwwwspd
德	ppswsszsswwdzdd
德	ppswpszsswwdzdd
室	ddzwzdwsw
充	dwzdpz
圆	szszwszpdw
雨	wszsdddd
防	zsdwzp
银	pwwwzzwwzpd
负	pzszpd
责	wwswszpd
毛	pwwz
竟	dwdpwszwwpz
爷	pdpdzs
帮	wwwpzsszs
液	ddwdwpspzdd
射	pszwwwpwsd
配	wszpzwwzwz
酒	ddwwszpzww
睛	szwwwwwswszww
律	ppszwwwws
状	dwswpdd
构	wspdpzzd
尽	zwpddd
血	pszssw
饭	pzzppzd
歌	wszwswszwspzpd
布	wpszs
采	pddpwspd
赶	wswswpdwws
冷	dwpddzd
怪	ddszdwsw
靠	pwswszwswwwswww
委	pwspdzpw
效	dwpdpdpwpd
坏	wswwpsd
复	pwszwwpzd
投	wswpzzd
慢	ddsszwwszsswzd
灯	dppdws
木	wspd
获	wsspzpwpdd
案	ddzzpwwspd
双	zdzd
洋	ddwdpwwws
层	zwpwwzd
含	pddzszw
护	wswdzwp
弹	zwzdpszwwws
待	ppswswwsd
修	psspzdppp
尤	wpzd
昨	szwwpwsww
突	ddzpdwpdd
讨	dzwsd
村	wspdwsd
沙	ddwspdp
批	wswwzpz
减	dwwpwszwzpd
货	pspzszpd
课	dzszwwwspd
啦	szwwswdwdpw
坚	sszdwsw
敢	zwsswwwpwpd
亮	dwszwdzpz
预	zdzswpszpd
笔	pwdpwdpwwz
误	dzszwwwpd
既	zwwzdwzpz
述	wspdddzd
短	pwwpdwszwdpw
汽	ddwpwwz
拍	wswpszww
营	wssdzszwszw
顶	wswpszpd
席	dwpwsswszs
趣	wswswpdwsswwwzd
限	zszwwzpd
药	wsszzwpzd
固	szwsszww
植	wspdwsszwwww
警	wsspzszwpwpddwwwszw
维	zzwpsdwwwsw
抗	wswdwpz
忽	pzppdzdd
概	wspdzwwzdwzpz
呼	szwpdpws
章	dwdpwszwwws
脑	pzwwdwpdzs
互	wzzw
股	pzwwpzzd
乱	pwsszwz
座	dwppdpdwsw
距	szwswswwzwz
武	wwswswzd
剧	zwpwsszwss
顾	wpzzwpszpd
创	pdzzss
印	pzwzs
希	pdwpszs
亚	wssdpw
激	ddwpszwwdwzppwpd
烧	dppdwzpwpz
杂	pzwspd
职	wsswwwszwpd
输	wzswpdwszwwss
练	zzwwzzpd
端	dwdpwszswpszss
朝	wsszwwwspzww
替	wwpdwwpdszww
险	zspdwddpw
免	pzszwpz
施	dwzppwzsz
独	pzpszwswd
缺	pwwszszwpd
旧	sszww
景	szwwdwszwspd
妇	zpwzww
旁	dwdpdzdwzp
姐	zpwszwww
源	ddwwppszwwspd
阵	zswzws
祖	dzsdszwww
仅	pszd
谓	dzszwswszww
担	wswszwww
测	ddwszpdss
江	ddwwsw
异	zwzwps
乘	pwsswwpzpd
曲	szwssw
牛	pwws
跳	szwswswpdwzpd
换	wswpzszwpd
富	ddzwszwszwsw
惊	ddsdwszwspd
遇	szwwszswddzd
困	szwspdw
按	wswddzzpw
略	szwswpzdszw
恶	wssdpwdzdd
永	dzzpd
良	dzwwzpd
型	wwpssswsw
嘴	szwswswpzpzpzwws
园	szwwpzw
怀	ddswpsd
乡	zzp
检	wspdpdwddpw
克	wsszwpz
升	pwps
封	wswwswwsd
板	wspdppzd
店	dwpswszw
守	ddzwsd
陆	zswwszs
背	swwpzszww
救	wsdwpddpwpd
玩	wwswwwpz
烈	wpzdssdddd
礼	dzsdz
善	dpwwwsdpwszw
痛	dwpdwzdszwws
杀	pdwspd
括	wswpwsszw
毒	wwswzzdwd
戏	zdwzpd
攻	wswpwpd
苏	wsszpdd
普	dpwssdpwszww
透	pwspdzpdzd
途	pdwwspddzd
肉	szpdpd
肯	swswszww
沈	ddwdzpz
烟	dppdszwpdw
田	szwsw
优	pswpzd
娘	zpwdzwwzpd
付	pswsd
汉	ddwzd
败	szpdpwpd
幸	wswdpwws
春	wwwpdszww
暗	szwwdwdpwszww
绿	zzwzwwsdwpd
尺	zwpd
模	wspdwssszwwwpd
熟	dwszwzswpzddddd
伟	pswwzs
掉	wswswszwwws
央	szwpd
婚	zpwpzwzszww
录	zwwsdwpd
野	szwwswwzdzs
益	dpwpdszssw
丽	wszdszd
材	wspdwsp
散	wsswszwwpwpd
票	wszsswwwspd
镜	pwwwzdwdpwszwwpz
喝	szwszwwpzpdz
序	dwpzdzs
菜	wsspddpwspd
判	dpwwpss
骨	szzdzszww
巴	zswz
楼	wspddpwspdzpw
湾	ddwdwsspdzwz
摇	wswpddppwwszs
附	zspswsd
露	wdzsddddszwswswpzdszw
策	pwdpwdwszspd
款	wswwwspdpzpd
卫	zsw
欧	wpdzpzpd
罢	szsswwswzd
盛	wpzzpdszssw
诺	dzwsswpszw
楚	wspdwspdzswpd
庄	dwpwsw
咱	szwpszwww
逐	wpzpppddzd
染	ddwpzwspd
疑	pzpwwpdzdzswpd
季	pwspdzsw
移	pwspdpzdpzd
虫	szwswd
零	wdzsddddpddzd
床	dwpwspd
健	pszwwwwszd
街	ppswswwswwws
雪	wdzsddddzww
旅	dwzppwpzpd
粉	dpwspdpdzp
介	pdps
顺	psswpszpd
忘	dwzdzdd
占	swszw
斯	wsswwwpdppws
丝	zzzzw
训	dzpss
灭	wdppd
云	wwzd
县	szwwwzd
福	dzsdwszwszwsw
鼓	wswszwdpwwszd
折	wswppws
窗	ddzpdpszpzdw
夏	wpszwwwpzd
冲	dwszws
宣	ddzwszwww
翠	zdwzdwdwpdpdws
降	zspzdwzs
游	ddwdwzppwzsw
针	pwwwzws
酸	wszpzwwzdpdpzd
岸	szswpwws
愈	pdwszwwssdzdd
桥	wspdpwpdps
钢	pwwwzszpd
追	pszwzwdzd
氧	pwwzdpwwws
舞	pwwsssswpzdwzs
堂	sdpdzszwwsw
闻	dszwsswww
弄	wwswwps
宝	ddzwwswd
危	pzwpzz
妹	zpwwwspd
协	wszpdd
哭	szwszwwpdd
喊	szwwpwszwzpd
谢	dzpszwwwpwsd
洗	ddwpwswpz
超	wswswpdzpszw
硬	wpszwwszwwpd
浪	ddwdzwwzpd
范	wssddwzz
懂	ddswsspwszwwsww
挥	wswdzwzws
宗	ddzwwspd
甲	szwws
燃	dppdpzddwpdddddd
鲜	pzszwswwdpwwws
贵	szwswszpd
评	dzwdpws
凡	pzd
架	zpszwwspd
临	sspwdszsw
棉	wspdpszwwszs
耳	wsswww
馆	pzzddzszwzw
齐	dwpdps
彩	pddpwspdppp
抽	wswszwsw
轮	wzswpdpz
迎	pzzsdzd
努	zpwzdzp
翻	pdpwspdszwswzdwzdw
遍	dzwpszwssdzd
抱	wswpzzwz
触	pzpzwwsszwswd
孔	zswz
徒	ppswswswpd
毫	dwszwdzpwwz
访	dzdwzp
沿	ddwpzszw
阿	zswszws
唯	szwpsdwwwsw
搜	wswpswzwwszd
培	wswdwdpwszw
盘	ppzdwdszssw
州	dpdsds
企	pdswsw
赞	pwswpzpwswpzszpd
丰	wwws
灵	zwwdppd
康	dwpzwwsdwpd
纷	zzwpdzp
京	dwszwspd
亡	dwz
泥	ddwzwppz
波	ddwzpszd
倍	psdwdpwszw
罗	szsswpzd
诗	dzwswwsd
混	ddwszwwwzpz
仔	pszsw
尚	sdpszszw
招	wswzpszw
廿	wssw
副	wszwszwswss
姑	zpwwsszw
径	ppszdwsw
税	pwspddpszwpz
匪	wswwwswwwz
释	pdpwspdzdwws
圈	szdpwwpdzzw
惯	ddszzswszpd
枪	wspdpdzz
氏	pzwz
握	wswzwpwzdwsw
私	pwspdzd
蛋	zswpdszwswd
刀	zp
巨	wzwz
承	zswwwzpd
财	szpdwsp
退	zwwzpddzd
额	ddzpzdszwwpszpd
威	wpwzpwzpd
绍	zzwzpszw
归	spzww
侵	pszwwdzzd
束	wszwspd
避	zwpszwdwdpwwsdzd
兄	szwpz
筑	pwdpwdwswpzd
厘	wpszwwsww
休	pswspd
摆	wswszsswwswzd
遭	wszwsswszwwdzd
户	dzwp
控	wswddzpdwsw
莫	wssszwwwpd
迷	dpwspddzd
童	dwdpwszwwsww
顿	wzszwpszpd
桌	swszwwwspd
绩	zzwwwswszpd
虑	swzpwzdzdd
爬	ppsdzswz
瓶	dpwwpswzzd
扩	wswdwp
宜	ddzszwww
补	dzspdsd
颜	dwdpwppppwpszpd
脱	pzwwdpszwpz
恐	wswpzddzdd
伸	psszwws
执	wswpzd
末	wwspd
镇	pwwwzwsszwwwwpd
套	wpdwswwwzd
闹	dszdwszs
毕	wzpzws
鸟	pzdzw
罪	szsswswwwswww
枝	wspdwszd
岛	pzdzszs
掌	sdpdzszwpwws
湖	ddwwsszwpzww
吹	szwpzpd
编	zzwdzwpszwss
寻	zwwwsd
禁	wspdwspdwwspd
盖	dpwwswszssw
弱	zwzdwzwzdw
李	wspdzsw
犯	pzpzz
择	wswzdwws
秋	pwspddppd
藏	wsswpzwpwszwszzpd
茶	wsspdwspd
伯	pspszww
摄	wswwsswwwzdzd
默	szdpwswwddddwpdd
繁	pwzzdwdpwpdzzdspd
陈	zswzspd
荷	wsspswszws
稳	pwspdpzzwwdzdd
诸	dzwswpszww
垂	pwswssww
尼	zwppz
篇	pwdpwddzwpszwss
勇	zdszwwszp
磁	wpszwdpwzzdzzd
秘	pwspddzdpd
餐	swpzdzdpddzwwzpd
刺	wszspdss
偏	psdzwpszwss
晨	szwwwpwwzpd
姓	zpwpwwsw
胞	pzwwpzzwz
君	zwwpszw
鸡	zdpzdzw
亿	psz
奶	zpwzp
狗	pzppzszw
挂	wswwswwsw
醒	wszpzwwszwwpwwsw
厚	wpszwwzsw
矿	wpszwdwp
菌	wssszpwspdw
污	ddwwwz
尔	pzspd
寒	ddzwwsswpddd
伙	psdppd
斜	pdwwspdddws
堆	wswpsdwwwsw
映	szwwszwpd
销	pwwwzsdpszww
奋	wpdszwsw
仪	psdpd
杯	wspdwpsd
登	zdppdwszwdpw
扬	wswzpp
袋	pswzddwpzpd
索	wsdzzzdspd
冰	dwszpd
探	wswdzpdwspd
横	wspdwsswszwswpd
溶	ddwddzpdpdszw
忍	zpddzdd
暴	szwwwsswpdsdwpd
逃	pdwzpddzd
冬	pzddd
抓	wswppsd
献	wsszdpwwswpdd
遗	szwswszpddzd
励	wpwzpzp
哈	szwpdwszw
损	wswszwszpd
泪	ddwszwww
牙	wzsp
荣	wssdzwspd
幕	wssszwwwpdszs
播	wswpdpwspdszwsw
词	dzzwszw
聚	wsswwwzdpspppd
促	psszwswpd
借	pswsswszww
偶	psszwwszswd
稍	pwspdsdpszww
航	ppzdwddwpz
订	dzws
博	wswszwwsdwsd
搬	wswppzdwdpzzd
森	wspdwspdwspd
夺	wpdwsd
菁	wsswwswszww
闪	dszpd
隔	zswszwszdpws
享	dwszwzsw
抵	wswpzwzd
潮	ddwwsszwwwspzww
碰	wpszwdpwssdpw
朵	pzwspd
载	wswwzswzpd
宽	ddzwssszpz
币	pszs
监	sspwdszssw
灰	wpdppd
纯	zzwwzsz
腿	pzwwzwwzpddzd
辆	wzswwszpdpd
玻	wwswzpszd
域	wswwszwwzpd
悲	swwwswwwdzdd
淡	ddwdppddppd
雄	wpzdpsdwwwsw
抬	wswzdszw
阻	zsszwww
乃	zp
劲	zdwswzp
核	wspddwzppd
覆	wszsswppspwszwwpzd
逼	wszwszwswdzd
铜	pwwwzszwszw
佛	pszwzps
蒸	wsszszpdwdddd
鞋	wsswszwwswswwsw
斤	ppws
胡	wsszwpzww
震	wdzsddddwpwwzpd
劣	spdpzp
巧	wswwz
洞	ddwszwszw
洁	ddwwswszw
拥	wswpzwws
督	swwspdzdszwww
丈	wpd
劝	zdzp
貌	pddpzpppszwwpz
麦	wwswpzd
愉	ddspdwszwwss
购	szpdpzzd
售	psdwwwswszw
尊	dpwszpzwwwsd
麻	dwpwspdwspd
彼	ppszpszd
阴	zspzww
湿	ddwszwwssdpw
缩	zzwddzpswpszww
贸	pzdzpszpd
插	wswpwspswzww
颗	szwwwspdwpszpd
智	pwwpdszwszww
肥	pzwwzswz
敬	wsspzszwpwpd
惜	ddswsswszww
龙	wpzpd
搞	wswdwszwszszw
粒	dpwspddwdpw
璃	wwswdwpdzsszzd
乏	pdzd
胶	pzwwdwpdpd
赏	sdpdzszwszpd
松	wspdpdzd
粮	dpwspddzwwzpd
壁	zwpszwdwdpwwswsw
迹	dwpspddzd
叔	swwspdzd
频	swswsppwpszpd
谋	dzwsswwwspd
尾	zwppwwz
磨	dwpwspdwspdwpszw
皇	pszwwwwsw
猛	pzpzswszssw
缘	zzwzzwpzpppd
鬼	pszwwpzzd
患	szwszwsdzdd
础	wpszwzsszs
奏	wwwpdwwpd
奖	dwspzdwpd
哲	wswppwsszw
肤	pzwwwwpd
耐	wpszsswsd
轴	wzswszwsw
偷	pspdwszwwss
粗	dpwspdszwww
迅	zwsdzd
浮	ddwpddpzsw
哩	szwszwwsww
迟	zwpddzd
爆	dppdszwwwsswpdsdwpd
羊	dpwwws
佳	pswswwsw
摸	wswwssszwwwpd
梦	wspdwspdpzd
幼	zzdzp
侧	psszpdss
凭	pspwswpz
泡	ddwpzzwz
碎	wpszwdwpdpdws
盐	wswsdszssw
废	dwpzpzdd
挑	wswpdwzpd
婆	ddwzpszdzpw
岩	szswpszw
泣	ddwdwdpw
蒙	wssdzwwpzpppd
跌	szwswswpwwpd
烦	dppdwpszpd
秒	pwspdspdp
俄	pspwswzpd
汗	ddwwws
煤	dppdwsswwwspd
穷	ddzpdzp
箱	pwdpwdwspdszwww
绘	zzwpdwwzd
兰	dpwww
仰	pspzzs
描	wswwssszwsw
饰	pzzpwszs
残	wpzdwwzpd
版	pswzppzd
绕	zzwwzpwpz
尖	spdwpd
讯	dzzws
碗	wpszwddzpzdzz
盆	pdzpszssw
操	wswszwszwszwwspd
氢	pwwzzdwsw
纵	zzwpdpd
欲	pdpdszwpzpd
番	pdpwspdszwsw
嫂	zpwpswzwwszd
腰	pzwwwszsswzpw
牌	pswzpszwwpws
肩	dzwpszww
冒	szwwszwww
幅	szswszwszwsw
累	szwswzzdspd
舒	pdwwsszwzdzs
倾	pswzwpszpd
奔	wpdwswps
暂	wzswppwsszww
豆	wszwdpw
壮	dwswsw
擦	wswddzpzddzdwwspd
玉	wwswd
典	szwsswpd
薄	wssddwwszwwsdwsd
滑	ddwszzdzszww
详	dzdpwwws
页	wpszpd
皆	wzpzpszww
夹	wdpwpd
糖	dpwspddwpzwwsszw
怜	ddspddzd
梁	ddwzpddwspd
授	wswpddpdzzd
征	ppswswsw
捕	wswwszwwsd
剩	pwsswwpzpdss
邻	pddzdzs
旋	dwzppwzswpd
凉	dwdwszwspd
盾	ppwsszwww
延	pswzzd
械	wspdwwpszpd
码	wpszwzzw
届	zwpszwsw
恢	ddswpdppd
迫	pszwwdzd
予	zdzs
召	zpszw
措	wswwsswszww
珠	wwswpwwspd
琴	wwswwwswpddz
妻	wzwwszpw
宋	ddzwspd
陷	zspzpswzww
俗	pspdpdszw
弯	dwsspdzwz
宇	ddzwws
殖	wpzdwsszwwww
册	pzpzw
瞧	szwwwpsdwwwswdddd
