耬	olzl
辭	ocip
辮	obms
辯	obmy
農	onsd
侶	olvr
辺	obmz
込	oruz
込	oruz
込	oyuz
込	oyuz
俁	oyur
俠	oxxr
倀	oihr
倆	ollr
倉	ochr
個	oger
們	omfr
逓	odiz
逕	ojkz
這	ovez
這	ovwz
連	olmz
値	ovir
倫	olyr
週	ovzz
進	ojbz
倹	ojmr
遅	oiiz
偉	owwr
遊	oyzd
運	oyyz
過	ogoz
達	odaz
違	owwz
遙	oycz
遜	oxyz
遞	odiz
遠	oyrz
遡	osoz
適	ouiz
遲	oiiz
側	ocer
側	ovdr
側	ozdr
偵	ovfr
遷	oqmz
選	oxrz
遺	oyiz
遼	olnz
偽	owwr
邁	omdz
還	ohdz
還	ohrz
邇	oerz
邊	obmz
邏	oloz
邐	oliz
傑	ojph
傖	ocfr
傖	oifr
傘	osjr
備	obww
#jp	ohanjihanji
傭	oysr
傯	ozsr
傳	oirr
傳	ovrr
傴	oyur
債	ovdr
傷	ouhr
傾	oqkr
僂	olvr
僂	olzr
僅	ojbr
僉	oqmr
働	odsr
僑	oqnr
僕	opur
郟	ojxe
僥	ojnr
僥	oycr
僨	offr
僱	oguh
郵	oyze
郷	oxlv
價	ojpr
價	ojxr
儀	oyir
儂	onsr
億	oyir
鄆	oyye
儈	okkr
儉	ojmr
鄉	oxlv
儐	obbr
鄒	ozze
儔	oizr
鄔	owue
儕	oidr
鄖	oyye
償	oihr
鄧	odge
優	oyzr
鄭	ovge
鄰	olbe
鄲	odje
儲	oiur
鄴	oyee
鄶	ogve
鄶	okke
儷	olir
儸	olor
鄺	okle
儺	onor
儻	othr
儼	oyjr
酈	olie
酈	ovie
兌	odvb
児	oera
兒	oerp
酔	ozvy
兗	oyjw
內	onwa
兩	olla
醃	oaao
醃	oyjo
円	oyea
円	oyen
円	oyra
円	oyrn
冊	ocep
醜	oizv
醞	oyyy
冪	omib
醫	oyik
醬	ojly
醸	only
釀	only
釁	oxbx
釃	oudy
釃	ouiy
釅	oyjy
釈	ouip
釋	ouip
凍	odsd
釐	olii
釐	oxii
釓	ogaj
釔	oyij
釕	olnj
釗	ovcd
釘	odkj
釙	opoj
凜	olbd
針	ovfj
釣	odnj
釤	oujj
処	oiuw
釧	oirj
釩	ofjj
凱	okde
釵	oidj
釷	otuj
釹	onvj
釺	oqmj
釾	oyaj
鈀	obaj
鈁	ofhj
鈄	odzj
鈈	obuj
鈉	onaj
鈍	odyj
鈐	oqmj
鈑	objj
鈔	oicj
鈕	onqj
鈞	ojyj
鈣	ogdj
別	obpd
鈥	ohoj
鈦	otdj
鈧	okhj
刪	oujd
鈮	onij
鈰	ouij
鈳	okej
鈴	olkj
鈷	oguj
鈸	oboj
鈹	opij
鈺	oyuj
鈽	obuj
鈾	oyzj
鈿	odmj
鈿	otmj
鉀	ojxj
剄	ojkd
鉄	otpj
鉅	ojuj
則	ozed
鉈	otaj
鉈	otoj
鉉	oxrj
鉍	obij
剎	oiad
剎	ouad
鉑	oboj
鉕	opoj
鉗	oqmj
鉚	omcj
剛	oghd
鉛	oqmj
剝	obcd
剝	obod
鉞	oytj
鉢	oboj
剣	ojmd
鉤	ogzj
剤	ojid
鉦	ovgj
鉬	omuj
鉭	otjj
剮	ogxd
剰	ougd
鉱	oglj
剴	okdd
創	oild
鉸	ojnj
鉺	oerj
鉻	ogej
鉿	ohaj
鉿	okej
銀	oybj
劃	ohxd
銃	oisj
銅	otsj
劇	ojud
劉	olqd
劊	ogvd
劌	ogvd
劍	ojmd
劑	ojid
銑	oxij
銑	oxmj
銓	oqrj
銖	ovuj
銘	omkj
銚	odnj
銚	otnj
銚	oycj
銛	ogxj
銛	otmj
銛	oxmj
銜	oxmr
銠	olcj
銣	oruj
銥	oyij
銦	oybj
銨	oanj
銩	odqj
銪	oyzj
銫	osej
銬	okcj
銭	oqmj
銱	odnj
銳	orvj
労	olcx
銷	oxnj
効	oxnl
銻	otij
銼	ocoj
勁	ojbv
勁	ojkv
鋁	olvj
鋃	olhj
勅	ocil
鋅	oxbj
鋇	obwj
鋌	odkj
鋌	otkj
鋏	ojxj
鋒	ofgj
動	odse
務	owuw
鋝	oltj
勝	ougo
勞	olcc
鋟	oqbj
勢	ouil
鋣	oyej
鋤	oiuj
鋥	ozgj
鋦	ojuj
勧	oqrl
鋨	oeej
鋩	omhj
鋪	opuj
鋭	orvj
鋮	oigj
鋯	ogcj
鋰	olij
勱	omda
鋱	otej
勲	oxyh
鋳	ovuj
勳	oxyk
勵	olii
鋶	olqj
鋸	ojuj
勸	oqry
勻	oyyg
鋼	oghj
錁	okej
匁	ollg
匂	oxsg
錄	oluv
錆	oqlj
錇	opwj
錈	ojrj
錐	ovvj
錒	oaaj
錕	okyj
錘	oivj
錙	ozij
錚	ovgj
錛	obfj
錟	otjj
錠	odkj
錢	oqmj
錦	ojbj
錨	omcj
錩	oihj
錫	oxij
錬	olmj
匭	ogvk
錮	oguj
錯	ocoj
匯	ohvd
匱	ogvk
匱	okvk
録	oluj
錳	omgj
錸	oldj
鍀	odej
區	oouk
區	oquk
鍃	ohoj
鍆	omfj
鍇	okdj
鍋	ogoj
鍍	oduj
鍔	oeej
協	oxpu
単	odjx
鍘	ovaj
鍚	oyhj
鍛	odrj
鍠	ohlj
鍤	oiaj
鍥	oqpj
鍩	onoj
鍬	oqnj
鍰	ohrj
鍵	ojmj
鍶	osij
鍺	ovej
卻	oqte
鍾	ovsj
鎂	omwj
鎄	oaij
鎇	omwj
鎊	obhj
鎌	ojkj
鎖	osoj
鎘	ogej
厙	ouei
鎢	owuj
鎣	oykc
鎦	olqj
鎧	okdj
鎩	ouaj
鎪	oszj
鎬	ogcj
鎬	ohcj
厭	oyji
鎮	ovfj
鎰	oyij
厲	olii
鎳	onpj
厳	oyjx
厴	oyji
鎵	ojxj
鎿	onaj
參	ocjs
參	oufs
鏃	ozuj
叄	osjs
鏇	oxrj
鏈	olmj
鏌	omoj
鏍	oloj
収	ouzy
鏑	odij
鏗	okgj
鏘	oqlj
鏜	othj
鏝	omjj
鏞	oysj
鏟	oijj
鏡	ojkj
叢	ocsa
鏤	olzj
鏨	ozjj
鏵	ohxj
鏷	opuj
鏽	oxqj
鐃	oncj
鐋	othj
鐐	olnj
鐒	olcj
鐓	odvj
鐔	oijj
鐔	otjj
鐔	oxbj
鐗	ojmj
鐘	ovsj
鐙	odgj
鐠	opuj
鐦	okdj
鐨	ofwj
鐫	ojrj
鐮	olmj
鐲	ovoj
鐳	olwj
吳	owuk
鐵	otpj
鐶	ohrj
吶	onak
吶	onek
鐸	odoj
鐺	odhj
鐺	oigj
鐿	oyij
呂	olvk
鑄	ovuj
呉	owuk
鑊	ohoj
鑌	obbj
鑑	ojmj
鑔	oiaj
鑠	ouoj
鑣	obnj
鑥	oluj
鑭	oljj
鑰	oycj
鑰	oytj
鑲	oxlj
鑷	onpj
鑹	ocrj
鑼	oloj
鑽	ozrj
鑾	olrw
鑿	ozca
钁	ojtj
钂	othj
咼	ogok
咼	ogxk
咼	ohek
咼	owak
咼	owdk
咼	owok
員	oyrb
唄	obdk
唄	obwk
唚	oqbk
問	owfm
啓	oqik
啞	oyak
啟	oqih
啢	ollk
長	oihp
長	ovhp
門	omfd
閂	ourm
閃	oujm
閆	oyjm
閉	obim
開	okda
閌	okhm
閎	ohsm
閏	orym
閑	oxmm
閒	oxmm
間	ojmm
閔	ombm
閘	ovam
喚	ohrk
閡	ohem
関	ogrm
閣	ogem
閥	ofam
閨	ogvm
閩	ombm
喩	oyuk
喪	oshu
閫	okym
閬	olhm
喬	oqnp
閭	olvm
單	odjb
單	oijb
單	oujb
閱	oytm
喲	oyok
閲	oyrm
閶	oihm
営	oykx
閹	oyjm
閻	oyjm
閼	oeem
閽	ohym
閾	oyum
閿	owfm
闃	oqum
嗆	oqlk
闇	oanm
嗇	oseu
闈	owwm
闊	okom
闋	oqtm
闌	oljm
嗎	omak
闐	otmm
闔	ohem
闕	oqtm
闖	oilm
闘	oium
嗚	owuk
關	ogrq
闞	ohjm
闞	okjm
闠	ogvm
闡	oijm
闢	obiu
闢	opiu
闥	otam
嗩	osok
嗶	obik
嘆	otjk
嘍	olzk
嘓	ogok
嘔	oouk
嘖	ozek
嘗	oihx
嘜	omak
嘜	omdk
嘮	olck
嘯	oxnk
嘰	ojik
嘵	oxnk
嘸	oomk
噓	ouik
噓	oxuk
陘	oxke
噝	osik
陝	ouje
噠	odak
陣	ovfe
噥	onsk
陥	oxme
噦	ohvk
噦	oytk
噯	oaik
陰	oybe
噲	okkk
陳	oife
噴	opfk
噸	odyk
陸	olqe
陸	olue
険	oxme
陽	oyhe
嚀	onkk
隉	onpe
隊	odve
嚌	ojik
階	ojpe
嚕	oluk
隕	oyye
際	ojie
隠	oybe
隣	olbe
嚦	olik
嚨	olsk
隨	osve
險	oxme
隱	oybe
嚳	okux
隴	olse
嚴	oyja
嚶	oykk
隷	oliu
隸	oliv
隻	ovir
囀	ovrk
囁	onpk
囂	oxnk
囅	oijb
囈	oyik
囉	olok
雋	ojrr
雋	ojyr
囑	ovuk
雑	ozaj
雖	osvk
雙	ouly
雛	oiud
雜	ozaj
雞	ojin
離	oliw
難	onjy
団	otrk
囪	ocsp
雰	offq
囲	owwk
雲	oyye
図	otuk
電	odma
圇	olyk
霊	olky
國	ogok
圍	owwk
圏	oqrk
園	oyrk
圓	oyrk
圖	otuk
團	otrk
霧	owuy
圧	oyai
霽	ojiy
靂	oliy
靄	oaiy
靈	olke
靉	oaie
靚	ojkf
靚	ollf
靜	ojkf
靦	ommo
靨	oyei
鞀	otce
鞏	ogsg
鞝	ouhs
鞽	oqng
韃	odag
韉	ojmg
韋	owwa
韌	orfa
韓	ohju
韙	owwo
韜	otca
韝	ogzg
韞	owfa
韞	oyya
埡	oyat
執	ovif
韻	oyyl
響	oxlk
頁	oyeb
頂	odkd
頃	oqka
堅	ojmt
項	oxlg
順	ouyp
頇	ohja
須	oxup
堊	oeet
頊	oxuw
頌	ossb
頎	oqij
頏	ohhw
預	oyus
頑	owje
頒	objb
頓	odya
堖	onct
頗	opop
領	olkr
頜	oger
頜	oher
堝	ogot
頡	ojpu
頡	ojxu
頡	oxpu
頤	oyik
頦	okew
頭	otzd
堯	oyca
頰	ojxa
報	obcf
場	oiht
頷	ohjr
頸	oggv
頸	ojkv
頹	otvh
頻	opbv
頼	olda
塀	opbt
塁	olwt
顆	okea
塊	okkt
塋	oykc
題	otio
額	oeeb
顎	oeek
塏	okdt
顏	oyjl
塒	ouit
顓	ovre
顔	oyjl
顕	oxmo
塗	otud
願	oyri
顙	oshy
塚	ovst
顛	odmu
類	olwm
塡	otmt
顢	omjc
塢	owut
顥	ohco
顧	ogui
塩	oyjt
顫	oijw
顫	ovjw
顬	oruy
顯	oxmo
顰	opbv
顱	olua
顳	onpe
顴	oqrc
塵	oift
塹	oqmt
墊	odmt
増	ozgt
墜	ovvt
風	ofgj
颮	obnf
墮	odot
墮	ohvt
颯	osal
墳	offt
颶	ojuf
颺	oyhf
颼	oszf
墾	okft
飄	opnx
飆	obnq
壇	otjt
飈	obnf
壊	ohkt
壌	orht
壎	oxyt
壓	oyai
壘	olwt
壙	oklt
壚	olut
飛	ofwv
壞	ohkt
壟	olst
壠	olst
飢	ojiu
壢	olit
飣	odku
壩	obat
飩	otyu
飪	orfu
飫	oyuu
飭	oiiu
飯	ofju
壯	ovld
壱	oyiu
売	omdu
飲	oybu
飴	oyiu
壺	ohuu
飼	osiu
飽	obcu
壽	ouzf
飾	ouiu
餃	ojnu
餅	obku
餈	ociu
餈	ocim
変	obmw
餉	oxlu
養	oyhy
餌	oeru
餎	ogeu
餎	oleu
餑	obou
餒	onwu
餓	oeeu
餘	oyur
餘	oyuu
餚	oycx
餛	ohyu
餞	ojmu
夠	ogzg
餡	oxmu
夢	omgm
館	ogru
餱	ohzm
餳	oxku
餷	oiau
餼	oxiu
夾	ogaa
夾	ojxa
餾	olqu
餿	oszu
饃	omou
饅	omju
饈	oxqu
饉	ojbu
饊	osju
饋	okvu
饌	ovru
奐	ohrd
饒	orcu
饗	oxlv
饜	oyji
饞	oiju
饢	onhu
奧	oaop
奨	ojld
奩	olmd
奪	odod
奮	offd
奼	oian
妝	ovld
妬	odun
馬	omav
馭	oyum
馮	ofgd
馮	opkd
馱	odom
馱	otom
馳	oiim
馴	oxym
馹	orim
駁	obom
駄	otdm
駅	oyim
駆	oqum
姉	ozin
姍	oujn
駐	ovum
駑	onum
駒	ojum
駔	ozhm
駕	ojxm
駘	otdm
駙	ofum
駛	ouim
駝	otom
駟	osim
駢	opmm
姫	ojin
駭	ohdm
駱	olom
駿	ojym
騁	oigm
騅	ovvm
騍	okem
騎	oqim
騏	oqim
騒	oscm
験	oyjm
騖	owum
騙	opmm
娛	oyun
騫	oqmb
騭	ovim
騮	olqm
娯	oyun
騰	otgo
騶	ozzm
騷	oscm
騸	oujm
騾	olom
驀	omoc
驁	oaom
婁	olzm
驂	ocjm
驃	obnm
驃	opnm
驄	ocsm
驅	oqum
驊	ohxm
驍	oxnm
驏	oijm
驕	ojnm
驗	oyjm
驚	ojkx
驛	oyim
驟	ovzm
驢	olvm
驤	oxlm
驥	ojim
婦	ofun
驪	olim
驫	obnm
婭	oyan
媧	owan
骯	oaho
媯	ogvn
媼	oaon
媽	oman
髄	osvg
嫋	onnn
髏	olzg
髒	ozho
體	otir
髕	obbg
髖	okrg
嫗	oyun
髪	ofaa
嫵	owun
嫻	oxmn
鬆	ossm
嬈	orcn
嬋	oijn
嬌	ojnn
嬙	oqln
嬡	oain
鬢	obba
嬢	onln
嬤	oman
嬤	omon
鬥	odzd
鬧	oncm
鬩	oxim
嬪	opbn
鬮	ojqm
嬰	oykn
鬱	oyue
嬸	osfn
孌	olrw
魎	ollg
魘	oyji
魚	oyud
孫	osyz
魯	olua
魴	ofha
魷	oyza
學	oxtx
鮁	obaa
鮃	opka
鮊	obaa
鮊	oboa
鮐	otda
鮑	obca
鮒	ofua
鮚	ojpa
鮞	oera
実	ouig
鮪	owwa
鮫	ojna
鮭	ogva
鮭	oxpa
宮	ogsb
鮮	oxma
鯀	ogya
鯁	ogga
鯇	ohra
鯉	olia
鯊	ouaa
鯔	ozia
鯖	oqka
鯗	oxlb
鯛	odna
寛	okrb
鯝	ogua
鯡	ofwa
鯢	onia
寢	oqbb
鯤	okya
實	ouib
鯧	oiha
寧	onkb
鯨	ojka
審	oufb
鯪	olka
寫	oxpb
鯫	ozza
寬	okrb
鯰	onma
鯰	onma
鯴	ouia
寵	oisb
寶	obcb
鯷	otia
鯽	ojia
対	odvd
鯿	obma
専	ovrc
將	ojld
鰈	odpa
專	ovra
鰉	ohla
尋	oxye
對	odvy
鰍	oqqa
導	odcv
鰒	ofua
鰓	osda
鰠	osca
鰣	ouia
鰥	ogra
鰨	otaa
鰩	oyca
鰭	oqia
鰱	olma
鰲	oaoa
鰳	olea
鰵	omba
尷	ogjj
鰷	otna
鰹	ojma
鰻	omja
鰾	obna
鱅	oysa
屆	ojpu
鱈	oxta
鱉	obpa
屍	ouiv
鱒	ozya
鱔	ouja
鱖	ogva
鱖	ojta
鱗	olba
鱘	oxya
屜	otiu
鱝	offa
鱟	ohzx
屢	olvu
層	ocgu
鱧	olia
屨	ojuu
屬	ouuu
屬	ovuu
鱭	ojia
鱷	oeea
鱸	olua
鱺	olia
岡	oghk
峠	oqxe
鳥	odnn
鳥	onnn
鳧	ofun
鳩	ojqn
鳳	ofgj
鳴	omkn
峴	oxme
島	odcn
鳶	oyrq
峽	oxxe
鴆	ovfn
鴇	obcn
鴉	oyan
崍	olde
鴒	olkn
鴕	oton
崗	oghe
鴛	oyrn
鴝	oqun
鴞	oxnn
鴟	oiin
崢	ovge
鴣	ogun
鴨	oyan
崬	odse
鴯	oern
鴰	ogxn
鴻	ohsd
鴿	ogen
鵂	oxqr
嵐	olje
鵑	ojrn
鵒	oyun
鵓	obon
鵜	otin
鵝	oeen
鵠	ohun
鵡	owun
鵪	oann
鵬	opgo
鵯	obwn
鵲	oqtn
嶁	olze
嶄	ovje
鶇	odsn
嶇	oque
鶉	oiyn
鶊	oggn
鶏	ojip
鶓	omnn
鶖	oqqn
嶗	olce
鶚	oeen
嶠	ojne
嶠	oqne
鶥	omwn
嶧	oyie
鶩	owun
鶬	ochn
鶯	oykc
嶴	oaop
鶴	ohen
嶸	orse
鶹	olqn
嶺	olke
鶻	ogun
鶻	ohun
鶼	ojmn
嶼	oyue
嶽	oytp
鶿	ocin
鷂	oycn
巋	okve
巒	olrw
鷓	oven
巔	odme
巖	oyje
鷗	ooun
鷙	ovin
鷚	olqn
巣	occx
鷥	osiv
鷦	ojnn
鷯	olnn
巰	oqqv
鷲	ojqn
鷳	oxmn
鷸	oyun
巹	ojbv
鷹	oykg
鷺	olun
巻	ojrb
鸌	ohun
鸕	olun
鸚	oykn
鸛	ogrn
鸝	olin
鸞	olrw
帥	ouka
師	ouia
帯	oddc
帰	ogva
帳	ovhj
帶	oddf
幀	ovfj
幃	owwj
幗	ogoj
幘	ozej
幟	ovij
幣	obip
幫	obhj
幬	oczj
幬	odcj
幬	oizj
幹	ogja
鹹	oxmg
鹺	ocoa
鹼	ojmu
鹽	oyjm
幾	ojip
庁	otkg
広	oglg
麗	olia
麥	omdf
麩	ofuf
庫	okug
麺	ommf
麼	omep
麼	omeg
麼	omop
麼	omog
廁	ocei
廁	osii
廂	oxli
廃	ofwg
黃	ohlc
廄	ojqi
廈	ouai
廈	oxxi
黌	ohsx
廎	oqkg
黒	ohwa
黙	omoh
廚	oiui
廝	osii
點	odmh
廟	omng
廠	oiha
廡	owug
廢	ofwg
廣	ogld
黨	odhx
廩	olbg
廬	olug
黲	ocjh
廳	otki
黴	omwy
黶	oyjv
黷	oduh
黽	ombk
黽	omgk
黽	ommk
黿	oyre
鼉	otok
弐	oera
弒	ouix
弳	ojkg
鼴	oyju
張	ovhg
強	ojlg
強	oqlg
弾	odjg
齇	ovap
彈	odjg
彈	otjg
齊	oqiw
齋	ovdw
彌	omig
齎	ojib
彎	owjw
齏	ojiw
齒	oiiv
齔	oifi
齕	ohei
齙	obci
彙	ohvv
齜	ozii
齟	ojui
齠	otni
齡	olki
齢	olkv
彥	oyjl
齦	okfi
齦	oybi
齧	onpk
齪	oioi
彫	odnp
齬	oyui
齲	oqui
齶	oeeo
齷	owoi
後	ohzp
龍	olsu
龐	ophg
徑	ojkr
従	otur
龔	ogsl
龕	okjr
龜	ogvd
龜	ojyd
龜	oqqd
從	ocsr
徠	oldr
復	ofur
徳	oder
徴	ovgr
徹	oier
応	oykg
恆	ohgx
恥	oiie
恵	ohvx
悅	oytx
悩	oncx
悪	oeex
悵	oihx
悶	omfm
悽	oqid
惡	oeex
惡	owux
惱	oncx
惲	oyyx
惻	ocex
愛	oaiv
愜	oqpx
愨	oqtx
愴	oilx
愷	okdx
愾	okdx
愾	oxix
態	otdx
慍	oyyx
慘	ocjx
慚	ocjx
慟	otsx
慣	ogrx
慪	ooux
慫	ossx
慮	olvh
慳	oqmx
慶	oqkg
憂	oyzx
憊	obwx
憐	olmx
憑	opkj
憒	okvx
憚	odax
憚	odjx
憤	offx
憫	ombx
憮	owux
憲	oxmb
憶	oyix
