星期一	xqy
摇钱树	yqu
化妆品	hvp
清一色	qys
歌唱家	gij
共同点	gtd
必需品	bxp
游乐场	yli
小提琴	xtq
面对面	mdm
戏剧性	xjx
一大早	ydz
一刀切	ydq
团团转	ttv
东道主	ddv
想象力	xxl
不敢当	bgd
原子能	yzn
到头来	dtl
大提琴	dtq
大众化	dvh
两口子	lkz
奥委会	awh
莫过于	mgy
自由化	zyh
回忆录	hyl
后遗症	hyv
偶然性	orx
老板娘	lbn
体育场	tyi
管理员	gly
自尊心	zzx
经得起	jdq
走过场	zgi
分界线	fjx
独立性	dlx
录音机	lyj
通知书	tvu
利用率	lyl
寄生虫	jui
恶作剧	ezj
十字架	uzj
电影院	dyy
不经意	bjy
窝囊废	wnf
二百五	ebw
北半球	bbq
电气化	dqh
笑呵呵	xhh
巧克力	qkl
生命线	umx
麦当劳	mdl
人贩子	rfz
凑热闹	crn
老字号	lzh
甲骨文	jgw
过不去	gbq
做买卖	zmm
游戏机	yxj
唐人街	trj
白花花	bhh
录像带	lxd
国庆节	gqj
方向盘	fxp
文学家	wxj
大人物	drw
外国语	wgy
开场白	kib
白皮书	bpu
定心丸	dxw
两码事	lmu
大锅饭	dgf
胆固醇	dgi
煞风景	ufj
公文包	gwb
文言文	wyw
温度计	wdj
微电子	wdz
走马灯	zmd
拦路虎	llh
重头戏	vtx
有效期	yxq
持久战	ijv
安眠药	amy
马前卒	mqz
红外线	hwx
五粮液	wly
愚人节	yrj
不动产	bdi
擂台赛	lts
立体声	ltu
显示器	xuq
占便宜	vpy
小轿车	xji
白兰地	bld
叫花子	jhz
丹顶鹤	ddh
票贩子	pfz
马拉松	mls
瞧不起	qbq
青铜器	qtq
托拉斯	tls
儿童节	etj
生物圈	uwq
中秋节	vqj
指南针	vnv
智囊团	vnt
打砸抢	dzq
嫌疑犯	xyf
慢吞吞	mtt
包工头	bgt
象征性	xvx
打头阵	dtv
两回事	lhu
礼拜天	lbt
面包车	mbi
投影仪	tyy
知心人	vxr
戈壁滩	gbt
转折点	vvd
牛仔裤	nzk
协奏曲	xzq
写字楼	xzl
写字间	xzj
活受罪	huz
前列腺	qlx
软绵绵	rmm
紫罗兰	zll
吃闲饭	ixf
懒洋洋	lyy
看不见	kbj
可塑性	ksx
看不惯	kbg
哭鼻子	kbz
再不然	zbr
摔跟头	ugt
土耳其	teq
南极洲	njv
放空炮	fkp
一窝蜂	ywf
不理睬	blc
未婚夫	whf
未婚妻	whq
比基尼	bjn
豁出去	hiq
花名册	hmc
穷光蛋	qgd
不要脸	byl
喷气式	pqu
耳边风	ebf
半辈子	bbz
北冰洋	bby
走着瞧	zvq
剃须刀	txd
条形码	txm
下划线	xhx
水平面	upm
索马里	sml
区位码	qwm
不容易	bry
不认识	bru
哺乳类	brl
不耐烦	bnf
倒计时	dju
经济舱	jjc
法兰西	flx
峨眉山	emu
一个钟	ygv
这一次	vyc
赔不是	pbu
看上去	kuq
皮包骨	pbg
不值钱	bvq
敲竹杠	qvg
三个字	sgz
大杂烩	dzh
太空梭	tks
东北虎	dbh
道不明	dbm
都不能	dbn
搞不好	gbh
两个人	lgr
怎么了	zml
一席谈	yxt
一席话	yxh
普及型	pjx
习惯了	xgl
下个月	xgy
毛主席	mvx
明知道	mvd
民主化	mvh
俏皮话	qph
凉飕飕	lss
两小时	lxu
头一回	tyh
谁知道	uvd
有求于	yqy
国际歌	gjg
色香味	sxw
未知数	wvu
无止境	wvj
拿破仑	npl
十进制	ujv
不在乎	bzh
扩展名	kvm
破坏性	phx
希尔顿	xed
逃不过	tbg
闷葫芦	mhl
模糊音	mhy
马后炮	mhp
五线谱	wxp
碧螺春	bli
按理说	alu
外国人	wgr
高压线	gyx
空城计	kij
下结论	xjl
硬碰硬	ypy
知道吗	vdm
知道了	vdl
烦死了	fsl
还不能	hbn
还不错	hbc
吃不开	ibk
不便宜	bpy
学龄前	xlq
挖墙脚	wqj
剪贴板	jtb
解放前	jfq
几分钟	jfv
盲目性	mmx
左撇子	zpz
等着瞧	dvq
胆小鬼	dxg
单相思	dxs
单行道	dxd
体温计	twj
几个人	jgr
调味品	twp
最小化	zxh
算不算	sbs
算不上	sbu
三把火	sbh
算不了	sbl
买不起	mbq
鬼把戏	gbx
顶呱呱	dgg
老大哥	ldg
见惯了	jgl
手续费	uxf
脑门子	nmz
匿名信	nmx
日光浴	rgy
新大陆	xdl
想当初	xdi
转托管	vtg
美人计	mrj
无意中	wyv
无异于	wyy
维也纳	wyn
肯尼亚	kny
咋回事	zhu
外单位	wdw
变色龙	bsl
热乎劲	rhj
不足取	bzq
双刃剑	urj
不足以	bzy
三七开	sqk
涨停板	vtb
直通车	vti
状态栏	vtl
音形码	yxm
惹是非	ruf
替死鬼	tsg
商业区	uyq
二十四	eus
人头马	rtm
八小时	bxu
不相称	bxi
怎么办	zmb
安乐死	als
私房钱	sfq
阿联酋	alq
五里雾	wlw
乌拉圭	wlg
孺子牛	rzn
热腾腾	rtt
铁观音	tgy
伊拉克	ylk
软键盘	rjp
踢皮球	tpq
上上签	uuq
处女膜	inm
本单位	bdw
可靠性	kkx
不得志	bdv
秋海棠	qht
大无畏	dww
乱弹琴	ltq
立体感	ltg
亡命徒	wmt
上辈子	ubz
说不出	ubi
胜不骄	ubj
看得惯	kdg
生僻字	upz
难道说	ndu
防火墙	fhq
每一次	myc
每一个	myg
兴头上	xtu
克格勃	kgb
没捞着	mlv
打不开	dbk
每小时	mxu
没兴趣	mxq
墨西哥	mxg
金融业	jry
雅典娜	ydn
用得着	ydv
柏拉图	blt
女孩子	nhz
高蛋白	gdb
九头鸟	jtn
秦皇岛	qhd
分不开	fbk
看不出	kbi
开发商	kfu
一分货	yfh
鄱阳湖	pyh
敲边鼓	qbg
玉门关	ymg
拜天地	btd
跌停板	dtb
孔夫子	kfz
知其一	vqy
智能ABC	vna
滞纳金	vnj
口服液	kfy
北斗星	bdx
还可以	hky
满堂红	mth
鸡尾酒	jwj
麦克风	mkf
下辈子	xbz
不同意	bty
瞎指挥	xvh
办公费	bgf
白骨精	bgj
欧共体	ogt
排行榜	phb
洞庭湖	dth
蓝筹股	lig
合不来	hbl
重要性	vyx
值不值	vbv
红楼梦	hlm
聘用制	pyv
乌克兰	wkl
无愧于	wky
绕圈子	rqz
人情味	rqw
人情债	rqv
求大同	qdt
一个人	ygr
一个月	ygy
矮半截	abj
逆时针	nuv
勘误表	kwb
矿物质	kwv
日内瓦	rnw
洞察力	dil
省略号	ulh
哪一个	nyg
莫不是	mbu
芝加哥	vjg
拍马屁	pmp
片面性	pmx
喝倒彩	hdc
惹不起	rbq
娇滴滴	jdd
软硬件	ryj
任意球	ryq
总觉得	zjd
收件人	ujr
探亲假	tqj
同情心	tqx
三等奖	sdj
老一套	lyt
露一手	lyu
零用钱	lyq
另一个	lyg
留言本	lyb
五笔字型	wbz
王八蛋	wbd
两方面	lfm
识大体	udt
水电费	udf
蜀道难	udn
年轻化	nqh
刹那间	unj
绕指柔	rvr
平行线	pxx
翻一番	fyf
牛角尖	njj
没问题	mwt
消费者	xfv
不需要	bxy
黑黢黢	hqq
何其多	hqd
氨基酸	ajs
仅次于	jcy
剧作家	jzj
就在于	jzy
金字塔	jzt
美滋滋	mzz
毛泽东	mzd
万分之	wfv
圆舞曲	ywq
聚乙烯	jyx
依我看	ywk
前些年	qxn
孙悟空	swk
小算盘	xsp
分别为	fbw
累计数	lju
二进制	ejv
不可以	bky
而不是	ebu
等一下	dyx
第一个	dyg
看得起	kdq
年代初	ndi
难不成	nbi
弄不好	nbh
能不能	nbn
肯不肯	kbk
感叹号	gth
慢慢来	mml
存小异	cxy
注册表	vcb
海南岛	hnd
缓冲行	hih
怕只怕	pvp
虚荣心	xrx
破折号	pvh
通行证	txv
比利时	blu
自造词	zzc
爆冷门	blm
万年历	wnl
威尼斯	wns
窝囊气	wnq
哈密瓜	hmg
马蜂窝	mfw
不一定	byd
马耳他	met
文件夹	wjj
伪君子	wjz
兜圈子	dqz
躲起来	dql
天花板	thb
难为情	nwq
荧光屏	ygp
边缘化	byh
待会儿	dhe
墓志铭	mvm
父母官	fmg
舶来品	blp
毛毛雨	mmy
脏乱差	zli
毛毛虫	mmi
牵牛花	qnh
摄像机	uxj
业务员	ywy
三伏天	sft
赤条条	itt
死胡同	sht
败家子	bjz
对立面	dlm
空荡荡	kdd
双胞胎	ubt
赤裸裸	ill
明信片	mxp
土特产	tti
亲和力	qhl
起诉书	qsu
大而全	deq
支气管	vqg
平衡木	phm
太阳系	tyx
照相馆	vxg
酸溜溜	sll
合得来	hdl
独木桥	dmq
日用品	ryp
收容所	urs
老夫子	lfz
书呆子	udz
复印件	fyj
分辨率	fbl
代言人	dyr
免疫力	myl
一分钟	yfv
扫描仪	smy
遗腹子	yfz
突尼斯	tns
风凉话	flh
旧金山	jju
近几年	jjn
激将法	jjf
时刻表	ukb
起重机	qvj
节骨眼	jgy
马蹄莲	mtl
脑震荡	nvd
苦肉计	krj
怎么会	zmh
习惯性	xgx
更年期	gnq
高难度	gnd
逐客令	vkl
意中人	yvr
眼中钉	yvd
生殖器	uvq
无助于	wvy
官架子	gjz
打字员	dzy
闹笑话	nxh
牛脾气	npq
丈母娘	vmn
真面目	vmm
找麻烦	vmf
这么说	vmu
常用字	iyz
完整性	wvx
上进心	ujx
染色体	rst
小儿科	xek
迷魂阵	mhv
危险性	wxx
唯心论	wxl
正合适	vhu
亡国奴	wgn
私生活	suh
钟点工	vdg
正当年	vdn
出气筒	iqt
耳旁风	epf
修订本	xdb
三连冠	slg
每秒钟	mmv
不像话	bxh
想当年	xdn
多线程	dxi
腮帮子	sbz
文绉绉	wvv
三班倒	sbd
龙门阵	lmv
辅助码	fvm
灵活性	lhx
开小差	kxi
领导人	ldr
容不得	rbd
说闲话	uxh
经不起	jbq
想当然	xdr
乌龙茶	wli
无底洞	wdd
五大洲	wdv
优缺点	yqd
倒春寒	dih
催泪弹	cld
晴雨表	qyb
旅行团	lxt
输入法	urf
催化剂	chj
刻录机	klj
示意图	uyt
税务局	uwj
阿拉伯	alb
排他性	ptx
葡萄牙	pty
三分钟	sfv
绕口令	rkl
窝里反	wlf
窝里斗	wld
巴尔干	beg
不合格	bhg
处理器	ilq
四环素	shs
医疗费	ylf
吹牛皮	inp
鬼门关	gmg
端午节	dwj
潜伏期	qfq
倒胃口	dwk
顶梁柱	dlv
方块字	fkz
说不清	ubq
慢悠悠	myy
明眼人	myr
谢谢你	xxn
马大哈	mdh
目的性	mdx
乌托邦	wtb
触摸屏	imp
夜猫子	ymz
性价比	xjb
运动服	ydf
印第安	yda
踢踏舞	ttw
大洋洲	dyv
脚后跟	jhg
分不清	fbq
回锅肉	hgr
铁饭碗	tfw
卖力气	mlq
孟加拉	mjl
飘飘然	ppr
老实人	lur
执牛耳	vne
口头禅	kti
处理品	ilp
泼冷水	plu
跑龙套	plt
猫头鹰	mty
蒙太奇	mtq
大排档	dpd
家务事	jwu
松花江	shj
红彤彤	htt
信不过	xbg
晶体管	jtg
任何人	rhr
低能儿	dne
字符串	zfi
以色列	ysl
臭豆腐	idf
猪八戒	vbj
灰溜溜	hll
左右手	zyu
老皇历	lhl
老花眼	lhy
留不住	lbv
瞧得起	qdq
一根筋	ygj
少林寺	uls
努努嘴	nnz
客套话	kth
喀麦隆	kml
立方体	lft
同志们	tvm
君子兰	jzl
洋娃娃	yww
情人节	qrj
阿诗玛	aum
鸿门宴	hmy
尼日尔	nre
文件名	wjm
八宝粥	bbv
大气压	dqy
通讯录	txl
居委会	jwh
一分钱	yfq
依附于	yfy
电算化	dsh
替罪羊	tzy
纽西兰	nxl
邀请函	yqh
飞利浦	flp
紧接着	jjv
近几天	jjt
大家好	djh
只可惜	vkx
试一试	uyu
适用于	uyy
分之一	fvy
不平衡	bph
不定期	bdq
一个个	ygg
污染源	wry
挨板子	abz
前几天	qjt
笑面虎	xmh
三个月	sgy
苏格兰	sgl
候选窗	hxi
三人行	srx
几个字	jgz
对不对	dbd
井冈山	jgu
管不了	gbl
管不着	gbv
自然码	zrm
神秘感	umg
两个字	lgz
两个月	lgy
两个钟	lgv
人性化	rxh
每一种	myv
不知道	bvd
一下子	yxz
亚细亚	yxy
一小时	yxu
破纪录	pjl
有限的	yxd
小姑娘	xgn
不会吧	bhb
九寨沟	jvg
过去了	gql
另存为	lcw
跟不上	gbu
吃饭了	ifl
意志力	yvl
实质性	uvx
深圳市	uvu
小孩子	xhz
这么多	vmd
中美洲	vmv
好几天	hjt
爱琴海	aqh
发现了	fxl
父母亲	fmq
私有化	syh
无重码	wim
小而精	xej
地方性	dfx
危险期	wxq
普陀山	ptu
普通人	ptr
不了解	blj
巴拉圭	blg
乌干达	wgd
俯卧撑	fwi
仅限于	jxy
夏威夷	xwy
重庆市	iqu
烦死人	fsr
会不会	hbh
还不够	hbg
很抱歉	hbq
阿房宫	epg
欧佩克	opk
倾向于	qxy
行得通	xdt
垃圾桶	ljt
题外话	twh
不可能	bkn
候选栏	hxl
没必要	mby
苦行僧	kxs
离得开	ldk
流动性	ldx
找不到	vbd
女人味	nrw
上下文	uxw
收藏夹	ucj
没出息	mix
想得开	xdk
相对性	xdx
做不到	zbd
波斯湾	bsw
武夷山	wyu
孟婆汤	mpt
容不下	rbx
统治者	tvv
通胀率	tvl
自定义	zdy
奥斯卡	ask
不死心	bsx
区域性	qyx
请原谅	qyl
前一段	qyd
三缺一	sqy
死翘翘	sqq
谈不上	tbu
光秃秃	gtt
也许吧	yxb
二十一	euy
出头鸟	itn
蒲松龄	psl
北京市	bju
千分之	qfv
不相信	bxx
保修期	bxq
哈瓦那	hwn
无厘头	wlt
网络版	wlb
包二奶	ben
亲爱的	qad
议论文	ylw
依赖性	ylx
易拉罐	ylg
肚皮舞	dpw
大屏幕	dpm
爱好者	ahv
不对劲	bdj
立陶宛	ltw
鹿特丹	ltd
无名指	wmv
无名氏	wmu
多伦多	dld
十八岁	ubs
看得出	kdi
适配器	upq
每一天	myt
慢性子	mxz
某些人	mxr
没想到	mxd
销售量	xul
有没有	ymy
维他命	wtm
诈骗犯	vpf
挑大梁	tdl
丧家犬	sjq
上一个	uyg
一等奖	ydj
一等功	ydg
一点点	ydd
一大半	ydb
一代人	ydr
不忍心	brx
第一名	dym
唐太宗	ttz
座上宾	zub
日工资	rgz
奈何桥	nhq
任务栏	rwl
嫁祸于	jhy
刮地皮	gdp
爱国者	agv
阿根廷	agt
解决了	jjl
新鲜感	xxg
合格证	hgv
公元前	gyq
突发性	tfx
试了试	ulu
摩洛哥	mlg
看不懂	kbd
马来亚	mly
本命年	bmn
银白色	ybs
安哥拉	agl
不早了	bzl
一秒钟	ymv
烟幕弹	ymd
半透明	btm
捅娄子	tlz
桑塔纳	stn
吐鲁番	tlf
错不了	cbl
不算数	bsu
上海市	uhu
取决于	qjy
中南海	vnh
诺贝尔	nbe
不只是	bvu
下一个	xyg
满天星	mtx
摄像头	uxt
贫民区	pmq
半桶水	btu
西班牙	xby
闲不住	xbv
想不出	xbi
想办法	xbf
英特尔	yte
铜锣湾	tlw
不习惯	bxg
慢一拍	myp
看出来	kil
谈得上	tdu
半个月	bgy
成都市	idu
与会者	yhv
债有主	vyv
这一个	vyg
扎伊尔	vye
试探性	utx
挑毛病	tmb
只不过	vbg
制表符	vbf
这辈子	vbz
不是吗	bum
不是吧	bub
无障碍	wva
想起来	xql
好莱坞	hlw
黄脸婆	hlp
冷空气	lkq
狼来了	lll
没工夫	mgf
每个人	mgr
自以为	zyw
人行道	rxd
确定性	qdx
英格兰	ygl
应该说	ygu
一个字	ygz
不开心	bkx
鸟兽散	nus
纳税人	nur
这些年	vxn
科威特	kwt
狗皮膏	gpg
直性子	vxz
算了吧	slb
中心区	vxq
再一次	zyc
在一起	zyq
生理学	ulx
失落感	ulg
中介人	vjr
这几天	vjt
证监会	vjh
这几年	vjn
吃完了	iwl
放弃了	fql
平面图	pmt
侧重于	cvy
忍不住	rbv
认不出	rbi
选择性	xzx
想怎么	xzm
讲道理	jdl
决定性	jdx
景德镇	jdv
日月潭	ryt
栽跟头	zgt
听起来	tql
初学者	ixv
三等功	sdg
随大流	sdl
窝边草	wbc
忘不了	wbl
两分钟	lfv
手底下	udx
受得了	udl
热衷于	rvy
不应该	byg
反义词	fyc
拿架子	njz
诺基亚	njy
竞争者	jvv
批处理	pil
一年级	ynj
好奇心	hqx
便携版	bxb
不相符	bxf
在不在	zbz
赞比亚	zby
播放器	bfq
人头税	rtu
可惜了	kxl
抵抗力	dkl
泄私愤	xsf
冰淇淋	bql
不清楚	bqi
包青天	bqt
之能事	vnu
饿不死	ebs
万花筒	wht
不及格	bjg
第一年	dyn
第一遍	dyb
第一次	dyc
吃饱了	ibl
十三点	usd
冤有头	yyt
耐不住	nbv
拿不定	nbd
可比性	kbx
挑衅性	txx
入场费	rif
创可贴	ikt
毋宁说	wnu
安装版	avb
进取心	jqx
每分钟	mfv
授人以鱼	ury
不一样	byy
不一致	byv
不一般	byb
耳鼻喉	ebh
败不馁	bbn
不利于	bly
