啊	a
其	qi
请	qk
强	ql
前	qm
桥	qn
且	qp
求	qq
全	qr
穷	qs
却	qt
区	qu
恰	qx
群	qy
人	r
绕	rc
热	re
任	rf
仍	rg
让	rh
日	ri
然	rj
若	ro
软	rr
容	rs
如	ru
肉	rz
三	s
撒	sa
扫	sc
赛	sd
色	se
森	sf
僧	sg
桑	sh
四	si
散	sj
所	so
算	sr
送	ss
苏	su
岁	sv
搜	sz
他	t
她	ta
套	tc
太	td
特	te
腾	tg
汤	th
体	ti
谈	tj
听	tk
天	tm
调	tn
托	to
贴	tp
团	tr
同	ts
图	tu
头	tz
是	u
傻	ua
少	uc
晒	ud
设	ue
深	uf
生	ug
上	uh
时	ui
山	uj
帅	uk
双	ul
说	uo
拴	ur
数	uu
水	uv
谁	uw
刷	ux
顺	uy
受	uz
这	v
扎	va
找	vc
着	ve
真	vf
正	vg
长	vh
只	vi
占	vj
拽	vk
装	vl
桌	vo
转	vr
中	vs
主	vu
追	vv
周	vz
我	w
挖	wa
外	wd
王	wh
完	wj
握	wo
无	wu
为	ww
小	x
新	xb
系	xi
行	xk
想	xl
先	xm
笑	xn
些	xp
修	xq
选	xr
凶	xs
学	xt
需	xu
下	xx
一	y
亚	ya
因	yb
要	yc
也	ye
样	yh
以	yi
言	yj
应	yk
哟	yo
元	yr
用	ys
月	yt
与	yu
云	yy
有	yz
在	z
杂	za
早	zc
再	zd
则	ze
怎	zf
增	zg
藏	zh
字	zi
做	zo
总	zs
组	zu
最	zv
贼	zw
走	zz

#try encode:
道	dcz
子	ziv
之	vid
自	zip
心	xbd
手	uzp
而	er
起	qiz
身	ufp
已	yiv
发	fav
事	uia
知	viu
家	jxb
声	ugu
方	fh
现	xmw
什	ufr
力	lig
国	gok
意	yix
见	jmk
又	yzv
情	qkx
于	yua
己	jiv
此	civ
眼	yjo
气	qir
回	hvk
话	hx
向	xlp
实	uib
问	wf
儿	erp
分	ff
作	zor
种	ish
打	daf
门	mfd
重	isp
相	xlm
住	vur
公	gsb
名	mkp
便	bmr
位	wwr
果	goa
感	gjx
入	rup
第	div
机	jim
理	liw
者	vet
西	xia
马	mav
放	fhw
使	uir
张	vhg
由	yza
金	jbr
立	lil
信	xbr
军	jyb
原	yri
美	mwy
东	dsa
场	iht
战	vja
万	wja
清	qkd
今	jr
变	bmw
合	ger
带	ddf
常	ihx
量	llo
海	hdd
解	jpj
文	wfw
命	mkr
斯	siq
通	tsz
思	six
世	uic
利	lid
至	vit
步	buv
候	hzr
五	wua
度	dog
物	wun
许	xuy
化	hxr
火	hod
性	xkx
指	vif
结	jps
花	hxc
教	jnw
提	dif
百	bda
它	tab
满	mjd
必	bid
形	xka
青	qkf
石	dja
半	bjb
近	jbz
认	rfy
队	dve
电	dma
往	whr
件	jmr
即	jie
工	gsa
极	mn
界	jpt
记	jiy
流	lqd
管	grv
音	ybl
保	bcr
及	jip
交	jw
影	yko
华	hxu
精	jkm
决	jt
条	tnw
众	vsr
领	lkr
南	nju
般	bjv
收	uzw
始	uin
题	tio
克	keu
根	gfm
象	xld
达	daz
展	vju
整	vga
员	yrb
千	qmp
切	qpq
越	ytz
消	xnd
业	yea
八	bap
书	uuv
备	bww
北	bwa
断	drm
准	vy
江	jld
建	jmz
术	uum
格	gem
识	uiy
持	iif
确	qtu
易	yio
七	qia
程	igh
族	zuf
取	que
单	djb
务	wuw
低	dir
响	xlk
布	buu
市	uiw
级	jis
运	yyz
统	tss
速	suz
复	fur
式	uiq
九	jq
集	mr
铁	tpj
除	iue
联	lme
政	vgw
义	yx
六	lqw
器	qik
照	vch
基	jit
院	yre
斗	dzd
议	yiy
派	pdd
期	qiq
府	fug
改	gdw
资	zib
造	zcz
引	ybg
线	xms
细	xis
观	gry
约	yts
包	bcg
技	jif
示	uie
存	cy
商	uhl
争	vgd
角	jnd
严	yja
局	juu
究	jqb
查	iam
号	hck
导	dcv
际	je
具	juq
须	xup
权	qrm
证	vgy
称	ifh
规	gva
温	wfd
较	jni
层	cgu
置	vis
历	lii
质	vip
属	uuu
标	bnm
维	wws
划	hxd
土	tuu
志	vix
压	yai
素	suf
京	jkw
效	xnw
按	anf
广	gld
型	xkt
价	jxr
史	un
节	jpc
状	vld
专	vra
习	xig
社	uep
值	vir
研	yju
写	xpb
委	wwh
验	yjm
济	jid
适	uiz
采	cdv
养	yhy
省	ugx
积	jih
圆	yrk
律	lvr
农	nsd
阶	jpe
劳	lcc
党	dhx
构	gzm
油	yzd
育	yuw
例	lir
县	xmq
厂	iha
革	gec
矿	klu
酸	sry
#force encode:
十	eu

#算法不好处理的简码字
词	ciy
句	jug
奇	qid
吓	xxk
