一下	yi xx
上梁不正	uh ll bu vg
上水	uh uv
上溯	uh su
上漏下湿	uh lz xx ui
上相	uh xl
上窜下跳	uh cr xx tn
上缴	uh jn
上肢	uh vi
上议院	uh yi yr
上访	uh fh
上蹿下跳	uh cr xx tn
上载	uh zd
上道	uh dc
上限	uh xm
上风	uh fg
下乡	xx xl
下人	xx rf
下任	xx rf
下低	xx di
下功夫	xx gs fu
下地	xx di
下工	xx gs
下扒	xx ba
下扒	xx pa
下扒轻轻	xx ba qk qk
下扒轻轻	xx pa qk qk
下摆	xx bd
下放	xx fh
下水道	xx uv dc
下滑	xx hx
下爬	xx pa
下级	xx ji
下脚料	xx jn ln
下蛋	xx dj
下议院	xx yi yr
下野	xx ye
下限	xx xm
下陷	xx xm
下马威	xx ma ww
不丹	bu dj
不为所动	bu ww so ds
不乏	bu fa
不仅仅	bu jb jb
不以为奇	bu yi ww ji
不以为奇	bu yi ww qi
不住	bu vu
不依	bu yi
不便	bu bm
不值一文	bu vi yi wf
不再	bu zd
不分皂白	bu ff zc bd
不列颠	bu lp dm
不利	bu li
不力	bu li
不单	bu dj
不只	bu vi
不可一世	bu ke yi ui
不可抗力	bu ke kh li
不可收拾	bu ke uz ui
不可磨灭	bu ke mo mp
不可胜数	bu ke ug uu
不可计数	bu ke ji uu
不可逾越	bu ke yu yt
不合	bu he
不同流俗	bu ts lq su
不名一钱	bu mk yi qm
不周	bu vz
不善	bu uj
不定	bu dk
不对	bu dv
不已	bu yi
不幸	bu xk
不得善终	bu de uj vs
不得善终	bu dw uj vs
不得要领	bu de yc lk
不忘沟壑	bu wh gz he
不忠	bu vs
不急之务	bu ji vi wu
不怨	bu yr
不恭	bu gs
不息	bu xi
不恶而严	bu ee er yj
不恶而严	bu wu er yj
不愧为	bu kv ww
不愧屋漏	bu kv wu lz
不成方圆	bu ig fh yr
不扶自直	bu fu zi vi
不拘	bu ju
不教而杀	bu jn er ua
不敢旁鹜	bu gj ph wu
不无遗憾	bu mo yi hj
不无遗憾	bu wu yi hj
不时	bu ui
不易	bu yi
不易一字	bu yi yi zi
不服	bu fu
不期而然	bu qi er rj
不次之迁	bu ci vi qm
不止	bu vi
不死不活	bu si bu ho
不比	bu bi
不求有功	bu qq yz gs
不法	bu fa
不溜	bu lq
不独	bu du
不甘	bu gj
不甘后人	bu gj hz rf
不甘雌伏	bu gj ci fu
不甚了了	bu uf le le
不甚了了	bu uf ln ln
不由得	bu yz de
不畏	bu ww
不畏强暴	bu ww ql bc
不疾不徐	bu ji bu xu
不看	bu kj
不眠	bu mm
不着	bu vc
不着	bu ve
不着	bu vo
不瞒	bu mj
不矜不伐	bu gr bu fa
不矜不伐	bu jb bu fa
不矜不伐	bu qb bu fa
不知其可	bu vi qi ke
不知去向	bu vi qu xl
不知肉味	bu vi rz ww
不确定性	bu qt dk xk
不禁	bu jb
不移	bu yi
不稳	bu wf
不端	bu dr
不等式	bu dg ui
不纯	bu iy
不结盟	bu jp mg
不胜枚举	bu ug mw ju
不能不	bu ng bu
不致	bu vi
不致于	bu vi yu
不苟言笑	bu gz yj xn
不虞之誉	bu yu vi yu
不见	bu jm
不见泰山	bu jm td uj
不解之缘	bu jp vi yr
不言而信	bu yj er xb
不言自明	bu yj zi mk
不语	bu yu
不误	bu wu
不谋而同	bu mz er ts
不谋而和	bu mz er he
不谋而和	bu mz er ho
不谋而和	bu mz er hu
不贞	bu vf
不负	bu fu
不足为怪	bu zu ww gk
不轨	bu gv
不辞辛劳	bu ci xb lc
不辞辛苦	bu ci xb ku
不辱使命	bu ru ui mk
不远千里	bu yr qm li
不适	bu ui
不通	bu ts
不道德	bu dc de
不避斧钺	bu bi fu yt
不锈钢	bu xq gh
不长	bu ih
不长	bu vh
不间断	bu jm dr
不闻	bu wf
不需	bu xu
不露	bu lu
不露	bu lz
不靠	bu kc
不须	bu xu
不预则废	bu yu ze fw
不食之地	bu si vi de
不食之地	bu si vi di
不食之地	bu ui vi de
不食之地	bu ui vi di
不食之地	bu yi vi de
不食之地	bu yi vi di
不食周粟	bu si vz su
不食周粟	bu ui vz su
不食周粟	bu yi vz su
不饮盗泉	bu yb dc qr
不齿	bu ii
与之	yu vi
与人	yu rf
与他	yu ta
与会	yu hv
与你	yu ni
与其	yu qi
与其说	yu qi uo
与其说	yu qi uv
与其说	yu qi yt
与年俱增	yu nm ju zg
与此	yu ci
与此同时	yu ci ts ui
丑事	iz ui
丑剧	iz ju
丑化	iz hx
丑样	iz yh
专一	vr yi
专业化	vr ye hx
专业课	vr ye ke
专为	vr ww
专书	vr uu
专利局	vr li ju
专利权	vr li qr
专制	vr vi
专区	vr qu
专号	vr hc
专场	vr ih
专攻	vr gs
专机	vr ji
专款	vr kr
专治	vr vi
专电	vr dm
专稿	vr gc
专署	vr uu
专著	vr vu
专门利人	vr mf li rf
专集	vr ji
且听	qp tk
世上无难事只怕有心人	ui uh mo nj ui vi pa yz xb rf
世上无难事只怕有心人	ui uh wu nj ui vi pa yz xb rf
世世代代	ui ui dd dd
世事	ui ui
世人	ui rf
世代	ui dd
世代相传	ui dd xl ir
世俗	ui su
世务	ui wu
世博	ui bo
世卫	ui ww
世嘉	ui jx
世家	ui jx
世尊	ui zy
世态	ui td
世情	ui qk
世故	ui gu
世族	ui zu
世界仔	ui jp zd
世界仔	ui jp zi
世界性	ui jp xk
世界杯	ui jp bw
世界语	ui jp yu
世相	ui xl
世纪	ui ji
世纪初	ui ji iu
世行	ui hh
世行	ui xk
世袭	ui xi
世说新语	ui uo xb yu
世说新语	ui uv xb yu
世说新语	ui yt xb yu
世贸	ui mc
世间	ui jm
世面	ui mm
丙午	bk wu
丙子	bk zi
丙寅	bk yb
丙戌	bk xu
丙申	bk uf
丙级	bk ji
丙纶	bk ly
丙辰	bk if
丙醇	bk iy
业大	ye da
业经	ye jk
业障	ye vh
丛书	cs uu
丛刊	cs kj
东东	ds ds
东临	ds lb
东乡	ds xl
东京	ds jk
东北风	ds bw fg
东吴	ds wu
东头	ds tz
东夷	ds yi
东宫	ds gs
东扶西倒	ds fu xi dc
东方欲晓	ds fh yu xn
东洋	ds yh
东经	ds jk
东芝	ds vi
东逃西散	ds tc xi sj
东道	ds dc
东道国	ds dc go
东面	ds mm
东鳞西爪	ds lb xi vc
丝线	si xm
丝织	si vi
丝织品	si vi pb
丞相	ig xl
丢卒保车	dq zu bc ju
丢生	dq ug
丢面子	dq mm zi
两便	ll bm
两头唔到岸	ll tz wu dc an
两性	ll xk
两抠	ll kz
两极	ll ji
两栖	ll qi
两睇	ll di
两重性	ll is xk
两面性	ll mm xk
两鬓	ll bb
严严实实	yj yj ui ui
严于	yj yu
严于律己	yj yu lv ji
严以律己宽以待人	yj yi lv ji kr yi dd rf
严刑	yj xk
严历	yj li
严守	yj uz
严实	yj ui
严寒	yj hj
严惩不贷	yj ig bu dd
严整	yj vg
严正	yj vg
严气正性	yj qi vg xk
严词	yj ci
严辞	yj ci
丧事	sh ui
丧家之狗	sh jx vi gz
丧葬费	sh zh fw
个个	ge ge
个人	ge rf
个人主义	ge rf vu yi
个人所得税	ge rf so de uv
个人所得税	ge rf so dw uv
个体户	ge ti hu
个唱	ge ih
个喎	ge wd
个噃	ge bo
个子	ge zi
中下游	vs xx yz
中世纪	vs ui ji
中伤	vs uh
中低档	vs di dh
中信	vs xb
中兴	vs xk
中农	vs ns
中医师	vs yi ui
中医院	vs yi yr
中华民国	vs hx mb go
中南	vs nj
中卫	vs ww
中原逐鹿	vs yr vu lu
中和	vs he
中国海	vs go hd
中国画	vs go hx
中国话	vs go hx
中坚	vs jm
中型	vs xk
中子	vs zi
中宣部	vs xr bu
中将	vs jl
中小	vs xn
中小企	vs xn qi
中小型	vs xn xk
中小学校	vs xn xt xn
中小学生	vs xn xt ug
中山装	vs uj vl
中师	vs ui
中年人	vs nm rf
中庸	vs ys
中式	vs ui
中成药	vs ig yc
中指	vs vi
中日	vs ri
中暑	vs uu
中标	vs bn
中止	vs vi
中法	vs fa
中流击楫	vs lq ji ji
中用	vs ys
中的	vs de
中看	vs kj
中程	vs ig
中空	vs ks
中立	vs li
中立国	vs li go
中策	vs ce
中篇	vs pm
中纪委	vs ji ww
中继	vs ji
中继线	vs ji xm
中苏	vs su
中草药	vs cc yc
中药	vs yc
中药材	vs yc cd
中行	vs hh
中行	vs xk
中装	vs vl
中褛	vs lv
中转	vs vr
中选	vs xr
中速	vs su
中间商	vs jm uh
中间派	vs jm pd
中队长	vs dv vh
中青年	vs qk nm
中风	vs fg
中饭	vs fj
中饱私囊	vs bc si nh
中高级	vs gc ji
丰产	fg ij
丰台	fg td
丰姿	fg zi
丰年	fg nm
丰沛	fg pw
丰裕	fg yu
丰采	fg cd
串连	ir lm
串通	ir ts
临事而惧	lb ui er ju
临场	lb ih
临安	lb an
临幸	lb xk
临时工	lb ui gs
临江	lb jl
临沂	lb yi
临深履薄	lb uf lv bc
临界点	lb jp dm
临老学吹打	lb lc xt iv da
临街	lb jp
临难不惧	lb nj bu ju
丹书	dj uu
丹尼尔	dj ni er
丹心	dj xb
丹红	dj hs
丹药	dj yc
为之	ww vi
为伍	ww wu
为例	ww li
为公	ww gs
为名	ww mk
为咗	ww zo
为数	ww uu
为数不多	ww uu bu do
为数众多	ww uu vs do
为时	ww ui
为期	ww qi
为止	ww vi
为民请命	ww mb qk mk
为生	ww ug
为由	ww yz
为皮	ww pi
为辅	ww fu
主义	vu yi
主人	vu rf
主人公	vu rf gs
主人家	vu rf jx
主人翁	vu rf wg
主刑	vu xk
主力	vu li
主力军	vu li jy
主动性	vu ds xk
主动权	vu ds qr
主动脉	vu ds md
主外	vu wd
主妇	vu fu
主官	vu gr
主客观	vu ke gr
主宰	vu zd
主将	vu jl
主峰	vu fg
主席团	vu xi tr
主心骨	vu xb gu
主意	vu yi
主战场	vu vj ih
主持人	vu ii rf
主攻手	vu gs uz
主教	vu jn
主教练	vu jn lm
主旨	vu vi
主权国	vu qr go
主板	vu bj
主治	vu vi
主犯	vu fj
主航道	vu hh dc
主见	vu jm
主观主义	vu gr vu yi
主讲	vu jl
主课	vu ke
主轴	vu vz
主队	vu dv
主题歌	vu ti ge
主题词	vu ti ci
主食	vu ui
丽日临空	li ri lb ks
丽水	li uv
举不胜举	ju bu ug ju
举世	ju ui
举人	ju rf
举例	ju li
举报人	ju bc rf
举杯	ju bw
举步维艰	ju bu ww jm
举袖为云	ju xq ww yy
举重	ju vs
乃是	nd ui
久久	jq jq
久别重逢	jq bp is fg
久安	jq an
久居	jq ju
久已	jq yi
久悬不决	jq xr bu jt
久拖不决	jq to bu jt
久经	jq jk
久经沙场	jq jk ua ih
久远	jq yr
义举	yi ju
义乌	yi wu
义务兵	yi wu bk
义务教育	yi wu jn yu
义勇军	yi ys jy
义卖	yi md
义和团	yi he tr
义士	yi ui
义愤	yi ff
义无返顾	yi mo fj gu
义无返顾	yi wu fj gu
义正词严	yi vg ci yj
义气	yi qi
义演	yi yj
义理	yi li
之上	vi uh
之下	vi xx
之不过	vi bu go
之久	vi jq
之争	vi vg
之余	vi yu
之势	vi ui
之嘛	vi ma
之声	vi ug
之处	vi iu
之嫌	vi xm
之家	vi jx
之情	vi qk
之时	vi ui
之星	vi xk
之最	vi zv
之死靡它	vi si mi ta
之称	vi if
之称	vi ig
之窗	vi il
之行	vi hh
之行	vi xk
之际	vi ji
乌云翻滚	wu yy fj gy
乌兹别克斯坦	wu ci bp ke si tj
乌兹别克斯坦	wu zi bp ke si tj
乌卒卒	wu cu cu
乌卒卒	wu cu zu
乌卒卒	wu zu cu
乌卒卒	wu zu zu
乌发	wu fa
乌喱单刀	wu li dj dc
乌喱单刀	wu li ij dc
乌喱单刀	wu li uj dc
乌江	wu jl
乌眉瞌睡	wu mw ke uv
乌纱帽	wu ua mc
乏力	fa li
乐呵呵	le he he
乐声	yt ug
乐府	yt fu
乐滋滋	le zi zi
乐舞	yt wu
乐融融	le rs rs
乐音	yt yb
乒乓波	pk ph bo
乒乓球	pk ph qq
乒坛	pk tj
乒铃唪唥	pk lk fg lh
乔丹	qn dj
乔治	qn vi
乖舛	gk ir
乖迕	gk wu
乘兴	ig xk
乘务员	ig wu yr
乘势	ig ui
乘员	ig yr
乘数	ig uu
乘机	ig ji
乘法	ig fa
乘积	ig ji
乘长风破万里浪	ig ih fg po wj li lh
乘长风破万里浪	ig vh fg po wj li lh
乘长风破万里浪	ug ih fg po wj li lh
乘长风破万里浪	ug vh fg po wj li lh
乘除	ig iu
乘隙	ig xi
乘风破浪	ig fg po lh
乙丑	yi iz
乙亥	yi hd
乙卯	yi mc
乙型	yi xk
乙巳	yi si
乙未	yi ww
乙烯	yi xi
乙等	yi dg
乙类	yi lw
乙级	yi ji
乙酉	yi yz
乙醇	yi iy
乜嘢话	mp ye hx
乜嘢话	np ye hx
乜滞	mp vi
乜滞	np vi
乜都假	mp du jx
乜都假	mp dz jx
乜都假	np du jx
乜都假	np dz jx
九九金	jq jq jb
九儒十丐	jq ru ui gd
九唔搭八	jq wu da ba
九大簋	jq da gv
九大簋	jq dd gv
九尾狐	jq ww hu
九泉	jq qr
九泉之下	jq qr vi xx
九洲	jq vz
九牛二虎	jq nq er hu
乞人憎	qi rf zg
乞儿	qi er
乞嗤	qi ii
乞求	qi qq
乞浆得酒	qi jl de jq
乞浆得酒	qi jl dw jq
习习	xi xi
习气	xi qi
乡下	xl xx
乡下人	xl xx rf
乡亲	xl qb
乡勇	xl ys
乡巴佬	xl ba lc
乡思	xl si
乡级	xl ji
乡邻	xl lb
乡里	xl li
书名	uu mk
书后	uu hz
书展	uu vj
书市	uu ui
书报	uu bc
书摘	uu vd
书架	uu jx
书橱	uu iu
书法家	uu fa jx
书法展	uu fa vj
书目	uu mu
书箱	uu xl
书记	uu ji
书院	uu yr
书香	uu xl
买位	md ww
买壳	md ke
买壳	md qn
买帐	md vh
买方	md fh
买春	md iy
乱丢	lr dq
乱哄哄	lr hs hs
乱嗡	lr wg
乱象	lr xl
乱龙	lr ls
乳业	ru ye
乳晕	ru yy
乳白色	ru bd se
乳类	ru lw
乳虎	ru hu
乸型	na xk
乾州	qm vz
了不得	ln bu de
了望	le wh
了望	ln wh
了结	ln jp
争办	vg bj
争当	vg dh
争执	vg vi
争斤论两	vg jb ly ll
争权	vg qr
争气	vg qi
争相	vg xl
争胜	vg ug
争衡	vg hg
争论不休	vg ly bu xq
争鸣	vg mk
事不师古	ui bu ui gu
事业心	ui ye xb
事主	ui vu
事事	ui ui
事例	ui li
事先	ui xm
事典	ui dm
事务	ui wu
事后	ui hz
事头	ui tz
事头婆	ui tz po
事宜	ui yi
事实上	ui ui uh
事急马行田	ui ji ma hh tm
事急马行田	ui ji ma xk tm
事无不可对人言	ui mo bu ke dv rf yj
事无不可对人言	ui wu bu ke dv rf yj
事物	ui wu
事理	ui li
事由	ui yz
事端	ui dr
事过境迁	ui go jk qm
事迹	ui ji
事隔	ui ge
二人同心其利断金	er rf ts xb qi li dr jb
二打六	er da lq
二打六	er da lu
二桃杀三士	er tc ua sj ui
二泉映月	er qr yk yt
二门	er mf
于今	yu jb
于归	yu gv
于心何忍	yu xb he rf
于是乎	yu ui hu
于此	yu ci
亏得	kv de
云中白鹤	yy vs bd he
云南省	yy nj ug
云团	yy tr
云母	yy mu
云浮	yy fu
云消雨散	yy xn yu sj
云端	yy dr
云行雨施	yy hh yu ui
云行雨施	yy xk yu ui
云集	yy ji
云雨	yy yu
云龙	yy ls
互保	hu bc
互利	hu li
互助组	hu vu zu
互帮互学	hu bh hu xt
互换	hu hr
互联网	hu lm wh
五一	wu yi
五保户	wu bc hu
五台山	wu td uj
五味	wu ww
五四	wu si
五官	wu gr
五岳	wu yt
五指	wu vi
五星	wu xk
五笔	wu bi
五笔加加	wu bi jx jx
五行	wu xk
五角大楼	wu jn da lz
五角星	wu jn xk
五讲四美	wu jl si mw
五谷	wu gu
五金	wu jb
五雷轰顶	wu lw hs dk
五黄六月	wu hl lq yt
井架	jk jx
亚东	ya ds
亚热带	ya re dd
亚特兰大	ya te lj da
亚特兰大	ya te lj dd
亚视	ya ui
亚运	ya yy
亚运会	ya yy hv
亚运村	ya yy cy
亚里士多德	ya li ui do de
亚马逊	ya ma xy
亚齐	ya qi
亡命	wh mk
亡国	wh go
亡戟得矛	wh ji de mc
亡戟得矛	wh ji dw mc
交口	jn kz
交口称赞	jn kz ig zj
交响乐	jn xl yt
交响曲	jn xl qu
交响诗	jn xl ui
交好	jn hc
交工	jn gs
交底	jn di
交待	jn dd
交心	jn xb
交情	jn qk
交手	jn uz
交换机	jn hr ji
交接班	jn jp bj
交易会	jn yi hv
交更	jn gg
交流会	jn lq hv
交火	jn ho
交点	jn dm
交班	jn bj
交电	jn dm
交税	jn uv
交纳	jn na
交谊舞	jn yi wu
交费	jn fw
交还	jn hr
交通线	jn ts xm
交通网	jn ts wh
交通费	jn ts fw
交道	jn dc
交际	jn ji
亦可	yi ke
亦然	yi rj
亦算	yi sr
产业界	ij ye jp
产妇	ij fu
亨利	hg li
享年	xl nm
享有盛誉	xl yz ug yu
享誉	xl yu
京东	jk ds
京九	jk jq
京华	jk hx
京哈	jk ha
京师	jk ui
京广	jk gl
京戏	jk xi
京沪	jk hu
京胡	jk hu
京郊	jk jn
亮出	ll iu
亮晶晶	ll jk jk
亮红灯	ll hs dg
亲事	qb ui
亲传	qb ir
亲传	qb vr
亲传	qk ir
亲传	qk vr
亲兄弟	qb xs di
亲切感	qb qp gj
亲如	qb ru
亲如	qk ru
亲如兄弟	qb ru xs di
亲密无间	qb mi wu jm
亲手	qb uz
亲朋戚友	qb pg qi yz
亲朋戚友	qk pg qi yz
亲民	qb mb
亲民	qk mb
亲痛仇快	qb ts iz kk
亲笔信	qb bi xb
亲缘	qb yr
亲美	qb mw
亲美	qk mw
亳州	bo vz
亵玩	xp wj
人不知	rf bu vi
人世	rf ui
人世间	rf ui jm
人为	rf ww
人事	rf ui
人事处	rf ui iu
人事局	rf ui ju
人事部	rf ui bu
人代会	rf dd hv
人伦	rf ly
人力车	rf li ie
人名	rf mk
人命	rf mk
人哋	rf di
人士	rf ui
人声	rf ug
人声喧哗	rf ug xr hx
人声嘈杂	rf ug cc za
人外有人	rf wd yz rf
人多手杂	rf do uz za
人头涌涌	rf tz ys ys
人如潮涌	rf ru ic ys
人尽可夫	rf jb ke fu
人工湖	rf gs hu
人强马壮	rf jl ma vl
人强马壮	rf ql ma vl
人微权轻	rf ww qr qk
人心	rf xb
人心浮动	rf xb fu ds
人心涣散	rf xb hr sj
人心齐	rf xb qi
人手	rf uz
人手一册	rf uz yi ce
人数	rf uu
人有我有	rf yz wo yz
人机	rf ji
人梯	rf ti
人次	rf ci
人武部	rf wu bu
人氏	rf ui
人治	rf vi
人物	rf wu
人物画	rf wu hx
人生观	rf ug gr
人祸	rf ho
人缘	rf yr
人证	rf vg
人质	rf vi
人贩	rf fj
人身	rf uf
人造卫星	rf zc ww xk
人逢喜事精神爽	rf fg xi ui jk uf ul
亿万	yi wj
亿元	yi yr
什么样	uf me yh
什锦	ui jb
仁义	rf yi
仁人志士	rf rf vi ui
仁川	rf ir
仁心仁闻	rf xb rf wf
仁科	rf ke
仁言利博	rf yj li bo
仅供	jb gs
仇口	iz kz
仇口	qq kz
今人	jb rf
今冬	jb ds
今春	jb iy
今译	jb yi
介子	jp zi
介绍人	jp uc rf
介绍信	jp uc xb
介词	jp ci
介质	jp vi
介面	jp mm
仍有	rg yz
从从容容	cs cs rs rs
从化市	cs hx ui
从后	cs hz
从命	cs mk
从善如登	cs uj ru dg
从头至尾	cs tz vi ww
从师	cs ui
从恶如崩	cs ee ru bg
从恶如崩	cs wu ru bg
从新	cs xb
从未有过	cs ww yz go
从艺	cs yi
仓猝	ch cu
仓鼠	ch uu
仔乸	zd na
仔乸	zi na
仔仔细细	zi zi xi xi
仔大仔世界	zd da zd ui jp
仔大仔世界	zd da zi ui jp
仔大仔世界	zd dd zd ui jp
仔大仔世界	zd dd zi ui jp
仔大仔世界	zi da zd ui jp
仔大仔世界	zi da zi ui jp
仔大仔世界	zi dd zd ui jp
仔大仔世界	zi dd zi ui jp
仔猪	zi vu
仔细老婆嫩	zd xi lc po nf
仔细老婆嫩	zi xi lc po nf
仕女	ui nv
他乡	ta xl
他们	ta mf
付之东流	fu vi ds lq
付印	fu yb
付帐	fu vh
付账	fu vh
付费	fu fw
仙人	xm rf
仙人掌	xm rf vh
仙境	xm jk
仙姿玉貌	xm zi yu mc
仙童	xm ts
仙逝	xm ui
仙都唔仙下	xm du wu xm xx
仙都唔仙下	xm dz wu xm xx
仙鹤	xm he
仟眠	qm mm
代之	dd vi
代名词	dd mk ci
代培	dd pw
代序	dd xu
代数	dd uu
代理人	dd li rf
代用品	dd ys pb
代职	dd vi
代表团	dd bn tr
代表性	dd bn xk
代购	dd gz
令人注目	lk rf vu mu
以一当十	yi yi dh ui
以东	yi ds
以儆效尤	yi jk xn yz
以北	yi bw
以南	yi nj
以外	yi wd
以太	yi td
以太网	yi td wh
以少胜多	yi uc ug do
以往	yi wh
以德报德	yi de bc de
以文会友	yi wf hv yz
以文会友	yi wf kk yz
以期	yi qi
以来	yi ld
以此	yi ci
以沫相濡	yi mo xl ru
以泪洗面	yi lw xi mm
以疏间亲	yi uu jm qb
以疏间亲	yi uu jm qk
以直报怨	yi vi bc yr
以简驭繁	yi jm yu fj
以绝后患	yi jt hz hr
以至	yi vi
以至于	yi vi yu
以致	yi vi
以蠡测海	yi li ce hd
以西	yi xi
仪仗	yi vh
仪仗队	yi vh dv
仪器	yi qi
仪式	yi ui
仰不愧天	yh bu kv tm
仰屋着书	yh wu vc uu
仰屋着书	yh wu ve uu
仰屋着书	yh wu vo uu
仲夏	vs xx
仲尼	vs ni
仲涛	vs tc
仳离	pi li
仵工	wu gs
价值观	jx vi gr
价码	jx ma
任君	rf jy
任期	rf qi
份内	ff nw
份量	ff ll
仿佯	fh yh
仿制	fh vi
仿制品	fh vi pb
仿古	fh gu
仿生	fh ug
仿真	fh vf
仿真度	fh vf do
仿真度	fh vf du
企业主	qi ye vu
企业化	qi ye hx
企业家	qi ye jx
企业界	qi ye jp
企事业	qi ui ye
企人边	qi rf bm
企堂	qi th
企望	qi wh
企求	qi qq
企盼	qi pj
伊利	yi li
伊利诺斯	yi li no si
伊始	yi ui
伊宁	yi nk
伊斯兰	yi si lj
伊斯兰教	yi si lj jn
伊甸	yi dm
伊甸园	yi dm yr
伊肯	yi kf
伏击战	fu ji vj
伏匿匿	fu ni ni
伏法	fu fa
伏法受诛	fu fa uz vu
伏特	fu te
伏罪	fu zv
伏羲	fu xi
伏魔	fu mo
伏龙凤雏	fu ls fg iu
休会	xq hv
休养	xq yh
休市	xq ui
休憩	xq qi
休整	xq vg
休斯敦	xq si dy
