一下	yixx
不以为奇	bywj
不以为奇	bywq
不住	buvu
不依	buyi
不便	bubm
不值一文	bvyw
不再	buzd
不分皂白	bfzb
不列颠	bldm
不利	buli
不力	buli
不单	budj
不只	buvi
不可一世	bkyu
不可抗力	bkkl
不可收拾	bkuu
不可磨灭	bkmm
不可胜数	bkuu
不可计数	bkju
不可逾越	bkyy
不合	buhe
不同流俗	btls
不名一钱	bmyq
不周	buvz
不善	buuj
不定	budk
不对	budv
不已	buyi
不幸	buxk
不得善终	bduv
不得要领	bdyl
不忘沟壑	bwgh
不忠	buvs
不急之务	bjvw
不怨	buyr
不恭	bugs
不息	buxi
不恶而严	beey
不恶而严	bwey
不愧为	bkww
不愧屋漏	bkwl
不成方圆	bify
不扶自直	bfzv
不拘	buju
不教而杀	bjeu
不敢旁鹜	bgpw
不无遗憾	bmyh
不无遗憾	bwyh
不时	buui
不易	buyi
不易一字	byyz
不服	bufu
不期而然	bqer
不次之迁	bcvq
不止	buvi
不死不活	bsbh
不比	bubi
不求有功	bqyg
不法	bufa
不溜	bulq
不独	budu
不甘	bugj
不甘后人	bghr
不甘雌伏	bgcf
不甚了了	bull
不由得	byde
不畏	buww
不畏强暴	bwqb
不疾不徐	bjbx
不看	bukj
不眠	bumm
不着	buvc
不着	buve
不着	buvo
不瞒	bumj
不矜不伐	bgbf
不矜不伐	bjbf
不矜不伐	bqbf
不知其可	bvqk
不知去向	bvqx
不知肉味	bvrw
不确定性	bqdx
不禁	bujb
不移	buyi
不稳	buwf
不端	budr
不等式	bdui
不纯	buiy
不结盟	bjmg
不胜枚举	bumj
不能不	bnbu
不致	buvi
不致于	bvyu
不苟言笑	bgyx
不虞之誉	byvy
不见	bujm
不见泰山	bjtu
不解之缘	bjvy
不言而信	byex
不言自明	byzm
不语	buyu
不误	buwu
不谋而同	bmet
不谋而和	bmeh
不贞	buvf
不负	bufu
不足为怪	bzwg
不轨	bugv
不辞辛劳	bcxl
不辞辛苦	bcxk
不辱使命	brum
不远千里	byql
不适	buui
不通	buts
不道德	bdde
不避斧钺	bbfy
不锈钢	bxgh
不长	buih
不长	buvh
不间断	bjdr
不闻	buwf
不需	buxu
不露	bulu
不露	bulz
不靠	bukc
不须	buxu
不预则废	byzf
不食之地	bsvd
不食之地	buvd
不食之地	byvd
不食周粟	bsvs
不食周粟	buvs
不食周粟	byvs
不饮盗泉	bydq
不齿	buii
与之	yuvi
与人	yurf
与他	yuta
与会	yuhv
与你	yuni
与其	yuqi
与其说	yquo
与其说	yquv
与其说	yqyt
与年俱增	ynjz
与此	yuci
与此同时	yctu
丑事	izui
丑剧	izju
丑化	izhx
丑样	izyh
专一	vryi
专业化	vyhx
专业课	vyke
专为	vrww
专书	vruu
专利局	vlju
专利权	vlqr
专制	vrvi
专区	vrqu
专号	vrhc
专场	vrih
专攻	vrgs
专机	vrji
专款	vrkr
专治	vrvi
专电	vrdm
专稿	vrgc
专署	vruu
专著	vrvu
专门利人	vmlr
专集	vrji
且听	qptk
世上无难事只怕有心人	uumr
世上无难事只怕有心人	uuwr
世世代代	uudd
世事	uiui
世人	uirf
世代	uidd
世代相传	udxi
世俗	uisu
世务	uiwu
世博	uibo
世卫	uiww
世嘉	uijx
世家	uijx
世尊	uizy
世态	uitd
世情	uiqk
世故	uigu
世族	uizu
世界仔	ujzd
世界仔	ujzi
世界性	ujxk
世界杯	ujbw
世界语	ujyu
世相	uixl
世纪	uiji
世纪初	ujiu
世行	uihh
世行	uixk
世袭	uixi
世说新语	uuxy
世说新语	uyxy
世贸	uimc
世间	uijm
世面	uimm
丙午	bkwu
丙子	bkzi
丙寅	bkyb
丙戌	bkxu
丙申	bkuf
丙级	bkji
丙纶	bkly
丙辰	bkif
丙醇	bkiy
业大	yeda
业经	yejk
业障	yevh
丛书	csuu
丛刊	cskj
东东	dsds
东临	dslb
东乡	dsxl
东京	dsjk
东北风	dbfg
东吴	dswu
东头	dstz
东夷	dsyi
东宫	dsgs
东扶西倒	dfxd
东方欲晓	dfyx
东洋	dsyh
东经	dsjk
东芝	dsvi
东逃西散	dtxs
东道	dsdc
东道国	ddgo
东面	dsmm
东鳞西爪	dlxv
丝线	sixm
丝织	sivi
丝织品	svpb
丞相	igxl
丢卒保车	dzbj
丢生	dqug
丢面子	dmzi
两便	llbm
两头唔到岸	ltwa
两性	llxk
两抠	llkz
两极	llji
两栖	llqi
两睇	lldi
两重性	lixk
两面性	lmxk
两鬓	llbb
严严实实	yyuu
严于	yjyu
严于律己	yylj
严以律己宽以待人	yylr
严刑	yjxk
严历	yjli
严守	yjuz
严实	yjui
严寒	yjhj
严惩不贷	yibd
严整	yjvg
严正	yjvg
严气正性	yqvx
严词	yjci
严辞	yjci
丧事	shui
丧家之狗	sjvg
丧葬费	szfw
个个	gege
个人	gerf
个人主义	grvy
个人所得税	grsu
个体户	gthu
个唱	geih
个喎	gewd
个噃	gebo
个子	gezi
中下游	vxyz
中世纪	vuji
中伤	vsuh
中低档	vddh
中信	vsxb
中兴	vsxk
中农	vsns
中医师	vyui
中医院	vyyr
中华民国	vhmg
中南	vsnj
中卫	vsww
中原逐鹿	vyvl
中和	vshe
中国海	vghd
中国画	vghx
中国话	vghx
中坚	vsjm
中型	vsxk
中子	vszi
中宣部	vxbu
中将	vsjl
中小	vsxn
中小企	vxqi
中小型	vxxk
中小学校	vxxx
中小学生	vxxu
中山装	vuvl
中师	vsui
中年人	vnrf
中庸	vsys
中式	vsui
中成药	viyc
中指	vsvi
中日	vsri
中暑	vsuu
中标	vsbn
中止	vsvi
中法	vsfa
中流击楫	vljj
中用	vsys
中的	vsde
中看	vskj
中程	vsig
中空	vsks
中立	vsli
中立国	vlgo
中策	vsce
中篇	vspm
中纪委	vjww
中继	vsji
中继线	vjxm
中苏	vssu
中草药	vcyc
中药	vsyc
中药材	vycd
中行	vshh
中行	vsxk
中装	vsvl
中褛	vslv
中转	vsvr
中选	vsxr
中速	vssu
中间商	vjuh
中间派	vjpd
中队长	vdvh
中青年	vqnm
中风	vsfg
中饭	vsfj
中饱私囊	vbsn
中高级	vgji
丰产	fgij
丰台	fgtd
丰姿	fgzi
丰年	fgnm
丰沛	fgpw
丰裕	fgyu
丰采	fgcd
串连	irlm
串通	irts
临事而惧	luej
临场	lbih
临安	lban
临幸	lbxk
临时工	lugs
临江	lbjl
临沂	lbyi
临深履薄	lulb
临界点	ljdm
临老学吹打	llxd
临街	lbjp
临难不惧	lnbj
丹书	djuu
丹尼尔	dner
丹心	djxb
丹红	djhs
丹药	djyc
为之	wwvi
为伍	wwwu
为例	wwli
为公	wwgs
为名	wwmk
为咗	wwzo
为数	wwuu
为数不多	wubd
为数众多	wuvd
为时	wwui
为期	wwqi
为止	wwvi
为民请命	wmqm
为生	wwug
为由	wwyz
为皮	wwpi
为辅	wwfu
主义	vuyi
主人	vurf
主人公	vrgs
主人家	vrjx
主人翁	vrwg
主刑	vuxk
主力	vuli
主力军	vljy
主动性	vdxk
主动权	vdqr
主动脉	vdmd
主外	vuwd
主妇	vufu
主官	vugr
主客观	vkgr
主宰	vuzd
主将	vujl
主峰	vufg
主席团	vxtr
主心骨	vxgu
主意	vuyi
主战场	vvih
主持人	virf
主攻手	vguz
主教	vujn
主教练	vjlm
主旨	vuvi
主权国	vqgo
主板	vubj
主治	vuvi
主犯	vufj
主航道	vhdc
主见	vujm
主观主义	vgvy
主讲	vujl
主课	vuke
主轴	vuvz
主队	vudv
主题歌	vtge
主题词	vtci
主食	vuui
丽日临空	lrlk
丽水	liuv
举不胜举	jbuj
举世	juui
举人	jurf
举例	juli
举报人	jbrf
举杯	jubw
举步维艰	jbwj
举袖为云	jxwy
举重	juvs
乃是	ndui
久久	jqjq
久别重逢	jbif
久安	jqan
久居	jqju
久已	jqyi
久悬不决	jxbj
久拖不决	jtbj
久经	jqjk
久经沙场	jjui
久远	jqyr
义举	yiju
义乌	yiwu
义务兵	ywbk
义务教育	ywjy
义勇军	yyjy
义卖	yimd
义和团	yhtr
义士	yiui
义愤	yiff
义无返顾	ymfg
义无返顾	ywfg
义正词严	yvcy
义气	yiqi
义演	yiyj
义理	yili
之上	viuh
之下	vixx
之不过	vbgo
之久	vijq
之争	vivg
之余	viyu
之势	viui
之嘛	vima
之声	viug
之处	viiu
之嫌	vixm
之家	vijx
之情	viqk
之时	viui
之星	vixk
之最	vizv
之死靡它	vsmt
之称	viif
之称	viig
之窗	viil
之行	vihh
之行	vixk
之际	viji
乌云翻滚	wyfg
乌兹别克斯坦	wcbt
乌兹别克斯坦	wzbt
乌卒卒	wccu
乌卒卒	wczu
乌卒卒	wzcu
乌卒卒	wzzu
乌发	wufa
乌喱单刀	wldd
乌喱单刀	wlid
乌喱单刀	wlud
乌江	wujl
乌眉瞌睡	wmku
乌纱帽	wumc
乏力	fali
乐呵呵	lhhe
乐声	ytug
乐府	ytfu
乐滋滋	lzzi
乐舞	ytwu
乐融融	lrrs
乐音	ytyb
乒乓波	ppbo
乒乓球	ppqq
乒坛	pktj
乒铃唪唥	plfl
乔丹	qndj
乔治	qnvi
乖舛	gkir
乖迕	gkwu
乘兴	igxk
乘务员	iwyr
乘势	igui
乘员	igyr
乘数	iguu
乘机	igji
乘法	igfa
乘积	igji
乘长风破万里浪	iifl
乘长风破万里浪	ivfl
乘长风破万里浪	uifl
乘长风破万里浪	uvfl
乘除	igiu
乘隙	igxi
乘风破浪	ifpl
乙丑	yiiz
乙亥	yihd
乙卯	yimc
乙型	yixk
乙巳	yisi
乙未	yiww
乙烯	yixi
乙等	yidg
乙类	yilw
乙级	yiji
乙酉	yiyz
乙醇	yiiy
乜嘢话	myhx
乜嘢话	nyhx
乜滞	mpvi
乜滞	npvi
乜都假	mdjx
乜都假	ndjx
九九金	jjjb
九儒十丐	jrug
九唔搭八	jwdb
九大簋	jdgv
九尾狐	jwhu
九泉	jqqr
九泉之下	jqvx
九洲	jqvz
九牛二虎	jneh
乞人憎	qrzg
乞儿	qier
乞嗤	qiii
乞求	qiqq
乞浆得酒	qjdj
习习	xixi
习气	xiqi
乡下	xlxx
乡下人	xxrf
乡亲	xlqb
乡勇	xlys
乡巴佬	xblc
乡思	xlsi
乡级	xlji
乡邻	xllb
乡里	xlli
书名	uumk
书后	uuhz
书展	uuvj
书市	uuui
书报	uubc
书摘	uuvd
书架	uujx
书橱	uuiu
书法家	ufjx
书法展	ufvj
书目	uumu
书箱	uuxl
书记	uuji
书院	uuyr
书香	uuxl
买位	mdww
买壳	mdke
买壳	mdqn
买帐	mdvh
买方	mdfh
买春	mdiy
乱丢	lrdq
乱哄哄	lhhs
乱嗡	lrwg
乱象	lrxl
乱龙	lrls
乳业	ruye
乳晕	ruyy
乳白色	rbse
乳类	rulw
乳虎	ruhu
乸型	naxk
乾州	qmvz
了不得	lbde
了望	lewh
了望	lnwh
了结	lnjp
争办	vgbj
争当	vgdh
争执	vgvi
争斤论两	vjll
争权	vgqr
争气	vgqi
争相	vgxl
争胜	vgug
争衡	vghg
争论不休	vlbx
争鸣	vgmk
事不师古	ubug
事业心	uyxb
事主	uivu
事事	uiui
事例	uili
事先	uixm
事典	uidm
事务	uiwu
事后	uihz
事头	uitz
事头婆	utpo
事宜	uiyi
事实上	uuuh
事急马行田	ujmt
事无不可对人言	umby
事无不可对人言	uwby
事物	uiwu
事理	uili
事由	uiyz
事端	uidr
事过境迁	ugjq
事迹	uiji
事隔	uige
二人同心其利断金	ertj
二打六	edlq
二打六	edlu
二桃杀三士	etuu
二泉映月	eqyy
二门	ermf
于今	yujb
于归	yugv
于心何忍	yxhr
于是乎	yuhu
于此	yuci
亏得	kvde
云中白鹤	yvbh
云南省	ynug
云团	yytr
云母	yymu
云浮	yyfu
云消雨散	yxys
云端	yydr
云行雨施	yhyu
云行雨施	yxyu
云集	yyji
云雨	yyyu
云龙	yyls
互保	hubc
互利	huli
互助组	hvzu
互帮互学	hbhx
互换	huhr
互联网	hlwh
五一	wuyi
五保户	wbhu
五台山	wtuj
五味	wuww
五四	wusi
五官	wugr
五岳	wuyt
五指	wuvi
五星	wuxk
五笔	wubi
五笔加加	wbjj
五行	wuxk
五角大楼	wjdl
五角星	wjxk
五讲四美	wjsm
五谷	wugu
五金	wujb
五雷轰顶	wlhd
五黄六月	whly
井架	jkjx
亚东	yads
亚热带	yrdd
亚特兰大	ytld
亚视	yaui
亚运	yayy
亚运会	yyhv
亚运村	yycy
亚里士多德	ylud
亚马逊	ymxy
亚齐	yaqi
亡命	whmk
亡国	whgo
亡戟得矛	wjdm
交口	jnkz
交口称赞	jkiz
交响乐	jxyt
交响曲	jxqu
交响诗	jxui
交好	jnhc
交工	jngs
交底	jndi
交待	jndd
交心	jnxb
交情	jnqk
交手	jnuz
交换机	jhji
交接班	jjbj
交易会	jyhv
交更	jngg
交流会	jlhv
交火	jnho
交点	jndm
交班	jnbj
交电	jndm
交税	jnuv
交纳	jnna
交谊舞	jywu
交费	jnfw
交还	jnhr
交通线	jtxm
交通网	jtwh
交通费	jtfw
交道	jndc
交际	jnji
亦可	yike
亦然	yirj
亦算	yisr
产业界	iyjp
产妇	ijfu
亨利	hgli
享年	xlnm
享有盛誉	xyuy
享誉	xlyu
京东	jkds
京九	jkjq
京华	jkhx
京哈	jkha
京师	jkui
京广	jkgl
京戏	jkxi
京沪	jkhu
京胡	jkhu
京郊	jkjn
亮出	lliu
亮晶晶	ljjk
亮红灯	lhdg
亲事	qbui
亲传	qbir
亲传	qbvr
亲传	qkir
亲传	qkvr
亲兄弟	qxdi
亲切感	qqgj
亲如	qbru
亲如	qkru
亲如兄弟	qrxd
亲密无间	qmwj
亲手	qbuz
亲朋戚友	qpqy
亲民	qbmb
亲民	qkmb
亲痛仇快	qtik
亲笔信	qbxb
亲缘	qbyr
亲美	qbmw
亲美	qkmw
亳州	bovz
亵玩	xpwj
人不知	rbvi
人世	rfui
人世间	rujm
人为	rfww
人事	rfui
人事处	ruiu
人事局	ruju
人事部	rubu
人代会	rdhv
人伦	rfly
人力车	rlie
人名	rfmk
人命	rfmk
人哋	rfdi
人士	rfui
人声	rfug
人声喧哗	ruxh
人声嘈杂	rucz
人外有人	rwyr
人多手杂	rduz
人头涌涌	rtyy
人如潮涌	rriy
人尽可夫	rjkf
人工湖	rghu
人强马壮	rjmv
人强马壮	rqmv
人微权轻	rwqq
人心	rfxb
人心浮动	rxfd
人心涣散	rxhs
人心齐	rxqi
人手	rfuz
人手一册	ruyc
人数	rfuu
人有我有	rywy
人机	rfji
人梯	rfti
人次	rfci
人武部	rwbu
人氏	rfui
人治	rfvi
人物	rfwu
人物画	rwhx
人生观	rugr
人祸	rfho
人缘	rfyr
人证	rfvg
人质	rfvi
人贩	rffj
人身	rfuf
人造卫星	rzwx
人逢喜事精神爽	rfxu
亿万	yiwj
亿元	yiyr
什么样	umyh
什锦	uijb
仁义	rfyi
仁人志士	rrvu
仁川	rfir
仁心仁闻	rxrw
仁科	rfke
仁言利博	rylb
仅供	jbgs
仇口	izkz
仇口	qqkz
今人	jbrf
今冬	jbds
今春	jbiy
今译	jbyi
介子	jpzi
介绍人	jurf
介绍信	juxb
介词	jpci
介质	jpvi
介面	jpmm
仍有	rgyz
从从容容	ccrr
从化市	chui
从后	cshz
从命	csmk
从善如登	curd
从头至尾	ctvw
从师	csui
从恶如崩	cerb
从恶如崩	cwrb
从新	csxb
从未有过	cwyg
从艺	csyi
仓猝	chcu
仓鼠	chuu
仔乸	zdna
仔乸	zina
仔仔细细	zzxx
仔大仔世界	zdzj
仔猪	zivu
仔细老婆嫩	zxln
仕女	uinv
他乡	taxl
他们	tamf
付之东流	fvdl
付印	fuyb
付帐	fuvh
付账	fuvh
付费	fufw
仙人	xmrf
仙人掌	xrvh
仙境	xmjk
仙姿玉貌	xzym
仙童	xmts
仙逝	xmui
仙都唔仙下	xdwx
仙鹤	xmhe
仟眠	qmmm
代之	ddvi
代名词	dmci
代培	ddpw
代序	ddxu
代数	dduu
代理人	dlrf
代用品	dypb
代职	ddvi
代表团	dbtr
代表性	dbxk
代购	ddgz
令人注目	lrvm
以一当十	yydu
以东	yids
以儆效尤	yjxy
以北	yibw
以南	yinj
以外	yiwd
以太	yitd
以太网	ytwh
以少胜多	yuud
以往	yiwh
以德报德	ydbd
以文会友	ywhy
以文会友	ywky
以期	yiqi
以来	yild
以此	yici
以沫相濡	ymxr
以泪洗面	ylxm
以疏间亲	yujq
以直报怨	yvby
以简驭繁	yjyf
以绝后患	yjhh
以至	yivi
以至于	yvyu
以致	yivi
以蠡测海	ylch
以西	yixi
仪仗	yivh
仪仗队	yvdv
仪器	yiqi
仪式	yiui
仰不愧天	ybkt
仰屋着书	ywvu
仲夏	vsxx
仲尼	vsni
仲涛	vstc
仳离	pili
仵工	wugs
价值观	jvgr
价码	jxma
任君	rfjy
任期	rfqi
份内	ffnw
份量	ffll
仿佯	fhyh
仿制	fhvi
仿制品	fvpb
仿古	fhgu
仿生	fhug
仿真	fhvf
仿真度	fvdo
仿真度	fvdu
企业主	qyvu
企业化	qyhx
企业家	qyjx
企业界	qyjp
企事业	quye
企人边	qrbm
企堂	qith
企望	qiwh
企求	qiqq
企盼	qipj
伊利	yili
伊利诺斯	ylns
伊始	yiui
伊宁	yink
伊斯兰	yslj
伊斯兰教	yslj
伊甸	yidm
伊甸园	ydyr
伊肯	yikf
伏击战	fjvj
伏匿匿	fnni
伏法	fufa
伏法受诛	ffuv
伏特	fute
伏罪	fuzv
伏羲	fuxi
伏魔	fumo
伏龙凤雏	flfi
休会	xqhv
休养	xqyh
休市	xqui
休憩	xqqi
休整	xqvg
休斯敦	xsdy
休止符	xvfu
众擎易举	vqyj
众议员	vyyr
众议院	vyyr
优于	yzyu
优先权	yxqr
优哉游哉	yzyz
优异	yzyi
优待	yzdd
优抚	yzfu
优派	yzpd
优游	yzyz
优生	yzug
优生优育	yuyy
优育	yzyu
优胜	yzug
优胜者	yuve
优裕	yzyu
优越性	yyxk
优越感	yygj
优选	yzxr
伙头	hotz
伙食费	hufw
会上	hvuh
会会	hvhv
会会	hvkk
会会	kkhv
会会	kkkk
会刊	hvkj
会务	hvwu
会友	hvyz
会合	hvhe
会员国	hygo
会员证	hyvg
会址	hvvi
会客室	hkui
会师	hvui
会心	hvxb
会意	hvyi
会战	hvvj
会操	hvcc
会旗	hvqi
会期	hvqi
会标	hvbn
会演	hvyj
会理	hvli
会理	kkli
会社	hvue
会社	kkue
会聚	hvju
会计师	kjui
会议室	hyui
会议桌	hyvo
会议桌	kyvo
会长	hvih
会长	hvvh
会风	hvfg
伛偻	yulv
伛偻	yulz
伟人	wwrf
伟力	wwli
伟男	wwnj
伟绩	wwji
传动	irds
传家宝	ijbc
传导	irdc
传感器	igqi
传染病	irbk
传略	vrlt
传票	irpn
传记	vrji
传诵	irss
传达室	idui
传送带	isdd
传阅	iryt
传颂	irss
伤亡	uhwh
伤兵	uhbk
伤势	uhui
伤及	uhji
伤害	uhhd
伤残人	ucrf
伤病员	ubyr
伤筋动骨	ujdg
伦巴	lyba
伦理学	llxt
伪币	wwbi
伪证	wwvg
伫立	vuli
伯仲	bovs
伯娘	bdnl
伯娘	bonl
伯父	bofu
伯爷	bdye
伯爷	boye
伯爷公	bygs
估价	gujx
伴月	bjyt
伶俐	lkli
伸曲	ufqu
伸长	ufih
伺候	cihz
伺机	siji
似是	uiui
似模似样	umuy
似水流年	uuln
似的	uide
伽利略	jllt
伾伾	pipi
但又	djyz
位居	wwju
位移	wwyi
低下	dixx
低产	diij
低产田	ditm
低压	diya
低回	dihv
低威	diww
低年级	dnji
低微	diww
低效	dixn
低波	dibo
低端	didr
低胸	dixs
低腰	diyc
低谷	digu
低贱	dijm
住地	vudi
住宅区	vvqu
住家工	vjgs
住家男人	vjnr
住手	vuuz
住持	vuii
住院	vuyr
佐证	zovg
体例	tili
体协	tixp
体型	tixk
体委	tiww
体式	tiui
体形	tixk
体彩	ticd
体罚	tifa
体育课	tyke
体表	tibn
体裁	ticd
何妨	hefh
何尝	heih
何许	hexu
佗佗拧	ttnk
佗衰家	tujx
余力	yuli
余年	yunm
余粮	yull
余音	yuyb
余韵	yuyy
佛教徒	fjtu
佛罗里达	flld
佛都有火	fdyh
作东	zods
作主	zovu
作价	zojx
作假	zojx
作到	zodc
作协	zoxp
作大	zoda
作大	zodd
作成	zoig
作曲家	zqjx
作法	zofa
作用力	zyli
你一言	nyyj
你哋	nidi
佢哋	kodi
佢哋	qudi
佣兵	ysbk
佩剑	pwjm
佩带	pwdd
佳丽	jxli
佳人	jxrf
佳句	jxju
佳品	jxpb
佳境	jxjk
佳期	jxqi
佳绩	jxji
佳节	jxjp
佳话	jxhx
佼佼者	jjve
使之	uivi
使乜	uimp
使乜	uinp
使乜讲	umjl
使乜讲	unjl
使人	uirf
使徒	uitu
使用权	uyqr
使节	uijp
侁侁	ufuf
侃侃	kjkj
例举	liju
例会	lihv
例汤	lith
例程	liig
例行	lixk
例行公事	lxgu
例证	livg
例题	liti
侍候	uihz
侍奉	uifg
侏儒	vuru
侘傺	iaii
供书教学	gujx
供品	gspb
供应量	gyll
供稿	gsgc
供给	gsji
供认	gsrf
供销	gsxn
供销社	gxue
供需	gsxu
依仗	yivh
依依惜别	yyxb
依倚	yiyi
依存	yicy
依山傍水	yubu
依次	yici
依违	yiww
依附	yifu
侠客	xxke
侦察兵	vibk
侦察员	viyr
侦察机	viji
侧侧膊	ccbo
侧侧膊	cvbo
侧侧膊	czbo
侧侧膊	vcbo
侧侧膊	vvbo
侧侧膊	vzbo
侧侧膊	zcbo
侧侧膊	zvbo
侧侧膊	zzbo
侧重点	cvdm
侨乡	qnxl
侨兴	qnxk
侨务	qnwu
侨商	qnuh
侨属	qnuu
侨汇	qnhv
侨界	qnjp
侨眷	qnjr
侵略者	qlve
侵蚀	qbui
便娟	bmjr
便娟	pmjr
便携	bmxp
便携	pmxp
便携式	bxui
便服	bmfu
便衣	bmyi
便道	bmdc
促织	cuvi
促进会	cjhv
俄亥俄	ehee
俄勒冈	elgh
俄国	eego
俄语	eeyu
俏媚	qnmw
俏货	qnho
俗名	sumk
俗话说	shuo
俘获	fuho
俚语	liyu
保住	bcvu
保值	bcvi
保守党	budh
保守派	bupd
保密性	bmxk
保护伞	bhsj
保时捷	bujp
保有	bcyz
保温瓶	bwpk
保皇派	bhpd
保监会	bjhv
保监会	bjkk
保票	bcpn
保管员	bgyr
保育员	byyr
保育院	byyr
保苗	bcmn
保荐	bcjm
保证书	bvuu
保送	bcss
保释	bcui
保量	bcll
保镖	bcbn
保险柜	bxgv
保险箱	bxxl
保驾	bcjx
保鲜	bcxm
信义	xbyi
信件	xbjm
信任感	xrgj
信使	xbui
信号弹	xhdj
信号灯	xhdg
信天游	xtyz
信奉	xbfg
信守	xbuz
信心百倍	xxbb
信念	xbnm
信息量	xxll
信手	xbuz
信教	xbjn
信条	xbtn
信用卡	xyka
信用社	xyue
信笔	xbbi
信笺	xbjm
信誓	xbui
信访	xbfh
信贷员	xdyr
信赏必罚	xubf
信阳	xbyh
信马由缰	xmyj
俣俣	yuyu
俭可养廉	jkyl
俭朴	jmpu
修剪	xqjm
修定	xqdk
修整	xqvg
修旧利废	xjlf
修正主义	xvvy
