啊	a
人们	rm
热闹	rn
若	ro
人品	rp
日期	rq
软	rr
容	rs
如同	rt
如	ru
认为	rw
肉	rz
三	s
撒	sa
扫	sc
赛	sd
色	se
森	sf
僧	sg
桑	sh
四	si
散	sj
思考	sk
算了	sl
什么	sm
随你	sn
所	so
索赔	sp
算	sr
送	ss
苏	su
岁	sv
所谓	sw
思想	sx
搜寻	sx
所以	sy
搜	sz
他	t
她	ta
套	tc
太	td
特	te
腾	tg
汤	th
体	ti
谈	tj
听	tk
讨论	tl
天	tm
调	tn
托	to
贴	tp
团	tr
同	ts
天天	tt
图	tu
统一	ty
头	tz
是	u
傻	ua
顺便	ub
少	uc
晒	ud
设	ue
深	uf
生	ug
上	uh
时	ui
山	uj
帅	uk
双	ul
说	uo
事情	uq
拴	ur
神色	us
身体	ut
数	uu
水	uv
谁	uw
刷	ux
顺	uy
受	uz
这	v
扎	va
准备	vb
找	vc
着	ve
真	vf
正	vg
长	vh
只	vi
占	vj
拽	vk
装	vl
这么	vm
指南	vn
桌	vo
照片	vp
转	vr
中	vs
主	vu
追	vv
中心	vx
这样	vy
周	vz
我	w
挖	wa
为此	wc
外	wd
无法	wf
王	wh
完成	wi
完	wj
唯恐	wk
为了	wl
网络	wl
我们	wm
无奈	wn
未能	wn
握	wo
网盘	wp
完全	wq
无私	ws
问题	wt
无	wu
为	ww
唯一	wy
小	x
西安	xa
新	xb
下次	xc
相当	xd
喜欢	xh
系	xi
现金	xj
行	xk
想	xl
先	xm
笑	xn
西欧	xo
些	xp
修	xq
选	xr
凶	xs
学	xt
需	xu
协助	xv
下	xx
现在	xz
一	y
亚	ya
因	yb
要	yc
一定	yd
也	ye
月份	yf
应该	yg
样	yh
以	yi
言	yj
应	yk
哟	yo
要求	yq
元	yr
用	ys
月	yt
与	yu
一直	yv
因为	yw
一下	yx
云	yy
有	yz
在	z
杂	za
总部	zb
早	zc
再	zd
则	ze
怎	zf
增	zg
藏	zh
字	zi
自己	zj
走开	zk
走了	zl
怎么	zm
怎能	zn
做	zo
作品	zp
总	zs
组	zu
最	zv
贼	zw
最新	zx
走	zz
吖	a;
腌	aa;
盎	ah
肮	ah;
昂	ah/
唉	ai;
哀	ai/
按	an;
岸	an/
澳	ao;
遨	ao/
吧	b;
拔	ba;
爸	ba/
缤	bb;
宾	bb/
保	bc;
宝	bc/
败	bd;
百	bd/
笨	bf/
崩	bg
绷	bg;
泵	bg/
绑	bh;
彼	bi;
畀	bi/
般	bj;
半	bj/
冰	bk;
病	bk/
便	bm;
变	bm/
标	bn;
彪	bn/
波	bo;
薄	bo/
瘪	bp/
补	bu;
步	bu/
北	bw;
背	bw/
操	c;
策	c/
嘈	cc;
曹	cc/
材	cd;
裁	cd/
侧	ce;
册	ce/
涔	cf;
岑	cf/
蹭	cg;
层	cg/
沧	ch;
苍	ch/
此	ci;
慈	ci/
惨	cj;
餐	cj/
措	co;
厝	co/
攒	cr;
篡	cr/
聪	cs;
葱	cs/
促	cu;
卒	cu/
摧	cv;
崔	cv/
吋	cy;
存	cy/
得	d;
地	d/
打	da;
达	da/
倒	dc;
道	dc/
待	dd;
带	dd/
德	de
嘚	de;
扽	df
灯	dg;
登	dg/
挡	dh;
党	dh/
低	di;
第	di/
弹	dj;
单	dj/
订	dk;
丁	dk/
掂	dm;
电	dm/
掉	dn;
刁	dn/
剁	do;
夺	do/
迭	dp;
叠	dp/
端	dr;
断	dr/
懂	ds;
东	ds/
独	du;
督	du/
队	dv;
兑	dv/
嗲	dx
顿	dy;
盾	dy/
唞	dz;
逗	dz/
嗯	e;
而	e/
俄	ee
饿	ee;
恶	ee/
摁	en;
奀	en/
儿	er
饵	er;
耳	er/
仿	f;
发	f/
伐	fa;
罚	fa/
份	ff;
分	ff/
封	fg;
丰	fg/
放	fh;
方	fh/
泛	fj;
返	fj/
辅	fu;
父	fu/
废	fw;
飞	fw/
缶	fz/
咁	g;
嘅	g/
咖	ga;
尬	ga/
搞	gc;
告	gc/
改	gd;
盖	gd/
格	ge;
哥	ge/
根	gf;
艮	gf/
梗	gg;
羹	gg/
杠	gh;
岗	gh/
敢	gj;
感	gj/
拐	gk;
乖	gk/
胱	gl;
广	gl/
聒	go;
国	go/
观	gr;
管	gr/
供	gs;
公	gs/
估	gu;
固	gu/
规	gv;
鬼	gv/
挂	gx;
寡	gx/
滚	gy;
衮	gy/
构	gz;
勾	gz/
噏	h;
号	h/
蛤	ha;
壕	hc;
毫	hc/
嗨	hd;
害	hd/
呵	he;
阖	he/
狠	hf;
痕	hf/
衡	hg;
亨	hg/
航	hh;
夯	hh/
汉	hj;
寒	hj/
怀	hk;
㷫	hk/
慌	hl;
晃	hl/
活	ho;
火	ho/
环	hr;
患	hr/
洪	hs;
宏	hs/
胡	hu;
忽	hu/
汇	hv;
回	hv/
嘿	hw;
閪	hw/
划	hx;
花	hx/
混	hy;
昏	hy/
候	hz;
厚	hz/
插	i;
串	i/
刹	ia;
查	ia/
炒	ic;
巢	ic/
豺	id;
柴	id/
撤	ie;
掣	ie/
趁	if;
尘	if/
程	ig;
承	ig/
畅	ih;
常	ih/
持	ii;
迟	ii/
忏	ij;
阐	ij/
踹	ik;
创	il;
床	il/
辍	io;
川	ir;
穿	ir/
充	is
冲	is;
重	is/
初	iu;
楚	iu/
锤	iv;
垂	iv/
纯	iy;
春	iy/
仇	iz;
丑	iz/
即	j;
今	j/
仅	jb;
近	jb/
记	ji;
及	ji/
惊	jk;
警	jk/
讲	jl;
姜	jl/
件	jm;
简	jm/
较	jn;
交	jn/
借	jp;
姐	jp/
旧	jq;
九	jq/
捐	jr;
眷	jr/
炯	js;
迥	js/
绝	jt;
觉	jt/
拒	ju;
举	ju/
价	jx;
甲	jx/
俊	jy;
军	jy/
佢	k;
客	k/
喀	ka;
拷	kc;
考	kc/
凯	kd;
刻	ke;
克	ke/
啃	kf;
恳	kf/
铿	kg;
扛	kh;
康	kh/
砍	kj;
崁	kj/
块	kk;
筷	kk/
框	kl;
匡	kl/
括	ko;
阔	ko/
款	kr;
髋	kr/
控	ks;
恐	ks/
枯	ku;
库	ku/
溃	kv;
窥	kv/
垮	kx;
夸	kx/
坤	ky;
困	ky/
扣	kz;
寇	kz/
叻	l;
冧	l/
垃	la;
邋	la/
临	lb;
赁	lb/
佬	lc;
劳	lc/
赖	ld;
籁	ld/
肋	le;
棱	lg;
狼	lh
廊	lh/
例	li;
丽	li/
栏	lj;
兰	lj/
聆	lk;
令	lk/
靓	ll;
量	ll/
链	lm;
莲	lm/
撩	ln;
疗	ln/
络	lo;
逻	lo/
猎	lp;
裂	lp/
流	lq;
留	lq/
卵	lr;
孪	lr/
隆	ls;
垄	ls/
略	lt;
掠	lt/
陆	lu;
录	lu/
绿	lv;
虑	lv/
泪	lw;
累	lw/
轮	ly;
仑	ly/
漏	lz;
露	lz/
咩	m;
冇	m/
妈	ma;
马	ma/
敏	mb;
皿	mb/
猫	mc;
贸	mc/
埋	md;
卖	md/
焖	mf;
门	mf/
懵	mg;
盟	mg/
忙	mh
蟒	mh;
盲	mh/
秘	mi;
密	mi/
满	mj;
蛮	mj/
铭	mk;
名	mk/
眠	mm;
免	mm/
秒	mn;
苗	mn/
模	mo;
莫	mo/
搣	mp;
乜	mp/
谬	mq
缪	mq;
模	mu;
母	mu/
妹	mw;
美	mw/
谋	mz;
牟	mz/
啱	n;
乸	n/
哪	na;
拿	na/
脑	nc;
嫐	nc/
耐	nd;
乃	nd/
讷	ne;
奀	nf/
馕	nh;
曩	nh/
拟	ni;
匿	ni/
楠	nj;
南	nj/
凝	nk;
酿	nl;
粘	nm;
廿	nm/
嬲	nn;
尿	nn/
懦	no;
摄	np;
孽	np/
妞	nq;
煖	nr;
浓	ns;
农	ns/
疟	nt;
奴	nu;
努	nu/
馁	nw;
耨	nz
嗯	o;
噢	oo;
偶	ou;
藕	ou/
朋	p;
苹	p/
扒	pa;
爬	pa/
频	pb;
贫	pb/
炮	pc;
奅	pc/
牌	pd;
迫	pd/
喷	pf;
彭	pg;
篷	pg/
胖	ph;
庞	ph/
僻	pi;
皮	pi/
判	pj;
攀	pj/
评	pk;
屏	pk/
便	pm;
篇	pm/
飘	pn;
魄	po;
婆	po/
瞥	pp;
铺	pu;
圃	pu/
赔	pw;
裴	pw/
哣	pz;
裒	pz/
佢	q;
企	q/
侵	qb;
秦	qb/
期	qi;
启	qi/
轻	qk;
擎	qk/
抢	ql;
羌	ql/
钱	qm;
千	qm/
敲	qn;
乔	qn/
惬	qp;
窃	qp/
秋	qq;
囚	qq/
权	qr;
圈	qr/
琼	qs;
穹	qs/
缺	qt;
雀	qt/
取	qu;
趋	qu/
掐	qx;
洽	qx/
裙	qy;
仁	r;
入	r/
扰	rc;
惹	re/
认	rf;
忍	rf/
扔	rg;
攘	rh;
燃	rj;
染	rj/
偌	ro;
弱	ro/
阮	rr;
融	rs;
荣	rs/
乳	ru;
辱	ru/
瑞	rv
锐	rv;
睿	rv/
闰	ry
润	ry;
揉	rz;
柔	rz/
孙	s;
卅	s/
洒	sa;
萨	sa/
骚	sc;
腮	sd;
塞	sd/
涩	se;
瑟	se/
婶	sf;
嗓	sh;
丧	sh/
私	si;
思	si/
伞	sj;
叁	sj/
锁	so;
索	so/
酸	sr;
蒜	sr/
松	ss;
宋	ss/
诉	su;
速	su/
随	sv;
虽	sv/
损	sy;
笋	sy/
馊	sz;
飕	sz/
氹	t/
塔	ta;
它	ta/
掏	tc;
饕	tc/
抬	td;
态	td/
慝	te/
滕	tg;
疼	tg/
躺	th;
堂	th/
提	ti;
替	ti/
叹	tj;
贪	tj/
停	tk;
厅	tk/
添	tm;
田	tm/
跳	tn;
条	tn/
脱	to;
妥	to/
铁	tp;
餮	tp/
湍	tr;
统	ts;
通	ts/
吐	tu;
突	tu/
推	tv
腿	tv;
退	tv/
饨	ty;
吞	ty/
偷	tz;
透	tz/
沙	ua;
杀	ua/
烧	uc;
勺	uc/
筛	ud/
射	ue;
奢	ue/
伸	uf;
审	uf/
剩	ug;
升	ug/
伤	uh;
商	uh/
试	ui;
世	ui/
删	uj;
闪	uj/
摔	uk;
甩	uk/
霜	ul;
爽	ul/
硕	uo;
涮	ur;
闩	ur/
输	uu;
术	uu/
睡	uv;
耍	ux/
瞬	uy;
舜	uy/
收	uz;
手	uz/
知	v;
之	v/
诈	va;
闸	va/
招	vc;
照	vc/
摘	vd
债	vd;
宅	vd/
折	ve;
者	ve/
镇	vf;
震	vf/
证	vg;
整	vg/
账	vh;
掌	vh/
值	vi;
直	vi/
站	vj;
展	vj/
状	vl;
庄	vl/
拙	vo;
卓	vo/
砖	vr;
专	vr/
终	vs;
重	vs/
住	vu;
朱	vu/
缀	vv;
坠	vv/
抓	vx;
爪	vx/
准	vy;
洲	vz;
昼	vz/
唔	w;
娃	wa;
瓦	wa/
歪	wd/
揾	wf;
问	wf/
翁	wg
嗡	wg;
瓮	wg/
往	wh;
网	wh/
晚	wj;
万	wj/
卧	wo;
窝	wo/
物	wu;
务	wu/
位	ww;
未	ww/
喺	x;
西	x/
信	xb;
心	xb/
惜	xi;
习	xi/
形	xk;
型	xk/
相	xl;
向	xl/
现	xm;
显	xm/
效	xn;
宵	xn/
谢	xp;
写	xp/
休	xq;
秀	xq/
瑄	xr;
宣	xr/
雄	xs;
兄	xs/
噱	xt;
穴	xt/
须	xu;
虚	xu/
侠	xx;
夏	xx/
询	xy
瞓	xy;
寻	xy/
嘢	y;
啱	y/
雅	ya;
牙	ya/
阴	yb;
音	yb/
谣	yc;
药	yc/
野	ye;
页	ye/
阳	yh;
央	yh/
依	yi;
异	yi/
烟	yj;
严	yj/
影	yk;
盈	yk/
唷	yo;
援	yr;
原	yr/
拥	ys;
勇	ys/
约	yt;
越	yt/
预	yu;
雨	yu/
韵	yy;
运	yy/
优	yz;
又	yz/
咗	z;
自	z/
砸	za;
匝	za/
糟	zc;
造	zc/
仔	zd;
载	zd/
择	ze;
责	ze/
谮	zf;
赠	zg;
脏	zh;
臧	zh/
辎	zi;
资	zi/
攒	zj;
暂	zj/
作	zo;
坐	zo/
钻	zr
纂	zr;
综	zs;
宗	zs/
租	zu;
卒	zu/
嘴	zv;
罪	zv/
鲗	zw;
尊	zy
樽	zy;
遵	zy/
揍	zz;
奏	zz/
