# d h u v p
#点横竖折撇

的	puvhhpvd
算	phdphduvhhhhpu
提	huhuvhhhuhpd
组	vvhuvhhh
称	phupdpvupd
近	pphudvd
却	huhvdvu
花	huupupv
共	huuhpd
带	huuudvuvu
往	ppudhhuh
观	vduvpv
完	ddvhhpv
场	huhvpp
感	hphuvhvpddvdd
风	pvpd
件	puphhu
类	dphupdhpd
难	vdpudhhhuh
特	phuhhuhhud
住	pudhhuh
信	pudhhhuvh
决	dhvhpd
程	phupduvhhhuh
示	hhupd
空	ddvpdhuh
号	uvhhv
影	uvhhdhuvhupdppp
何	puhuvhu
展	vhphuuhvpd
北	uhhpv
认	dvpd
制	phhuvuuu
思	uvhuhdvdd
质	pphuuvpd
科	phupdddhu
吃	uvhphv
较	hvuhdhpdpd
半	dphhu
市	dhuvu
球	hhuhhudhpdd
取	huuhhhvd
望	dhvpvhhhhuh
强	vhvuvhuvhuhd
流	ddhdhvdpuv
笑	phdphdphpd
片	puhv
坐	pdpdhuh
该	dvdhvppd
王	hhuh
验	vvhpdhddph
阶	vupdpu
交	dhpdpd
党	udpdvuvhpv
区	hpdv
早	uvhhhu
保	puuvhhupd
造	phuhuvhdvd
千	phu
极	hupdpvd
热	huhpvddddd
写	dvhvh
队	vupd
管	phdphdddvuvhvh
七	hv
根	hupdvhhvpd
目	uvhhh
父	pdpd
南	huuvdphhu
安	ddvvph
孩	vuhdhvppd
资	dhpvpduvpd
非	uhhhuhhh
神	dvuduvhhu
改	vhvphpd
切	hvvp
师	uphuvu
妈	vphvvh
金	pdhhudph
转	hvuhhhvd
若	huuhpuvh
死	hpvdpv
品	uvhuvhuvh
清	ddhhhuhuvhh
满	ddhhuuhuvpdpd
报	huhvuvd
农	dvpvpd
单	dpuvhhhu
办	vpdd
级	vvhpvd
马	vvh
远	hhpvdvd
吧	uvhvuhv
收	vuphpd
步	uhuhupp
据	huhvhphuuvh
连	hvhudvd
容	ddvpdpduvh
段	puhhhpvvd
争	pvvhhu
离	dhpdvuuvvd
服	pvhhvuvd
跟	uvhuhuhvhhvpd
视	dvuduvpv
试	dvhhuhvd
究	ddvpdpv
告	phuhuvh
音	dhdphuvhh
导	vhvhud
统	vvhdhvdpv
积	phupduvhpd
治	ddhvduvh
香	phupduvhh
张	vhvphvd
士	huh
识	dvuvhpd
易	uvhhpvpp
须	ppphpuvpd
虽	uvhuvhuhd
照	uvhhvpuvhdddd
料	dphupdddhu
似	puvdpd
器	uvhuvhhpdduvhuvh
苦	huuhuuvh
始	vphvduvh
故	huuvhphpd
乐	pvupd
整	huvhupdphpdhuhuh
术	hupdd
革	huuhuvhhu
精	dphupdhhuhuvhh
火	dppd
传	puhhvd
需	hdvuddddhpuvuu
友	hpvd
务	pvdvp
确	hpuvhpvpvhhu
约	vvhpvd
研	hpuvhhhpu
系	pvvdupd
领	pddvdhpuvpd
失	phhpd
除	vupdhhupd
请	dvhhuhuvhh
份	pupdvp
未	hhupd
消	ddhudpuvhh
越	huhuhpdhvvpd
具	uvhhhhpd
曾	dpuvudphuvhh
志	huhdvdd
商	dhdpuvpduvh
够	pvuvhpvdpvd
谈	dvdppddppd
达	hpddvd
足	uvhuhpd
深	ddhdvpdhupd
项	huhhpuvpd
备	pvduvhuh
钱	phhhvhhvpd
轻	hvuhvdhuh
青	hhuhuvhh
府	dhppuhud
般	ppvdhdpvvd
石	hpuvh
校	hupddhpdpd
演	ddhddvhuvhuhpd
准	dhpudhhhuh
持	huhhuhhud
兴	ddphpd
众	pdpdpd
包	pvvhv
食	pddvhhvpd
增	huhdpuvudphuvhh
响	uvhpuvuvh
船	ppvdhdpvuvh
病	dhpdhhuvpd
细	vvhuvhuh
飞	vpd
答	phdphdpdhuvh
仍	puvp
习	vdh
值	puhuuvhhhh
列	hpvduu
米	dphupd
亦	dhpupd
功	huhvp
让	dvuhh
率	dhvvddhpdhu
晚	uvhhpvuvhpv
参	vdhpdppp
母	vvdhd
节	huuvu
价	pupdpu
调	dvpvhuhuvh
土	huh
讲	dvhhpu
另	uvhvp
河	ddhhuvhu
院	vuddvhhpv
房	dvhpdhvp
找	huhhvpd
济	ddhdhpdpu
基	huuhhhpdhuh
拿	pdhuvhphhu
星	uvhhphhuh
言	dhhhuvh
英	huuuvhpd
息	puvhhhdvdd
装	dhuhuhdhpvpd
举	ddphpdhhu
育	dhvduvhh
温	ddhuvhhuvuuh
随	vuhpuvhhdvd
黑	uvdphuhhdddd
群	vhhpuvhdphhhu
买	vddhpd
欢	vdpvpd
画	huvhuhvu
史	uvhpd
劳	huudvvp
夜	dhpupvdd
集	pudhhhuhhupd
站	dhdphuhuvh
衣	dhpvpd
落	huuddhpvduvh
团	uvhuph
底	dhppvhvd
规	hhpduvpv
联	huuhhhdphhpd
谁	dvpudhhhuh
古	huuvh
夫	hhpd
哪	uvhvhhpvu
首	dphpuvhhh
选	phuhpvdvd
际	vuhhupd
司	vhuvh
啊	uvhvuhuvhu
推	huhpudhhhuh
刻	dhvppduu
均	huhpvdh
喜	huhuvhdphuvh
引	vhvu
红	vvhhuh
留	pvdvpuvhuh
倒	puhvdhuhuu
渐	ddhhvuhpphu
证	dvhuhuh
养	dphhhpdpu
读	dvhuvddhpd
存	hpuvuh
官	ddvuvhvh
呀	uvhhvup
格	hupdpvduvh
怕	ddupuvhh
断	dphupdvpphu
您	pupvupddvdd
树	hupdvdhud
纸	vvhpvhv
送	dphhpddvd
令	pddvd
广	dhp
专	hhvd
干	hhu
久	pvd
岁	uvupvd
注	ddhdhhuh
低	pupvhvd
支	huvd
简	phdphdduvuvhh
显	uvhhuudph
医	hphhpdv
愿	hppuvhhupddvdd
族	dhvpphphhpd
初	dvupdvp
历	hpvp
境	huhdhdphuvhhpv
爸	pdpdvuhv
铁	phhhvphhpd
势	huhpvdvp
环	hhuhhpud
乎	pdphu
标	hupdhhupd
议	dvdpd
斗	ddhu
差	dphhhphuh
适	phuuvhdvd
屋	vhphvdhuh
助	uvhhhvp
织	vvhuvhpd
皮	vpuvd
块	huhvhpd
哥	huvhuhuvhu
微	ppuuvuhpvphpd
朋	pvhhpvhh
客	ddvpvduvh
黄	huuhuvhuhpd
依	pudhpvpd
紧	uuvdvvdupd
油	ddhuvhuh
拉	huhdhdph
假	puvhuhhvhvd
续	vvhhuvddhpd
速	huvhupddvd
草	huuuvhhhu
局	vhpvuvh
华	pupvhu
右	hpuvh
吸	uvhpvd
脸	pvhhpdhddph
阳	vuuvhh
终	vvhpvddd
考	huhphv
素	hhuhvvdupd
破	hpuvhvpuvd
脚	pvhhhuhvdvu
属	vhppuvhuvuhd
敌	phuuvhphpd
况	dhuvhpv
权	hupdvd
刚	uvpduu
围	uvhhvuh
技	huhhuvd
费	vhvpuuvpd
置	uvuuhhuuvhhhh
句	pvuvh
城	huhhpvvpd
严	huudphp
止	uhuh
男	uvhuhvp
忙	ddudhv
态	hpdddvdd
害	ddvhhhuuvh
排	huhuhhhuhhh
错	phhhvhuuhuvhh
穿	ddvpdhvup
密	ddvdvdpduvu
致	hvdhuhphpd
钟	phhhvuvhu
弟	dpvhvup
急	pvvhhdvdd
赛	ddvhhuuhpduvpd
兵	puhuhpd
供	puhuuhpd
诉	dvpphud
台	vduvh
否	hpuduvh
静	hhuhuvhhpvvhhu
睡	uvhhhphuhuuhh
左	hphuh
查	hupduvhhh
林	hupdhupd
压	hphuhd
某	huuhhhupd
胜	pvhhphhuh
划	hvpduu
厂	hp
察	ddvpvddvdhhupd
击	hhuvu
洲	ddhdpdudu
午	phhu
周	pvhuhuvh
绝	vvhpvvuhv
停	pudhuvhdvhu
继	vvhdphupdv
帝	dhdpdvuvu
艺	huuv
伤	puphvp
居	vhphuuvh
鱼	pvuvhuhh
跑	uvhuhuhpvvhv
语	dvhuvhuvh
派	ddhpppvpd
念	pddvdvdd
纪	vvhvhv
叶	uvhhu
奇	hpdhuvhu
卖	huvddhpd
余	pdhhupd
班	hhuhdphhuh
省	updpuvhhh
唱	uvhuvhhuvhh
味	uvhhhupd
德	ppuhuuvuuhhdvdd
德	ppuhpuvuuhhdvdd
室	ddvhvdhuh
充	dhvdpv
圆	uvuvhuvpdh
雨	huvudddd
防	vudhvp
银	phhhvvhhvpd
负	pvuvpd
责	hhuhuvpd
毛	phhv
竟	dhdphuvhhpv
爷	pdpdvu
帮	hhhpvuuvu
液	ddhdhpupvdd
射	puvhhhphud
配	huvpvhhvhv
酒	ddhhuvpvhh
睛	uvhhhhhuhuvhh
律	ppuvhhhhu
状	dhuhpdd
构	hupdpvvd
尽	vhpddd
血	puvuuh
饭	pvvppvd
歌	huvhuhuvhupvpd
布	hpuvu
采	pddphupd
赶	huhuhpdhhu
冷	dhpddvd
怪	dduvdhuh
靠	phuhuvhuhhhuhhh
委	phupdvph
效	dhpdpdphpd
坏	huhhpud
复	phuvhhpvd
投	huhpvvd
慢	dduuvhhuvuuhvd
灯	dppdhu
木	hupd
获	huupvphpdd
案	ddvvphhupd
双	vdvd
洋	ddhdphhhu
层	vhphhvd
含	pddvuvh
护	huhdvhp
弹	vhvdpuvhhhu
待	ppuhuhhud
修	puupvdppp
尤	hpvd
昨	uvhhphuhh
突	ddvpdhpdd
讨	dvhud
村	hupdhud
沙	ddhupdp
批	huhhvpv
减	dhhphuvhvpd
货	pupvuvpd
课	dvuvhhhupd
啦	uvhhuhdhdph
坚	uuvdhuh
敢	vhuuhhhphpd
亮	dhuvhdvpv
预	vdvuhpuvpd
笔	phdphdphhv
误	dvuvhhhpd
既	vhhvdhvpv
述	hupdddvd
短	phhpdhuvhdph
汽	ddhphhv
拍	huhpuvhh
营	huudvuvhuvh
顶	huhpuvpd
席	dhphuuhuvu
趣	huhuhpdhuuhhhvd
限	vuvhhvpd
药	huuvvhpvd
固	uvhuuvhh
植	hupdhuuvhhhh
警	huupvuvhphpddhhhuvh
维	vvhpudhhhuh
抗	huhdhpv
忽	pvppdvdd
概	hupdvhhvdhvpv
呼	uvhpdphu
章	dhdphuvhhhu
脑	pvhhdhpdvu
互	hvvh
股	pvhhpvvd
乱	phuuvhv
座	dhppdpdhuh
距	uvhuhuhhvhv
武	hhuhuhvd
剧	vhphuuvhuu
顾	hpvvhpuvpd
创	pdvvuu
印	pvhvu
希	pdhpuvu
亚	huudph
激	ddhpuvhhdhvpphpd
烧	dppdhvphpv
杂	pvhupd
职	huuhhhuvhpd
输	hvuhpdhuvhhuu
练	vvhhvvpd
端	dhdphuvuhpuvuu
朝	huuvhhhupvhh
替	hhpdhhpduvhh
险	vupdhddph
免	pvuvhpv
施	dhvpphvuv
独	pvpuvhuhd
缺	phhuvuvhpd
旧	uuvhh
景	uvhhdhuvhupd
妇	vphvhh
旁	dhdpdvdhvp
姐	vphuvhhh
源	ddhhppuvhhupd
阵	vuhvhu
祖	dvuduvhhh
仅	puvd
谓	dvuvhuhuvhh
担	huhuvhhh
测	ddhuvpduu
江	ddhhuh
异	vhvhpu
乘	phuuhhpvpd
曲	uvhuuh
牛	phhu
跳	uvhuhuhpdhvpd
换	huhpvuvhpd
富	ddvhuvhuvhuh
惊	ddudhuvhupd
遇	uvhhuvuhddvd
困	uvhupdh
按	huhddvvph
略	uvhuhpvduvh
恶	huudphdvdd
永	dvvpd
良	dvhhvpd
型	hhpuuuhuh
嘴	uvhuhuhpvpvpvhhu
园	uvhhpvh
怀	dduhpud
乡	vvp
检	hupdpdhddph
克	huuvhpv
升	phpu
封	huhhuhhud
板	hupdppvd
店	dhpuhuvh
守	ddvhud
陆	vuhhuvu
背	uhhpvuvhh
救	hudhpddphpd
玩	hhuhhhpv
烈	hpvduudddd
礼	dvudv
善	dphhhudphuvh
痛	dhpdhvduvhhu
杀	pdhupd
括	huhphuuvh
毒	hhuhvvdhd
戏	vdhvpd
攻	huhphpd
苏	huuvpdd
普	dphuudphuvhh
透	phupdvpdvd
途	pdhhupddvd
肉	uvpdpd
肯	uhuhuvhh
沈	ddhdvpv
烟	dppduvhpdh
田	uvhuh
优	puhpvd
娘	vphdvhhvpd
付	puhud
汉	ddhvd
败	uvpdphpd
幸	huhdphhu
春	hhhpduvhh
暗	uvhhdhdphuvhh
绿	vvhvhhudhpd
尺	vhpd
模	hupdhuuuvhhhpd
熟	dhuvhvuhpvddddd
伟	puhhvu
掉	huhuhuvhhhu
央	uvhpd
婚	vphpvhvuvhh
录	vhhudhpd
野	uvhhuhhvdvu
益	dphpduvuuh
丽	huvduvd
材	hupdhup
散	huuhuvhhphpd
票	huvuuhhhupd
镜	phhhvdhdphuvhhpv
喝	uvhuvhhpvpdv
序	dhpvdvu
菜	huupddphupd
判	dphhpuu
骨	uvvdvuvhh
巴	vuhv
楼	hupddphupdvph
湾	ddhdhuupdvhv
摇	huhpddpphhuvu
附	vupuhud
露	hdvudddduvhuhuhpvduvh
策	phdphdhuvupd
款	huhhhupdpvpd
卫	vuh
欧	hpdvpvpd
罢	uvuuhhuhvd
盛	hpvvpduvuuh
诺	dvhuuhpuvh
楚	hupdhupdvuhpd
庄	dhphuh
咱	uvhpuvhhh
逐	hpvpppddvd
染	ddhpvhupd
疑	pvphhpdvdvuhpd
季	phupdvuh
移	phupdpvdpvd
虫	uvhuhd
零	hdvuddddpddvd
床	dhphupd
健	puvhhhhuvd
街	ppuhuhhuhhhu
雪	hdvuddddvhh
旅	dhvpphpvpd
粉	dphupdpdvp
介	pdpu
顺	puuhpuvpd
忘	dhvdvdd
占	uhuvh
斯	huuhhhpdpphu
丝	vvvvh
训	dvpuu
灭	hdppd
云	hhvd
县	uvhhhvd
福	dvudhuvhuvhuh
鼓	huhuvhdphhuvd
折	huhpphu
窗	ddvpdpuvpvdh
夏	hpuvhhhpvd
冲	dhuvhu
宣	ddvhuvhhh
翠	vdhvdhdhpdpdhu
降	vupvdhvu
游	ddhdhvpphvuh
针	phhhvhu
酸	huvpvhhvdpdpvd
岸	uvuhphhu
愈	pdhuvhhuudvdd
桥	hupdphpdpu
钢	phhhvuvpd
追	puvhvhdvd
氧	phhvdphhhu
舞	phhuuuuhpvdhvu
堂	udpdvuvhhuh
闻	duvhuuhhh
弄	hhuhhpu
宝	ddvhhuhd
危	pvhpvv
妹	vphhhupd
协	huvpdd
哭	uvhuvhhpdd
喊	uvhhphuvhvpd
谢	dvpuvhhhphud
洗	ddhphuhpv
超	huhuhpdvpuvh
硬	hpuvhhuvhhpd
浪	ddhdvhhvpd
范	huuddhvv
懂	dduhuuphuvhhuhh
挥	huhdvhvhu
宗	ddvhhupd
甲	uvhhu
燃	dppdpvddhpdddddd
鲜	pvuvhuhhdphhhu
贵	uvhuhuvpd
评	dvhdphu
凡	pvd
架	vpuvhhupd
临	uuphduvuh
棉	hupdpuvhhuvu
耳	huuhhh
馆	pvvddvuvhvh
齐	dhpdpu
彩	pddphupdppp
抽	huhuvhuh
轮	hvuhpdpv
迎	pvvudvd
努	vphvdvp
翻	pdphupduvhuhvdhvdh
遍	dvhpuvhuudvd
抱	huhpvvhv
触	pvpvhhuuvhuhd
孔	vuhv
徒	ppuhuhuhpd
毫	dhuvhdvphhv
访	dvdhvp
沿	ddhpvuvh
阿	vuhuvhu
唯	uvhpudhhhuh
搜	huhpuhvhhuvd
培	huhdhdphuvh
盘	ppvdhduvuuh
州	dpdudu
企	pduhuh
赞	phuhpvphuhpvuvpd
丰	hhhu
灵	vhhdppd
康	dhpvhhudhpd
纷	vvhpdvp
京	dhuvhupd
亡	dhv
泥	ddhvhppv
波	ddhvpuvd
倍	pudhdphuvh
罗	uvuuhpvd
诗	dvhuhhud
混	ddhuvhhhvpv
仔	puvuh
尚	udpuvuvh
招	huhvpuvh
廿	huuh
副	huvhuvhuhuu
姑	vphhuuvh
径	ppuvdhuh
税	phupddpuvhpv
匪	huhhhuhhhv
释	pdphupdvdhhu
圈	uvdphhpdvvh
惯	dduvvuhuvpd
枪	hupdpdvv
氏	pvhv
握	huhvhphvdhuh
私	phupdvd
蛋	vuhpduvhuhd
刀	vp
巨	hvhv
承	vuhhhvpd
财	uvpdhup
退	vhhvpddvd
额	ddvpvduvhhpuvpd
威	hphvphvpd
绍	vvhvpuvh
归	upvhh
侵	puvhhdvvd
束	huvhupd
避	vhpuvhdhdphhudvd
兄	uvhpv
筑	phdphdhuhpvd
厘	hpuvhhuhh
休	puhupd
摆	huhuvuuhhuhvd
遭	huvhuuhuvhhdvd
户	dvhp
控	huhddvpdhuh
莫	huuuvhhhpd
迷	dphupddvd
童	dhdphuvhhuhh
顿	hvuvhpuvpd
桌	uhuvhhhupd
绩	vvhhhuhuvpd
虑	uhvphvdvdd
爬	ppudvuhv
瓶	dphhpuhvvd
扩	huhdhp
宜	ddvuvhhh
补	dvupdud
颜	dhdphpppphpuvpd
脱	pvhhdpuvhpv
恐	huhpvddvdd
伸	puuvhhu
执	huhpvd
末	hhupd
镇	phhhvhuuvhhhhpd
套	hpdhuhhhvd
闹	duvdhuvu
毕	hvpvhu
鸟	pvdvh
罪	uvuuhuhhhuhhh
枝	hupdhuvd
岛	pvdvuvu
掌	udpdvuvhphhu
湖	ddhhuuvhpvhh
吹	uvhpvpd
编	vvhdvhpuvhuu
寻	vhhhud
禁	hupdhupdhhupd
盖	dphhuhuvuuh
弱	vhvdhvhvdh
李	hupdvuh
犯	pvpvv
择	huhvdhhu
秋	phupddppd
藏	huuhpvhphuvhuvvpd
茶	huupdhupd
伯	pupuvhh
摄	huhhuuhhhvdvd
默	uvdphuhhddddhpdd
繁	phvvdhdphpdvvdupd
陈	vuhvupd
荷	huupuhuvhu
稳	phupdpvvhhdvdd
诸	dvhuhpuvhh
垂	phuhuuhh
尼	vhppv
篇	phdphddvhpuvhuu
勇	vduvhhuvp
磁	hpuvhdphvvdvvd
秘	phupddvdpd
餐	uhpvdvdpddvhhvpd
刺	huvupduu
偏	pudvhpuvhuu
晨	uvhhhphhvpd
姓	vphphhuh
胞	pvhhpvvhv
君	vhhpuvh
鸡	vdpvdvh
亿	puv
奶	vphvp
狗	pvppvuvh
挂	huhhuhhuh
醒	huvpvhhuvhhphhuh
厚	hpuvhhvuh
矿	hpuvhdhp
菌	huuuvphupdh
污	ddhhhv
尔	pvupd
寒	ddvhhuuhpddd
伙	pudppd
斜	pdhhupdddhu
堆	huhpudhhhuh
映	uvhhuvhpd
销	phhhvudpuvhh
奋	hpduvhuh
仪	pudpd
杯	hupdhpud
登	vdppdhuvhdph
扬	huhvpp
袋	puhvddhpvpd
索	hudvvvdupd
冰	dhuvpd
探	huhdvpdhupd
横	hupdhuuhuvhuhpd
溶	ddhddvpdpduvh
忍	vpddvdd
暴	uvhhhuuhpdudhpd
逃	pdhvpddvd
冬	pvddd
抓	huhppud
献	huuvdphhuhpdd
遗	uvhuhuvpddvd
励	hphvpvp
哈	uvhpdhuvh
损	huhuvhuvpd
泪	ddhuvhhh
牙	hvup
荣	huudvhupd
幕	huuuvhhhpduvu
播	huhpdphupduvhuh
词	dvvhuvh
聚	huuhhhvdpupppd
促	puuvhuhpd
借	puhuuhuvhh
偶	puuvhhuvuhd
稍	phupdudpuvhh
航	ppvdhddhpv
订	dvhu
博	huhuvhhudhud
搬	huhppvdhdpvvd
森	hupdhupdhupd
夺	hpdhud
菁	huuhhuhuvhh
闪	duvpd
隔	vuhuvhuvdphu
享	dhuvhvuh
抵	huhpvhvd
潮	ddhhuuvhhhupvhh
碰	hpuvhdphuudph
朵	pvhupd
载	huhhvuhvpd
宽	ddvhuuuvpv
币	puvu
监	uuphduvuuh
灰	hpdppd
纯	vvhhvuv
腿	pvhhvhhvpddvd
辆	hvuhhuvpdpd
玻	hhuhvpuvd
域	huhhuvhhvpd
悲	uhhhuhhhdvdd
淡	ddhdppddppd
雄	hpvdpudhhhuh
抬	huhvduvh
阻	vuuvhhh
乃	vp
劲	vdhuhvp
核	hupddhvppd
覆	huvuuhppuphuvhhpvd
逼	huvhuvhuhdvd
铜	phhhvuvhuvh
佛	puvhvpu
蒸	huuvuvpdhdddd
鞋	huuhuvhhuhuhhuh
斤	pphu
胡	huuvhpvhh
震	hdvuddddhphhvpd
劣	updpvp
巧	huhhv
洞	ddhuvhuvh
洁	ddhhuhuvh
拥	huhpvhhu
督	uhhupdvduvhhh
丈	hpd
劝	vdvp
貌	pddpvpppuvhhpv
麦	hhuhpvd
愉	ddupdhuvhhuu
购	uvpdpvvd
售	pudhhhuhuvh
尊	dphuvpvhhhud
麻	dhphupdhupd
彼	ppuvpuvd
阴	vupvhh
湿	ddhuvhhuudph
缩	vvhddvpuhpuvhh
贸	pvdvpuvpd
插	huhphupuhvhh
颗	uvhhhupdhpuvpd
智	phhpduvhuvhh
肥	pvhhvuhv
敬	huupvuvhphpd
惜	dduhuuhuvhh
龙	hpvpd
搞	huhdhuvhuvuvh
粒	dphupddhdph
璃	hhuhdhpdvuuvvd
乏	pdvd
胶	pvhhdhpdpd
赏	udpdvuvhuvpd
松	hupdpdvd
粮	dphupddvhhvpd
壁	vhpuvhdhdphhuhuh
迹	dhpupddvd
叔	uhhupdvd
频	uhuhupphpuvpd
谋	dvhuuhhhupd
尾	vhpphhv
磨	dhphupdhupdhpuvh
皇	puvhhhhuh
猛	pvpvuhuvuuh
缘	vvhvvhpvpppd
鬼	puvhhpvvd
患	uvhuvhudvdd
础	hpuvhvuuvu
奏	hhhpdhhpd
奖	dhupvdhpd
哲	huhpphuuvh
肤	pvhhhhpd
耐	hpuvuuhud
轴	hvuhuvhuh
偷	pupdhuvhhuu
粗	dphupduvhhh
迅	vhudvd
浮	ddhpddpvuh
哩	uvhuvhhuhh
迟	vhpddvd
爆	dppduvhhhuuhpdudhpd
羊	dphhhu
佳	puhuhhuh
摸	huhhuuuvhhhpd
梦	hupdhupdpvd
幼	vvdvp
侧	puuvpduu
凭	puphuhpv
泡	ddhpvvhv
碎	hpuvhdhpdpdhu
盐	huhuduvuuh
废	dhpvpvdd
挑	huhpdhvpd
婆	ddhvpuvdvph
岩	uvuhpuvh
泣	ddhdhdph
蒙	huudvhhpvpppd
跌	uvhuhuhphhpd
烦	dppdhpuvpd
秒	phupdupdp
俄	puphuhvpd
汗	ddhhhu
煤	dppdhuuhhhupd
穷	ddvpdvp
箱	phdphdhupduvhhh
绘	vvhpdhhvd
兰	dphhh
仰	pupvvu
描	huhhuuuvhuh
饰	pvvphuvu
残	hpvdhhvpd
版	puhvppvd
绕	vvhhvphpv
尖	updhpd
讯	dvvhu
碗	hpuvhddvpvdvv
盆	pdvpuvuuh
操	huhuvhuvhuvhhupd
氢	phhvvdhuh
纵	vvhpdpd
欲	pdpduvhpvpd
番	pdphupduvhuh
嫂	vphpuhvhhuvd
