啊	a
怎	zf
增	zg
藏	zh
字	zi
做	zo
總	zs
組	zu
最	zv
賊	zw
走	zz

#简码词
安放	af
愛護	ah
安靜	aj
拗口	ak
案例	a;
澳門	am
安排	ap
安全	aq
愛人	ar
暗算	as
凹凸	at
暗示	au
安裝	av
安慰	aw
愛心	ax
安逸	ay
暗自	az
保留	b;
本來	bl
並且	bq
不然	br
比賽	bs
標準	bv
必須	bx
不要	by
參考	ck
從來	cl
層面	cm
才能	cn
存盤	cp
從前	cq
從頭	ct
此外	cw
錯誤	c;
才行	cx
採用	cy
代表	db
地方	df
到了	d;
帶來	dl
代替	dt
東西	dx
第一	dy
恩賜	ec
而非	ef
而且	e;
而已	ey
而言	ey
兒子	ez
分別	fb
服從	fc
諷刺	fc
反對	fd
反而	fe
方法	ff
返回	f;
非常	fi
分開	fk
法律	fl
方面	fm
煩惱	fn
分配	fp
放棄	fq
否認	fr
放鬆	fs
繁體	ft
反正	fv
發現	fx
反應	fy
根本	gb
過程	gi
幹嘛	gm
功能	gn
股票	gp
過去	gq
溝通	gt
更新	g;
關於	gy
何必	hb
好處	hi
號碼	h;
湖南	hn
害怕	hp
回去	hq
後天	ht
互相	hx
歡迎	hy
成本	ib
充滿	im
承諾	in
產品	i;
重啟	iq
衝突	it
成為	iw
出現	ix
成員	iy
驕傲	ja
精彩	jc
簡單	jd
金額	je
解放	jf
結果	jg
幾乎	jh
解決	j;
奇偶	jo
及其	jq
加入	jr
今天	jt
簡直	jv
幾位	jw
節奏	jz
恐怖	kb
看出	ki
科目	km
可能	kn
恐怕	kp
況且	kq
開通	kt
科學	kx
可以	k;
浪費	lf
瞭解	l;
論壇	lt
聯繫	lx
漫畫	mh
目錄	ml
默認	m;
貌似	ms
明天	mt
每天	mt
每週	mv
每年	mn
明顯	mx
難道	nd
那些	n;
偶爾	oe
歐陸	ol
偶然	o;
嘔吐	ot
偶像	ox
歐陽	oy
普洱	pe
配額	pe
脾氣	pq
騙人	pr
破碎	ps
平臺	pt
普通	pt
配置	pv
培訓	px
排序	p;
前後	qh
期間	qj
其中	q;
前往	qw
千萬	qw
認可	rk
人類	rl
人們	rm
熱鬧	rn
人品	rp
日期	r;
如同	rt
認為	rw
思考	sk
算了	sl
什麼	sm
隨你	sn
索賠	sp
所謂	sw
思想	sx
搜尋	sx
所以	sy
似乎	s;
討論	tl
天天	tt
統一	ty
順便	ub
事情	uq
神色	us
身體	ut
準備	v;
這麼	vm
指南	vn
照片	vp
中心	vx
這樣	vy
為此	wc
無法	wf
完成	wi
唯恐	wk
為了	wl
網絡	w;
我們	wm
無奈	wn
未能	wn
網盤	wp
完全	wq
無私	ws
問題	wt
唯一	wy
西安	xa
下次	xc
相當	xd
喜歡	xh
現金	xj
西歐	xo
協助	xv
現在	x;
一定	yd
月份	yf
應該	yg
要求	yq
一直	yv
因為	yw
一下	yx
應用	y;
總部	z;
自己	zj
走開	zk
走了	zl
怎麼	zm
怎能	zn
作品	zp
最新	zx

#算法不好處理的簡碼字
詞	ciy
