双星	aabj
照实	bdnd
暗害	bdnf
照临	bdnk
暗室	bdnt
电脑网络	bdnw
明察	bdnx
暗号	bdot
暗喻	bdov
暗哨	bdow
影展	bdph
照壁	bdpo
影壁	bdpo
影剧	bdpx
盟国	bdqe
赔罪	bdqn
暗娼	bdrb
日月如梭	bdrm
影射	bdrx
暗滩	bdsa
日月潭	bdsc
暗流	bdsd
明清	bdsl
暗沟	bdss
暗潮	bdsx
景仰	bdtc
景致	bdtg
暗事	bdto
暗堡	bdto
赔付	bdtx
暗下	bdty
明镜	bdvd
照着	bdvf
赔钱	bdvf
暴戾恣睢	bdvg
照人	bdvi
明令	bdvj
暗道	bdvj
暗含	bdvj
景况	bdvo
最高人民法院	bdvp
明净	bdvr
暗合	bdvt
暗锁	bdvw
暗线	bdwf
盟约	bdws
盟友	bdxa
明朝	bdxb
明火	bdxi
明灯	bdxt
明快	bdyz
暗弱	bdzs
明珠暗投	bebf
旺市	bedn
旺势	befx
景泰蓝	behn
影印件	betk
日理万机	betm
显山露水	beus
旺销	bevw
电报挂号	bffo
赋税	bfhv
旱季	bfhz
赋诗	bfil
旱地	bflc
贩夫走卒	bfld
易拉罐	bflx
赋闲	bfnm
旱船	bfns
旱灾	bfnx
旱路	bfol
旱田	bfqi
暗无天日	bftb
明哲保身	bftr
明摆着	bfvf
旱冰	bfvs
鹦鹉学舌	bfwj
赋有	bfxd
旱烟	bfxq
旱情	bfyl
贻误	bgio
冒认	bgiv
冒失	bgkv
贻害	bgnf
冒出	bgue
冒领	bgvj
暴晒	bhbc
晶莹剔透	bhbh
日落西山	bhce
日薄西山	bhce
里程碑	bhcg
星移斗转	bhdc
暴戾	bhdp
暴君	bhej
暴病	bhjt
暴乱	bhjx
暴增	bhlv
暴富	bhnt
暴突	bhnv
暴躁	bhol
暴怒	bhra
暴徒	bhsl
暴泻	bhsn
暴烈	bhtd
昙花一现	bhte
暴政	bhtl
暴风雨	bhwu
暴虐	bhyc
暴强	bhzs
畅旺	bibe
日晕	bibn
申购	bibs
日头	bidd
贝勒	bihp
日落	bihs
申论	biiv
日戳	bijj
申请书	bijj
贝壳	biln
畅想	bimg
畅顺	bimj
日记本	bimt
日间	binb
日军	binc
日寇	binf
申冤	binr
日见	binw
电话号码	bioc
日圆	biqo
贝母	biqs
畅饮	birl
日久	birn
日臻	bitg
日化	bitt
日食	bivd
畅叙	bivt
畅达	biyz
畅快	biyz
电话费	bizs
暖冬	bjad
晨星	bjbj
旷野	bjbl
日不暇给	bjbw
晨昏	bjct
暖意	bjdb
星斗	bjdd
最后通牒	bjdk
星夜	bjdt
量入为出	bjdu
里应外合	bjdv
贬义	bjdx
贬抑	bjfc
星云	bjfg
贬损	bjfo
电视节目	bjhg
贩私	bjhg
旷世	bjhl
暖和	bjho
贬称	bjhr
旷课	bjib
旷工	bjii
歇后语	bjiw
量力而为	bjjd
财力物力	bjjj
贬斥	bjjk
量力而行	bjjs
败血症	bjjt
星系	bjjw
电视片	bjki
星相	bjmg
晨间	bjnb
赃官	bjnp
赈灾	bjnx
电力网	bjnx
星号	bjot
贬职	bjpo
暗度陈仓	bjpv
星图	bjqa
果不其然	bjqd
星团	bjqx
暖色	bjrd
星象	bjro
星汉	bjsa
暖流	bjsd
赈济	bjsd
暖洋洋	bjss
星体	bjtm
时不再来	bjtt
晨曲	bjui
畅所欲言	bjvi
财神爷	bjvx
晨练	bjwt
影视业	bjwt
晨光	bjww
贩子	bjzi
账务	bkaj
暗箱操作	bkft
账款	bklf
账册	bknn
电气化	bktt
电算化	bktt
暗箭伤人	bktv
账单	bkvb
野鸡	blag
里昂	blbc
晚些时候	blbt
电车	blci
电码	blcs
里头	bldd
电离	bldx
电文	bldx
里弄	bleh
日上三竿	blek
明知山有虎，偏向虎山行	bles
明知山有虎	bley
里拉	blfd
电动机	blfm
电击	blfu
野草	blhb
电荒	blhd
野菜	blhj
野营	blhn
晴和	blho
野花	blht
电荷	blht
里手	bljf
电疗	bljj
电告	bljl
电贺	bljo
电函	bljx
里边	bljz
电算	blkg
野牛	blki
电气化	blkt
晦气	blkz
电场	bllz
电极	blmj
电闸	blnq
晴空	blnv
电容	blnv
野味	blof
野史	blox
里屋	blpt
野鸭	blqg
电解	blrd
野兔	blro
晴好	blrz
野马	blst
电位	bltd
电传	bltf
电信局	bltp
电价	bltv
电瓶	blvh
野人	blvi
电钮	blvj
电镀	blvj
电冰箱	blvk
电铃	blvv
电钻	blvy
电风扇	blwd
日以继夜	blwd
晴纶	blwv
电光	blww
电焊	blxb
电料	blxd
电炉	blxd
野火	blxi
野猪	blxj
明知故问	blxn
野炊	blxr
野餐	blyd
野性	blyj
野战	blyo
里子	blzi
电费	blzs
电弧	blzs
明枪暗箭	bmbk
果胶	bmdd
果腹	bmdl
果脯	bmdt
果报	bmfp
果蔬	bmhj
果皮	bmja
果敢	bmjp
果酱	bmkd
果木	bmmi
照本宣科	bmnh
果盘	bmns
果肉	bmnv
果农	bmpk
果蝇	bmqo
照相馆	bmrl
果酒	bmsu
果仁	bmtf
果酸	bmug
果冻	bmvt
果决	bmvz
果糖	bmxj
果真	bmxq
果子	bmzi
映照	bnbd
明察暗访	bnbi
则是	bnbt
晕车	bnci
则要	bncr
时间就是金钱	bndv
贻害无穷	bnfn
日用品	bnfo
愚拙	bnfu
愚顽	bnfw
晕眩	bngd
明察秋毫	bnhd
愚蒙	bnhn
晕了	bnji
映衬	bnjk
愚痴	bnjl
映入	bnjn
晏驾	bnjo
日用百货	bnjt
晕厥	bnjv
遇害	bnnf
晕船	bnns
日用品	bnoo
愚民	bnpt
映射	bnrx
晴空万里	bntb
日内瓦	bntl
遇刺	bntn
则可	bnto
遇事	bnto
映出	bnue
时间差	bnvf
愚公	bnvg
愚人	bnvi
遇合	bnvt
时间性	bnyj
败家子	bnzi
日喀则	bobn
贼喊捉贼	bofb
电路板	bomj
电唱机	bomw
电路图	boqa
曼哈顿	botu
时隐时现	bpbe
最最	bpbp
最晚	bpbr
最轻	bpcz
最亮	bpdo
最远	bpfw
最旧	bpib
最广	bpji
最重	bpjt
最丑	bpjx
最简	bpkn
最坏	bplj
最宽	bpnh
最窄	bpnv
最迟	bppd
最迟	bppn
影剧院	bppn
最浅	bpsf
最优	bptx
最差	bpvf
最冷	bpvv
最慢	bpyb
最怕	bpyg
最劲	bpzi
最弱	bpzs
曙色	bqrd
曼妙	bqrm
旱鸭子	bqzi
明争暗斗	brbd
晚景	brbd
晚育	brdg
晚熟	brdo
晚春	brev
晚班	brey
晚节	brhp
晚秋	brhx
电解质	brjj
晚近	brjk
晚生	brjl
日久生情	brjy
晚境	brld
日久见人心	brnu
晚婚	brrc
日久天长	brtk
电饭煲	brto
明媒正娶	brtp
晚霜	brum
晩霞	brup
晚霞	brup
电饭锅	brvo
晚点	bryo
歇脚	bsdl
歇菜	bshj
剔透	bshz
歇工	bsii
易手	bsjf
歇夏	bsjg
歇息	bsjg
易地	bslc
易帜	bsni
歇宿	bsnt
剔除	bspv
易行	bssf
财源滚滚	bsss
易位	bstd
旱涝保收	bstl
显微镜	bsvd
购并	bsvh
易人	bsvi
景德镇	bsvx
易学	bswn
歇业	bswt
易爆	bsxb
易燃	bsxd
易懂	bsyh
量贩	btbj
贼赃	btbj
题意	btdb
是可忍，孰不可忍	btdd
旦夕	btdi
题名	btdo
时来运转	btfc
贼眼	btge
题诗	btil
日臻成熟	btjd
量度	btjh
量力	btji
明信片	btki
显像管	btkn
题签	btkv
是以	btld
财政赤字	btln
量少	btmj
明修栈道	btmv
明修栈道，暗度陈仓	btmv
贼寇	btnf
题写	btns
日臻完善	btnv
题字	btnz
题跋	btol
题壁	btpo
最惠国	btqe
题解	btrd
最低保障	bttp
贼心	btui
明正典刑	btut
时至今日	btvb
是个	btvi
贼人	btvi
最低点	btyo
量子	btzi
昆明市	bubd
早出晚归	bubn
日出而作	bujt
贼心不死	bujt
晴雨表	bulk
贝雷帽	buni
野心家	bunx
昆剧	bupx
昆仲	buto
昆曲	buui
野心勃勃	buxx
明镜高悬	bvdq
赠予	bvdt
昆仑山	bvei
晨钟暮鼓	bvhl
愚人节	bvhp
暗送秋波	bvhs
赠言	bvii
畅销书	bvjj
明人不做暗事	bvjt
赠礼	bvjy
电冰箱	bvkm
赠答	bvkv
赠阅	bvnv
昂首阔步	bvny
贻人口实	bvon
赠品	bvoo
赚取	bvpa
赊欠	bvrv
赠与	bvsi
购销两旺	bvtb
照单全收	bvvl
赠给	bvwv
日益频繁	bvyl
显圣	bwal
显明	bwbd
显影	bwbd
显要	bwcr
电光石火	bwcx
电风扇	bwdp
显效	bwdv
晃动	bwfg
显摆	bwfq
显扬	bwfz
显能	bwgd
晃眼	bwge
显眼	bwge
晃荡	bwhs
败兴而归	bwjn
晤面	bwjq
日常生活	bwjs
显豁	bwnf
日常用品	bwno
显见	bwnw
电业局	bwpj
显微	bwse
显形	bwth
晃悠	bwti
暴风雪	bwue
暴风雨	bwui
显学	bwwn
显耀	bwww
显存	bwxi
日光灯	bwxt
显性	bwyj
显达	bwyz
时逢	bxaf
时务	bxaj
时日	bxbi
时断时续	bxbw
易燃易爆	bxbx
时区	bxcx
财主	bxde
早产	bxdj
时新	bxdm
早市	bxdn
早衰	bxdo
量才录用	bxen
早春	bxev
早班	bxey
财运	bxfg
早操	bxfo
明火执仗	bxft
财贸	bxgd
早稻	bxhj
时世	bxhl
早茶	bxhv
早秋	bxhx
晓谕	bxiv
时不时	bxjb
时序	bxjd
赎买	bxjd
时而	bxjn
早起	bxll
早场	bxlz
财权	bxma
早间	bxnb
财宝	bxne
早安	bxnr
财阀	bxnt
财路	bxol
贮存器	bxoo
时局	bxpj
赎罪	bxqn
赎回	bxqo
财团	bxqx
早婚	bxrc
早饭	bxrl
果真如此	bxrl
早泄	bxsh
时任	bxtj
时值	bxtx
照猫画虎	bxty
早霜	bxum
财迷心窍	bxun
时差	bxvf
赎金	bxvi
时令	bxvj
电烙铁	bxvk
时针	bxvx
时兴	bxwv
财迷	bxxz
时态	bxyd
贴题	bybt
贴谱	byiv
贴边	byjz
财大气粗	bykx
暑气	bykz
赌气	bykz
贴权	byma
野战军	bync
赌窝	bynv
赌咒	byoo
最大限度	bypj
赌局	bypj
贴水	bysi
赌波	bysj
赌徒	bysl
暑天	byty
赌钱	byvf
贴金	byvi
暴虎冯河	byvs
赌风	bywx
电子邮件	bzdt
电子琴	bzee
电子技术	bzfm
电子计算机	bzim
电子管	bzkn
电子表	bzlk
电子信息	bztj
果子狸	bzxj
轰然	cady
轰击	cafu
西双版纳	cakw
轰鸣	caog
轰响	caoj
碍眼	cbge
碍口	cboi
硕果累累	cbqq
碍事	cbto
西电东送	cbtv
硕果仅存	cbtx
砸碎	cccd
轻飘飘	cccf
砾石	ccci
硬碰硬	ccct
覆车之鉴	ccdn
碌碌无为	ccfd
砸掉	ccfy
磊落	cchs
卿卿我我	ccjj
辗转反侧	ccjt
轻车简从	cckv
砸坏	cclj
轻轻松松	ccmm
区区小事	ccmt
确确实实	ccnn
砸伤	cctl
软硬兼施	ccvd
牙牙学语	ccwi
磕磕绊绊	ccww
砸烂	ccxv
破破烂烂	ccxx
较难	cdat
也就是说	cdbi
较易	cdbs
硼砂	cdcm
轻音乐	cdcm
较轻	cdcz
矽肺	cddt
较之	cddz
转弯抹角	cdfr
较远	cdfw
磅秤	cdht
迎头痛击	cdjf
较广	cdji
较近	cdjk
连衣裙	cdjk
较重	cdjt
西部地区	cdlc
较坏	cdlj
迎头赶上	cdll
较短	cdly
匾额	cdna
碎屑	cdpw
西方国家	cdqn
较浅	cdsf
较深	cdsn
匿名信	cdti
硫化	cdtt
较优	cdtx
西部开发	cdty
硼酸	cdug
较前	cdvd
碰头会	cdvf
矽钢	cdvn
矿产资源	cdvs
轴线	cdwf
较真	cdxq
较慢	cdyb
碎步	cdyi
西部大开发	cdyy
较劲	cdzi
迎春花	ceht
辅导员	ceob
匪徒	cesl
匡正	cetl
碳化	cett
轩昂	cfbc
转赠	cfbv
转轴	cfcd
矸石	cfci
转车	cfci
匹夫之勇	cfdd
砖头	cfdd
转脸	cfdv
飘然	cfdy
转岗	cfen
转运	cffg
飘动	cffg
飘逝	cffj
硬邦邦	cffp
转折点	cffy
转瞬	cfgj
转台	cfgo
转科	cfhd
飘散	cfhd
转世	cfhl
飘带	cfhn
飘落	cfhs
转译	cfia
转手	cfjf
转生	cfjl
票面	cfjq
转制	cfkn
碰运气	cfkz
飘去	cflg
飘舞	cflh
砖墙	cflx
砖块	cflz
转述	cfmd
票根	cfme
飘尘	cfml
票额	cfna
转盘	cfns
转口	cfoi
转院	cfpn
瓢虫	cfqi
转圈	cfqv
乐于助人	cfqv
转角	cfri
飘洒	cfsc
飘泊	cfsg
轻于鸿毛	cfsj
飘忽	cfss
轰动一时	cftb
转借	cfth
转悠	cfti
砖瓦	cftl
飘着	cfvf
转道	cfvj
转念	cfvj
医护人员	cfvo
转送	cfvy
飘红	cfwi
转学	cfwn
转业	cfwt
转给	cfwv
票友	cfxa
转过	cfxd
转炉	cfxd
转卖	cfxj
匹夫有责	cfxl
剽悍	cfyb
转战	cfyo
转折点	cfyo
票子	cfzi
兜揽	cgfn
碑林	cgmm
矿泉水	cgsi
兜风	cgwx
西藏自治区	chjc
碟片	chki
医药卫生	chpj
欧共体	chtm
石英钟	chvo
碟子	chzi
医药费	chzs
西昌	cibb
雅量	cibt
车轴	cicd
车辙	cicd
石碑	cicg
牙牙	cici
牙石	cici
石匠	cicj
西医	cicl
牙医	cicl
车匪	cicn
雅意	cidb
破旧立新	cidd
车头	cidd
车胎	cidg
车刀	cidi
石膏	cido
车房	cidp
西服	cidp
西岸	ciej
石印	ciep
车把	cifd
也无	cifl
硬功夫	cifv
车夫	cifv
车技	cifx
车臣	cigi
石英	cihn
车程	ciho
雅称	cihr
西药	cihw
西贡	ciib
也该	ciid
车工	ciii
也请	ciil
邪说	ciiv
车皮	cija
牙痛	cijd
西夏	cijg
牙质	cijj
西裤	cijk
车床	cijm
西面	cijq
邪乎	cijv
雅座	cijv
车座	cijv
要言不烦	cijx
西边	cijz
石笋	cike
车牌	cikg
鸦片	ciki
车长	ciki
牙签	cikv
邪气	cikz
雅静	cild
雅士	cili
牙垢	cilj
雅趣	cill
石鼓	cilo
西域	cilt
牙龈	cilv
牙龈	cilw
石块	cilz
车场	cilz
石柱	cimd
车棚	cimd
牙根	cime
石棉	cimg
车模	cimh
石板	cimj
石桥	cimj
车本	cimt
车检	cimv
邪门	cini
车门	cini
牙雕	cinl
石雕	cinl
西宫	cino
车船	cins
车窗	cinv
乜嘢	ciob
牙口	cioi
邪路	ciol
西路	ciol
雅号	ciot
车展	ciph
车尾	cipj
石壁	cipo
石阶	cipv
石蜡	ciqh
石墨	ciqh
西汉	cisa
车流	cisd
也行	cisf
车马	cist
车位	citd
雅致	citg
西式	citi
车顶	citj
雅正	citl
石像	citr
西化	citt
西天	city
邪心	ciui
车前	civd
雅舍	civf
车钱	civf
雅人	civi
邪道	civj
邪念	civj
车况	civo
车铃	civv
牙关	civy
牙缝	ciwa
石缝	ciwa
轻工业部	ciwd
车组	ciwq
雅兴	ciwv
西风	ciwx
西经	ciwz
车友	cixa
石料	cixd
车灯	cixt
牙粉	cixv
石灰	cixx
西餐	ciyd
西点	ciyo
牙子	cizi
石子	cizi
车费	cizs
矿难	cjat
破败	cjba
轻而易举	cjbw
破晓	cjbx
破财	cjbx
轻手轻脚	cjcd
矿石	cjci
矿区	cjcx
硕导	cjex
矿井	cjfn
轿夫	cjfv
矿泉	cjgs
矿藏	cjhk
破鞋	cjhp
破落	cjhs
斩获	cjhx
矿工	cjii
西厢记	cjiz
矿物质	cjjj
矿床	cjjm
牙买加	cjjo
暂不	cjjy
堑壕	cjld
破土	cjli
暂缺	cjlx
破相	cjmg
医疗机构	cjmm
暂用	cjnf
破门	cjni
破口	cjoi
暂别	cjoj
医疗卫生	cjpj
砭骨	cjqd
破浪	cjsd
破洞	cjsn
斩开	cjth
破戒	cjth
暂借	cjth
矿体	cjtm
医疗保险	cjtp
医疗保健	cjtt
乐不可支	cjtx
匠心	cjui
斩仓	cjvc
匠人	cjvi
破绽	cjwn
斩断	cjxl
斩杀	cjxm
硕大	cjyi
碱性	cjyj
雅加达	cjyz
轿子	cjzi
医疗费	cjzs
破费	cjzs
西北部	ckdo
西装革履	ckhp
轻装简从	ckkv
轻装上阵	cklp
轶闻	cknp
轶事	ckto
鸦片战争	ckyr
轧辊	clcb
磕碰	clcv
车载斗量	cldb
医理	cleb
破土动工	clfi
乐此不疲	cljj
破土而出	clju
破壳而出	clju
硅片	clki
医士	clli
轧机	clmw
医用	clnf
辕门	clni
医家	clnx
甄别	cloj
医德	clsx
医保	clto
轧钢	clvn
区域经济	clws
硕士学位	clwt
砂砾	cmcc
砂石	cmci
砂轮	cmcv
乐章	cmdb
乐理	cmeb
砂岩	cmec
乐山	cmei
连根拔起	cmfl
乐谱	cmiv
砂土	cmli
乐土	cmli
乐得	cmsb
乐事	cmto
砂纸	cmwc
碴儿	cmwi
砂糖	cmxj
砂布	cmxn
乐都	cmyb
乐子	cmzi
栗子	cmzi
匪帮	cnfp
砚台	cngo
研究成果	cnjb
石家庄市	cnjd
破门而入	cnjj
邪门歪道	cnjv
辖制	cnkn
研究室	cnnt
研究中心	cnou
迎宾馆	cnrl
砚池	cnsc
匪徒	cnsl
研究人员	cnvo
石嘴山	coei
辑录	coes
乐呵呵	coot
叵测	cosb
破口大骂	coyo
迎迓	cpci
迎头	cpdd
迎击	cpfu
迎面	cpjq
迎宾	cpng
迎娶	cppa
迎候	cpti
连阴天	cpty
连阴雨	cpui
迎风	cpwx
破除迷信	cpxt
硬骨头	cqdd
辅助设计	cqii
磁悬浮	cqsj
要账	crbk
砍刀	crdi
要为	crdj
要脸	crdv
要义	crdx
确然	crdy
要抓	crfj
要挟	crft
砍掉	crfy
要目	crgi
软卧	crgy
确证	crit
要诀	criz
软席	crjh
确乎	crjv
软座	crjv
软管	crkn
要地	crlc
砍柴	crlt
软梯	crmv
要塞	crnf
要案	crnr
要员	crob
要职	crpo
要隘	crpv
软骨	crqd
要饭	crrl
要得	crsb
要津	crse
软水	crsi
要旨	crtb
要死	crtd
要件	crtk
砍伤	crtl
要事	crto
软化	crtt
要人	crvi
要道	crvj
要命	crvt
要犯	crxj
软性	cryj
覆水难收	csal
覆辙	cscd
码放	csdh
破涕为笑	csdk
覆亡	csdl
西洋参	csgy
连滚带爬	cshj
西游记	csiz
泵入	csjn
飘忽不定	csjn
辎重	csjt
软包装	cskl
输油管	cskn
码表	cslk
码洋	cssv
覆没	cssw
泵出	csue
飘洋过海	csxs
瓢泼大雨	csyu
车马费	cszs
昏暗	ctbd
轻歌曼舞	ctbl
硬是	ctbt
礁石	ctci
硬要	ctcr
硬朗	ctde
氏族	ctdh
昏君	ctej
车到山前必有路	cteo
硬挺	ctfj
硬拼	ctfv
硬撑	ctfw
昏眩	ctgd
昏睡	ctgj
破天荒	cthd
昏黄	cthd
昏花	ctht
西伯利亚	ctht
雅俗共赏	cthw
研读	ctix
昏庸	ctje
研习	ctji
研磨	ctjm
硬面	ctjq
昏厥	ctjv
昏乱	ctjx
硬笔	ctkj
硬气	ctkz
砌墙	ctlx
硬木	ctmi
硬实	ctnd
硬汉	ctsa
软件包	ctse
硬水	ctsi
乐天派	ctsj
昏沉	ctsn
软件下载	cttl
昏倒	cttt
辅佐	cttx
软件开发	ctty
迎来送往	ctvs
研判	ctvx
欧佩克	ctxo
硬性	ctyj
欧亚大陆	ctyp
硬弓	ctzs
砒霜	cuum
匠心独运	cuxf
