双双	aaaa
观众	anvv
观赏	anwn
观光	anww
观点	anyo
各条	aoam
难兄难弟	aoav
各处	aoay
各区	aocx
各方	aodh
各族	aodh
各市	aodn
各部	aodo
各异	aoeh
各种	aoho
各项	aoij
各自	aojg
欢蹦乱跳	aojo
各地	aolc
各地区	aolc
各省市	aomd
各省	aomj
欢呼雀跃	aomo
各样	aomv
各别	aooj
各路	aool
各层	aopf
各国	aoqe
各县	aoqf
各界	aoqv
各色	aord
各派	aosj
各位	aotd
各式	aoti
各个	aovi
各人	aovi
各单位	aovt
各半	aovx
各级	aowj
各有	aoxd
鸡鸣狗盗	aoxv
各类	aoxy
各占	aoyo
各民族	apdh
双职工	apii
各尽所能	apjg
各取所需	apju
邓小平	apmt
鸡尾酒	apsu
欢聚一堂	aptw
戏剧性	apyj
各县区	aqcx
备忘	aqdl
备耕	aqem
备勤	aqho
备课	aqib
冬虫夏草	aqjh
备选	aqjl
备受	aqjn
备办	aqjv
备查	aqmb
备述	aqmd
备用	aqnf
备案	aqnr
备灾	aqnx
备取	aqpa
鸡鸭鱼肉	aqrn
备好	aqrz
备注	aqsd
备汛	aqsz
备至	aqtg
备件	aqtk
备货	aqtt
备份	aqtv
备有	aqxd
备料	aqxd
备战	aqyo
备考	aqys
难解难分	arav
欢畅	arbi
欢乐	arcm
欢迎	arcp
欢颜	ardj
欢腾	ardv
欢度	arjh
欢欣	arjk
欢庆	arjy
欢笑	arkj
处女地	arlc
欢声	arld
欢喜	arlo
欢唱	arob
欢呼	aroj
欢聚	arpa
欢娱	arro
欢歌	arto
欢心	arui
欢送	arvy
对角线	arwf
欢悦	aryv
欢愉	aryv
欢快	aryz
各行各业	asaw
对得起	asll
各行其是	asqb
各得其所	asqj
对酒当歌	aswt
各行业	aswt
难得糊涂	asxs
各式各样	atam
难处	atay
双休日	atbi
难题	atbt
难产	atdj
难为	atdj
难忘	atdl
难于	atfi
难找	atfx
难言	atii
难说	ativ
难看	atjf
难度	atjh
难受	atjn
难耐	atjn
难办	atjv
欢歌笑语	atki
难以	atld
欢天喜地	atll
难堪	atlq
难闻	atnp
难听	atoj
难民	atpt
难除	atpv
难解	atrd
难免	atro
难得	atsb
难事	atto
难保	atto
难倒	attt
难分	atvd
又一个	atvi
难道	atvj
又一次	atvr
难逃	atvw
难关	atvy
难当	atwe
难缠	atwj
难学	atwn
难友	atxa
难过	atxd
难有	atxd
难怪	atya
难点	atyo
处心积虑	auhy
对比度	aujh
鸡零狗碎	auxc
难分难解	avar
难舍难分	avav
难分轩轾	avcc
各个方面	avdj
各个击破	avfc
难道说	aviv
条分缕析	avwm
又红又专	awaf
观赏鱼	awrt
各级政府	awtj
各级领导	awve
双绞线	awwf
各级党委	awwh
对照	axbd
对账	axbk
戏码	axcs
对头	axdd
对方	axdh
对立	axdi
对弈	axdm
对齐	axdx
对外	axdy
戏弄	axeh
对岸	axej
对峙	axel
戏班	axey
对抗	axfd
对接	axfd
对于	axfi
对换	axfr
对打	axft
对眼	axge
对垒	axgg
对白	axgi
戏台	axgo
对称	axhr
戏称	axhr
对讲	axif
戏言	axii
对话	axij
对词	axij
对调	axin
对证	axit
戏说	axiv
戏谑	axiy
对手	axjf
各有千秋	axjh
对了	axji
对质	axjj
各有所爱	axjj
对襟	axjk
各有所长	axjk
对不起	axjl
戏耍	axjn
对面	axjq
对不住	axjt
对症	axjt
对应	axjw
对敌	axjx
对奖	axkd
戏装	axkl
对等	axkl
对策	axkt
对答	axkv
对此	axlt
对本	axmt
对门	axni
对内	axnv
对家	axnx
对唱	axob
对口	axoi
戏路	axol
对路	axol
对号	axot
对阵	axpc
对局	axpj
戏院	axpn
对联	axpv
戏剧	axpx
对虾	axqt
对角	axri
对象	axro
对流	axsd
对勾	axsg
戏水	axsi
对待	axsl
戏法	axsl
对偶	axtb
对侧	axtb
对开	axth
逢凶化吉	axtl
对歌	axto
对华	axtt
对付	axtx
对仗	axtx
对比	axui
戏曲	axui
对着	axvf
对准	axvt
对半	axvx
对决	axvz
对光	axww
对过	axxd
对数	axxr
戏迷	axxz
难登大雅之堂	axyw
戏子	axzi
对子	axzi
对劲	axzi
又惊又喜	ayal
处处	ayay
处方	aydh
处之	aydz
处理	ayeb
处于	ayfi
处世	ayhl
处警	ayhs
鸡犬不留	ayjg
处所	ayjj
鸡犬不宁	ayjn
鸡犬升天	ayjt
处长	ayki
处境	ayld
处以	ayld
各大军区	aync
处罚	ayqi
处男	ayqj
处置	ayqx
处女	ayri
处女地	ayrl
处死	aytd
处事	ayto
处分	ayvd
各奔前程	ayvh
处决	ayvz
处在	ayxi
鸡飞蛋打	azjf
败退	baek
败兵	bagv
败草	bahb
败诉	baij
财务管理	bake
败笔	bakj
败北	bakt
败坏	balj
败走	ball
败军	banc
败家	banx
败叶	baox
败阵	bapc
败局	bapj
败絮	baro
败仗	batx
败露	bauo
败绩	bawl
败兴	bawv
败给	bawv
败火	baxi
败类	baxy
曝晒	bbbc
昌明	bbbd
电影票	bbcf
罂粟	bbcx
里里外外	bbdd
时时刻刻	bbdd
日日夜夜	bbdd
星星之火，可以燎原	bbdj
昆明市	bbdn
晶亮	bbdo
赐予	bbdt
星星之火	bbdx
愚昧无知	bbfl
鹦鹉	bbfl
旷日持久	bbfr
明明白白	bbgg
明日黄花	bbhh
晶莹	bbhn
昌盛	bbjj
是是非非	bbnn
昌隆	bbpa
电影院	bbpn
晶体	bbtm
昌平	bbtv
日晒雨淋	bbus
婴儿	bbwi
赐给	bbwv
曝光	bbww
影影绰绰	bbww
晶粒	bbxd
星星点点	bbyy
赐教	bbyz
婴孩	bbzd
昂昂	bcbc
昂然	bcdy
晒干	bcfi
昂扬	bcfz
电磁场	bclz
明码标价	bcmt
晒图	bcqa
昂贵	bcqb
电磁波	bcsj
昂首	bcvj
电磁炉	bcxd
昂奋	bcyq
景观	bdan
明处	bday
晾晒	bdbc
照明	bdbd
晕头晕脑	bdbd
贼头贼脑	bdbd
明明	bdbd
明暗	bdbd
暗暗	bdbd
明辨是非	bdbe
贼眉贼眼	bdbg
明日	bdbi
明星	bdbj
日月星辰	bdbj
影星	bdbj
明晰	bdbm
明辨是非	bdbn
明晚	bdbr
明显	bdbw
影碟	bdch
晕头转向	bdcj
明确	bdcr
暗码	bdcs
暗礁	bdct
明矾	bdcw
景区	bdcx
照章	bddb
影音	bddb
明朗	bdde
日新月异	bdde
明月	bddi
暗恋	bddm
影帝	bddn
照亮	bddo
明亮	bddo
暗房	bddp
暗夜	bddt
赔率	bddw
明辨	bddx
明文	bddx
昭然	bddy
明理	bdeb
照理	bdeb
明珠	bdek
影印	bdep
照护	bdfd
暗示	bdfm
明示	bdfm
昭示	bdfm
照抄	bdfm
暗探	bdfn
照排	bdfn
照搬	bdfn
明文规定	bdfn
畅通无阻	bdfp
明艳	bdfr
暗亏	bdfs
照拂	bdfz
贼眉鼠眼	bdgg
明眸	bdgg
明白	bdgi
昭然若揭	bdhf
暗藏	bdhk
暗花	bdht
贝多芬	bdhv
昭著	bdhy
照旧	bdib
暗访	bdid
题外话	bdij
明证	bdit
影评	bdit
明说	bdiv
照说	bdiv
暗语	bdiw
照顾	bdjc
景物	bdjf
照看	bdjf
暗自	bdjg
明了	bdji
影后	bdjj
照面	bdjq
照章办事	bdjt
照办	bdjv
照应	bdjw
电脑爱好者	bdjy
影视	bdjy
赔礼	bdjy
暗算	bdkg
影片	bdki
照片	bdki
暗笑	bdkj
照管	bdkn
暗箭	bdkv
景气	bdkz
暗地里	bdlb
明年	bdlc
暗地	bdlc
晓之以理	bdle
影坛	bdlf
赔款	bdlf
时刻表	bdlk
暗喜	bdlo
明志	bdlu
明智	bdly
明知	bdly
晓之以理，动之以情	bdly
照相	bdmg
暗想	bdmg
照相机	bdmm
赔本	bdmt
照样	bdmv
盟军	bdnc
照实	bdnd
暗害	bdnf
照临	bdnk
暗室	bdnt
电脑网络	bdnw
明察	bdnx
暗中	bdoi
影响	bdoj
暗器	bdoo
暗号	bdot
暗喻	bdov
暗哨	bdow
影展	bdph
影院	bdpn
照壁	bdpo
影壁	bdpo
影剧	bdpx
盟国	bdqe
赔罪	bdqn
明基	bdqv
暗娼	bdrb
景色	bdrd
明媚	bdrd
日月如梭	bdrm
景象	bdro
照射	bdrx
影射	bdrx
暗滩	bdsa
日月潭	bdsc
暗流	bdsd
明清	bdsl
暗沟	bdss
暗淡	bdsx
暗潮	bdsx
景仰	bdtc
景致	bdtg
影集	bdti
暗伤	bdtl
暗事	bdto
暗堡	bdto
影像	bdtr
照例	bdtt
明代	bdtv
赔偿	bdtw
赔付	bdtx
明天	bdty
暗下	bdty
昭雪	bdue
明镜	bdvd
照着	bdvf
照会	bdvf
赔钱	bdvf
暴戾恣睢	bdvg
照人	bdvi
明令	bdvj
暗道	bdvj
暗含	bdvj
景况	bdvo
最高人民法院	bdvp
明净	bdvr
暗合	bdvt
暗锁	bdvw
暗线	bdwf
照常	bdwn
明细	bdwq
盟约	bdws
照耀	bdww
盟友	bdxa
明朝	bdxb
照料	bdxd
明火	bdxi
暗杀	bdxm
明灯	bdxt
影迷	bdxz
景点	bdyo
明快	bdyz
影子	bdzi
暗弱	bdzs
明珠暗投	bebf
旺市	bedn
旺势	befx
景泰蓝	behn
旺季	behz
旺盛	bejj
影印件	betk
日理万机	betm
显山露水	beus
旺销	bevw
赋予	bfdt
电报挂号	bffo
赋税	bfhv
旱季	bfhz
赋诗	bfil
旱地	bflc
贩夫走卒	bfld
易拉罐	bflx
赋闲	bfnm
旱船	bfns
旱灾	bfnx
旱路	bfol
显示器	bfoo
显示屏	bfpv
旱田	bfqi
暗无天日	bftb
明哲保身	bftr
明摆着	bfvf
旱冰	bfvs
鹦鹉学舌	bfwj
赋有	bfxd
旱烟	bfxq
旱情	bfyl
冒充	bgdg
冒进	bgfn
贻误	bgio
冒认	bgiv
冒牌	bgkg
冒失	bgkv
贻害	bgnf
冒险	bgpv
冒出	bgue
冒雨	bgui
冒领	bgvj
明目张胆	bgzd
暴晒	bhbc
晶莹剔透	bhbh
日落西山	bhce
日薄西山	bhce
里程碑	bhcg
星移斗转	bhdc
暴戾	bhdp
日积月累	bhdq
暴君	bhej
暴动	bhfg
暴利	bhhn
暴力	bhji
暴病	bhjt
暴乱	bhjx
日程表	bhlk
暴增	bhlv
暴富	bhnt
暴突	bhnv
暴躁	bhol
暴跌	bhol
暴怒	bhra
暴行	bhsf
暴徒	bhsl
暴泻	bhsn
暴涨	bhsz
暴烈	bhtd
昙花一现	bhte
暴政	bhtl
暴雨	bhui
暴露	bhuo
日暮途穷	bhvn
暴风雨	bhwu
暴风	bhwx
暴发	bhya
暴虐	bhyc
暴强	bhzs
申明	bibd
日照	bibd
畅旺	bibe
日晕	bibn
申购	bibs
日头	bidd
日立	bidi
日月	bidi
日产	bidj
畅通	bidn
日夜	bidt
日文	bidx
申辩	bidx
日报	bifp
申报	bifp
日元	bifw
日期	bihe
日程	biho
贝勒	bihp
日落	bihs
申诉	biij
申请	biil
申论	biiv
日语	biiw
畅谈	biix
日记	biiz
日历	bijj
日戳	bijj
日后	bijj
申请书	bijj
申斥	bijk
申奥	bijn
申办	bijv
日趋	bill
贝壳	biln
日志	bilu
申述	bimd
畅想	bimg
畅顺	bimj
日本	bimt
日记本	bimt
电话机	bimw
日间	binb
日军	binc
日用	binf
日寇	binf
申冤	binr
日内	binv
日见	binw
电话号码	bioc
日中	bioi
日圆	biqo
贝母	biqs
日期	biqv
畅饮	birl
日久	birn
日渐	bisc
畅游	bisd
日臻	bitg
日化	bitt
日下	bity
日出	biue
日前	bivd
日食	bivd
申请人	bivi
申领	bivj
畅叙	bivt
日益	bivv
畅销	bivw
日常	biwn
日光	biww
贝类	bixy
畅达	biyz
畅快	biyz
日子	bizi
电话费	bizs
暖冬	bjad
暧昧	bjbf
晨星	bjbj
星星	bjbj
旷野	bjbl
显而易见	bjbn
是不是	bjbt
晨曦	bjbv
日不暇给	bjbw
晨昏	bjct
暖意	bjdb
星斗	bjdd
最后通牒	bjdk
星夜	bjdt
量入为出	bjdu
里应外合	bjdv
贬义	bjdx
星球	bjex
贬抑	bjfc
星云	bjfg
赔了夫人又折兵	bjfg
贩运	bjfg
贬损	bjfo
晨报	bjfp
电视台	bjgo
星期日	bjhb
星期六	bjhd
星期	bjhe
星期三	bjhe
星期二	bjhf
电视节目	bjhg
贩私	bjhg
旷世	bjhl
暖和	bjho
星期四	bjhq
贬称	bjhr
星期一	bjht
星期天	bjht
星期五	bjhw
旷课	bjib
旷工	bjii
歇后语	bjiw
量力而为	bjjd
赃物	bjjf
星辰	bjjf
财力物力	bjjj
贬斥	bjjk
量力而行	bjjs
时不我待	bjjs
败血症	bjjt
星座	bjjv
星系	bjjw
电视片	bjki
暖气	bjkz
赃款	bjlf
贩毒	bjlq
星相	bjmg
电视机	bjmw
晨间	bjnb
赃官	bjnp
星空	bjnv
赈灾	bjnx
电力网	bjnx
星号	bjot
星际	bjpf
贬职	bjpo
暗度陈仓	bjpv
电视剧	bjpx
星图	bjqa
星期日	bjqb
星期六	bjqd
果不其然	bjqd
星期三	bjqe
星期二	bjqf
星期四	bjqq
星期一	bjqt
星期天	bjqt
星期	bjqv
星期五	bjqw
星团	bjqx
暖色	bjrd
星象	bjro
星汉	bjsa
暖流	bjsd
赈济	bjsd
暖洋洋	bjss
星河	bjst
贬低	bjtc
星体	bjtm
时不再来	bjtt
贬值	bjtx
晨曲	bjui
畅所欲言	bjvi
赔礼道歉	bjvv
财神爷	bjvx
星级	bjwj
晨练	bjwt
影视业	bjwt
晨光	bjww
星光	bjww
星火	bjxi
贩卖	bjxj
贩子	bjzi
账务	bkaj
账户	bkdp
暗箱操作	bkft
账目	bkgi
账面	bkjq
账簿	bkks
账款	bklf
账本	bkmt
账册	bknn
账号	bkot
电气化	bktt
电算化	bktt
暗箭伤人	bktv
账单	bkvb
贻笑大方	bkyd
野鸡	blag
里昂	blbc
电影	blbd
昨日	blbi
电影院	blbp
昨晚	blbr
晚些时候	blbt
电量	blbt
电车	blci
电码	blcs
电磁	blcv
电脑	bldd
里头	bldd
晴朗	blde
野蛮	bldm
电邮	bldp
昨夜	bldt
电离	bldx
电文	bldx
野外	bldy
电站	bldy
里弄	bleh
日上三竿	blek
明知山有虎，偏向虎山行	bles
明知山有虎	bley
里拉	blfd
电动	blfg
电动机	blfm
电报	blfp
电击	blfu
电热	blfx
电能	blgd
电台	blgo
野草	blhb
电荒	blhd
野菜	blhj
野营	blhn
里程	blho
晴和	blho
野花	blht
电荷	blht
电工	blii
电话	blij
电讯	bliz
里手	bljf
电视台	bljg
电力	blji
电厂	blji
电疗	bljj
电压	bljl
野生	bljl
电告	bljl
电视机	bljm
电贺	bljo
里面	bljq
电函	bljx
电视	bljy
里边	bljz
电算	blkg
野牛	blki
电气化	blkt
电气	blkz
晦气	blkz
电表	bllk
电场	bllz
电极	blmj
电梯	blmv
电机	blmw
电闸	blnq
晴空	blnv
电容	blnv
电网	blnx
野味	blof
电路	blol
电器	bloo
野史	blox
电阻	blpq
里屋	blpt
野鸭	blqg
电解	blrd
野兔	blro
晴好	blrz
电池	blsc
电汇	blsc
电流	blsd
晦涩	blsd
电源	blsj
电波	blsj
野马	blst
电位	bltd
电传	bltf
电信	blti
电信局	bltp
电价	bltv
昨天	blty
晴天	blty
野心	blui
电瓶	blvh
野人	blvi
电钮	blvj
电镀	blvj
电冰箱	blvk
野兽	blvq
电铃	blvv
电钻	blvy
电风扇	blwd
日以继夜	blwd
电线	blwf
电学	blwn
电缆	blwn
晴纶	blwv
电光	blww
电焊	blxb
电料	blxd
电炉	blxd
野火	blxi
野猪	blxj
明知故问	blxn
野炊	blxr
电灯	blxt
明知故犯	blxx
野餐	blyd
电大	blyi
野性	blyj
野战	blyo
电教	blyz
电子	blzi
里子	blzi
电费	blzs
电弧	blzs
明枪暗箭	bmbk
果胶	bmdd
果腹	bmdl
果脯	bmdt
果然	bmdy
果报	bmfp
果蔬	bmhj
果皮	bmja
果敢	bmjp
果酱	bmkd
果树	bmma
果木	bmmi
照相机	bmmw
果实	bmnd
照本宣科	bmnh
果盘	bmns
果肉	bmnv
果品	bmoo
果农	bmpk
果园	bmqf
果蝇	bmqo
照相馆	bmrl
果酒	bmsu
果汁	bmsx
果仁	bmtf
果酸	bmug
日本人	bmvi
果冻	bmvt
果决	bmvz
颗粒	bmxd
果糖	bmxj
果断	bmxl
果真	bmxq
果子	bmzi
贮备	bnaq
遇难	bnat
映照	bnbd
愚昧	bnbf
明察暗访	bnbi
则是	bnbt
晕车	bnci
则要	bncr
时间就是金钱	bndv
愚弄	bneh
愚蠢	bnev
贻害无穷	bnfn
日用品	bnfo
愚拙	bnfu
愚顽	bnfw
晕眩	bngd
明察秋毫	bnhd
贮藏	bnhk
愚蒙	bnhn
晕了	bnji
映衬	bnjk
愚痴	bnjl
映入	bnjn
晏驾	bnjo
日用百货	bnjt
晕厥	bnjv
愚笨	bnkm
遇上	bnli
时间表	bnlk
遇害	bnnf
晕船	bnns
遇见	bnnw
日用品	bnoo
愚民	bnpt
遇险	bnpv
映射	bnrx
晴空万里	bntb
遇到	bntg
日内瓦	bntl
遇刺	bntn
则可	bnto
遇事	bnto
映像	bntr
晕倒	bntt
映出	bnue
是非曲直	bnux
时间差	bnvf
愚公	bnvg
愚人	bnvi
遇合	bnvt
则有	bnxd
贮存	bnxi
时间性	bnyj
败家子	bnzi
日喀则	bobn
贼喊捉贼	bofb
电路板	bomj
电唱机	bomw
电路图	boqa
暴跳如雷	boru
曼哈顿	botu
时隐时现	bpbe
最最	bpbp
最晚	bpbr
最早	bpbx
最轻	bpcz
最多	bpdd
最为	bpdj
最新	bpdm
最高	bpdo
最亮	bpdo
最远	bpfw
最热	bpfx
最能	bpgd
昵称	bphr
最旧	bpib
最广	bpji
最后	bpjj
最近	bpjj
最初	bpjk
最近	bpjk
最先	bpjl
最爱	bpjn
最重	bpjt
最丑	bpjx
最不	bpjy
最长	bpki
最简	bpkn
最坏	bplj
最短	bply
最小	bpmi
最少	bpmj
最宽	bpnh
最窄	bpnv
最迟	bppd
最迟	bppn
影剧院	bppn
最好	bprz
最浅	bpsf
最深	bpsn
最低	bptc
最佳	bptl
最优	bptx
最美	bpve
最差	bpvf
最冷	bpvv
最终	bpwa
最有	bpxd
最慢	bpyb
最怕	bpyg
最大	bpyi
最快	bpyz
最劲	bpzi
最强	bpzs
最弱	bpzs
星期日	bqbi
星期六	bqdv
星期三	bqei
歇斯底里	bqjb
星罗棋布	bqmx
曼联	bqpv
星期四	bqqi
曙色	bqrd
曼妙	bqrm
星期一	bqti
星期天	bqty
曼谷	bqvv
曙光	bqww
旱鸭子	bqzi
明争暗斗	brbd
晚景	brbd
晚育	brdg
晚熟	brdo
晚辈	bren
晚春	brev
晚班	brey
晚报	brfp
晚期	brhe
晚节	brhp
晚秋	brhx
电解质	brjj
晚近	brjk
晚生	brjl
易如反掌	brjw
日久生情	brjy
晚年	brlc
晚境	brld
晚上	brli
晚宴	brnb
晚间	brnb
晚辈	brne
晚安	brnr
日久见人心	brnu
晚期	brqv
晚婚	brrc
晚饭	brrl
日久天长	brtk
电饭煲	brto
明媒正娶	brtp
晚霜	brum
晩霞	brup
晚霞	brup
赡养	brve
晚会	brvf
电饭锅	brvo
晚风	brwx
晚餐	bryd
晚点	bryo
歇脚	bsdl
易于	bsfi
购进	bsfn
歇菜	bshj
剔透	bshz
歇工	bsii
购买	bsjd
易手	bsjf
购物	bsjf
歇夏	bsjg
歇息	bsjg
购入	bsjn
遏制	bskn
易地	bslc
易用	bsnf
易帜	bsni
歇宿	bsnt
剔除	bspv
购置	bsqx
易行	bssf
财源滚滚	bsss
易位	bstd
旱涝保收	bstl
显微镜	bsvd
购并	bsvh
易人	bsvi
购销	bsvw
景德镇	bsvx
易学	bswn
歇业	bswt
易经	bswz
易爆	bsxb
易燃	bsxd
易懂	bsyh
量贩	btbj
贼赃	btbj
题意	btdb
是可忍，孰不可忍	btdd
旦夕	btdi
题为	btdj
量变	btdm
题名	btdo
是非	bten
时来运转	btfc
贼眼	btge
题目	btgi
是的	btgs
题词	btij
题诗	btil
是不是	btjb
日臻成熟	btjd
量度	btjh
量力	btji
是否	btjy
明信片	btki
显像管	btkn
题签	btkv
量体裁衣	btld
是以	btld
财政赤字	btln
量少	btmj
明修栈道	btmv
明修栈道，暗度陈仓	btmv
题材	btmx
是非	btne
贼寇	btnf
题写	btns
日臻完善	btnv
题字	btnz
题跋	btol
是啊	btop
题壁	btpo
最惠国	btqe
题解	btrd
量身	btri
量刑	btth
暴殄天物	bttj
最低保障	bttp
量化	bttt
贼心	btui
明正典刑	btut
晴天霹雳	btuu
时至今日	btvb
是个	btvi
贼人	btvi
最低点	btyo
量子	btzi
昆明	bubd
昆明市	bubd
早出晚归	bubn
暴露无遗	bufq
日出而作	bujt
贼心不死	bujt
晴雨表	bulk
贝雷帽	buni
野心家	bunx
昆剧	bupx
昆虫	buqi
昆仲	buto
昆曲	buui
昆仑	buvt
野心勃勃	buxx
明镜高悬	bvdq
赠予	bvdt
昆仑山	bvei
昂首挺胸	bvfd
愚公移山	bvhe
晨钟暮鼓	bvhl
愚人节	bvhp
暗送秋波	bvhs
赠言	bvii
畅销书	bvjj
明人不做暗事	bvjt
赠礼	bvjy
电冰箱	bvkm
赠答	bvkv
赠阅	bvnv
昂首阔步	bvny
贻人口实	bvon
赠品	bvoo
赚取	bvpa
赊欠	bvrv
赠与	bvsi
购销两旺	bvtb
赚钱	bvvf
照单全收	bvvl
赠送	bvvy
赠给	bvwv
日益频繁	bvyl
显圣	bwal
显明	bwbd
显影	bwbd
显要	bwcr
电光石火	bwcx
电风扇	bwdp
显效	bwdv
显然	bwdy
显现	bwen
显灵	bwex
晃动	bwfg
显示	bwfm
显示器	bwfo
显摆	bwfq
显扬	bwfz
显能	bwgd
晃眼	bwge
显眼	bwge
晃荡	bwhs
显著	bwhy
败兴而归	bwjn
晤面	bwjq
日常生活	bwjs
显赫	bwlm
显卡	bwly
显豁	bwnf
日常用品	bwno
显见	bwnw
电业局	bwpj
显贵	bwqb
显得	bwsb
显微	bwse
暴风骤雨	bwsu
显形	bwth
晃悠	bwti
显出	bwue
暴风雪	bwue
暴风雨	bwui
显露	bwuo
显学	bwwn
显耀	bwww
显存	bwxi
日光灯	bwxt
显性	bwyj
显达	bwyz
时逢	bxaf
财务	bxaj
时务	bxaj
贿赂	bxba
时日	bxbi
早日	bxbi
早晨	bxbj
早晚	bxbr
时断时续	bxbw
时时	bxbx
早早	bxbx
易燃易爆	bxbx
时区	bxcx
财主	bxde
财产	bxdj
早产	bxdj
时新	bxdm
早市	bxdn
早熟	bxdo
早就	bxdo
早衰	bxdo
时效	bxdv
时刻	bxdy
早已	bxei
早退	bxek
量才录用	bxen
早春	bxev
早班	bxey
财运	bxfg
早逝	bxfj
早操	bxfo
时报	bxfp
明火执仗	bxft
时势	bxfx
财贸	bxgd
时期	bxhe
早期	bxhe
早稻	bxhj
时世	bxhl
时节	bxhp
早茶	bxhv
财税	bxhv
早秋	bxhx
时评	bxit
晓谕	bxiv
时不时	bxjb
时序	bxjd
赎买	bxjd
