双双	aaaa
对立	axdi
对外	axdy
对峙	axel
对抗	axfd
对接	axfd
对于	axfi
对换	axfr
对白	axgi
对称	axhr
对话	axij
戏谑	axiy
对手	axjf
对了	axji
各有所爱	axjj
对不起	axjl
对面	axjq
对应	axjw
对等	axkl
对策	axkt
对此	axlt
对本	axmt
对内	axnv
对家	axnx
对口	axoi
对路	axol
对阵	axpc
对联	axpv
戏剧	axpx
对虾	axqt
对象	axro
对流	axsd
对待	axsl
对开	axth
对付	axtx
对仗	axtx
对比	axui
戏曲	axui
对着	axvf
对准	axvt
对决	axvz
对数	axxr
处处	ayay
处方	aydh
处理	ayeb
处于	ayfi
处所	ayjj
鸡犬不宁	ayjn
处长	ayki
处境	ayld
处以	ayld
处罚	ayqi
处置	ayqx
处女	ayri
处分	ayvd
处在	ayxi
败诉	baij
败坏	balj
败类	baxy
日日夜夜	bbdd
鹦鹉	bbfl
旷日持久	bbfr
明日黄花	bbhh
晶莹	bbhn
昌盛	bbjj
电影院	bbpn
晶体	bbtm
昌平	bbtv
日晒雨淋	bbus
婴儿	bbwi
曝光	bbww
影影绰绰	bbww
婴孩	bbzd
昂贵	bcqb
景观	bdan
照明	bdbd
明明	bdbd
明暗	bdbd
暗暗	bdbd
明辨是非	bdbe
明日	bdbi
明星	bdbj
影星	bdbj
明晰	bdbm
明辨是非	bdbn
明晚	bdbr
明显	bdbw
影碟	bdch
明确	bdcr
景区	bdcx
影音	bddb
明朗	bdde
明月	bddi
暗恋	bddm
明亮	bddo
暗夜	bddt
明珠	bdek
暗示	bdfm
昭示	bdfm
照抄	bdfm
照搬	bdfn
畅通无阻	bdfp
明白	bdgi
昭然若揭	bdhf
暗访	bdid
明证	bdit
影评	bdit
照顾	bdjc
景物	bdjf
照看	bdjf
明了	bdji
照应	bdjw
影视	bdjy
暗算	bdkg
影片	bdki
照片	bdki
景气	bdkz
明年	bdlc
明智	bdly
明知	bdly
照相	bdmg
照相机	bdmm
照样	bdmv
暗中	bdoi
影响	bdoj
暗器	bdoo
影院	bdpn
明基	bdqv
景色	bdrd
明媚	bdrd
景象	bdro
照射	bdrx
暗淡	bdsx
影集	bdti
暗伤	bdtl
影像	bdtr
照例	bdtt
明代	bdtv
赔偿	bdtw
明天	bdty
昭雪	bdue
照会	bdvf
照常	bdwn
明细	bdwq
照耀	bdww
照料	bdxd
暗杀	bdxm
影迷	bdxz
景点	bdyo
影子	bdzi
旺季	behz
旺盛	bejj
赋予	bfdt
显示器	bfoo
显示屏	bfpv
冒充	bgdg
冒进	bgfn
冒牌	bgkg
冒险	bgpv
冒雨	bgui
明目张胆	bgzd
日积月累	bhdq
暴动	bhfg
暴利	bhhn
暴力	bhji
日程表	bhlk
暴跌	bhol
暴行	bhsf
暴涨	bhsz
暴雨	bhui
暴露	bhuo
日暮途穷	bhvn
暴风	bhwx
暴发	bhya
申明	bibd
日照	bibd
日立	bidi
日月	bidi
日产	bidj
畅通	bidn
日夜	bidt
日文	bidx
申辩	bidx
日报	bifp
申报	bifp
日元	bifw
日期	bihe
日程	biho
申诉	biij
申请	biil
日语	biiw
畅谈	biix
日记	biiz
日历	bijj
日后	bijj
申斥	bijk
申奥	bijn
申办	bijv
日趋	bill
日志	bilu
申述	bimd
日本	bimt
电话机	bimw
日用	binf
日内	binv
日中	bioi
日期	biqv
日渐	bisc
畅游	bisd
日下	bity
日出	biue
日前	bivd
申请人	bivi
申领	bivj
日益	bivv
畅销	bivw
日常	biwn
日光	biww
贝类	bixy
日子	bizi
暧昧	bjbf
星星	bjbj
显而易见	bjbn
是不是	bjbt
晨曦	bjbv
星球	bjex
赔了夫人又折兵	bjfg
贩运	bjfg
晨报	bjfp
电视台	bjgo
星期日	bjhb
星期六	bjhd
星期	bjhe
星期三	bjhe
星期二	bjhf
星期四	bjhq
星期一	bjht
星期天	bjht
星期五	bjhw
赃物	bjjf
星辰	bjjf
时不我待	bjjs
星座	bjjv
暖气	bjkz
赃款	bjlf
贩毒	bjlq
电视机	bjmw
星空	bjnv
星际	bjpf
电视剧	bjpx
星期日	bjqb
星期六	bjqd
星期三	bjqe
星期二	bjqf
星期四	bjqq
星期一	bjqt
星期天	bjqt
星期	bjqv
星期五	bjqw
星河	bjst
贬低	bjtc
贬值	bjtx
赔礼道歉	bjvv
星级	bjwj
星光	bjww
星火	bjxi
贩卖	bjxj
账户	bkdp
账目	bkgi
账面	bkjq
账簿	bkks
账本	bkmt
账号	bkot
贻笑大方	bkyd
电影	blbd
昨日	blbi
电影院	blbp
昨晚	blbr
电量	blbt
电磁	blcv
电脑	bldd
晴朗	blde
野蛮	bldm
电邮	bldp
昨夜	bldt
野外	bldy
电站	bldy
电动	blfg
电报	blfp
电热	blfx
电能	blgd
电台	blgo
里程	blho
电工	blii
电话	blij
电讯	bliz
电视台	bljg
电力	blji
电厂	blji
电压	bljl
野生	bljl
电视机	bljm
里面	bljq
电视	bljy
电气	blkz
电表	bllk
电梯	blmv
电机	blmw
电网	blnx
电路	blol
电器	bloo
电阻	blpq
电池	blsc
电汇	blsc
电流	blsd
晦涩	blsd
电源	blsj
电波	blsj
电信	blti
昨天	blty
晴天	blty
野心	blui
野兽	blvq
电线	blwf
电学	blwn
电缆	blwn
电灯	blxt
明知故犯	blxx
电大	blyi
电教	blyz
电子	blzi
果然	bmdy
果树	bmma
照相机	bmmw
果实	bmnd
果品	bmoo
果园	bmqf
果汁	bmsx
日本人	bmvi
颗粒	bmxd
果断	bmxl
贮备	bnaq
遇难	bnat
愚昧	bnbf
愚弄	bneh
愚蠢	bnev
贮藏	bnhk
愚笨	bnkm
遇上	bnli
时间表	bnlk
遇见	bnnw
遇险	bnpv
遇到	bntg
映像	bntr
晕倒	bntt
是非曲直	bnux
则有	bnxd
贮存	bnxi
暴跳如雷	boru
最早	bpbx
最多	bpdd
最为	bpdj
最新	bpdm
最高	bpdo
最热	bpfx
最能	bpgd
昵称	bphr
最后	bpjj
最近	bpjj
最初	bpjk
最近	bpjk
最先	bpjl
最爱	bpjn
最不	bpjy
最长	bpki
最短	bply
最小	bpmi
最少	bpmj
最好	bprz
最深	bpsn
最低	bptc
最佳	bptl
最美	bpve
最终	bpwa
最有	bpxd
最大	bpyi
最快	bpyz
最强	bpzs
星期日	bqbi
星期六	bqdv
星期三	bqei
歇斯底里	bqjb
星罗棋布	bqmx
曼联	bqpv
星期四	bqqi
星期一	bqti
星期天	bqty
曼谷	bqvv
曙光	bqww
晚辈	bren
晚报	brfp
晚期	brhe
易如反掌	brjw
晚年	brlc
晚上	brli
晚宴	brnb
晚间	brnb
晚辈	brne
晚安	brnr
晚期	brqv
晚饭	brrl
赡养	brve
晚会	brvf
晚风	brwx
晚餐	bryd
易于	bsfi
购进	bsfn
购买	bsjd
购物	bsjf
购入	bsjn
遏制	bskn
易用	bsnf
购置	bsqx
购销	bsvw
易经	bswz
题为	btdj
量变	btdm
是非	bten
题目	btgi
是的	btgs
题词	btij
是不是	btjb
是否	btjy
量体裁衣	btld
题材	btmx
是非	btne
是啊	btop
量身	btri
量刑	btth
暴殄天物	bttj
量化	bttt
晴天霹雳	btuu
昆明	bubd
暴露无遗	bufq
昆虫	buqi
昆仑	buvt
昂首挺胸	bvfd
愚公移山	bvhe
赚钱	bvvf
赠送	bvvy
显然	bwdy
显现	bwen
显灵	bwex
显示	bwfm
显示器	bwfo
显著	bwhy
显赫	bwlm
显卡	bwly
显贵	bwqb
显得	bwsb
暴风骤雨	bwsu
显出	bwue
显露	bwuo
财务	bxaj
贿赂	bxba
早日	bxbi
早晨	bxbj
早晚	bxbr
时时	bxbx
早早	bxbx
财产	bxdj
早熟	bxdo
早就	bxdo
时效	bxdv
时刻	bxdy
早已	bxei
早退	bxek
早逝	bxfj
时报	bxfp
时势	bxfx
时期	bxhe
早期	bxhe
时节	bxhp
财税	bxhv
时评	bxit
财物	bxjf
时辰	bxjf
财力	bxji
时段	bxjk
早先	bxjl
财神	bxjy
时装	bxkl
时髦	bxks
早年	bxlc
早上	bxli
时过境迁	bxlj
早些	bxlt
时机	bxmw
时间	bxnb
时宜	bxnq
财富	bxnt
时空	bxnv
时限	bxpe
时隔	bxpt
时期	bxqv
早期	bxqv
晓得	bxsb
财源	bxsj
时候	bxti
财政	bxtl
时事	bxto
时速	bxto
时代	bxtv
时下	bxty
时分	bxvd
财会	bxvf
时弊	bxvn
时钟	bxvo
时常	bxwn
时尚	bxwn
时光	bxww
财经	bxwz
早在	bxxi
星火燎原	bxxj
早餐	bxyd
早点	bxyo
暑期	byhe
贴息	byjg
贴近	byjj
贴近	byjk
贴补	byjk
赌场	bylz
贴图	byqa
暑期	byqv
贴身	byri
赌注	bysd
贴切	bytd
暑假	bytp
贴心	byui
赌博	byxt
电子商务	bzda
轰动	cafg
轰隆	capa
辍学	cawn
轰炸	caxl
砥砺	cccj
轻车熟路	ccdo
砸了	ccji
软硬件	cctk
轰轰烈烈	cctt
石破天惊	ccty
较量	cdbt
也就是	cdbt
磅礴	cdch
硫磺	cdch
较多	cddd
较为	cddj
较高	cddo
轴承	cdje
迎刃而解	cdjr
较长	cdki
碎片	cdki
较小	cdmi
较少	cdmj
较好	cdrz
较低	cdtc
硫酸	cdug
轴心	cdui
较差	cdvf
较大	cdyi
轩然大波	cdys
较快	cdyz
较强	cdzs
较弱	cdzs
西班牙	ceci
转账	cfbk
轩辕	cfcl
转轨	cfcx
转为	cfdj
转产	cfdj
转变	cfdm
转弯	cfdm
票房	cfdp
转交	cfdv
转录	cfes
辅导	cfex
转动	cffg
转折	cffj
转播	cffj
飘摇	cffj
票据	cffp
转换	cffr
飘扬	cffz
转眼	cfge
转移	cfhd
飘荡	cfhs
转让	cfil
转告	cfjl
转入	cfjn
转而	cfjn
转向	cfjn
转载	cflc
转机	cfmw
转用	cfnf
转帖	cfni
剽窃	cfnv
辅助	cfqf
转身	cfri
转嫁	cfrn
飘逸	cfro
连云港	cfsh
飘浮	cfsj
轻描淡写	cfsn
转到	cftg
转型	cfth
转正	cftl
转速	cfto
转化	cftt
票价	cftv
飘零	cfuv
转会	cfvf
转发	cfya
转达	cfyz
兜售	cgti
匿名	chdo
斩草除根	chpm
雅观	cian
也是	cibt
车票	cicf
也要	cicr
车辆	cict
车轮	cicv
西欧	cicx
石头	cidd
西方	cidh
西施	cidh
车市	cidn
西部	cido
牙膏	cido
也就	cido
车站	cidy
西山	ciei
也能	cigd
西藏	cihk
也许	ciil
车库	cijc
西瓜	cijj
西段	cijk
车厢	cijm
车祸	cijy
也不	cijy
西装	cikl
西北	cikt
车载	cilc
牙齿	cilv
牙齿	cilw
也想	cimg
石榴	cimg
车间	cinb
也门	cini
西门	cini
西安	cinr
轻诺寡信	cint
西宁	cint
石器	cioo
西陆	cipf
牙刷	cipn
车队	cipv
西甲	ciqi
也罢	ciql
车身	ciri
也好	cirz
石油	cisd
也很	cise
西洋	cisv
也没	cisw
西湖	cisx
西侧	citb
车型	cith
车速	cito
也可	cito
石化	citt
邪恶	citw
雅典	ciuv
也会	civf
研讨会	civf
也曾	civq
车次	civr
也有	cixd
也在	cixi
西南	cixn
雅虎	ciyw
邪教	ciyz
车子	cizi
硕果	cjbm
也不是	cjbt
暂时	cjbx
破碎	cjcd
轿车	cjci
辘轳	cjcy
破产	cjdj
矿产	cjdj
矿山	cjei
暂无	cjfl
破损	cjfo
破获	cjhx
破译	cjia
破旧	cjib
矿物	cjjf
硕士	cjli
破坏	cjlj
破格	cjma
破案	cjnr
暂定	cjnt
破除	cjpv
暂且	cjqf
乐不思蜀	cjqq
破解	cjrd
暂行	cjsf
输入法	cjsl
暂停	cjtd
破裂	cjtd
暂住	cjtd
破例	cjtt
破灭	cjtx
斩首	cjvj
暂缓	cjwj
矿业	cjwt
破烂	cjxv
医务	claj
砝码	clcs
医护	clfd
医科	clhd
医药	clhw
医疗	cljj
医生	cljl
医术	clmd
医师	clnt
医嘱	clop
医院	clpn
医治	clsg
硅谷	clvv
医学	clwn
医学院	clwp
乐观	cman
乐意	cmdb
乐于	cmfi
鸦雀无声	cmfl
乐极生悲	cmjn
乐趣	cmll
乐器	cmoo
乐队	cmpv
乐园	cmqf
乐团	cmqx
乐曲	cmui
辖区	cncx
西安市	cndn
研究所	cnjj
研究生	cnjl
石家庄	cnjl
碗筷	cnky
研究员	cnob
研究院	cnpn
西安市	cnrd
碉堡	cnto
研究会	cnvf
辗转	cpcf
迎新	cpdm
迎春	cpev
迎接	cpfd
迎来	cptx
迎合	cpvt
迎战	cpyo
匮乏	cqjd
要务	craj
要是	crbt
软硬	crct
确立	crdi
转危为安	crdn
要把	crfd
要让	cril
确认	criv
确诊	criv
要么	crjg
要不	crjy
要将	crkd
要以	crld
要素	crlw
要想	crmg
软禁	crmm
要紧	crna
确实	crnd
要害	crnf
要用	crnf
要闻	crnp
软盘	crns
确定	crnt
要好	crrz
轻如鸿毛	crsj
软驱	crst
确切	crtd
要到	crtg
确信	crti
软件	crtk
软体	crtm
确保	crto
要价	crtv
要做	crtx
砍伐	crtx
要领	crvj
确凿	crwt
确有	crxd
要有	crxd
要在	crxi
要求	crxx
要点	cryo
软弱	crzs
要强	crzs
码头	csdd
车水马龙	cssx
覆灭	cstx
覆盖	csve
也没有	csxd
辅导	ctex
研讨	ctix
硬度	ctjh
硬币	ctjn
匪夷所思	ctjq
硬座	ctjv
研制	ctkn
研究生	ctnj
研究所	ctnj
硬盘	ctns
研究	ctnv
辅助	ctqf
昏天黑地	ctql
辐射	ctrx
硬件	cttk
硬化	cttt
硬仗	cttx
辅料	ctxd
昏迷	ctxz
研发	ctya
轮胎	cvdg
磋商	cvdn
碰撞	cvfd
轮换	cvfr
磁带	cvhn
碰巧	cvit
轮廓	cvjd
输入	cvjn
输血	cvjq
输入法	cvjs
磁场	cvlz
轮椅	cvmy
磁盘	cvns
轮船	cvns
输家	cvnx
轮回	cvqo
轮流	cvsd
破釜沉舟	cvsn
碰到	cvtg
输出	cvue
输送	cvvy
匹夫	cwfv
医学院	cwpn
连续剧	cwpx
匹配	cwuz
硝烟	cwxq
欧盟	cxbd
轨迹	cxdm
殴打	cxft
欧元	cxfw
区委	cxhr
区长	cxki
区域	cxlt
区间	cxnb
区别	cxoj
区号	cxot
欧阳	cxpb
欧洲	cxsy
区位	cxtd
磷酸	cxug
区分	cxvd
欧美	cxve
轨道	cxvj
区划	cxxn
西餐厅	cydj
孵化	cytt
连日	czbi
轻易	czbs
轻轻	czcz
连连	czcz
连胜	czdj
连夜	czdt
轻率	czdw
连理	czeb
连环	czej
连接	czfd
轻薄	czhs
轻工	czii
轻重	czjt
轻视	czjy
轻装	czkl
连载	czlc
连年	czlc
轻松	czmv
轻舟	czns
连同	cznt
轻微	czse
轻型	czth
连任	cztj
轻便	cztt
连锁	czvw
轻纺	czwd
连线	czwf
连绵	czwg
连续	czwx
连忙	czyd
轻快	czyz
轻盈	czzj
胳膊	dadf
胳膊	dadt
服务员	daob
胳臂	dapo
服务业	dawt
胆量	dbbt
竟是	dbbt
音量	dbbt
彰显	dbbw
音乐	dbcm
腥膻	dbdd
音效	dbdv
意义	dbdx
竟然	dbdy
意外	dbdy
章程	dbho
章节	dbhp
童话	dbij
竭诚	dbij
意识	dbio
胆识	dbio
意识到	dbit
意愿	dbjg
竭力	dbji
文明礼貌	dbjj
音质	dbjj
意向	dbjn
竟敢	dbjp
音箱	dbkm
音符	dbkt
意气	dbkz
童年	dblc
意境	dbld
意志	dblu
意见	dbnw
意味	dbof
音响	dboj
意味着	dbov
竭尽	dbpn
意图	dbqa
胆略	dbqa
意甲	dbqi
意思	dbqu
赣江	dbsi
章法	dbsl
这时候	dbti
音像	dbtr
意念	dbvj
韶关	dbvy
意料	dbxd
意大利	dbyh
音频	dbyj
胆怯	dbyl
胆子	dbzi
怨怼	dcax
头昏脑胀	dcdd
怨言	dcii
头破血流	dcjs
鸳鸯	dcny
腰包	dcse
头条	ddam
头头是道	ddbv
多时	ddbx
斗殴	ddcx
头脑	dddd
多头	dddd
多方	dddh
多月	dddi
肮脏	dddj
多方面	dddj
多变	dddm
臃肿	dddo
多名	dddo
外交部	dddo
头部	dddo
肥胖	dddv
膀胱	dddw
亭亭玉立	dded
多云	ddfg
多于	ddfi
脱胎换骨	ddfq
脉搏	ddft
多元	ddfw
头目	ddgi
肥皂	ddgt
多种	ddho
辛亥革命	ddhv
多功能	ddig
多项	ddij
多谢	ddir
头皮	ddja
头疼	ddja
肥厚	ddjb
头痛	ddjd
忍痛	ddjd
多么	ddjg
多了	ddji
多彩	ddjm
忍受	ddjn
忍耐	ddjn
多方面	ddjq
忍不住	ddjt
多重	ddjt
多边	ddjz
脑筋	ddkd
多长	ddki
头等	ddkl
多年	ddlc
头上	ddli
多年来	ddlt
斗志	ddlu
肥缺	ddlx
肝胆相照	ddmb
多少	ddmj
多极	ddmj
多样	ddmv
多家	ddnx
多吃	ddol
新产品	ddoo
头号	ddot
多层	ddpf
斗争	ddre
多久	ddrn
多媒体	ddrt
主旋律	ddse
胶水	ddsi
肥沃	ddsj
高朋满座	ddsj
脑海	ddsl
头衔	ddsv
多位	ddtd
旁敲侧击	ddtf
头顶	ddtj
多事	ddto
胶囊	ddto
头像	ddtr
脑袋	ddtv
多个	ddvi
多人	ddvi
脍炙人口	ddvo
脉冲	ddvo
多次	ddvr
多余	ddvt
多多益善	ddvv
多半	ddvx
脉络	ddwa
头绪	ddwy
朋友	ddxa
肥料	ddxd
立方米	ddxi
多数	ddxr
头盔	ddxx
头发	ddya
忍者	ddyb
肥大	ddyi
多大	ddyi
多情	ddyl
多点	ddyo
多达	ddyz
脑子	ddzi
主观	dean
主题	debt
主要	decr
主意	dedb
主义	dedx
主导	deex
主动	defg
主干	defi
主持	defl
主打	deft
主营	dehn
良种	deho
主攻	deia
朗诵	deid
端详	deiv
朗读	deix
主页	dejb
主席	dejh
主力	deji
主办	dejv
主管	dekn
端午	delx
主场	delz
主权	dema
主板	demj
主机	demw
良机	demw
主宰	dend
主帅	denn
主见	denw
端口	deoi
主妇	dere
主角	deri
良好	derz
主流	desd
主演	desn
高山流水	dess
主旨	detb
端倪	detg
新春佳节	deth
主任	detj
端正	detl
主体	detm
良心	deui
主食	devd
主人	devi
主次	devr
主编	dewd
主线	dewf
主犯	dexj
刀山火海	dexs
良性	deyj
主张	dezs
那里	dfbl
那时	dfbx
肝胆	dfdb
肝脏	dfdj
那种	dfho
那么	dfjg
腾云驾雾	dfju
那边	dfjz
那年	dflc
胸无城府	dflj
那些	dflt
新技术	dfmd
那样	dfmv
交换机	dfmw
肤色	dfrd
忍无可忍	dftd
多元化	dftt
那份	dftv
那天	dfty
那个	dfvi
主持人	dfvi
肝炎	dfxx
胸无点墨	dfyq
充电	dgbl
高瞻远瞩	dgfg
育种	dgho
竣工	dgii
熟能生巧	dgji
充斥	dgjk
脾气	dgkz
充气	dgkz
弃权	dgma
充实	dgnd
充足	dgol
充满	dgsh
充沛	dgst
充值	dgtx
充分	dgvd
育人	dgvi
充当	dgwe
胎儿	dgwi
育儿	dgwi
放电	dhbl
放映	dhbn
旋转	dhcf
施肥	dhdd
放弃	dhdg
朦胧	dhdx
旁若无人	dhfv
高科技	dhfx
放眼	dhge
旅程	dhho
方程	dhho
放荡	dhhs
施工	dhii
放手	dhjf
方向	dhjn
放入	dhjn
施加	dhjo
方面	dhjq
旅社	dhjy
旅店	dhjy
放肆	dhke
方块	dhlz
放松	dhmv
旅客	dhna
放宽	dhnh
旗帜	dhni
方案	dhnr
旗舰	dhns
旗号	dhot
施展	dhph
方略	dhqa
方圆	dhqo
放置	dhqx
旅馆	dhrl
放射	dhrx
旅游	dhsd
旋律	dhse
旅行	dhsf
施行	dhsf
放行	dhsf
旅行社	dhsj
方法	dhsl
鹏程万里	dhtb
方位	dhtd
放下	dhtd
放到	dhtg
放开	dhth
方形	dhth
方式	dhti
方正	dhtl
方可	dhto
放假	dhtp
方便	dhtt
旅伴	dhtv
放下	dhty
旗下	dhty
放出	dhue
放心	dhui
施舍	dhvf
多愁善感	dhvj
旅途	dhvt
方针	dhvx
放学	dhwn
放纵	dhwv
旋风	dhwx
放过	dhxd
放在	dhxi
放慢	dhyb
放大	dhyi
名落孙山	dhze
月票	dicf
立方	didh
月亮	dido
由衷	dido
立刻	didy
立即	dieg
凸现	dien
通讯录	dies
月球	diex
由于	difi
月刊	difn
月报	difp
多功能	digd
月薪	dihd
月季	dihz
立功	diij
立项	diij
月底	dijc
月历	dijj
月初	dijk
通讯社	dijy
刀片	diki
由此	dilt
立志	dilu
立场	dilz
高谈阔论	dini
立案	dinr
月内	dinv
通讯员	diob
月中	dioi
立足	diol
夕阳	dipb
弃旧图新	diqd
立国	diqe
月饼	dirl
立法	disl
意识到	ditg
立体	ditm
月末	ditm
月份	ditv
由来	ditx
月光	diww
月经	diwz
文不对题	djab
为难	djat
胜败	djba
产量	djbt
高质量	djbt
为时	djbx
为辅	djct
产区	djcx
头重脚轻	djdc
眉头	djdd
为主	djde
胚胎	djdg
为由	djdi
腼腆	djdu
为之	djdz
六神无主	djfd
熟视无睹	djfg
永远	djfw
亲爱的	djgs
毫不留情	djgy
为期	djhe
胜利	djhn
胜诉	djij
产物	djjf
为了	djji
产后	djjj
产生	djjl
忘乎所以	djjl
为生	djjl
永垂不朽	djjm
望而生畏	djjq
为重	djjt
永不	djjy
胜地	djlc
产地	djlc
之所以	djld
为止	djli
新加坡	djlj
为此	djlt
望而却步	djly
产权	djma
文质彬彬	djmm
为本	djmt
预选赛	djnf
忍痛割爱	djnj
义不容辞	djnj
为宜	djnq
刻不容缓	djnw
产品	djoo
变压器	djoo
为民	djpt
为国	djqe
为期	djqv
胜负	djrb
颜色	djrd
产妇	djre
永久	djrn
忍不住	djtd
放手一搏	djtf
离不开	djth
胜任	djtj
为什么	djtj
新生事物	djtj
产假	djtp
为例	djtt
为何	djtt
胜仗	djtx
产值	djtx
亲痛仇快	djty
胜出	djue
产出	djue
为人	djvi
为首	djvj
为准	djvt
产销	djvw
妄自尊大	djvy
产业	djwt
颜料	djxd
为数	djxr
永恒	djyt
衣服	dkdp
衣物	dkjf
衣架	dkjo
立竿见影	dknb
忍气吞声	dktl
衣着	dkvf
衣裳	dkwn
意气风发	dkwy
斗志昂扬	dlbf
巴西	dlci
房地产	dldj
膨胀	dldk
腹部	dldo
脚印	dlep
盲目	dlgi
赢利	dlhn
巴黎	dlhs
忘记	dliz
肚皮	dlja
忘了	dlji
通知书	dljj
由此及彼	dljs
忘却	dllg
巴士	dlli
怨声载道	dllv
妄想	dlmg
脚本	dlmt
忘本	dlmt
赢家	dlnx
妄图	dlqa
赢得	dlsb
腹泻	dlsn
多年来	dltx
站起来	dltx
脚下	dlty
望着	dlvf
亡命	dlvt
盲从	dlvv
巴结	dlwl
脚步	dlyi
肚子	dlzi
新星	dmbj
亲昵	dmbp
变量	dmbt
新贴	dmby
新车	dmci
新意	dmdb
亲朋	dmdd
新郎	dmde
变为	dmdj
变通	dmdn
新产品	dmdo
新高	dmdo
新房	dmdp
变脸	dmdv
新股	dmdw
亦然	dmdy
新建	dmef
变异	dmeh
新春	dmev
变动	dmfg
新技术	dmfm
变换	dmfr
亲热	dmfx
亲眼	dmge
新的	dmgs
新兵	dmgv
变革	dmhp
新世纪	dmhw
新药	dmhw
新秀	dmhz
新手	dmjf
亲手	dmjf
亲自	dmjg
变成	dmjj
新书	dmjj
变质	dmjj
变本加厉	dmjj
亲近	dmjk
新近	dmjk
亲戚	dmjl
新生	dmjl
亲爱	dmjn
恋爱	dmjn
变迁	dmjx
亲笔	dmkj
新年	dmlc
新款	dmlf
新城	dmlj
望梅止渴	dmls
新增	dmlv
变相	dmmg
蛮横	dmmh
新村	dmmx
亲临	dmnk
新闻	dmnp
亲密	dmnu
新宠	dmnx
弯路	dmol
亲属	dmpj
新居	dmpx
新贵	dmqb
新婚	dmrc
变色	dmrd
新娘	dmrd
胆小如鼠	dmrg
亲身	dmri
变身	dmri
迹象	dmro
新鲜	dmrt
变得	dmsb
新浪	dmsd
变法	dmsl
新潮	dmsx
变更	dmtb
亲切	dmtd
新型	dmth
新颖	dmth
变形	dmth
亲信	dmti
变焦	dmti
新华社	dmtj
新政	dmtl
新作	dmtl
新歌	dmto
变速	dmto
亦可	dmto
变化	dmtt
多样化	dmtt
新华	dmtt
弯曲	dmui
亲人	dmvi
新人	dmvi
恋人	dmvi
新锐	dmvv
变幻	dmwj
新兴	dmwv
新风	dmwx
亲友	dmxa
变态	dmyd
亲情	dmyl
恋情	dmyl
新奇	dmyt
巴格达	dmyz
亲子	dmzi
新疆	dmzs
商务	dnaj
旁观	dnan
通畅	dnbi
通电	dnbl
市里	dnbl
商量	dnbt
通车	dnci
市区	dncx
商户	dndp
市郊	dndv
勇于	dnfi
亲密无间	dnfn
市井	dnfn
通报	dnfp
商贸	dngd
旁白	dngi
市委	dnhr
通称	dnhr
商议	dnid
通话	dnij
商讨	dnix
商谈	dnix
通讯	dniz
商厦	dnjj
高官厚禄	dnjj
通告	dnjl
通向	dnjn
勇敢	dnjp
市面	dnjq
通病	dnjt
商店	dnjy
旁边	dnjz
市长	dnki
勇气	dnkz
勇士	dnli
商城	dnlj
通知	dnly
市场	dnlz
商场	dnlz
商标	dnmf
通顺	dnmj
商榷	dnmp
商机	dnmw
通用	dnnf
商用	dnnf
商定	dnnt
市内	dnnv
市容	dnnv
通宵	dnnw
商家	dnnx
通用性	dnny
商品房	dnod
通路	dnol
商品	dnoo
